START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-11-02 06:35:57,2021-11-02 06:36:00,Standing_With_Movement,annotator,PA TYPE,2021-11-02 00:00:07,2021-11-02 00:00:10
2021-11-02 06:36:00,2021-11-02 06:36:13,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2021-11-02 00:00:10,2021-11-02 00:00:23
2021-11-02 06:36:13,2021-11-02 06:36:23,Walking,annotator,PA TYPE,2021-11-02 00:00:23,2021-11-02 00:00:33
2021-11-02 06:36:23,2021-11-02 06:36:26,Standing_With_Movement,annotator,PA TYPE,2021-11-02 00:00:33,2021-11-02 00:00:36
2021-11-02 06:36:26,2021-11-02 06:36:26,Standing_With_Movement,annotator,PA TYPE,2021-11-02 00:00:36,2021-11-02 00:00:36
2021-11-02 06:36:26,2021-11-02 06:36:34,Walking,annotator,PA TYPE,2021-11-02 00:00:36,2021-11-02 00:00:44
2021-11-02 06:36:34,2021-11-02 06:36:37,Walking,annotator,PA TYPE,2021-11-02 00:00:44,2021-11-02 00:00:47
2021-11-02 06:36:37,2021-11-02 06:36:42,Standing_With_Movement,annotator,PA TYPE,2021-11-02 00:00:47,2021-11-02 00:00:52
2021-11-02 06:36:42,2021-11-02 06:36:44,Walking,annotator,PA TYPE,2021-11-02 00:00:52,2021-11-02 00:00:54
2021-11-02 06:36:44,2021-11-02 06:36:44,Puttering_Around,annotator,PA TYPE,2021-11-02 00:00:54,2021-11-02 00:00:54
2021-11-02 06:36:44,2021-11-02 06:36:53,Puttering_Around,annotator,PA TYPE,2021-11-02 00:00:54,2021-11-02 00:01:03
2021-11-02 06:36:53,2021-11-02 06:37:24,Standing_With_Movement,annotator,PA TYPE,2021-11-02 00:01:03,2021-11-02 00:01:34
2021-11-02 06:37:24,2021-11-02 06:37:30,Puttering_Around,annotator,PA TYPE,2021-11-02 00:01:34,2021-11-02 00:01:40
2021-11-02 06:37:30,2021-11-02 06:37:37,Puttering_Around,annotator,PA TYPE,2021-11-02 00:01:40,2021-11-02 00:01:47
2021-11-02 06:37:37,2021-11-02 06:37:39,Puttering_Around,annotator,PA TYPE,2021-11-02 00:01:47,2021-11-02 00:01:49
2021-11-02 06:37:39,2021-11-02 06:37:44,Walking,annotator,PA TYPE,2021-11-02 00:01:49,2021-11-02 00:01:54
