START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-12-04 14:10:30,2021-12-04 14:11:26,In_Position_Upright,Expert,POSTURE,2021-12-04 00:00:37,2021-12-04 00:01:33
2021-12-04 14:11:27,2021-12-04 14:12:19,In_Position_Upright,Expert,POSTURE,2021-12-04 00:01:34,2021-12-04 00:02:26
2021-12-04 14:12:19,2021-12-04 14:12:35,In_Position_Upright,Expert,POSTURE,2021-12-04 00:02:26,2021-12-04 00:02:42
2021-12-04 14:12:48,2021-12-04 14:13:04,Posture_Other),Expert,POSTURE,2021-12-04 00:02:55,2021-12-04 00:03:11
2021-12-04 14:13:06,2021-12-04 14:13:47,In_Position_Upright,Expert,POSTURE,2021-12-04 00:03:13,2021-12-04 00:03:54
2021-12-04 14:13:48,2021-12-04 14:31:03,In_Position_Upright,Expert,POSTURE,2021-12-04 00:03:55,2021-12-04 00:21:10
2021-12-04 14:31:04,2021-12-04 14:31:59,In_Position_Upright,Expert,POSTURE,2021-12-04 00:21:11,2021-12-04 00:22:06
2021-12-04 14:32:00,2021-12-04 14:32:11,In_Position_Sitting,Expert,POSTURE,2021-12-04 00:22:07,2021-12-04 00:22:18
2021-12-04 14:32:13,2021-12-04 14:32:36,In_Position_Sitting,Expert,POSTURE,2021-12-04 00:22:20,2021-12-04 00:22:43
2021-12-04 14:32:37,2021-12-04 14:34:40,In_Position_Sitting,Expert,POSTURE,2021-12-04 00:22:44,2021-12-04 00:24:47
2021-12-04 14:34:44,2021-12-04 14:34:56,In_Position_Upright,Expert,POSTURE,2021-12-04 00:24:51,2021-12-04 00:25:03
2021-12-04 14:34:57,2021-12-04 14:44:20,In_Position_Upright,Expert,POSTURE,2021-12-04 00:25:04,2021-12-04 00:34:27
2021-12-04 14:44:20,2021-12-04 14:44:46,In_Position_Upright,Expert,POSTURE,2021-12-04 00:34:27,2021-12-04 00:34:53
2021-12-04 14:44:46,2021-12-04 14:47:06,In_Position_Upright,Expert,POSTURE,2021-12-04 00:34:53,2021-12-04 00:37:13
2021-12-04 14:48:09,2021-12-04 14:48:14,In_Position_Upright,Expert,POSTURE,2021-12-04 00:38:16,2021-12-04 00:38:21
2021-12-04 14:48:14,2021-12-04 14:48:27,In_Position_Upright,Expert,POSTURE,2021-12-04 00:38:21,2021-12-04 00:38:34
2021-12-04 14:48:27,2021-12-04 14:49:15,In_Position_Upright,Expert,POSTURE,2021-12-04 00:38:34,2021-12-04 00:39:22
2021-12-04 14:49:15,2021-12-04 14:50:19,In_Position_Upright,Expert,POSTURE,2021-12-04 00:39:22,2021-12-04 00:40:26
2021-12-04 14:50:22,2021-12-04 14:50:30,In_Position_Upright,Expert,POSTURE,2021-12-04 00:40:29,2021-12-04 00:40:37
2021-12-04 14:50:30,2021-12-04 14:50:54,In_Position_Upright,Expert,POSTURE,2021-12-04 00:40:37,2021-12-04 00:41:01
2021-12-04 14:50:59,2021-12-04 14:51:50,Posture_Too_Complex,Expert,POSTURE,2021-12-04 00:41:06,2021-12-04 00:41:57
2021-12-04 14:52:13,2021-12-04 14:52:36,In_Position_Upright,Expert,POSTURE,2021-12-04 00:42:20,2021-12-04 00:42:43
2021-12-04 14:52:45,2021-12-04 14:54:14,In_Position_Sitting,Expert,POSTURE,2021-12-04 00:42:52,2021-12-04 00:44:21
2021-12-04 14:54:15,2021-12-04 14:54:40,In_Position_Upright,Expert,POSTURE,2021-12-04 00:44:22,2021-12-04 00:44:47
2021-12-04 14:54:42,2021-12-04 15:39:11,In_Position_Sitting,Expert,POSTURE,2021-12-04 00:44:49,2021-12-04 01:29:18
2021-12-04 15:39:12,2021-12-04 15:40:03,In_Position_Upright,Expert,POSTURE,2021-12-04 01:29:19,2021-12-04 01:30:10
