START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-12-08 10:14:06,2021-12-08 10:22:33,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE,2021-12-08 00:00:35,2021-12-08 00:09:02
2021-12-08 10:22:39,2021-12-08 10:23:39,In_Position_Upright,Expert,POSTURE,2021-12-08 00:09:08,2021-12-08 00:10:08
2021-12-08 10:23:41,2021-12-08 10:24:34,In_Position_Upright,Expert,POSTURE,2021-12-08 00:10:10,2021-12-08 00:11:03
2021-12-08 10:24:35,2021-12-08 10:24:57,In_Position_Upright,Expert,POSTURE,2021-12-08 00:11:04,2021-12-08 00:11:26
2021-12-08 10:25:03,2021-12-08 10:25:21,In_Position_Upright,Expert,POSTURE,2021-12-08 00:11:32,2021-12-08 00:11:50
2021-12-08 10:25:23,2021-12-08 10:25:35,In_Position_Upright,Expert,POSTURE,2021-12-08 00:11:52,2021-12-08 00:12:04
2021-12-08 10:25:48,2021-12-08 10:26:22,In_Position_Upright,Expert,POSTURE,2021-12-08 00:12:17,2021-12-08 00:12:51
2021-12-08 10:26:31,2021-12-08 10:27:25,In_Position_Upright,Expert,POSTURE,2021-12-08 00:13:00,2021-12-08 00:13:54
2021-12-08 10:27:31,2021-12-08 10:28:06,In_Position_Upright,Expert,POSTURE,2021-12-08 00:14:00,2021-12-08 00:14:35
2021-12-08 10:28:29,2021-12-08 10:29:33,In_Position_Sitting,Expert,POSTURE,2021-12-08 00:14:58,2021-12-08 00:16:02
2021-12-08 10:29:35,2021-12-08 10:29:57,In_Position_Sitting,Expert,POSTURE,2021-12-08 00:16:04,2021-12-08 00:16:26
2021-12-08 10:30:01,2021-12-08 10:30:19,In_Position_Sitting,Expert,POSTURE,2021-12-08 00:16:30,2021-12-08 00:16:48
2021-12-08 10:30:31,2021-12-08 10:30:53,In_Position_Upright,Expert,POSTURE,2021-12-08 00:17:00,2021-12-08 00:17:22
2021-12-08 10:30:55,2021-12-08 10:31:30,In_Position_Upright,Expert,POSTURE,2021-12-08 00:17:24,2021-12-08 00:17:59
2021-12-08 10:31:33,2021-12-08 10:32:07,In_Position_Upright,Expert,POSTURE,2021-12-08 00:18:02,2021-12-08 00:18:36
2021-12-08 10:32:20,2021-12-08 10:33:00,In_Position_Upright,Expert,POSTURE,2021-12-08 00:18:49,2021-12-08 00:19:29
