START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-12-10 11:54:22,2021-12-10 11:54:28,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:00:05,2021-12-10 00:00:11
2021-12-10 11:54:36,2021-12-10 11:57:18,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:00:19,2021-12-10 00:03:01
2021-12-10 11:57:51,2021-12-10 11:57:59,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:03:34,2021-12-10 00:03:42
2021-12-10 11:58:03,2021-12-10 11:58:43,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:03:46,2021-12-10 00:04:26
2021-12-10 11:58:50,2021-12-10 11:59:20,"Located_Indoors,Handwriting",Expert,Behavioral Parameters,2021-12-10 00:04:33,2021-12-10 00:05:03
2021-12-10 11:59:48,2021-12-10 12:00:16,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:05:31,2021-12-10 00:05:59
2021-12-10 12:00:23,2021-12-10 12:00:53,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:06:06,2021-12-10 00:06:36
2021-12-10 12:00:57,2021-12-10 12:02:23,"Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2021-12-10 00:06:40,2021-12-10 00:08:06
2021-12-10 12:02:33,2021-12-10 12:03:06,"Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2021-12-10 00:08:16,2021-12-10 00:08:49
2021-12-10 12:03:29,2021-12-10 12:04:09,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:09:12,2021-12-10 00:09:52
2021-12-10 12:04:11,2021-12-10 12:04:35,Located_Outdoors,Expert,Behavioral Parameters,2021-12-10 00:09:54,2021-12-10 00:10:18
2021-12-10 12:04:42,2021-12-10 12:06:06,Located_Outdoors,Expert,Behavioral Parameters,2021-12-10 00:10:25,2021-12-10 00:11:49
2021-12-10 12:06:09,2021-12-10 12:06:16,Located_Outdoors,Expert,Behavioral Parameters,2021-12-10 00:11:52,2021-12-10 00:11:59
2021-12-10 12:06:17,2021-12-10 12:06:30,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:12:00,2021-12-10 00:12:13
2021-12-10 12:06:57,2021-12-10 12:07:15,Located_Indoors,Expert,Behavioral Parameters,2021-12-10 00:12:40,2021-12-10 00:12:58
2021-12-10 12:07:20,2021-12-10 12:07:56,"Located_Indoors,Holding_Drink",Expert,Behavioral Parameters,2021-12-10 00:13:03,2021-12-10 00:13:39
2021-12-10 12:08:00,2021-12-10 12:08:18,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2021-12-10 00:13:43,2021-12-10 00:14:01
2021-12-10 12:08:24,2021-12-10 12:08:31,"Located_Outdoors,Holding_Drink",Expert,Behavioral Parameters,2021-12-10 00:14:07,2021-12-10 00:14:14
2021-12-10 12:08:39,2021-12-10 12:13:12,Located_Outdoors,Expert,Behavioral Parameters,2021-12-10 00:14:22,2021-12-10 00:18:55
2021-12-10 12:13:18,2021-12-10 12:13:47,"Located_Outdoors,Holding_Drink",Expert,Behavioral Parameters,2021-12-10 00:19:01,2021-12-10 00:19:30
2021-12-10 12:13:52,2021-12-10 12:16:38,"Located_Outdoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2021-12-10 00:19:35,2021-12-10 00:22:21
2021-12-10 12:16:45,2021-12-10 12:17:34,"Located_Outdoors,Holding_Drink",Expert,Behavioral Parameters,2021-12-10 00:22:28,2021-12-10 00:23:17
