START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-12-19 21:23:45,2021-12-19 21:25:30,In_Position_Upright,Expert,POSTURE,2021-12-19 02:05:59,2021-12-19 02:07:44
2021-12-19 21:25:35,2021-12-19 21:26:57,In_Position_Sitting,Expert,POSTURE,2021-12-19 02:07:49,2021-12-19 02:09:11
2021-12-19 21:27:29,2021-12-19 21:31:15,In_Position_Sitting,Expert,POSTURE,2021-12-19 02:09:43,2021-12-19 02:13:29
2021-12-19 21:31:17,2021-12-19 21:33:20,In_Position_Upright,Expert,POSTURE,2021-12-19 02:13:31,2021-12-19 02:15:34
2021-12-19 21:33:58,2021-12-19 21:34:51,In_Position_Upright,Expert,POSTURE,2021-12-19 02:16:12,2021-12-19 02:17:05
2021-12-19 21:34:55,2021-12-19 21:36:32,In_Position_Sitting,Expert,POSTURE,2021-12-19 02:17:09,2021-12-19 02:18:46
2021-12-19 21:36:34,2021-12-19 21:36:51,In_Position_Upright,Expert,POSTURE,2021-12-19 02:18:48,2021-12-19 02:19:05
2021-12-19 21:36:53,2021-12-19 21:42:43,In_Position_Sitting,Expert,POSTURE,2021-12-19 02:19:07,2021-12-19 02:24:57
2021-12-19 21:42:47,2021-12-19 21:43:08,In_Position_Upright,Expert,POSTURE,2021-12-19 02:25:01,2021-12-19 02:25:22
2021-12-19 21:43:11,2021-12-19 21:44:59,In_Position_Upright,Expert,POSTURE,2021-12-19 02:25:25,2021-12-19 02:27:13
2021-12-19 21:45:02,2021-12-19 22:09:04,In_Position_Sitting,Expert,POSTURE,2021-12-19 02:27:16,2021-12-19 02:51:18
2021-12-19 22:09:07,2021-12-19 22:13:50,In_Position_Sitting,Expert,POSTURE,2021-12-19 02:51:21,2021-12-19 02:56:04
2021-12-19 22:13:58,2021-12-19 22:17:06,In_Position_Sitting,Expert,POSTURE,2021-12-19 02:56:12,2021-12-19 02:59:20
2021-12-19 22:17:49,2021-12-19 22:18:29,In_Position_Upright,Expert,POSTURE,2021-12-19 03:00:03,2021-12-19 03:00:43
2021-12-19 22:20:50,2021-12-19 22:28:30,In_Position_Upright,Expert,POSTURE,2021-12-19 03:03:04,2021-12-19 03:10:44
2021-12-19 22:28:34,2021-12-19 22:28:55,In_Position_Upright,Expert,POSTURE,2021-12-19 03:10:48,2021-12-19 03:11:09
2021-12-19 22:28:57,2021-12-19 22:29:15,In_Position_Upright,Expert,POSTURE,2021-12-19 03:11:11,2021-12-19 03:11:29
2021-12-19 22:29:16,2021-12-19 22:30:59,In_Position_Upright,Expert,POSTURE,2021-12-19 03:11:30,2021-12-19 03:13:13
2021-12-19 22:31:10,2021-12-19 22:35:30,In_Position_Sitting,Expert,POSTURE,2021-12-19 03:13:24,2021-12-19 03:17:44
2021-12-19 22:35:33,2021-12-19 22:35:43,In_Position_Upright,Expert,POSTURE,2021-12-19 03:17:47,2021-12-19 03:17:57
2021-12-19 22:35:45,2021-12-19 22:35:56,In_Position_Upright,Expert,POSTURE,2021-12-19 03:17:59,2021-12-19 03:18:10
2021-12-19 22:35:57,2021-12-19 22:36:14,In_Position_Upright,Expert,POSTURE,2021-12-19 03:18:11,2021-12-19 03:18:28
2021-12-19 22:36:32,2021-12-19 22:37:31,In_Position_Upright,Expert,POSTURE,2021-12-19 03:18:46,2021-12-19 03:19:45
2021-12-19 22:37:34,2021-12-19 22:37:53,In_Position_Upright,Expert,POSTURE,2021-12-19 03:19:48,2021-12-19 03:20:07
2021-12-19 22:37:59,2021-12-19 22:39:19,In_Position_Upright,Expert,POSTURE,2021-12-19 03:20:13,2021-12-19 03:21:33
2021-12-19 22:39:21,2021-12-19 22:41:39,In_Position_Upright,Expert,POSTURE,2021-12-19 03:21:35,2021-12-19 03:23:53
2021-12-19 22:41:51,2021-12-19 22:42:14,In_Position_Upright,Expert,POSTURE,2021-12-19 03:24:05,2021-12-19 03:24:28
