START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-12-23 11:04:24,2021-12-23 11:04:43,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:00:22,2021-12-23 00:00:41
2021-12-23 11:07:04,2021-12-23 11:07:13,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:03:02,2021-12-23 00:03:11
2021-12-23 11:07:15,2021-12-23 11:07:32,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:03:13,2021-12-23 00:03:30
2021-12-23 11:07:39,2021-12-23 11:07:55,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:03:37,2021-12-23 00:03:53
2021-12-23 11:07:58,2021-12-23 11:08:27,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:03:56,2021-12-23 00:04:25
2021-12-23 11:08:33,2021-12-23 11:09:02,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:04:31,2021-12-23 00:05:00
2021-12-23 11:09:11,2021-12-23 11:10:50,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:05:09,2021-12-23 00:06:48
2021-12-23 11:10:57,2021-12-23 11:11:45,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:06:55,2021-12-23 00:07:43
2021-12-23 11:11:53,2021-12-23 11:12:00,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:07:51,2021-12-23 00:07:58
2021-12-23 11:12:04,2021-12-23 11:12:33,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:08:02,2021-12-23 00:08:31
2021-12-23 11:12:34,2021-12-23 11:12:50,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:08:32,2021-12-23 00:08:48
2021-12-23 11:12:57,2021-12-23 11:15:56,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:08:55,2021-12-23 00:11:54
2021-12-23 11:16:08,2021-12-23 11:21:07,HLB_Indecipherable/Video_Insufficient,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:12:06,2021-12-23 00:17:05
2021-12-23 11:21:14,2021-12-23 11:22:07,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:17:12,2021-12-23 00:18:05
2021-12-23 11:22:12,2021-12-23 11:23:19,HLB_Other,Expert,HIGH LEVEL BEHAVIOR,2021-12-23 00:18:10,2021-12-23 00:19:17
