START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-01-17 20:00:01,2022-01-17 20:03:48,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:00:06,2022-01-17 00:03:53
2022-01-17 20:03:51,2022-01-17 20:05:23,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:03:56,2022-01-17 00:05:28
2022-01-17 20:05:30,2022-01-17 20:05:49,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:05:35,2022-01-17 00:05:54
2022-01-17 20:06:12,2022-01-17 20:17:00,,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:06:17,2022-01-17 00:17:05
2022-01-17 20:17:16,2022-01-17 20:17:27,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:17:21,2022-01-17 00:17:32
2022-01-17 20:17:31,2022-01-17 20:18:31,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:17:36,2022-01-17 00:18:36
2022-01-17 20:18:34,2022-01-17 20:18:45,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:18:39,2022-01-17 00:18:50
2022-01-17 20:18:58,2022-01-17 20:19:23,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:19:03,2022-01-17 00:19:28
2022-01-17 20:19:27,2022-01-17 20:23:57,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:19:32,2022-01-17 00:24:02
2022-01-17 20:24:02,2022-01-17 20:24:27,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:24:07,2022-01-17 00:24:32
2022-01-17 20:24:34,2022-01-17 20:26:29,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:24:39,2022-01-17 00:26:34
2022-01-17 20:26:34,2022-01-17 20:29:51,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:26:39,2022-01-17 00:29:56
2022-01-17 20:29:55,2022-01-17 20:32:37,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:30:00,2022-01-17 00:32:42
2022-01-17 20:32:42,2022-01-17 20:32:54,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:32:47,2022-01-17 00:32:59
2022-01-17 20:33:00,2022-01-17 20:34:59,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:33:05,2022-01-17 00:35:04
2022-01-17 20:35:12,2022-01-17 21:13:49,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 00:35:17,2022-01-17 01:13:54
2022-01-17 21:13:55,2022-01-17 21:14:17,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 01:14:00,2022-01-17 01:14:22
2022-01-17 21:14:33,2022-01-17 21:23:18,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 01:14:38,2022-01-17 01:23:23
2022-01-17 21:23:25,2022-01-17 21:24:37,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR,2022-01-17 01:23:30,2022-01-17 01:24:42
