START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-01-21 07:29:04,2022-01-21 07:35:28,BP_VideoUnavailable/Indecipherable,Expert,Behavioral Parameters,2022-01-21 00:00:19,2022-01-21 00:06:43
2022-01-21 07:35:44,2022-01-21 07:36:22,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:06:59,2022-01-21 00:07:37
2022-01-21 07:36:25,2022-01-21 07:36:56,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:07:40,2022-01-21 00:08:11
2022-01-21 07:36:56,2022-01-21 07:37:03,"Located_Indoors,Holding_Drink",Expert,Behavioral Parameters,2022-01-21 00:08:11,2022-01-21 00:08:18
2022-01-21 07:37:03,2022-01-21 07:37:10,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:08:18,2022-01-21 00:08:25
2022-01-21 07:37:11,2022-01-21 07:37:47,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:08:26,2022-01-21 00:09:02
2022-01-21 07:37:48,2022-01-21 07:44:27,BP_VideoUnavailable/Indecipherable,Expert,Behavioral Parameters,2022-01-21 00:09:03,2022-01-21 00:15:42
2022-01-21 07:44:33,2022-01-21 07:44:37,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:15:48,2022-01-21 00:15:52
2022-01-21 07:44:42,2022-01-21 07:45:10,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:15:57,2022-01-21 00:16:25
2022-01-21 07:45:13,2022-01-21 07:45:30,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 00:16:28,2022-01-21 00:16:45
2022-01-21 07:45:31,2022-01-21 07:46:05,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 00:16:46,2022-01-21 00:17:20
2022-01-21 07:46:07,2022-01-21 07:46:22,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-01-21 00:17:22,2022-01-21 00:17:37
2022-01-21 07:46:23,2022-01-21 07:46:47,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-01-21 00:17:38,2022-01-21 00:18:02
2022-01-21 07:46:52,2022-01-21 07:52:05,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-01-21 00:18:07,2022-01-21 00:23:20
2022-01-21 07:52:09,2022-01-21 07:52:30,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 00:23:24,2022-01-21 00:23:45
2022-01-21 07:52:32,2022-01-21 07:52:49,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 00:23:47,2022-01-21 00:24:04
2022-01-21 07:52:51,2022-01-21 07:53:18,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 00:24:06,2022-01-21 00:24:33
2022-01-21 07:53:21,2022-01-21 07:53:37,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 00:24:36,2022-01-21 00:24:52
2022-01-21 07:53:39,2022-01-21 07:53:44,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 00:24:54,2022-01-21 00:24:59
2022-01-21 07:53:45,2022-01-21 07:53:50,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 00:25:00,2022-01-21 00:25:05
2022-01-21 07:53:52,2022-01-21 07:54:20,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 00:25:07,2022-01-21 00:25:35
2022-01-21 07:54:50,2022-01-21 07:55:17,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:26:05,2022-01-21 00:26:32
2022-01-21 07:55:23,2022-01-21 07:58:22,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:26:38,2022-01-21 00:29:37
2022-01-21 07:58:26,2022-01-21 08:00:04,"Located_Indoors,Typing_Computer",Expert,Behavioral Parameters,2022-01-21 00:29:41,2022-01-21 00:31:19
2022-01-21 08:00:09,2022-01-21 08:30:05,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 00:31:24,2022-01-21 01:01:20
2022-01-21 08:30:11,2022-01-21 08:37:38,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 01:01:26,2022-01-21 01:08:53
2022-01-21 08:37:42,2022-01-21 08:38:08,"Located_Indoors,Typing_Computer",Expert,Behavioral Parameters,2022-01-21 01:08:57,2022-01-21 01:09:23
2022-01-21 08:38:12,2022-01-21 08:47:10,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 01:09:27,2022-01-21 01:18:25
2022-01-21 08:47:13,2022-01-21 08:47:21,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-01-21 01:18:28,2022-01-21 01:18:36
2022-01-21 08:47:22,2022-01-21 08:49:39,"Located_Indoors,Holding_Other_Object_Light,In_Conversation",Expert,Behavioral Parameters,2022-01-21 01:18:37,2022-01-21 01:20:54
2022-01-21 08:49:43,2022-01-21 08:49:50,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-01-21 01:20:58,2022-01-21 01:21:05
2022-01-21 08:50:02,2022-01-21 09:07:22,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 01:21:17,2022-01-21 01:38:37
2022-01-21 09:07:34,2022-01-21 09:19:41,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 01:38:49,2022-01-21 01:50:56
2022-01-21 09:19:45,2022-01-21 09:20:09,"Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-01-21 01:51:00,2022-01-21 01:51:24
2022-01-21 09:20:14,2022-01-21 09:24:53,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 01:51:29,2022-01-21 01:56:08
2022-01-21 09:24:58,2022-01-21 09:25:43,"Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-01-21 01:56:13,2022-01-21 01:56:58
2022-01-21 09:25:45,2022-01-21 09:32:39,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 01:57:00,2022-01-21 02:03:54
2022-01-21 09:32:40,2022-01-21 09:33:00,"Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-01-21 02:03:55,2022-01-21 02:04:15
2022-01-21 09:33:06,2022-01-21 09:36:10,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 02:04:21,2022-01-21 02:07:25
2022-01-21 09:36:46,2022-01-21 09:37:00,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 02:08:01,2022-01-21 02:08:15
2022-01-21 09:37:00,2022-01-21 09:38:17,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:08:15,2022-01-21 02:09:32
2022-01-21 09:38:19,2022-01-21 09:38:30,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:09:34,2022-01-21 02:09:45
2022-01-21 09:38:31,2022-01-21 09:39:26,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:09:46,2022-01-21 02:10:41
2022-01-21 09:39:27,2022-01-21 09:39:53,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:10:42,2022-01-21 02:11:08
2022-01-21 09:39:56,2022-01-21 09:40:17,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:11:11,2022-01-21 02:11:32
2022-01-21 09:40:20,2022-01-21 09:40:49,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-01-21 02:11:35,2022-01-21 02:12:04
2022-01-21 09:40:53,2022-01-21 09:41:04,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:12:08,2022-01-21 02:12:19
2022-01-21 09:41:07,2022-01-21 09:41:28,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:12:22,2022-01-21 02:12:43
2022-01-21 09:41:39,2022-01-21 09:42:34,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-01-21 02:12:54,2022-01-21 02:13:49
2022-01-21 09:42:47,2022-01-21 09:43:48,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:14:02,2022-01-21 02:15:03
2022-01-21 09:43:51,2022-01-21 09:44:15,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-01-21 02:15:06,2022-01-21 02:15:30
2022-01-21 09:44:19,2022-01-21 09:44:36,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:15:34,2022-01-21 02:15:51
2022-01-21 09:44:38,2022-01-21 09:44:59,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-01-21 02:15:53,2022-01-21 02:16:14
2022-01-21 09:45:02,2022-01-21 09:46:06,"Located_Indoors,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-01-21 02:16:17,2022-01-21 02:17:21
2022-01-21 09:46:11,2022-01-21 09:46:47,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-01-21 02:17:26,2022-01-21 02:18:02
2022-01-21 09:46:48,2022-01-21 09:47:06,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-01-21 02:18:03,2022-01-21 02:18:21
2022-01-21 09:47:07,2022-01-21 09:47:21,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-01-21 02:18:22,2022-01-21 02:18:36
2022-01-21 09:47:22,2022-01-21 09:47:33,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-01-21 02:18:37,2022-01-21 02:18:48
2022-01-21 09:47:37,2022-01-21 09:50:10,"Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-01-21 02:18:52,2022-01-21 02:21:25
2022-01-21 09:50:25,2022-01-21 09:50:39,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 02:21:40,2022-01-21 02:21:54
2022-01-21 09:50:42,2022-01-21 09:51:15,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 02:21:57,2022-01-21 02:22:30
2022-01-21 09:51:17,2022-01-21 09:51:49,"Carrying_Bag_On_Shoulder/Back_Light,Located_Indoors",Expert,Behavioral Parameters,2022-01-21 02:22:32,2022-01-21 02:23:04
2022-01-21 09:51:58,2022-01-21 09:52:15,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 02:23:13,2022-01-21 02:23:30
2022-01-21 09:52:39,2022-01-21 09:53:16,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 02:23:54,2022-01-21 02:24:31
2022-01-21 09:53:18,2022-01-21 09:53:24,"Located_Indoors,Holding_Drink",Expert,Behavioral Parameters,2022-01-21 02:24:33,2022-01-21 02:24:39
2022-01-21 09:53:26,2022-01-21 09:53:43,"Located_Indoors,Holding_Drink",Expert,Behavioral Parameters,2022-01-21 02:24:41,2022-01-21 02:24:58
2022-01-21 09:53:46,2022-01-21 09:53:55,Located_Indoors,Expert,Behavioral Parameters,2022-01-21 02:25:01,2022-01-21 02:25:10
2022-01-21 09:54:01,2022-01-21 09:54:22,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-01-21 02:25:16,2022-01-21 02:25:37
2022-01-21 09:54:24,2022-01-21 09:56:43,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-01-21 02:25:39,2022-01-21 02:27:58
