START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-01-22 12:59:27,2022-01-22 13:16:07,Sitting_With_Movement,annotator,PA TYPE,2022-01-22 01:15:50,2022-01-22 01:32:30
2022-01-22 13:16:14,2022-01-22 13:18:38,Sitting_With_Movement,annotator,PA TYPE,2022-01-22 01:32:37,2022-01-22 01:35:01
2022-01-22 13:18:42,2022-01-22 13:20:31,Puttering_Around,annotator,PA TYPE,2022-01-22 01:35:05,2022-01-22 01:36:54
2022-01-22 13:20:39,2022-01-22 13:28:39,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-01-22 01:37:02,2022-01-22 01:45:02
2022-01-22 13:28:56,2022-01-22 13:29:42,Puttering_Around,annotator,PA TYPE,2022-01-22 01:45:19,2022-01-22 01:46:05
2022-01-22 13:29:56,2022-01-22 13:30:22,Walking_Down_Stairs,annotator,PA TYPE,2022-01-22 01:46:19,2022-01-22 01:46:45
2022-01-22 13:30:30,2022-01-22 13:37:17,Walking,annotator,PA TYPE,2022-01-22 01:46:53,2022-01-22 01:53:40
2022-01-22 13:37:20,2022-01-22 13:38:02,Puttering_Around,annotator,PA TYPE,2022-01-22 01:53:43,2022-01-22 01:54:25
2022-01-22 13:38:15,2022-01-22 13:39:15,Standing_With_Movement,annotator,PA TYPE,2022-01-22 01:54:38,2022-01-22 01:55:38
2022-01-22 13:39:26,2022-01-22 13:40:38,Walking,annotator,PA TYPE,2022-01-22 01:55:49,2022-01-22 01:57:01
2022-01-22 13:40:48,2022-01-22 13:42:09,Puttering_Around,annotator,PA TYPE,2022-01-22 01:57:11,2022-01-22 01:58:32
2022-01-22 13:42:36,2022-01-22 13:44:44,Puttering_Around,annotator,PA TYPE,2022-01-22 01:58:59,2022-01-22 02:01:07
2022-01-22 13:44:58,2022-01-22 13:46:27,Puttering_Around,annotator,PA TYPE,2022-01-22 02:01:21,2022-01-22 02:02:50
2022-01-22 13:46:41,2022-01-22 13:46:47,Walking,annotator,PA TYPE,2022-01-22 02:03:04,2022-01-22 02:03:10
2022-01-22 13:46:51,2022-01-22 13:47:37,Walking,annotator,PA TYPE,2022-01-22 02:03:14,2022-01-22 02:04:00
2022-01-22 13:47:41,2022-01-22 13:48:09,Standing_With_Movement,annotator,PA TYPE,2022-01-22 02:04:04,2022-01-22 02:04:32
2022-01-22 13:48:14,2022-01-22 13:49:36,Walking,annotator,PA TYPE,2022-01-22 02:04:37,2022-01-22 02:05:59
2022-01-22 13:49:40,2022-01-22 13:50:22,Standing_With_Movement,annotator,PA TYPE,2022-01-22 02:06:03,2022-01-22 02:06:45
2022-01-22 13:50:25,2022-01-22 13:55:10,Walking,annotator,PA TYPE,2022-01-22 02:06:48,2022-01-22 02:11:33
2022-01-22 13:55:17,2022-01-22 13:56:15,Standing_With_Movement,annotator,PA TYPE,2022-01-22 02:11:40,2022-01-22 02:12:38
2022-01-22 13:56:31,2022-01-22 13:56:40,Walking,annotator,PA TYPE,2022-01-22 02:12:54,2022-01-22 02:13:03
2022-01-22 13:56:55,2022-01-22 13:57:27,Walking_Up_Stairs,annotator,PA TYPE,2022-01-22 02:13:18,2022-01-22 02:13:50
2022-01-22 13:57:33,2022-01-22 13:58:15,Puttering_Around,annotator,PA TYPE,2022-01-22 02:13:56,2022-01-22 02:14:38
2022-01-22 13:58:16,2022-01-22 13:58:26,Standing_With_Movement,annotator,PA TYPE,2022-01-22 02:14:39,2022-01-22 02:14:49
2022-01-22 13:58:31,2022-01-22 13:59:31,Puttering_Around,annotator,PA TYPE,2022-01-22 02:14:54,2022-01-22 02:15:54
2022-01-22 13:59:55,2022-01-22 14:00:40,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-01-22 02:16:18,2022-01-22 02:17:03
2022-01-22 14:00:53,2022-01-22 14:01:29,Puttering_Around,annotator,PA TYPE,2022-01-22 02:17:16,2022-01-22 02:17:52
2022-01-22 14:01:34,2022-01-22 14:04:54,Sitting_With_Movement,annotator,PA TYPE,2022-01-22 02:17:57,2022-01-22 02:21:17
2022-01-22 14:04:59,2022-01-22 14:06:06,Puttering_Around,annotator,PA TYPE,2022-01-22 02:21:22,2022-01-22 02:22:29
2022-01-22 14:06:06,2022-01-22 14:06:38,Walking_Down_Stairs,annotator,PA TYPE,2022-01-22 02:22:29,2022-01-22 02:23:01
2022-01-22 14:06:41,2022-01-22 14:13:31,Walking,annotator,PA TYPE,2022-01-22 02:23:04,2022-01-22 02:29:54
2022-01-22 14:13:44,2022-01-22 14:14:00,Standing_With_Movement,annotator,PA TYPE,2022-01-22 02:30:07,2022-01-22 02:30:23
2022-01-22 14:14:01,2022-01-22 14:15:00,Walking,annotator,PA TYPE,2022-01-22 02:30:24,2022-01-22 02:31:23
2022-01-22 14:15:12,2022-01-22 15:15:02,Sitting_With_Movement,annotator,PA TYPE,2022-01-22 02:31:35,2022-01-22 03:31:25
2022-01-22 15:15:08,2022-01-22 15:15:26,Standing_With_Movement,annotator,PA TYPE,2022-01-22 03:31:31,2022-01-22 03:31:49
2022-01-22 15:15:27,2022-01-22 15:16:24,Walking,annotator,PA TYPE,2022-01-22 03:31:50,2022-01-22 03:32:47
2022-01-22 15:16:29,2022-01-22 15:18:19,Puttering_Around,annotator,PA TYPE,2022-01-22 03:32:52,2022-01-22 03:34:42
2022-01-22 15:18:19,2022-01-22 15:19:28,Standing_With_Movement,annotator,PA TYPE,2022-01-22 03:34:42,2022-01-22 03:35:51
2022-01-22 15:19:35,2022-01-22 15:21:05,Standing_With_Movement,annotator,PA TYPE,2022-01-22 03:35:58,2022-01-22 03:37:28
2022-01-22 15:21:09,2022-01-22 15:22:13,Standing_With_Movement,annotator,PA TYPE,2022-01-22 03:37:32,2022-01-22 03:38:36
2022-01-22 15:22:19,2022-01-22 15:26:21,Puttering_Around,annotator,PA TYPE,2022-01-22 03:38:42,2022-01-22 03:42:44
2022-01-22 15:26:26,2022-01-22 15:47:12,Sitting_With_Movement,annotator,PA TYPE,2022-01-22 03:42:49,2022-01-22 04:03:35
2022-01-22 15:47:16,2022-01-22 15:47:37,Puttering_Around,annotator,PA TYPE,2022-01-22 04:03:39,2022-01-22 04:04:00
2022-01-22 15:47:45,2022-01-22 17:07:10,Sitting_With_Movement,annotator,PA TYPE,2022-01-22 04:04:08,2022-01-22 05:23:33
