START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-02 13:18:35,2022-02-02 13:26:39,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:00:10,2022-02-02 00:08:14
2022-02-02 13:26:39,2022-02-02 13:27:01,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:08:14,2022-02-02 00:08:36
2022-02-02 13:27:01,2022-02-02 13:27:19,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:08:36,2022-02-02 00:08:54
2022-02-02 13:27:19,2022-02-02 13:28:02,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:08:54,2022-02-02 00:09:37
2022-02-02 13:28:02,2022-02-02 13:29:01,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:09:37,2022-02-02 00:10:36
2022-02-02 13:29:01,2022-02-02 13:29:25,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:10:36,2022-02-02 00:11:00
2022-02-02 13:29:29,2022-02-02 13:30:03,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:11:04,2022-02-02 00:11:38
2022-02-02 13:30:03,2022-02-02 13:30:25,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:11:38,2022-02-02 00:12:00
2022-02-02 13:30:25,2022-02-02 13:30:41,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:12:00,2022-02-02 00:12:16
2022-02-02 13:30:43,2022-02-02 13:30:51,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:12:18,2022-02-02 00:12:26
2022-02-02 13:30:51,2022-02-02 13:31:07,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:12:26,2022-02-02 00:12:42
2022-02-02 13:31:07,2022-02-02 13:31:15,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:12:42,2022-02-02 00:12:50
2022-02-02 13:31:15,2022-02-02 13:31:34,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:12:50,2022-02-02 00:13:09
2022-02-02 13:31:35,2022-02-02 13:36:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:13:10,2022-02-02 00:17:58
2022-02-02 13:36:23,2022-02-02 13:36:31,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:17:58,2022-02-02 00:18:06
2022-02-02 13:36:31,2022-02-02 13:36:46,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:18:06,2022-02-02 00:18:21
2022-02-02 13:36:47,2022-02-02 13:37:41,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:18:22,2022-02-02 00:19:16
2022-02-02 13:37:45,2022-02-02 13:38:27,Working_Other,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:19:20,2022-02-02 00:20:02
2022-02-02 13:38:27,2022-02-02 14:04:20,Working_Other, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-02 00:20:02,2022-02-02 00:45:55
