START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-07 11:52:08,2022-02-07 11:52:15,Walking,annotator,PA TYPE,2022-02-07 01:54:56,2022-02-07 01:55:03
2022-02-07 11:52:15,2022-02-07 11:52:42,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 01:55:03,2022-02-07 01:55:30
2022-02-07 11:52:42,2022-02-07 11:52:51,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 01:55:30,2022-02-07 01:55:39
2022-02-07 11:52:51,2022-02-07 11:53:21,Walking,annotator,PA TYPE,2022-02-07 01:55:39,2022-02-07 01:56:09
2022-02-07 11:53:21,2022-02-07 11:53:27,Walking_Down_Stairs,annotator,PA TYPE,2022-02-07 01:56:09,2022-02-07 01:56:15
2022-02-07 11:53:27,2022-02-07 11:53:46,Walking,annotator,PA TYPE,2022-02-07 01:56:15,2022-02-07 01:56:34
2022-02-07 11:53:52,2022-02-07 11:59:16,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 01:56:40,2022-02-07 02:02:04
2022-02-07 11:59:16,2022-02-07 11:59:28,Puttering_Around,annotator,PA TYPE,2022-02-07 02:02:04,2022-02-07 02:02:16
2022-02-07 11:59:28,2022-02-07 12:00:01,Standing_With_Movement,annotator,PA TYPE,2022-02-07 02:02:16,2022-02-07 02:02:49
2022-02-07 12:00:01,2022-02-07 12:00:08,Washing_Hands,annotator,PA TYPE,2022-02-07 02:02:49,2022-02-07 02:02:56
2022-02-07 12:00:16,2022-02-07 12:01:02,Standing_With_Movement,annotator,PA TYPE,2022-02-07 02:03:04,2022-02-07 02:03:50
2022-02-07 12:01:03,2022-02-07 12:04:53,Standing_With_Movement,annotator,PA TYPE,2022-02-07 02:03:51,2022-02-07 02:07:41
2022-02-07 12:04:53,2022-02-07 12:05:09,Walking,annotator,PA TYPE,2022-02-07 02:07:41,2022-02-07 02:07:57
2022-02-07 12:05:09,2022-02-07 12:06:54,Standing_With_Movement,annotator,PA TYPE,2022-02-07 02:07:57,2022-02-07 02:09:42
2022-02-07 12:07:00,2022-02-07 12:07:11,Walking_Up_Stairs,annotator,PA TYPE,2022-02-07 02:09:48,2022-02-07 02:09:59
2022-02-07 12:07:11,2022-02-07 12:07:18,Walking,annotator,PA TYPE,2022-02-07 02:09:59,2022-02-07 02:10:06
2022-02-07 12:07:18,2022-02-07 12:07:24,Standing_With_Movement,annotator,PA TYPE,2022-02-07 02:10:06,2022-02-07 02:10:12
2022-02-07 12:07:25,2022-02-07 12:08:00,Walking,annotator,PA TYPE,2022-02-07 02:10:13,2022-02-07 02:10:48
2022-02-07 12:08:00,2022-02-07 12:11:21,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 02:10:48,2022-02-07 02:14:09
2022-02-07 12:11:21,2022-02-07 12:16:22,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 02:14:09,2022-02-07 02:19:10
2022-02-07 12:16:26,2022-02-07 12:33:04,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 02:19:14,2022-02-07 02:35:52
2022-02-07 12:33:04,2022-02-07 12:41:31,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 02:35:52,2022-02-07 02:44:19
2022-02-07 12:41:31,2022-02-07 12:43:42,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 02:44:19,2022-02-07 02:46:30
2022-02-07 12:43:48,2022-02-07 13:26:03,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 02:46:36,2022-02-07 03:28:51
2022-02-07 13:26:04,2022-02-07 13:26:11,Walking,annotator,PA TYPE,2022-02-07 03:28:52,2022-02-07 03:28:59
2022-02-07 13:26:11,2022-02-07 13:27:12,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:28:59,2022-02-07 03:30:00
2022-02-07 13:27:28,2022-02-07 13:28:26,Walking,annotator,PA TYPE,2022-02-07 03:30:16,2022-02-07 03:31:14
2022-02-07 13:28:26,2022-02-07 13:29:24,Walking_Down_Stairs,annotator,PA TYPE,2022-02-07 03:31:14,2022-02-07 03:32:12
2022-02-07 13:29:24,2022-02-07 13:29:59,Walking,annotator,PA TYPE,2022-02-07 03:32:12,2022-02-07 03:32:47
2022-02-07 13:29:59,2022-02-07 13:30:03,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:32:47,2022-02-07 03:32:51
2022-02-07 13:30:03,2022-02-07 13:30:52,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:32:51,2022-02-07 03:33:40
2022-02-07 13:30:53,2022-02-07 13:30:57,Walking,annotator,PA TYPE,2022-02-07 03:33:41,2022-02-07 03:33:45
2022-02-07 13:30:57,2022-02-07 13:31:17,Walking,annotator,PA TYPE,2022-02-07 03:33:45,2022-02-07 03:34:05
2022-02-07 13:31:17,2022-02-07 13:36:04,Walking,annotator,PA TYPE,2022-02-07 03:34:05,2022-02-07 03:38:52
2022-02-07 13:36:07,2022-02-07 13:39:00,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 03:38:55,2022-02-07 03:41:48
2022-02-07 13:39:00,2022-02-07 13:43:06,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 03:41:48,2022-02-07 03:45:54
2022-02-07 13:43:06,2022-02-07 13:44:57,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 03:45:54,2022-02-07 03:47:45
2022-02-07 13:44:57,2022-02-07 13:45:15,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:47:45,2022-02-07 03:48:03
2022-02-07 13:45:15,2022-02-07 13:46:30,Walking,annotator,PA TYPE,2022-02-07 03:48:03,2022-02-07 03:49:18
2022-02-07 13:46:30,2022-02-07 13:46:51,Walking,annotator,PA TYPE,2022-02-07 03:49:18,2022-02-07 03:49:39
2022-02-07 13:46:51,2022-02-07 13:50:23,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:49:39,2022-02-07 03:53:11
2022-02-07 13:50:23,2022-02-07 13:50:53,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:53:11,2022-02-07 03:53:41
2022-02-07 13:50:53,2022-02-07 13:52:01,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:53:41,2022-02-07 03:54:49
2022-02-07 13:52:07,2022-02-07 13:52:58,Standing_With_Movement,annotator,PA TYPE,2022-02-07 03:54:55,2022-02-07 03:55:46
2022-02-07 13:52:58,2022-02-07 13:53:04,Walking,annotator,PA TYPE,2022-02-07 03:55:46,2022-02-07 03:55:52
2022-02-07 13:53:04,2022-02-07 13:53:54,Walking,annotator,PA TYPE,2022-02-07 03:55:52,2022-02-07 03:56:42
2022-02-07 13:53:54,2022-02-07 13:54:59,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 03:56:42,2022-02-07 03:57:47
2022-02-07 13:54:59,2022-02-07 13:55:23,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 03:57:47,2022-02-07 03:58:11
2022-02-07 13:55:23,2022-02-07 13:56:21,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 03:58:11,2022-02-07 03:59:09
2022-02-07 13:56:21,2022-02-07 13:57:28,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 03:59:09,2022-02-07 04:00:16
2022-02-07 13:57:28,2022-02-07 13:57:54,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:00:16,2022-02-07 04:00:42
2022-02-07 13:57:54,2022-02-07 13:58:10,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:00:42,2022-02-07 04:00:58
2022-02-07 13:58:10,2022-02-07 14:02:24,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:00:58,2022-02-07 04:05:12
2022-02-07 14:02:24,2022-02-07 14:02:47,Walking,annotator,PA TYPE,2022-02-07 04:05:12,2022-02-07 04:05:35
2022-02-07 14:02:47,2022-02-07 14:03:06,Walking,annotator,PA TYPE,2022-02-07 04:05:35,2022-02-07 04:05:54
2022-02-07 14:03:06,2022-02-07 14:03:36,Puttering_Around,annotator,PA TYPE,2022-02-07 04:05:54,2022-02-07 04:06:24
2022-02-07 14:03:36,2022-02-07 14:04:32,Standing_With_Movement,annotator,PA TYPE,2022-02-07 04:06:24,2022-02-07 04:07:20
2022-02-07 14:04:32,2022-02-07 14:04:40,Walking,annotator,PA TYPE,2022-02-07 04:07:20,2022-02-07 04:07:28
2022-02-07 14:05:00,2022-02-07 14:05:06,Washing_Hands,annotator,PA TYPE,2022-02-07 04:07:48,2022-02-07 04:07:54
2022-02-07 14:05:07,2022-02-07 14:05:23,Walking,annotator,PA TYPE,2022-02-07 04:07:55,2022-02-07 04:08:11
2022-02-07 14:05:23,2022-02-07 14:08:53,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:08:11,2022-02-07 04:11:41
2022-02-07 14:08:59,2022-02-07 14:16:26,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:11:47,2022-02-07 04:19:14
2022-02-07 14:16:26,2022-02-07 14:17:11,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:19:14,2022-02-07 04:19:59
2022-02-07 14:17:11,2022-02-07 14:17:37,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:19:59,2022-02-07 04:20:25
2022-02-07 14:17:37,2022-02-07 14:19:44,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:20:25,2022-02-07 04:22:32
2022-02-07 14:19:44,2022-02-07 14:22:21,Sitting_With_Movement,annotator,PA TYPE,2022-02-07 04:22:32,2022-02-07 04:25:09
