START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-21 09:57:26,2022-02-21 09:58:08,Free_Living,annotator,Experimental situation,2022-02-21 00:00:00,2022-02-21 00:00:42
2022-02-21 09:58:13,2022-02-21 09:58:17,Free_Living,annotator,Experimental situation,2022-02-21 00:00:47,2022-02-21 00:00:51
2022-02-21 09:58:20,2022-02-21 09:58:45,Free_Living,annotator,Experimental situation,2022-02-21 00:00:54,2022-02-21 00:01:19
2022-02-21 09:58:48,2022-02-21 09:59:19,Free_Living,annotator,Experimental situation,2022-02-21 00:01:22,2022-02-21 00:01:53
2022-02-21 09:59:21,2022-02-21 09:59:28,Free_Living,annotator,Experimental situation,2022-02-21 00:01:55,2022-02-21 00:02:02
2022-02-21 09:59:30,2022-02-21 10:00:02,Free_Living,annotator,Experimental situation,2022-02-21 00:02:04,2022-02-21 00:02:36
2022-02-21 10:00:05,2022-02-21 10:00:41,Free_Living,annotator,Experimental situation,2022-02-21 00:02:39,2022-02-21 00:03:15
2022-02-21 10:00:44,2022-02-21 10:03:09,Free_Living,annotator,Experimental situation,2022-02-21 00:03:18,2022-02-21 00:05:43
2022-02-21 10:03:12,2022-02-21 10:03:25,Free_Living,annotator,Experimental situation,2022-02-21 00:05:46,2022-02-21 00:05:59
2022-02-21 10:03:29,2022-02-21 10:07:00,Free_Living,annotator,Experimental situation,2022-02-21 00:06:03,2022-02-21 00:09:34
2022-02-21 10:07:04,2022-02-21 10:09:41,Free_Living,annotator,Experimental situation,2022-02-21 00:09:38,2022-02-21 00:12:15
2022-02-21 10:09:43,2022-02-21 10:09:48,Free_Living,annotator,Experimental situation,2022-02-21 00:12:17,2022-02-21 00:12:22
2022-02-21 10:09:50,2022-02-21 10:10:17,Free_Living,annotator,Experimental situation,2022-02-21 00:12:24,2022-02-21 00:12:51
2022-02-21 10:10:20,2022-02-21 10:10:33,Free_Living,annotator,Experimental situation,2022-02-21 00:12:54,2022-02-21 00:13:07
2022-02-21 10:10:37,2022-02-21 10:11:41,Free_Living,annotator,Experimental situation,2022-02-21 00:13:11,2022-02-21 00:14:15
2022-02-21 10:11:48,2022-02-21 10:12:23,Free_Living,annotator,Experimental situation,2022-02-21 00:14:22,2022-02-21 00:14:57
2022-02-21 10:12:27,2022-02-21 10:15:38,Free_Living,annotator,Experimental situation,2022-02-21 00:15:01,2022-02-21 00:18:12
2022-02-21 10:15:42,2022-02-21 10:15:47,Free_Living,annotator,Experimental situation,2022-02-21 00:18:16,2022-02-21 00:18:21
2022-02-21 10:15:52,2022-02-21 10:23:29,Free_Living,annotator,Experimental situation,2022-02-21 00:18:26,2022-02-21 00:26:03
2022-02-21 10:23:36,2022-02-21 10:24:16,Free_Living,annotator,Experimental situation,2022-02-21 00:26:10,2022-02-21 00:26:50
2022-02-21 10:24:21,2022-02-21 10:34:34,Free_Living,annotator,Experimental situation,2022-02-21 00:26:55,2022-02-21 00:37:08
2022-02-21 10:34:37,2022-02-21 10:34:43,Free_Living,annotator,Experimental situation,2022-02-21 00:37:11,2022-02-21 00:37:17
2022-02-21 10:34:46,2022-02-21 10:37:48,Free_Living,annotator,Experimental situation,2022-02-21 00:37:20,2022-02-21 00:40:22
2022-02-21 10:37:55,2022-02-21 11:00:31,Free_Living,annotator,Experimental situation,2022-02-21 00:40:29,2022-02-21 01:03:05
2022-02-21 11:00:38,2022-02-21 11:01:42,Free_Living,annotator,Experimental situation,2022-02-21 01:03:12,2022-02-21 01:04:16
