START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-23 10:19:44,2022-02-23 10:19:59,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-02-23 00:00:10,2022-02-23 00:00:25
2022-02-23 10:20:00,2022-02-23 10:20:23,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-02-23 00:00:26,2022-02-23 00:00:49
2022-02-23 10:20:24,2022-02-23 10:20:32,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-02-23 00:00:50,2022-02-23 00:00:58
2022-02-23 10:20:32,2022-02-23 10:22:36,"Holding_Other_Object_Light,Located_Outdoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 00:00:58,2022-02-23 00:03:02
2022-02-23 10:22:36,2022-02-23 10:25:35,"Holding_Other_Object_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-02-23 00:03:02,2022-02-23 00:06:01
2022-02-23 10:25:36,2022-02-23 10:25:53,"Holding_Other_Object_Light,Located_Outdoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 00:06:02,2022-02-23 00:06:19
2022-02-23 10:25:53,2022-02-23 10:27:56,"Holding_Other_Object_Light,Located_Outdoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 00:06:19,2022-02-23 00:08:22
2022-02-23 10:27:56,2022-02-23 10:28:39,"Holding_Other_Object_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-02-23 00:08:22,2022-02-23 00:09:05
2022-02-23 10:28:39,2022-02-23 10:28:44,"Holding_Other_Object_Light,Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 00:09:05,2022-02-23 00:09:10
2022-02-23 10:28:44,2022-02-23 10:29:04,"Holding_Other_Object_Light,Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 00:09:10,2022-02-23 00:09:30
2022-02-23 10:29:04,2022-02-23 10:30:12,"Holding_Other_Object_Light,Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 00:09:30,2022-02-23 00:10:38
2022-02-23 10:30:12,2022-02-23 10:31:29,"Holding_Other_Object_Light,Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 00:10:38,2022-02-23 00:11:55
2022-02-23 10:31:29,2022-02-23 11:12:59,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 00:11:55,2022-02-23 00:53:25
2022-02-23 11:12:59,2022-02-23 11:21:58,"Located_Indoors,Browsing_Computer",Expert,Behavioral Parameters,2022-02-23 00:53:25,2022-02-23 01:02:24
2022-02-23 11:21:58,2022-02-23 11:36:25,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 01:02:24,2022-02-23 01:16:51
2022-02-23 11:36:25,2022-02-23 11:36:37,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-02-23 01:16:51,2022-02-23 01:17:03
2022-02-23 11:36:37,2022-02-23 11:36:45,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:17:03,2022-02-23 01:17:11
2022-02-23 11:36:45,2022-02-23 11:38:11,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,In_Conversation",Expert,Behavioral Parameters,2022-02-23 01:17:11,2022-02-23 01:18:37
2022-02-23 11:38:11,2022-02-23 11:39:15,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:18:37,2022-02-23 01:19:41
2022-02-23 11:39:15,2022-02-23 11:40:55,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:19:41,2022-02-23 01:21:21
2022-02-23 11:40:55,2022-02-23 11:41:50,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:21:21,2022-02-23 01:22:16
2022-02-23 11:41:50,2022-02-23 11:42:21,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:22:16,2022-02-23 01:22:47
2022-02-23 11:42:21,2022-02-23 11:42:37,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:22:47,2022-02-23 01:23:03
2022-02-23 11:42:37,2022-02-23 11:43:06,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:23:03,2022-02-23 01:23:32
2022-02-23 11:43:06,2022-02-23 11:43:14,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-02-23 01:23:32,2022-02-23 01:23:40
2022-02-23 11:43:14,2022-02-23 11:44:47,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-02-23 01:23:40,2022-02-23 01:25:13
2022-02-23 11:44:48,2022-02-23 11:45:07,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:25:14,2022-02-23 01:25:33
2022-02-23 11:45:07,2022-02-23 11:49:41,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:25:33,2022-02-23 01:30:07
2022-02-23 11:49:41,2022-02-23 11:50:29,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,In_Conversation",Expert,Behavioral Parameters,2022-02-23 01:30:07,2022-02-23 01:30:55
2022-02-23 11:50:29,2022-02-23 11:51:10,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:30:55,2022-02-23 01:31:36
2022-02-23 11:51:10,2022-02-23 11:51:49,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:31:36,2022-02-23 01:32:15
2022-02-23 11:51:50,2022-02-23 11:53:12,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:32:16,2022-02-23 01:33:38
2022-02-23 11:53:12,2022-02-23 11:58:09,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:33:38,2022-02-23 01:38:35
2022-02-23 11:58:09,2022-02-23 11:59:02,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:38:35,2022-02-23 01:39:28
2022-02-23 11:59:02,2022-02-23 11:59:34,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:39:28,2022-02-23 01:40:00
2022-02-23 11:59:35,2022-02-23 11:59:57,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:40:01,2022-02-23 01:40:23
2022-02-23 11:59:57,2022-02-23 12:00:56,"Located_Indoors,Holding_Other_Object_Light,Carrying_Bag_On_Shoulder/Back_Light",Expert,Behavioral Parameters,2022-02-23 01:40:23,2022-02-23 01:41:22
2022-02-23 12:00:56,2022-02-23 12:01:41,"Located_Indoors,Holding_Other_Object_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:41:22,2022-02-23 01:42:07
2022-02-23 12:01:41,2022-02-23 12:02:05,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-02-23 01:42:07,2022-02-23 01:42:31
2022-02-23 12:02:05,2022-02-23 12:03:14,"Located_Indoors,Holding_Other_Object_Light,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:42:31,2022-02-23 01:43:40
2022-02-23 12:03:14,2022-02-23 12:10:15,"Located_Indoors,On_Video_Call/FaceTime,In_Conversation",Expert,Behavioral Parameters,2022-02-23 01:43:40,2022-02-23 01:50:41
2022-02-23 12:10:15,2022-02-23 12:11:20,"Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:50:41,2022-02-23 01:51:46
2022-02-23 12:11:45,2022-02-23 12:12:12,"Located_Indoors,Texting/Browsing_Phone,Browsing_Computer",Expert,Behavioral Parameters,2022-02-23 01:52:11,2022-02-23 01:52:38
2022-02-23 12:12:12,2022-02-23 12:13:16,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 01:52:38,2022-02-23 01:53:42
2022-02-23 12:13:16,2022-02-23 12:14:17,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 01:53:42,2022-02-23 01:54:43
2022-02-23 12:14:23,2022-02-23 12:14:27,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 01:54:49,2022-02-23 01:54:53
2022-02-23 12:14:27,2022-02-23 12:14:38,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 01:54:53,2022-02-23 01:55:04
2022-02-23 12:14:38,2022-02-23 12:15:05,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 01:55:04,2022-02-23 01:55:31
2022-02-23 12:15:05,2022-02-23 12:15:24,"Located_Indoors,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-02-23 01:55:31,2022-02-23 01:55:50
2022-02-23 12:15:24,2022-02-23 12:16:28,"Holding_Other_Object_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-02-23 01:55:50,2022-02-23 01:56:54
2022-02-23 12:16:28,2022-02-23 12:17:05,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 01:56:54,2022-02-23 01:57:31
2022-02-23 12:17:07,2022-02-23 12:17:19,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 01:57:33,2022-02-23 01:57:45
2022-02-23 12:17:19,2022-02-23 12:17:50,"Holding_Other_Object_Light,Located_Indoors,In_Conversation",Expert,Behavioral Parameters,2022-02-23 01:57:45,2022-02-23 01:58:16
2022-02-23 12:18:00,2022-02-23 12:26:56,"Holding_Other_Object_Light,Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 01:58:26,2022-02-23 02:07:22
2022-02-23 12:26:56,2022-02-23 12:28:49,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 02:07:22,2022-02-23 02:09:15
2022-02-23 12:29:01,2022-02-23 12:29:25,"Holding_Other_Object_Light,Located_Indoors,Texting/Browsing_Phone",Expert,Behavioral Parameters,2022-02-23 02:09:27,2022-02-23 02:09:51
2022-02-23 12:29:25,2022-02-23 12:29:32,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 02:09:51,2022-02-23 02:09:58
2022-02-23 12:29:34,2022-02-23 12:30:39,"Holding_Other_Object_Light,Located_Outdoors",Expert,Behavioral Parameters,2022-02-23 02:10:00,2022-02-23 02:11:05
2022-02-23 12:30:39,2022-02-23 12:30:55,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 02:11:05,2022-02-23 02:11:21
2022-02-23 12:30:56,2022-02-23 12:31:11,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 02:11:22,2022-02-23 02:11:37
2022-02-23 12:31:11,2022-02-23 12:31:33,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 02:11:37,2022-02-23 02:11:59
2022-02-23 12:31:34,2022-02-23 12:32:38,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 02:12:00,2022-02-23 02:13:04
2022-02-23 12:32:38,2022-02-23 12:34:33,"Holding_Other_Object_Light,Located_Indoors",Expert,Behavioral Parameters,2022-02-23 02:13:04,2022-02-23 02:14:59
2022-02-23 12:34:34,2022-02-23 12:49:53,"Holding_Other_Object_Light,Located_Indoors,Holding_Solid_Food",Expert,Behavioral Parameters,2022-02-23 02:15:00,2022-02-23 02:30:19
2022-02-23 12:50:25,2022-02-23 12:50:47,"Holding_Other_Object_Light,Located_Indoors,Holding_Drink",Expert,Behavioral Parameters,2022-02-23 02:30:51,2022-02-23 02:31:13
2022-02-23 12:50:47,2022-02-23 12:50:56,"Located_Indoors,Typing_Computer",Expert,Behavioral Parameters,2022-02-23 02:31:13,2022-02-23 02:31:22
2022-02-23 12:50:56,2022-02-23 12:51:06,Located_Indoors,Expert,Behavioral Parameters,2022-02-23 02:31:22,2022-02-23 02:31:32
2022-02-23 12:51:06,2022-02-23 13:21:44,"Located_Indoors,Browsing_Computer",Expert,Behavioral Parameters,2022-02-23 02:31:32,2022-02-23 03:02:10
2022-02-23 13:21:44,2022-02-23 13:22:11,"Located_Indoors,Browsing_Computer,Holding_Other_Object_Light",Expert,Behavioral Parameters,2022-02-23 03:02:10,2022-02-23 03:02:37
