START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-01 09:17:48,2022-03-01 09:18:10,Doing_Alternative_Exercise/Therapy/Stretching,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:00:00,2022-03-01 00:00:22
2022-03-01 09:18:10,2022-03-01 09:18:16,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:00:22,2022-03-01 00:00:28
2022-03-01 09:18:16,2022-03-01 09:18:22,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:00:28,2022-03-01 00:00:34
2022-03-01 09:18:22,2022-03-01 09:18:58,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:00:34,2022-03-01 00:01:10
2022-03-01 09:18:58,2022-03-01 09:19:41,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:01:10,2022-03-01 00:01:53
2022-03-01 09:19:41,2022-03-01 09:21:42,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:01:53,2022-03-01 00:03:54
2022-03-01 09:21:42,2022-03-01 09:22:10,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:03:54,2022-03-01 00:04:22
2022-03-01 09:22:10,2022-03-01 09:22:34,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:04:22,2022-03-01 00:04:46
2022-03-01 09:22:34,2022-03-01 09:24:08,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:04:46,2022-03-01 00:06:20
2022-03-01 09:24:08,2022-03-01 09:25:08,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:06:20,2022-03-01 00:07:20
2022-03-01 09:25:08,2022-03-01 09:26:07,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:07:20,2022-03-01 00:08:19
2022-03-01 09:26:07,2022-03-01 09:26:46,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:08:19,2022-03-01 00:08:58
2022-03-01 09:26:46,2022-03-01 09:28:39,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:08:58,2022-03-01 00:10:51
2022-03-01 09:28:39,2022-03-01 09:28:45,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:10:51,2022-03-01 00:10:57
2022-03-01 09:28:45,2022-03-01 09:28:58,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:10:57,2022-03-01 00:11:10
2022-03-01 09:28:58,2022-03-01 09:29:20,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:11:10,2022-03-01 00:11:32
2022-03-01 09:29:20,2022-03-01 09:29:23,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:11:32,2022-03-01 00:11:35
2022-03-01 09:29:23,2022-03-01 09:29:40,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:11:35,2022-03-01 00:11:52
2022-03-01 09:29:40,2022-03-01 09:29:56,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:11:52,2022-03-01 00:12:08
2022-03-01 09:29:56,2022-03-01 09:30:00,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:12:08,2022-03-01 00:12:12
2022-03-01 09:30:00,2022-03-01 09:30:26,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:12:12,2022-03-01 00:12:38
2022-03-01 09:30:26,2022-03-01 09:30:34,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:12:38,2022-03-01 00:12:46
2022-03-01 09:30:34,2022-03-01 09:31:16,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:12:46,2022-03-01 00:13:28
2022-03-01 09:31:16,2022-03-01 09:31:24,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:13:28,2022-03-01 00:13:36
2022-03-01 09:31:24,2022-03-01 09:32:25,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:13:36,2022-03-01 00:14:37
2022-03-01 09:32:25,2022-03-01 09:32:41,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:14:37,2022-03-01 00:14:53
2022-03-01 09:32:41,2022-03-01 09:32:45,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:14:53,2022-03-01 00:14:57
2022-03-01 09:32:45,2022-03-01 09:34:28,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:14:57,2022-03-01 00:16:40
2022-03-01 09:34:28,2022-03-01 09:34:52,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:16:40,2022-03-01 00:17:04
2022-03-01 09:34:54,2022-03-01 09:35:46,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:17:06,2022-03-01 00:17:58
2022-03-01 09:35:46,2022-03-01 09:35:55,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:17:58,2022-03-01 00:18:07
2022-03-01 09:35:55,2022-03-01 09:36:18,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:18:07,2022-03-01 00:18:30
2022-03-01 09:36:18,2022-03-01 09:36:56,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:18:30,2022-03-01 00:19:08
2022-03-01 09:36:56,2022-03-01 09:37:31,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:19:08,2022-03-01 00:19:43
2022-03-01 09:37:31,2022-03-01 09:39:07,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:19:43,2022-03-01 00:21:19
2022-03-01 09:39:07,2022-03-01 09:43:42,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:21:19,2022-03-01 00:25:54
2022-03-01 09:43:42,2022-03-01 09:44:03,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-03-01 00:25:54,2022-03-01 00:26:15
