START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-01 11:43:41,2022-03-01 11:44:15,Free_Living,annotator,Experimental situation,2022-03-01 00:00:31,2022-03-01 00:01:05
2022-03-01 11:44:17,2022-03-01 11:45:09,Free_Living,annotator,Experimental situation,2022-03-01 00:01:07,2022-03-01 00:01:59
2022-03-01 11:45:10,2022-03-01 11:45:19,Free_Living,annotator,Experimental situation,2022-03-01 00:02:00,2022-03-01 00:02:09
2022-03-01 11:45:20,2022-03-01 11:45:48,Free_Living,annotator,Experimental situation,2022-03-01 00:02:10,2022-03-01 00:02:38
2022-03-01 11:45:49,2022-03-01 11:47:58,Free_Living,annotator,Experimental situation,2022-03-01 00:02:39,2022-03-01 00:04:48
2022-03-01 11:48:01,2022-03-01 11:48:24,Free_Living,annotator,Experimental situation,2022-03-01 00:04:51,2022-03-01 00:05:14
2022-03-01 11:48:25,2022-03-01 11:48:57,Free_Living,annotator,Experimental situation,2022-03-01 00:05:15,2022-03-01 00:05:47
2022-03-01 11:48:58,2022-03-01 11:49:08,Free_Living,annotator,Experimental situation,2022-03-01 00:05:48,2022-03-01 00:05:58
2022-03-01 11:49:08,2022-03-01 11:49:49,Free_Living,annotator,Experimental situation,2022-03-01 00:05:58,2022-03-01 00:06:39
2022-03-01 11:49:51,2022-03-01 11:50:58,Free_Living,annotator,Experimental situation,2022-03-01 00:06:41,2022-03-01 00:07:48
2022-03-01 11:50:59,2022-03-01 11:53:36,Free_Living,annotator,Experimental situation,2022-03-01 00:07:49,2022-03-01 00:10:26
2022-03-01 11:53:41,2022-03-01 11:54:39,Free_Living,annotator,Experimental situation,2022-03-01 00:10:31,2022-03-01 00:11:29
2022-03-01 11:54:41,2022-03-01 11:56:43,Free_Living,annotator,Experimental situation,2022-03-01 00:11:31,2022-03-01 00:13:33
2022-03-01 11:56:46,2022-03-01 11:57:22,Free_Living,annotator,Experimental situation,2022-03-01 00:13:36,2022-03-01 00:14:12
2022-03-01 11:57:26,2022-03-01 11:59:12,Free_Living,annotator,Experimental situation,2022-03-01 00:14:16,2022-03-01 00:16:02
2022-03-01 11:59:23,2022-03-01 11:59:54,Free_Living,annotator,Experimental situation,2022-03-01 00:16:13,2022-03-01 00:16:44
2022-03-01 11:59:55,2022-03-01 12:01:26,Free_Living,annotator,Experimental situation,2022-03-01 00:16:45,2022-03-01 00:18:16
2022-03-01 12:01:27,2022-03-01 12:01:54,Free_Living,annotator,Experimental situation,2022-03-01 00:18:17,2022-03-01 00:18:44
2022-03-01 12:01:55,2022-03-01 12:02:41,Free_Living,annotator,Experimental situation,2022-03-01 00:18:45,2022-03-01 00:19:31
