START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-07 10:53:39,2022-03-07 10:53:57,Synchronizing_Sensors,annotator,PA TYPE,2022-03-07 00:00:15,2022-03-07 00:00:33
2022-03-07 10:53:59,2022-03-07 10:54:30,Standing_With_Movement,annotator,PA TYPE,2022-03-07 00:00:35,2022-03-07 00:01:06
2022-03-07 10:54:30,2022-03-07 10:56:18,Walking,annotator,PA TYPE,2022-03-07 00:01:06,2022-03-07 00:02:54
2022-03-07 10:56:19,2022-03-07 11:01:14,Puttering_Around,annotator,PA TYPE,2022-03-07 00:02:55,2022-03-07 00:07:50
2022-03-07 11:01:15,2022-03-07 11:04:12,Walking,annotator,PA TYPE,2022-03-07 00:07:51,2022-03-07 00:10:48
2022-03-07 11:04:18,2022-03-07 11:05:42,Standing_With_Movement,annotator,PA TYPE,2022-03-07 00:10:54,2022-03-07 00:12:18
2022-03-07 11:05:44,2022-03-07 11:06:43,Walking,annotator,PA TYPE,2022-03-07 00:12:20,2022-03-07 00:13:19
2022-03-07 11:06:51,2022-03-07 11:09:28,Putting_Clothes_Away,annotator,PA TYPE,2022-03-07 00:13:27,2022-03-07 00:16:04
2022-03-07 11:09:29,2022-03-07 11:09:44,Walking,annotator,PA TYPE,2022-03-07 00:16:05,2022-03-07 00:16:20
2022-03-07 11:09:45,2022-03-07 11:10:07,Walking,annotator,PA TYPE,2022-03-07 00:16:21,2022-03-07 00:16:43
2022-03-07 11:10:19,2022-03-07 11:10:49,Standing_With_Movement,annotator,PA TYPE,2022-03-07 00:16:55,2022-03-07 00:17:25
2022-03-07 11:11:14,2022-03-07 11:55:24,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-07 00:17:50,2022-03-07 01:02:00
2022-03-07 11:55:28,2022-03-07 11:56:11,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:02:04,2022-03-07 01:02:47
2022-03-07 11:56:18,2022-03-07 11:58:24,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:02:54,2022-03-07 01:05:00
2022-03-07 11:58:34,2022-03-07 11:58:49,Walking,annotator,PA TYPE,2022-03-07 01:05:10,2022-03-07 01:05:25
2022-03-07 11:58:51,2022-03-07 12:00:21,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:05:27,2022-03-07 01:06:57
2022-03-07 12:00:23,2022-03-07 12:02:03,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:06:59,2022-03-07 01:08:39
2022-03-07 12:02:14,2022-03-07 12:02:47,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-07 01:08:50,2022-03-07 01:09:23
2022-03-07 12:02:48,2022-03-07 12:04:13,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:09:24,2022-03-07 01:10:49
2022-03-07 12:04:17,2022-03-07 12:05:38,Walking,annotator,PA TYPE,2022-03-07 01:10:53,2022-03-07 01:12:14
2022-03-07 12:05:40,2022-03-07 12:06:25,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:12:16,2022-03-07 01:13:01
2022-03-07 12:06:27,2022-03-07 12:06:37,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:13:03,2022-03-07 01:13:13
2022-03-07 12:06:38,2022-03-07 12:10:35,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:13:14,2022-03-07 01:17:11
2022-03-07 12:10:43,2022-03-07 12:11:49,Standing_With_Movement,annotator,PA TYPE,2022-03-07 01:17:19,2022-03-07 01:18:25
2022-03-07 12:11:56,2022-03-07 12:12:33,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:18:32,2022-03-07 01:19:09
2022-03-07 12:12:41,2022-03-07 12:15:07,Standing_With_Movement,annotator,PA TYPE,2022-03-07 01:19:17,2022-03-07 01:21:43
2022-03-07 12:15:11,2022-03-07 12:16:00,Walking,annotator,PA TYPE,2022-03-07 01:21:47,2022-03-07 01:22:36
2022-03-07 12:16:01,2022-03-07 12:19:10,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:22:37,2022-03-07 01:25:46
2022-03-07 12:19:21,2022-03-07 12:20:51,Walking,annotator,PA TYPE,2022-03-07 01:25:57,2022-03-07 01:27:27
2022-03-07 12:20:52,2022-03-07 12:21:44,Standing_With_Movement,annotator,PA TYPE,2022-03-07 01:27:28,2022-03-07 01:28:20
2022-03-07 12:21:47,2022-03-07 12:27:20,Walking,annotator,PA TYPE,2022-03-07 01:28:23,2022-03-07 01:33:56
2022-03-07 12:27:21,2022-03-07 12:30:06,Walking,annotator,PA TYPE,2022-03-07 01:33:57,2022-03-07 01:36:42
2022-03-07 12:30:10,2022-03-07 12:30:46,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:36:46,2022-03-07 01:37:22
2022-03-07 12:30:48,2022-03-07 12:31:23,Walking,annotator,PA TYPE,2022-03-07 01:37:24,2022-03-07 01:37:59
2022-03-07 12:31:25,2022-03-07 12:32:14,Walking,annotator,PA TYPE,2022-03-07 01:38:01,2022-03-07 01:38:50
2022-03-07 12:32:15,2022-03-07 12:33:07,Walking,annotator,PA TYPE,2022-03-07 01:38:51,2022-03-07 01:39:43
2022-03-07 12:33:10,2022-03-07 12:33:48,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:39:46,2022-03-07 01:40:24
2022-03-07 12:33:52,2022-03-07 12:50:06,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 01:40:28,2022-03-07 01:56:42
2022-03-07 12:50:12,2022-03-07 14:01:27,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-07 01:56:48,2022-03-07 03:08:03
2022-03-07 14:01:41,2022-03-07 14:02:58,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:08:17,2022-03-07 03:09:34
2022-03-07 14:03:00,2022-03-07 14:04:46,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:09:36,2022-03-07 03:11:22
2022-03-07 14:04:48,2022-03-07 14:05:38,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:11:24,2022-03-07 03:12:14
2022-03-07 14:05:41,2022-03-07 14:07:29,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:12:17,2022-03-07 03:14:05
2022-03-07 14:07:31,2022-03-07 14:08:42,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:14:07,2022-03-07 03:15:18
2022-03-07 14:08:46,2022-03-07 14:08:58,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:15:22,2022-03-07 03:15:34
2022-03-07 14:09:02,2022-03-07 14:10:44,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:15:38,2022-03-07 03:17:20
2022-03-07 14:10:46,2022-03-07 14:13:31,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:17:22,2022-03-07 03:20:07
2022-03-07 14:13:33,2022-03-07 14:14:16,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:20:09,2022-03-07 03:20:52
2022-03-07 14:14:17,2022-03-07 14:16:08,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:20:53,2022-03-07 03:22:44
2022-03-07 14:16:09,2022-03-07 14:16:52,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:22:45,2022-03-07 03:23:28
2022-03-07 14:16:55,2022-03-07 14:21:56,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:23:31,2022-03-07 03:28:32
2022-03-07 14:21:58,2022-03-07 14:24:35,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:28:34,2022-03-07 03:31:11
2022-03-07 14:24:40,2022-03-07 14:24:55,Walking,annotator,PA TYPE,2022-03-07 03:31:16,2022-03-07 03:31:31
2022-03-07 14:24:56,2022-03-07 14:25:10,Standing_With_Movement,annotator,PA TYPE,2022-03-07 03:31:32,2022-03-07 03:31:46
2022-03-07 14:25:11,2022-03-07 14:25:55,Walking,annotator,PA TYPE,2022-03-07 03:31:47,2022-03-07 03:32:31
2022-03-07 14:26:01,2022-03-07 14:26:34,Puttering_Around,annotator,PA TYPE,2022-03-07 03:32:37,2022-03-07 03:33:10
2022-03-07 14:26:35,2022-03-07 14:26:52,Puttering_Around,annotator,PA TYPE,2022-03-07 03:33:11,2022-03-07 03:33:28
2022-03-07 14:26:53,2022-03-07 14:27:07,Puttering_Around,annotator,PA TYPE,2022-03-07 03:33:29,2022-03-07 03:33:43
2022-03-07 14:27:08,2022-03-07 14:29:39,Puttering_Around,annotator,PA TYPE,2022-03-07 03:33:44,2022-03-07 03:36:15
2022-03-07 14:29:42,2022-03-07 14:30:36,Puttering_Around,annotator,PA TYPE,2022-03-07 03:36:18,2022-03-07 03:37:12
2022-03-07 14:30:39,2022-03-07 14:31:32,Puttering_Around,annotator,PA TYPE,2022-03-07 03:37:15,2022-03-07 03:38:08
2022-03-07 14:31:34,2022-03-07 14:32:25,Puttering_Around,annotator,PA TYPE,2022-03-07 03:38:10,2022-03-07 03:39:01
2022-03-07 14:32:26,2022-03-07 14:32:38,Standing_With_Movement,annotator,PA TYPE,2022-03-07 03:39:02,2022-03-07 03:39:14
2022-03-07 14:32:40,2022-03-07 14:33:09,Puttering_Around,annotator,PA TYPE,2022-03-07 03:39:16,2022-03-07 03:39:45
2022-03-07 14:33:12,2022-03-07 14:33:46,Puttering_Around,annotator,PA TYPE,2022-03-07 03:39:48,2022-03-07 03:40:22
2022-03-07 14:33:54,2022-03-07 14:34:07,Puttering_Around,annotator,PA TYPE,2022-03-07 03:40:30,2022-03-07 03:40:43
2022-03-07 14:34:08,2022-03-07 14:35:26,Sitting_With_Movement,annotator,PA TYPE,2022-03-07 03:40:44,2022-03-07 03:42:02
2022-03-07 14:35:28,2022-03-07 14:35:39,Puttering_Around,annotator,PA TYPE,2022-03-07 03:42:04,2022-03-07 03:42:15
2022-03-07 14:35:41,2022-03-07 14:36:31,Puttering_Around,annotator,PA TYPE,2022-03-07 03:42:17,2022-03-07 03:43:07
2022-03-07 14:36:32,2022-03-07 14:41:33,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-07 03:43:08,2022-03-07 03:48:09
2022-03-07 14:41:35,2022-03-07 14:43:08,Standing_With_Movement,annotator,PA TYPE,2022-03-07 03:48:11,2022-03-07 03:49:44
2022-03-07 14:43:08,2022-03-07 14:43:38,Puttering_Around,annotator,PA TYPE,2022-03-07 03:49:44,2022-03-07 03:50:14
2022-03-07 14:43:39,2022-03-07 14:43:59,Puttering_Around,annotator,PA TYPE,2022-03-07 03:50:15,2022-03-07 03:50:35
2022-03-07 14:44:01,2022-03-07 14:45:29,Puttering_Around,annotator,PA TYPE,2022-03-07 03:50:37,2022-03-07 03:52:05
2022-03-07 14:45:31,2022-03-07 14:47:07,Puttering_Around,annotator,PA TYPE,2022-03-07 03:52:07,2022-03-07 03:53:43
2022-03-07 14:47:08,2022-03-07 14:47:36,Puttering_Around,annotator,PA TYPE,2022-03-07 03:53:44,2022-03-07 03:54:12
2022-03-07 14:47:37,2022-03-07 14:48:34,Puttering_Around,annotator,PA TYPE,2022-03-07 03:54:13,2022-03-07 03:55:10
2022-03-07 14:48:35,2022-03-07 14:49:20,Standing_With_Movement,annotator,PA TYPE,2022-03-07 03:55:11,2022-03-07 03:55:56
2022-03-07 14:49:22,2022-03-07 14:51:25,Puttering_Around,annotator,PA TYPE,2022-03-07 03:55:58,2022-03-07 03:58:01
2022-03-07 14:51:28,2022-03-07 14:51:41,Puttering_Around,annotator,PA TYPE,2022-03-07 03:58:04,2022-03-07 03:58:17
2022-03-07 14:51:41,2022-03-07 14:52:31,Puttering_Around,annotator,PA TYPE,2022-03-07 03:58:17,2022-03-07 03:59:07
2022-03-07 14:52:34,2022-03-07 14:53:03,Standing_With_Movement,annotator,PA TYPE,2022-03-07 03:59:10,2022-03-07 03:59:39
2022-03-07 14:53:03,2022-03-07 14:53:14,Standing_With_Movement,annotator,PA TYPE,2022-03-07 03:59:39,2022-03-07 03:59:50
2022-03-07 14:53:20,2022-03-07 14:53:41,Puttering_Around,annotator,PA TYPE,2022-03-07 03:59:56,2022-03-07 04:00:17
2022-03-07 14:53:42,2022-03-07 14:54:40,Standing_With_Movement,annotator,PA TYPE,2022-03-07 04:00:18,2022-03-07 04:01:16
2022-03-07 14:54:42,2022-03-07 14:55:29,Standing_With_Movement,annotator,PA TYPE,2022-03-07 04:01:18,2022-03-07 04:02:05
