START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-07 20:17:26,2022-03-07 20:19:13,Free_Living,annotator,Experimental situation,2022-03-07 00:00:00,2022-03-07 00:01:47
2022-03-07 20:19:13,2022-03-07 20:23:49,Free_Living,annotator,Experimental situation,2022-03-07 00:01:47,2022-03-07 00:06:23
2022-03-07 20:23:50,2022-03-07 20:24:05,Free_Living,annotator,Experimental situation,2022-03-07 00:06:24,2022-03-07 00:06:39
2022-03-07 20:24:07,2022-03-07 20:28:23,Free_Living,annotator,Experimental situation,2022-03-07 00:06:41,2022-03-07 00:10:57
2022-03-07 20:28:23,2022-03-07 20:29:18,Free_Living,annotator,Experimental situation,2022-03-07 00:10:57,2022-03-07 00:11:52
2022-03-07 20:29:18,2022-03-07 20:30:35,Free_Living,annotator,Experimental situation,2022-03-07 00:11:52,2022-03-07 00:13:09
2022-03-07 20:30:36,2022-03-07 20:31:47,Free_Living,annotator,Experimental situation,2022-03-07 00:13:10,2022-03-07 00:14:21
2022-03-07 20:31:47,2022-03-07 20:31:58,Free_Living,annotator,Experimental situation,2022-03-07 00:14:21,2022-03-07 00:14:32
2022-03-07 20:31:58,2022-03-07 20:32:51,Free_Living,annotator,Experimental situation,2022-03-07 00:14:32,2022-03-07 00:15:25
2022-03-07 20:32:51,2022-03-07 20:33:26,Free_Living,annotator,Experimental situation,2022-03-07 00:15:25,2022-03-07 00:16:00
2022-03-07 20:33:26,2022-03-07 20:33:34,Free_Living,annotator,Experimental situation,2022-03-07 00:16:00,2022-03-07 00:16:08
2022-03-07 20:33:34,2022-03-07 20:33:43,Free_Living,annotator,Experimental situation,2022-03-07 00:16:08,2022-03-07 00:16:17
2022-03-07 20:33:43,2022-03-07 20:37:16,Free_Living,annotator,Experimental situation,2022-03-07 00:16:17,2022-03-07 00:19:50
2022-03-07 20:37:16,2022-03-07 20:39:17,Free_Living,annotator,Experimental situation,2022-03-07 00:19:50,2022-03-07 00:21:51
2022-03-07 20:39:17,2022-03-07 20:40:40,Free_Living,annotator,Experimental situation,2022-03-07 00:21:51,2022-03-07 00:23:14
2022-03-07 20:40:40,2022-03-07 20:50:24,Free_Living,annotator,Experimental situation,2022-03-07 00:23:14,2022-03-07 00:32:58
2022-03-07 20:50:24,2022-03-07 20:52:32,Free_Living,annotator,Experimental situation,2022-03-07 00:32:58,2022-03-07 00:35:06
2022-03-07 20:52:32,2022-03-07 21:11:04,Free_Living,annotator,Experimental situation,2022-03-07 00:35:06,2022-03-07 00:53:38
2022-03-07 21:11:04,2022-03-07 21:11:17,Free_Living,annotator,Experimental situation,2022-03-07 00:53:38,2022-03-07 00:53:51
2022-03-07 21:11:17,2022-03-07 21:31:05,Free_Living,annotator,Experimental situation,2022-03-07 00:53:51,2022-03-07 01:13:39
2022-03-07 21:31:05,2022-03-07 21:31:29,Free_Living,annotator,Experimental situation,2022-03-07 01:13:39,2022-03-07 01:14:03
2022-03-07 21:31:29,2022-03-07 21:32:12,Free_Living,annotator,Experimental situation,2022-03-07 01:14:03,2022-03-07 01:14:46
2022-03-07 21:32:12,2022-03-07 21:32:34,Free_Living,annotator,Experimental situation,2022-03-07 01:14:46,2022-03-07 01:15:08
2022-03-07 21:32:34,2022-03-07 21:33:11,Free_Living,annotator,Experimental situation,2022-03-07 01:15:08,2022-03-07 01:15:45
2022-03-07 21:33:11,2022-03-07 21:33:36,Free_Living,annotator,Experimental situation,2022-03-07 01:15:45,2022-03-07 01:16:10
2022-03-07 21:33:36,2022-03-07 21:33:56,Free_Living,annotator,Experimental situation,2022-03-07 01:16:10,2022-03-07 01:16:30
2022-03-07 21:33:56,2022-03-07 21:39:29,Free_Living,annotator,Experimental situation,2022-03-07 01:16:30,2022-03-07 01:22:03
2022-03-07 21:39:29,2022-03-07 21:39:39,Free_Living,annotator,Experimental situation,2022-03-07 01:22:03,2022-03-07 01:22:13
2022-03-07 21:39:39,2022-03-07 21:40:35,Free_Living,annotator,Experimental situation,2022-03-07 01:22:13,2022-03-07 01:23:09
2022-03-07 21:40:35,2022-03-07 21:40:54,Free_Living,annotator,Experimental situation,2022-03-07 01:23:09,2022-03-07 01:23:28
2022-03-07 21:40:54,2022-03-07 21:42:21,Free_Living,annotator,Experimental situation,2022-03-07 01:23:28,2022-03-07 01:24:55
2022-03-07 21:42:21,2022-03-07 21:43:14,Free_Living,annotator,Experimental situation,2022-03-07 01:24:55,2022-03-07 01:25:48
2022-03-07 21:43:14,2022-03-07 21:43:23,Free_Living,annotator,Experimental situation,2022-03-07 01:25:48,2022-03-07 01:25:57
2022-03-07 21:43:23,2022-03-07 21:43:29,Free_Living,annotator,Experimental situation,2022-03-07 01:25:57,2022-03-07 01:26:03
2022-03-07 21:43:29,2022-03-07 21:45:23,Free_Living,annotator,Experimental situation,2022-03-07 01:26:03,2022-03-07 01:27:57
2022-03-07 21:45:23,2022-03-07 21:45:28,Free_Living,annotator,Experimental situation,2022-03-07 01:27:57,2022-03-07 01:28:02
2022-03-07 21:45:28,2022-03-07 21:48:38,Free_Living,annotator,Experimental situation,2022-03-07 01:28:02,2022-03-07 01:31:12
2022-03-07 21:48:38,2022-03-07 21:48:51,Free_Living,annotator,Experimental situation,2022-03-07 01:31:12,2022-03-07 01:31:25
