START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-10 10:10:18,2022-03-10 10:11:36,Synchronizing_Sensors,annotator,PA TYPE,2022-03-10 00:00:00,2022-03-10 00:01:18
2022-03-10 10:11:36,2022-03-10 10:11:52,Walking,annotator,PA TYPE,2022-03-10 00:01:18,2022-03-10 00:01:34
2022-03-10 10:11:52,2022-03-10 10:12:32,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:01:34,2022-03-10 00:02:14
2022-03-10 10:12:32,2022-03-10 10:15:22,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:02:14,2022-03-10 00:05:04
2022-03-10 10:15:22,2022-03-10 10:18:42,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:05:04,2022-03-10 00:08:24
2022-03-10 10:18:42,2022-03-10 10:32:13,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:08:24,2022-03-10 00:21:55
2022-03-10 10:32:13,2022-03-10 10:32:39,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:21:55,2022-03-10 00:22:21
2022-03-10 10:32:39,2022-03-10 10:37:29,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:22:21,2022-03-10 00:27:11
2022-03-10 10:37:29,2022-03-10 10:37:52,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:27:11,2022-03-10 00:27:34
2022-03-10 10:37:52,2022-03-10 10:51:17,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:27:34,2022-03-10 00:40:59
2022-03-10 10:51:17,2022-03-10 10:51:48,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:40:59,2022-03-10 00:41:30
2022-03-10 10:51:48,2022-03-10 10:52:37,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:41:30,2022-03-10 00:42:19
2022-03-10 10:52:41,2022-03-10 10:53:31,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:42:23,2022-03-10 00:43:13
2022-03-10 10:53:51,2022-03-10 10:55:01,Puttering_Around,annotator,PA TYPE,2022-03-10 00:43:33,2022-03-10 00:44:43
2022-03-10 10:55:18,2022-03-10 10:56:02,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:45:00,2022-03-10 00:45:44
2022-03-10 10:56:02,2022-03-10 10:58:12,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:45:44,2022-03-10 00:47:54
2022-03-10 10:58:12,2022-03-10 11:09:58,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:47:54,2022-03-10 00:59:40
2022-03-10 11:09:58,2022-03-10 11:13:00,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 00:59:40,2022-03-10 01:02:42
2022-03-10 11:13:00,2022-03-10 11:16:06,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 01:02:42,2022-03-10 01:05:48
2022-03-10 11:16:10,2022-03-10 11:17:06,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 01:05:52,2022-03-10 01:06:48
2022-03-10 11:17:06,2022-03-10 11:17:28,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 01:06:48,2022-03-10 01:07:10
2022-03-10 11:17:28,2022-03-10 11:17:58,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 01:07:10,2022-03-10 01:07:40
2022-03-10 11:17:58,2022-03-10 11:21:48,Sitting_With_Movement,annotator,PA TYPE,2022-03-10 01:07:40,2022-03-10 01:11:30
