START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-11 10:40:48,2022-03-11 10:41:27,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:00:13,2022-03-11 00:00:52
2022-03-11 10:41:29,2022-03-11 10:46:34,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:00:54,2022-03-11 00:05:59
2022-03-11 10:46:38,2022-03-11 10:47:46,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:06:03,2022-03-11 00:07:11
2022-03-11 10:47:48,2022-03-11 10:49:57,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:07:13,2022-03-11 00:09:22
2022-03-11 10:50:00,2022-03-11 10:50:41,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:09:25,2022-03-11 00:10:06
2022-03-11 10:50:45,2022-03-11 11:04:29,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:10:10,2022-03-11 00:23:54
2022-03-11 11:04:34,2022-03-11 11:09:17,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:23:59,2022-03-11 00:28:42
2022-03-11 11:09:22,2022-03-11 11:12:27,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:28:47,2022-03-11 00:31:52
2022-03-11 11:12:31,2022-03-11 11:17:16,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:31:56,2022-03-11 00:36:41
2022-03-11 11:17:24,2022-03-11 11:17:36,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:36:49,2022-03-11 00:37:01
2022-03-11 11:17:40,2022-03-11 11:18:52,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:37:05,2022-03-11 00:38:17
2022-03-11 11:18:54,2022-03-11 11:19:31,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:38:19,2022-03-11 00:38:56
2022-03-11 11:19:35,2022-03-11 11:19:41,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:39:00,2022-03-11 00:39:06
2022-03-11 11:19:42,2022-03-11 11:19:54,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:39:07,2022-03-11 00:39:19
2022-03-11 11:19:55,2022-03-11 11:20:01,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-11 00:39:20,2022-03-11 00:39:26
