START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-22 16:05:29,2022-03-22 16:06:08,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 00:00:13,2022-03-22 00:00:52
2022-03-22 16:06:11,2022-03-22 16:08:00,Standing_With_Movement,annotator,PA TYPE,2022-03-22 00:00:55,2022-03-22 00:02:44
2022-03-22 16:08:05,2022-03-22 16:08:28,Standing_With_Movement,annotator,PA TYPE,2022-03-22 00:02:49,2022-03-22 00:03:12
2022-03-22 16:08:43,2022-03-22 16:09:39,Walking,annotator,PA TYPE,2022-03-22 00:03:27,2022-03-22 00:04:23
2022-03-22 16:09:39,2022-03-22 16:09:50,Standing_With_Movement,annotator,PA TYPE,2022-03-22 00:04:23,2022-03-22 00:04:34
2022-03-22 16:09:50,2022-03-22 16:10:14,Standing_With_Movement,annotator,PA TYPE,2022-03-22 00:04:34,2022-03-22 00:04:58
2022-03-22 16:10:15,2022-03-22 16:10:28,Walking,annotator,PA TYPE,2022-03-22 00:04:59,2022-03-22 00:05:12
2022-03-22 16:10:28,2022-03-22 16:12:40,Walking,annotator,PA TYPE,2022-03-22 00:05:12,2022-03-22 00:07:24
2022-03-22 16:12:41,2022-03-22 16:13:00,Standing_With_Movement,annotator,PA TYPE,2022-03-22 00:07:25,2022-03-22 00:07:44
2022-03-22 16:13:02,2022-03-22 16:14:11,Walking,annotator,PA TYPE,2022-03-22 00:07:46,2022-03-22 00:08:55
2022-03-22 16:14:12,2022-03-22 16:14:22,Walking_Down_Stairs,annotator,PA TYPE,2022-03-22 00:08:56,2022-03-22 00:09:06
2022-03-22 16:14:22,2022-03-22 16:16:15,Walking,annotator,PA TYPE,2022-03-22 00:09:06,2022-03-22 00:10:59
2022-03-22 16:16:23,2022-03-22 16:16:41,Walking,annotator,PA TYPE,2022-03-22 00:11:07,2022-03-22 00:11:25
2022-03-22 16:16:43,2022-03-22 16:17:16,Walking_Up_Stairs,annotator,PA TYPE,2022-03-22 00:11:27,2022-03-22 00:12:00
2022-03-22 16:17:17,2022-03-22 16:17:35,Walking,annotator,PA TYPE,2022-03-22 00:12:01,2022-03-22 00:12:19
2022-03-22 16:17:36,2022-03-22 16:18:35,Walking,annotator,PA TYPE,2022-03-22 00:12:20,2022-03-22 00:13:19
2022-03-22 16:18:36,2022-03-22 16:18:44,Walking,annotator,PA TYPE,2022-03-22 00:13:20,2022-03-22 00:13:28
2022-03-22 16:18:45,2022-03-22 16:19:58,Kneeling_With_Movement,annotator,PA TYPE,2022-03-22 00:13:29,2022-03-22 00:14:42
2022-03-22 16:19:58,2022-03-22 16:20:25,Standing_With_Movement,annotator,PA TYPE,2022-03-22 00:14:42,2022-03-22 00:15:09
2022-03-22 16:20:27,2022-03-22 16:20:41,Walking,annotator,PA TYPE,2022-03-22 00:15:11,2022-03-22 00:15:25
2022-03-22 16:20:42,2022-03-22 16:27:43,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 00:15:26,2022-03-22 00:22:27
2022-03-22 16:27:48,2022-03-22 16:41:25,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 00:22:32,2022-03-22 00:36:09
2022-03-22 17:43:28,2022-03-22 17:43:47,Walking,annotator,PA TYPE,2022-03-22 01:38:12,2022-03-22 01:38:31
2022-03-22 17:43:48,2022-03-22 17:44:29,Walking_Down_Stairs,annotator,PA TYPE,2022-03-22 01:38:32,2022-03-22 01:39:13
2022-03-22 17:44:30,2022-03-22 17:44:38,Walking,annotator,PA TYPE,2022-03-22 01:39:14,2022-03-22 01:39:22
2022-03-22 17:44:40,2022-03-22 17:47:30,Walking,annotator,PA TYPE,2022-03-22 01:39:24,2022-03-22 01:42:14
2022-03-22 17:47:33,2022-03-22 17:49:08,Walking,annotator,PA TYPE,2022-03-22 01:42:17,2022-03-22 01:43:52
2022-03-22 17:49:15,2022-03-22 17:50:48,Walking,annotator,PA TYPE,2022-03-22 01:43:59,2022-03-22 01:45:32
2022-03-22 17:50:49,2022-03-22 17:50:59,Walking,annotator,PA TYPE,2022-03-22 01:45:33,2022-03-22 01:45:43
2022-03-22 17:51:00,2022-03-22 17:51:14,Walking,annotator,PA TYPE,2022-03-22 01:45:44,2022-03-22 01:45:58
2022-03-22 17:51:34,2022-03-22 17:52:03,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:46:18,2022-03-22 01:46:47
2022-03-22 17:52:04,2022-03-22 17:56:54,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:46:48,2022-03-22 01:51:38
2022-03-22 17:56:57,2022-03-22 17:58:02,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:51:41,2022-03-22 01:52:46
2022-03-22 17:58:03,2022-03-22 18:00:04,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:52:47,2022-03-22 01:54:48
2022-03-22 18:00:13,2022-03-22 18:01:31,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:54:57,2022-03-22 01:56:15
2022-03-22 18:01:33,2022-03-22 18:02:59,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:56:17,2022-03-22 01:57:43
2022-03-22 18:03:05,2022-03-22 18:03:46,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:57:49,2022-03-22 01:58:30
2022-03-22 18:03:47,2022-03-22 18:04:48,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:58:31,2022-03-22 01:59:32
2022-03-22 18:04:51,2022-03-22 18:08:25,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 01:59:35,2022-03-22 02:03:09
2022-03-22 18:08:27,2022-03-22 18:24:45,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 02:03:11,2022-03-22 02:19:29
2022-03-22 18:24:52,2022-03-22 18:25:20,Walking,annotator,PA TYPE,2022-03-22 02:19:36,2022-03-22 02:20:04
2022-03-22 18:25:30,2022-03-22 18:25:33,Walking,annotator,PA TYPE,2022-03-22 02:20:14,2022-03-22 02:20:17
2022-03-22 18:25:36,2022-03-22 18:25:54,Walking,annotator,PA TYPE,2022-03-22 02:20:20,2022-03-22 02:20:38
2022-03-22 18:25:54,2022-03-22 18:26:50,Walking,annotator,PA TYPE,2022-03-22 02:20:38,2022-03-22 02:21:34
2022-03-22 18:26:50,2022-03-22 18:27:05,Walking,annotator,PA TYPE,2022-03-22 02:21:34,2022-03-22 02:21:49
2022-03-22 18:27:11,2022-03-22 18:27:49,Walking,annotator,PA TYPE,2022-03-22 02:21:55,2022-03-22 02:22:33
2022-03-22 18:27:56,2022-03-22 18:29:37,Walking,annotator,PA TYPE,2022-03-22 02:22:40,2022-03-22 02:24:21
2022-03-22 18:29:39,2022-03-22 18:30:09,Walking,annotator,PA TYPE,2022-03-22 02:24:23,2022-03-22 02:24:53
2022-03-22 18:30:10,2022-03-22 18:30:35,Walking_Up_Stairs,annotator,PA TYPE,2022-03-22 02:24:54,2022-03-22 02:25:19
2022-03-22 18:30:39,2022-03-22 18:31:34,Walking,annotator,PA TYPE,2022-03-22 02:25:23,2022-03-22 02:26:18
2022-03-22 18:31:37,2022-03-22 18:36:54,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 02:26:21,2022-03-22 02:31:38
2022-03-22 18:36:55,2022-03-22 18:51:05,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 02:31:39,2022-03-22 02:45:49
2022-03-22 18:51:12,2022-03-22 18:52:07,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 02:45:56,2022-03-22 02:46:51
2022-03-22 18:52:08,2022-03-22 18:53:45,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 02:46:52,2022-03-22 02:48:29
2022-03-22 18:53:46,2022-03-22 18:55:14,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 02:48:30,2022-03-22 02:49:58
2022-03-22 18:55:19,2022-03-22 19:40:38,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 02:50:03,2022-03-22 03:35:22
2022-03-22 19:40:43,2022-03-22 20:05:18,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 03:35:27,2022-03-22 04:00:02
2022-03-22 20:05:20,2022-03-22 20:25:39,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 04:00:04,2022-03-22 04:20:23
2022-03-22 20:25:44,2022-03-22 20:47:37,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 04:20:28,2022-03-22 04:42:21
2022-03-22 20:47:40,2022-03-22 21:22:39,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 04:42:24,2022-03-22 05:17:23
2022-03-22 21:22:44,2022-03-22 22:25:03,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 05:17:28,2022-03-22 06:19:47
2022-03-22 22:25:09,2022-03-22 22:44:54,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 06:19:53,2022-03-22 06:39:38
2022-03-22 22:45:02,2022-03-22 22:47:37,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 06:39:46,2022-03-22 06:42:21
2022-03-22 22:47:40,2022-03-22 22:51:24,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 06:42:24,2022-03-22 06:46:08
2022-03-22 22:51:27,2022-03-22 23:00:17,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 06:46:11,2022-03-22 06:55:01
2022-03-22 23:00:19,2022-03-22 23:15:48,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 06:55:03,2022-03-22 07:10:32
2022-03-22 23:16:00,2022-03-22 23:16:13,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 07:10:44,2022-03-22 07:10:57
2022-03-22 23:16:19,2022-03-22 23:24:17,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 07:11:03,2022-03-22 07:19:01
2022-03-22 23:24:23,2022-03-22 23:40:06,Sitting_With_Movement,annotator,PA TYPE,2022-03-22 07:19:07,2022-03-22 07:34:50
2022-03-22 23:40:07,2022-03-22 23:43:21,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-22 07:34:51,2022-03-22 07:38:05
