START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-25 13:35:30,2022-03-25 13:35:52,In_Position_Upright,annotator,POSTURE,2022-03-25 00:00:08,2022-03-25 00:00:30
2022-03-25 13:35:52,2022-03-25 13:56:31,In_Position_Sitting,annotator,POSTURE,2022-03-25 00:00:30,2022-03-25 00:21:09
2022-03-25 13:56:31,2022-03-25 15:19:00,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-03-25 00:21:09,2022-03-25 01:43:38
2022-03-25 15:19:00,2022-03-25 15:19:31,In_Position_Upright,annotator,POSTURE,2022-03-25 01:43:38,2022-03-25 01:44:09
2022-03-25 15:19:31,2022-03-25 15:19:41,In_Position_Upright,annotator,POSTURE,2022-03-25 01:44:09,2022-03-25 01:44:19
2022-03-25 15:19:41,2022-03-25 15:19:49,In_Position_Upright,annotator,POSTURE,2022-03-25 01:44:19,2022-03-25 01:44:27
2022-03-25 15:19:50,2022-03-25 15:20:03,In_Position_Upright,annotator,POSTURE,2022-03-25 01:44:28,2022-03-25 01:44:41
2022-03-25 15:20:03,2022-03-25 15:20:34,In_Position_Upright,annotator,POSTURE,2022-03-25 01:44:41,2022-03-25 01:45:12
2022-03-25 15:20:34,2022-03-25 15:20:59,In_Position_Upright,annotator,POSTURE,2022-03-25 01:45:12,2022-03-25 01:45:37
2022-03-25 15:20:59,2022-03-25 15:21:54,In_Position_Upright,annotator,POSTURE,2022-03-25 01:45:37,2022-03-25 01:46:32
2022-03-25 15:21:54,2022-03-25 15:22:03,In_Position_Upright,annotator,POSTURE,2022-03-25 01:46:32,2022-03-25 01:46:41
2022-03-25 15:22:03,2022-03-25 15:23:07,In_Position_Upright,annotator,POSTURE,2022-03-25 01:46:41,2022-03-25 01:47:45
2022-03-25 15:23:07,2022-03-25 15:23:16,In_Position_Upright,annotator,POSTURE,2022-03-25 01:47:45,2022-03-25 01:47:54
2022-03-25 15:23:16,2022-03-25 15:23:45,In_Position_Upright,annotator,POSTURE,2022-03-25 01:47:54,2022-03-25 01:48:23
2022-03-25 15:23:47,2022-03-25 15:23:59,In_Position_Upright,annotator,POSTURE,2022-03-25 01:48:25,2022-03-25 01:48:37
2022-03-25 15:23:59,2022-03-25 15:25:24,In_Position_Upright,annotator,POSTURE,2022-03-25 01:48:37,2022-03-25 01:50:02
2022-03-25 15:25:24,2022-03-25 15:27:03,In_Position_Sitting,annotator,POSTURE,2022-03-25 01:50:02,2022-03-25 01:51:41
2022-03-25 15:27:03,2022-03-25 15:28:33,In_Position_Sitting,annotator,POSTURE,2022-03-25 01:51:41,2022-03-25 01:53:11
2022-03-25 15:28:33,2022-03-25 15:28:51,In_Position_Upright,annotator,POSTURE,2022-03-25 01:53:11,2022-03-25 01:53:29
2022-03-25 15:28:51,2022-03-25 15:29:14,In_Position_Sitting,annotator,POSTURE,2022-03-25 01:53:29,2022-03-25 01:53:52
2022-03-25 15:29:14,2022-03-25 15:31:00,In_Position_Upright,annotator,POSTURE,2022-03-25 01:53:52,2022-03-25 01:55:38
2022-03-25 15:31:00,2022-03-25 15:32:38,In_Position_Upright,annotator,POSTURE,2022-03-25 01:55:38,2022-03-25 01:57:16
2022-03-25 15:32:38,2022-03-25 15:32:48,In_Position_Upright,annotator,POSTURE,2022-03-25 01:57:16,2022-03-25 01:57:26
2022-03-25 15:32:48,2022-03-25 15:33:12,In_Position_Upright,annotator,POSTURE,2022-03-25 01:57:26,2022-03-25 01:57:50
2022-03-25 15:33:12,2022-03-25 15:33:34,In_Position_Upright,annotator,POSTURE,2022-03-25 01:57:50,2022-03-25 01:58:12
2022-03-25 15:33:34,2022-03-25 15:33:43,In_Position_Upright,annotator,POSTURE,2022-03-25 01:58:12,2022-03-25 01:58:21
2022-03-25 15:33:43,2022-03-25 15:34:03,In_Position_Upright,annotator,POSTURE,2022-03-25 01:58:21,2022-03-25 01:58:41
2022-03-25 15:34:03,2022-03-25 15:34:18,In_Position_Upright,annotator,POSTURE,2022-03-25 01:58:41,2022-03-25 01:58:56
2022-03-25 15:34:18,2022-03-25 15:36:14,In_Position_Upright,annotator,POSTURE,2022-03-25 01:58:56,2022-03-25 02:00:52
2022-03-25 15:36:14,2022-03-25 15:36:26,In_Position_Upright,annotator,POSTURE,2022-03-25 02:00:52,2022-03-25 02:01:04
2022-03-25 15:36:26,2022-03-25 15:37:40,In_Position_Upright,annotator,POSTURE,2022-03-25 02:01:04,2022-03-25 02:02:18
2022-03-25 15:37:40,2022-03-25 15:38:11,In_Position_Upright,annotator,POSTURE,2022-03-25 02:02:18,2022-03-25 02:02:49
2022-03-25 15:38:11,2022-03-25 15:42:55,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:02:49,2022-03-25 02:07:33
2022-03-25 15:42:55,2022-03-25 15:43:15,In_Position_Upright,annotator,POSTURE,2022-03-25 02:07:33,2022-03-25 02:07:53
2022-03-25 15:43:15,2022-03-25 15:45:10,In_Position_Upright,annotator,POSTURE,2022-03-25 02:07:53,2022-03-25 02:09:48
2022-03-25 15:45:10,2022-03-25 15:45:26,In_Position_Upright,annotator,POSTURE,2022-03-25 02:09:48,2022-03-25 02:10:04
2022-03-25 15:45:26,2022-03-25 15:47:56,In_Position_Upright,annotator,POSTURE,2022-03-25 02:10:04,2022-03-25 02:12:34
2022-03-25 15:47:56,2022-03-25 15:48:09,In_Position_Upright,annotator,POSTURE,2022-03-25 02:12:34,2022-03-25 02:12:47
2022-03-25 15:48:09,2022-03-25 15:48:58,In_Position_Upright,annotator,POSTURE,2022-03-25 02:12:47,2022-03-25 02:13:36
2022-03-25 15:48:59,2022-03-25 15:49:11,In_Position_Upright,annotator,POSTURE,2022-03-25 02:13:37,2022-03-25 02:13:49
2022-03-25 15:49:11,2022-03-25 15:49:55,In_Position_Upright,annotator,POSTURE,2022-03-25 02:13:49,2022-03-25 02:14:33
2022-03-25 15:49:55,2022-03-25 15:50:43,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:14:33,2022-03-25 02:15:21
2022-03-25 15:50:43,2022-03-25 15:52:03,In_Position_Upright,annotator,POSTURE,2022-03-25 02:15:21,2022-03-25 02:16:41
2022-03-25 15:52:03,2022-03-25 15:52:19,In_Position_Upright,annotator,POSTURE,2022-03-25 02:16:41,2022-03-25 02:16:57
2022-03-25 15:52:19,2022-03-25 15:53:15,In_Position_Upright,annotator,POSTURE,2022-03-25 02:16:57,2022-03-25 02:17:53
2022-03-25 15:53:15,2022-03-25 15:53:37,In_Position_Upright,annotator,POSTURE,2022-03-25 02:17:53,2022-03-25 02:18:15
2022-03-25 15:53:37,2022-03-25 15:53:53,In_Position_Upright,annotator,POSTURE,2022-03-25 02:18:15,2022-03-25 02:18:31
2022-03-25 15:53:53,2022-03-25 16:00:10,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:18:31,2022-03-25 02:24:48
2022-03-25 16:00:10,2022-03-25 16:01:02,In_Position_Upright,annotator,POSTURE,2022-03-25 02:24:48,2022-03-25 02:25:40
2022-03-25 16:01:02,2022-03-25 16:07:24,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:25:40,2022-03-25 02:32:02
2022-03-25 16:07:24,2022-03-25 16:08:42,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:32:02,2022-03-25 02:33:20
2022-03-25 16:08:42,2022-03-25 16:17:32,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:33:20,2022-03-25 02:42:10
2022-03-25 16:17:32,2022-03-25 16:19:11,In_Position_Upright,annotator,POSTURE,2022-03-25 02:42:10,2022-03-25 02:43:49
2022-03-25 16:19:34,2022-03-25 16:25:23,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:44:12,2022-03-25 02:50:01
2022-03-25 16:25:23,2022-03-25 16:26:01,In_Position_Upright,annotator,POSTURE,2022-03-25 02:50:01,2022-03-25 02:50:39
2022-03-25 16:26:01,2022-03-25 16:26:17,In_Position_Upright,annotator,POSTURE,2022-03-25 02:50:39,2022-03-25 02:50:55
2022-03-25 16:26:17,2022-03-25 16:28:42,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:50:55,2022-03-25 02:53:20
2022-03-25 16:28:42,2022-03-25 16:29:28,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:53:20,2022-03-25 02:54:06
2022-03-25 16:29:28,2022-03-25 16:42:52,In_Position_Sitting,annotator,POSTURE,2022-03-25 02:54:06,2022-03-25 03:07:30
2022-03-25 16:42:52,2022-03-25 16:44:42,In_Position_Sitting,annotator,POSTURE,2022-03-25 03:07:30,2022-03-25 03:09:20
2022-03-25 16:45:22,2022-03-25 16:46:28,In_Position_Upright,annotator,POSTURE,2022-03-25 03:10:00,2022-03-25 03:11:06
2022-03-25 16:46:28,2022-03-25 16:47:54,In_Position_Upright,annotator,POSTURE,2022-03-25 03:11:06,2022-03-25 03:12:32
2022-03-25 16:47:54,2022-03-25 16:50:03,In_Position_Sitting,annotator,POSTURE,2022-03-25 03:12:32,2022-03-25 03:14:41
2022-03-25 16:50:03,2022-03-25 16:50:18,In_Position_Upright,annotator,POSTURE,2022-03-25 03:14:41,2022-03-25 03:14:56
2022-03-25 16:50:18,2022-03-25 16:50:29,In_Position_Upright,annotator,POSTURE,2022-03-25 03:14:56,2022-03-25 03:15:07
2022-03-25 16:50:29,2022-03-25 16:51:58,In_Position_Upright,annotator,POSTURE,2022-03-25 03:15:07,2022-03-25 03:16:36
2022-03-25 16:51:58,2022-03-25 16:53:52,In_Position_Sitting,annotator,POSTURE,2022-03-25 03:16:36,2022-03-25 03:18:30
2022-03-25 16:53:52,2022-03-25 16:59:51,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-03-25 03:18:30,2022-03-25 03:24:29
2022-03-25 16:59:51,2022-03-25 17:28:24,In_Position_Sitting,annotator,POSTURE,2022-03-25 03:24:29,2022-03-25 03:53:02
2022-03-25 17:28:24,2022-03-25 17:29:33,In_Position_Upright,annotator,POSTURE,2022-03-25 03:53:02,2022-03-25 03:54:11
2022-03-25 17:29:34,2022-03-25 17:32:22,In_Position_Upright,annotator,POSTURE,2022-03-25 03:54:12,2022-03-25 03:57:00
2022-03-25 17:32:22,2022-03-25 17:32:29,In_Position_Upright,annotator,POSTURE,2022-03-25 03:57:00,2022-03-25 03:57:07
2022-03-25 17:32:29,2022-03-25 17:32:51,In_Position_Upright,annotator,POSTURE,2022-03-25 03:57:07,2022-03-25 03:57:29
2022-03-25 17:32:51,2022-03-25 17:33:11,In_Position_Upright,annotator,POSTURE,2022-03-25 03:57:29,2022-03-25 03:57:49
2022-03-25 17:33:11,2022-03-25 17:35:17,In_Position_Upright,annotator,POSTURE,2022-03-25 03:57:49,2022-03-25 03:59:55
2022-03-25 17:35:17,2022-03-25 17:38:01,In_Position_Upright,annotator,POSTURE,2022-03-25 03:59:55,2022-03-25 04:02:39
2022-03-25 17:38:01,2022-03-25 17:38:27,In_Position_Upright,annotator,POSTURE,2022-03-25 04:02:39,2022-03-25 04:03:05
2022-03-25 17:38:27,2022-03-25 17:38:41,In_Position_Upright,annotator,POSTURE,2022-03-25 04:03:05,2022-03-25 04:03:19
2022-03-25 17:38:41,2022-03-25 17:39:05,In_Position_Upright,annotator,POSTURE,2022-03-25 04:03:19,2022-03-25 04:03:43
2022-03-25 17:39:05,2022-03-25 17:39:41,In_Position_Upright,annotator,POSTURE,2022-03-25 04:03:43,2022-03-25 04:04:19
2022-03-25 17:39:42,2022-03-25 17:40:04,In_Position_Upright,annotator,POSTURE,2022-03-25 04:04:20,2022-03-25 04:04:42
2022-03-25 17:40:04,2022-03-25 17:40:37,In_Position_Upright,annotator,POSTURE,2022-03-25 04:04:42,2022-03-25 04:05:15
2022-03-25 17:40:37,2022-03-25 17:40:59,In_Position_Upright,annotator,POSTURE,2022-03-25 04:05:15,2022-03-25 04:05:37
2022-03-25 17:40:59,2022-03-25 17:44:13,In_Position_Upright,annotator,POSTURE,2022-03-25 04:05:37,2022-03-25 04:08:51
2022-03-25 17:44:13,2022-03-25 17:45:04,In_Position_Upright,annotator,POSTURE,2022-03-25 04:08:51,2022-03-25 04:09:42
2022-03-25 17:45:04,2022-03-25 17:46:17,In_Position_Upright,annotator,POSTURE,2022-03-25 04:09:42,2022-03-25 04:10:55
2022-03-25 17:46:17,2022-03-25 17:46:35,In_Position_Upright,annotator,POSTURE,2022-03-25 04:10:55,2022-03-25 04:11:13
2022-03-25 17:46:35,2022-03-25 17:46:51,In_Position_Upright,annotator,POSTURE,2022-03-25 04:11:13,2022-03-25 04:11:29
2022-03-25 17:46:51,2022-03-25 17:47:36,In_Position_Upright,annotator,POSTURE,2022-03-25 04:11:29,2022-03-25 04:12:14
2022-03-25 17:47:36,2022-03-25 17:50:35,In_Position_Sitting,annotator,POSTURE,2022-03-25 04:12:14,2022-03-25 04:15:13
2022-03-25 17:50:35,2022-03-25 17:51:32,In_Position_Sitting,annotator,POSTURE,2022-03-25 04:15:13,2022-03-25 04:16:10
2022-03-25 17:51:32,2022-03-25 17:58:51,In_Position_Sitting,annotator,POSTURE,2022-03-25 04:16:10,2022-03-25 04:23:29
2022-03-25 17:58:51,2022-03-25 17:59:19,In_Position_Upright,annotator,POSTURE,2022-03-25 04:23:29,2022-03-25 04:23:57
2022-03-25 17:59:19,2022-03-25 18:21:06,In_Position_Sitting,annotator,POSTURE,2022-03-25 04:23:57,2022-03-25 04:45:44
2022-03-25 18:21:06,2022-03-25 18:23:14,In_Position_Upright,annotator,POSTURE,2022-03-25 04:45:44,2022-03-25 04:47:52
2022-03-25 18:23:14,2022-03-25 18:23:29,In_Position_Upright,annotator,POSTURE,2022-03-25 04:47:52,2022-03-25 04:48:07
2022-03-25 18:23:29,2022-03-25 18:23:59,In_Position_Upright,annotator,POSTURE,2022-03-25 04:48:07,2022-03-25 04:48:37
2022-03-25 18:23:59,2022-03-25 18:26:06,In_Position_Upright,annotator,POSTURE,2022-03-25 04:48:37,2022-03-25 04:50:44
2022-03-25 18:26:06,2022-03-25 18:26:28,In_Position_Upright,annotator,POSTURE,2022-03-25 04:50:44,2022-03-25 04:51:06
2022-03-25 18:26:59,2022-03-25 18:26:59,In_Position_Upright,annotator,POSTURE,2022-03-25 04:51:37,2022-03-25 04:51:37
2022-03-25 18:27:02,2022-03-25 18:27:42,In_Position_Upright,annotator,POSTURE,2022-03-25 04:51:40,2022-03-25 04:52:20
2022-03-25 18:27:42,2022-03-25 20:47:05,In_Position_Sitting,annotator,POSTURE,2022-03-25 04:52:20,2022-03-25 07:11:43
