START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-29 20:29:52,2022-03-29 20:30:29,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-29 00:00:00,2022-03-29 00:00:37
2022-03-29 20:30:29,2022-03-29 20:33:33,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:00:37,2022-03-29 00:03:41
2022-03-29 20:33:33,2022-03-29 20:34:27,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:03:41,2022-03-29 00:04:35
2022-03-29 20:34:27,2022-03-29 20:34:49,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:04:35,2022-03-29 00:04:57
2022-03-29 20:34:49,2022-03-29 20:35:12,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:04:57,2022-03-29 00:05:20
2022-03-29 20:35:12,2022-03-29 20:36:36,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:05:20,2022-03-29 00:06:44
2022-03-29 20:36:36,2022-03-29 20:37:27,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:06:44,2022-03-29 00:07:35
2022-03-29 20:37:27,2022-03-29 20:37:42,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:07:35,2022-03-29 00:07:50
2022-03-29 20:37:42,2022-03-29 20:37:56,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:07:50,2022-03-29 00:08:04
2022-03-29 20:37:56,2022-03-29 20:38:25,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:08:04,2022-03-29 00:08:33
2022-03-29 20:38:25,2022-03-29 20:39:06,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:08:33,2022-03-29 00:09:14
2022-03-29 20:39:06,2022-03-29 20:39:32,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:09:14,2022-03-29 00:09:40
2022-03-29 20:39:32,2022-03-29 20:44:17,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:09:40,2022-03-29 00:14:25
2022-03-29 20:44:17,2022-03-29 20:45:51,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:14:25,2022-03-29 00:15:59
2022-03-29 20:45:51,2022-03-29 20:49:29,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:15:59,2022-03-29 00:19:37
2022-03-29 20:49:29,2022-03-29 20:49:35,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:19:37,2022-03-29 00:19:43
2022-03-29 20:49:35,2022-03-29 20:52:35,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:19:43,2022-03-29 00:22:43
2022-03-29 20:52:35,2022-03-29 20:52:43,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:22:43,2022-03-29 00:22:51
2022-03-29 20:52:43,2022-03-29 20:58:10,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:22:51,2022-03-29 00:28:18
2022-03-29 20:58:10,2022-03-29 20:58:19,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:28:18,2022-03-29 00:28:27
2022-03-29 20:58:19,2022-03-29 21:13:06,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:28:27,2022-03-29 00:43:14
2022-03-29 21:13:06,2022-03-29 21:17:25,Sitting_With_Movement,annotator,PA TYPE,2022-03-29 00:43:14,2022-03-29 00:47:33
2022-03-29 21:17:25,2022-03-29 21:20:35,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-29 00:47:33,2022-03-29 00:50:43
2022-03-29 21:20:35,2022-03-29 21:20:44,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:50:43,2022-03-29 00:50:52
2022-03-29 21:20:44,2022-03-29 21:21:37,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:50:52,2022-03-29 00:51:45
2022-03-29 21:21:37,2022-03-29 21:21:49,Walking,annotator,PA TYPE,2022-03-29 00:51:45,2022-03-29 00:51:57
2022-03-29 21:21:49,2022-03-29 21:24:32,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:51:57,2022-03-29 00:54:40
2022-03-29 21:24:32,2022-03-29 21:24:41,Walking,annotator,PA TYPE,2022-03-29 00:54:40,2022-03-29 00:54:49
2022-03-29 21:24:41,2022-03-29 21:25:14,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:54:49,2022-03-29 00:55:22
2022-03-29 21:25:14,2022-03-29 21:25:34,Walking,annotator,PA TYPE,2022-03-29 00:55:22,2022-03-29 00:55:42
2022-03-29 21:25:34,2022-03-29 21:25:45,Walking,annotator,PA TYPE,2022-03-29 00:55:42,2022-03-29 00:55:53
2022-03-29 21:25:46,2022-03-29 21:26:09,Standing_With_Movement,annotator,PA TYPE,2022-03-29 00:55:54,2022-03-29 00:56:17
2022-03-29 21:26:09,2022-03-29 21:26:27,Walking,annotator,PA TYPE,2022-03-29 00:56:17,2022-03-29 00:56:35
2022-03-29 21:26:27,2022-03-29 21:34:06,Walking,annotator,PA TYPE,2022-03-29 00:56:35,2022-03-29 01:04:14
2022-03-29 21:34:06,2022-03-29 21:34:16,Walking,annotator,PA TYPE,2022-03-29 01:04:14,2022-03-29 01:04:24
2022-03-29 21:34:16,2022-03-29 21:34:20,Walking_Up_Stairs,annotator,PA TYPE,2022-03-29 01:04:24,2022-03-29 01:04:28
2022-03-29 21:34:20,2022-03-29 21:34:59,Walking,annotator,PA TYPE,2022-03-29 01:04:28,2022-03-29 01:05:07
