START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-29 20:29:52,2022-03-29 20:30:29,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-03-29 00:00:00,2022-03-29 00:00:37
2022-03-29 20:30:29,2022-03-29 20:33:33,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:00:37,2022-03-29 00:03:41
2022-03-29 20:33:33,2022-03-29 20:34:27,In_Position_Upright,annotator,POSTURE,2022-03-29 00:03:41,2022-03-29 00:04:35
2022-03-29 20:34:27,2022-03-29 20:34:49,In_Position_Upright,annotator,POSTURE,2022-03-29 00:04:35,2022-03-29 00:04:57
2022-03-29 20:34:49,2022-03-29 20:35:12,In_Position_Upright,annotator,POSTURE,2022-03-29 00:04:57,2022-03-29 00:05:20
2022-03-29 20:35:12,2022-03-29 20:36:36,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:05:20,2022-03-29 00:06:44
2022-03-29 20:36:36,2022-03-29 20:37:27,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:06:44,2022-03-29 00:07:35
2022-03-29 20:37:27,2022-03-29 20:37:42,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:07:35,2022-03-29 00:07:50
2022-03-29 20:37:42,2022-03-29 20:37:56,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:07:50,2022-03-29 00:08:04
2022-03-29 20:37:56,2022-03-29 20:38:25,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:08:04,2022-03-29 00:08:33
2022-03-29 20:38:25,2022-03-29 20:39:06,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:08:33,2022-03-29 00:09:14
2022-03-29 20:39:06,2022-03-29 20:39:32,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:09:14,2022-03-29 00:09:40
2022-03-29 20:39:32,2022-03-29 20:44:17,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:09:40,2022-03-29 00:14:25
2022-03-29 20:44:17,2022-03-29 20:45:51,In_Position_Upright,annotator,POSTURE,2022-03-29 00:14:25,2022-03-29 00:15:59
2022-03-29 20:45:51,2022-03-29 20:49:29,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:15:59,2022-03-29 00:19:37
2022-03-29 20:49:29,2022-03-29 20:49:35,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:19:37,2022-03-29 00:19:43
2022-03-29 20:49:35,2022-03-29 20:52:35,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:19:43,2022-03-29 00:22:43
2022-03-29 20:52:35,2022-03-29 20:52:43,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:22:43,2022-03-29 00:22:51
2022-03-29 20:52:43,2022-03-29 20:58:10,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:22:51,2022-03-29 00:28:18
2022-03-29 20:58:10,2022-03-29 20:58:19,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:28:18,2022-03-29 00:28:27
2022-03-29 20:58:19,2022-03-29 21:13:06,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:28:27,2022-03-29 00:43:14
2022-03-29 21:13:06,2022-03-29 21:17:25,In_Position_Sitting,annotator,POSTURE,2022-03-29 00:43:14,2022-03-29 00:47:33
2022-03-29 21:17:25,2022-03-29 21:20:35,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-03-29 00:47:33,2022-03-29 00:50:43
2022-03-29 21:20:35,2022-03-29 21:20:44,In_Position_Upright,annotator,POSTURE,2022-03-29 00:50:43,2022-03-29 00:50:52
2022-03-29 21:20:44,2022-03-29 21:21:37,In_Position_Upright,annotator,POSTURE,2022-03-29 00:50:52,2022-03-29 00:51:45
2022-03-29 21:21:37,2022-03-29 21:21:49,In_Position_Upright,annotator,POSTURE,2022-03-29 00:51:45,2022-03-29 00:51:57
2022-03-29 21:21:49,2022-03-29 21:24:32,In_Position_Upright,annotator,POSTURE,2022-03-29 00:51:57,2022-03-29 00:54:40
2022-03-29 21:24:32,2022-03-29 21:24:41,In_Position_Upright,annotator,POSTURE,2022-03-29 00:54:40,2022-03-29 00:54:49
2022-03-29 21:24:41,2022-03-29 21:25:14,In_Position_Upright,annotator,POSTURE,2022-03-29 00:54:49,2022-03-29 00:55:22
2022-03-29 21:25:14,2022-03-29 21:25:34,In_Position_Upright,annotator,POSTURE,2022-03-29 00:55:22,2022-03-29 00:55:42
2022-03-29 21:25:34,2022-03-29 21:25:45,In_Position_Upright,annotator,POSTURE,2022-03-29 00:55:42,2022-03-29 00:55:53
2022-03-29 21:25:46,2022-03-29 21:26:09,In_Position_Upright,annotator,POSTURE,2022-03-29 00:55:54,2022-03-29 00:56:17
2022-03-29 21:26:09,2022-03-29 21:26:27,In_Position_Upright,annotator,POSTURE,2022-03-29 00:56:17,2022-03-29 00:56:35
2022-03-29 21:26:27,2022-03-29 21:34:06,In_Position_Upright,annotator,POSTURE,2022-03-29 00:56:35,2022-03-29 01:04:14
2022-03-29 21:34:06,2022-03-29 21:34:16,In_Position_Upright,annotator,POSTURE,2022-03-29 01:04:14,2022-03-29 01:04:24
2022-03-29 21:34:16,2022-03-29 21:34:20,In_Position_Upright,annotator,POSTURE,2022-03-29 01:04:24,2022-03-29 01:04:28
2022-03-29 21:34:20,2022-03-29 21:34:59,In_Position_Upright,annotator,POSTURE,2022-03-29 01:04:28,2022-03-29 01:05:07
2022-03-29 21:34:59,2022-03-29 21:35:24,In_Position_Upright,annotator,POSTURE,2022-03-29 01:05:07,2022-03-29 01:05:32
2022-03-29 21:35:24,2022-03-29 21:35:35,In_Position_Upright,annotator,POSTURE,2022-03-29 01:05:32,2022-03-29 01:05:43
2022-03-29 21:35:35,2022-03-29 21:36:55,In_Position_Upright,annotator,POSTURE,2022-03-29 01:05:43,2022-03-29 01:07:03
2022-03-29 21:36:55,2022-03-29 23:14:26,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-03-29 01:07:03,2022-03-29 02:44:34
2022-03-29 23:14:26,2022-03-29 23:24:49,In_Position_Sitting,annotator,POSTURE,2022-03-29 02:44:34,2022-03-29 02:54:57
2022-03-29 23:24:50,2022-03-29 23:43:53,In_Position_Sitting,annotator,POSTURE,2022-03-29 02:54:58,2022-03-29 03:14:01
2022-03-29 23:43:53,2022-03-29 23:46:40,In_Position_Sitting,annotator,POSTURE,2022-03-29 03:14:01,2022-03-29 03:16:48
2022-03-29 23:46:40,2022-03-29 23:47:00,In_Position_Upright,annotator,POSTURE,2022-03-29 03:16:48,2022-03-29 03:17:08
2022-03-29 23:47:00,2022-03-30 00:01:15,In_Position_Sitting,annotator,POSTURE,2022-03-29 03:17:08,2022-03-29 03:31:23
2022-03-30 00:01:15,2022-03-30 00:22:04,In_Position_Sitting,annotator,POSTURE,2022-03-29 03:31:23,2022-03-29 03:52:12
2022-03-30 00:22:04,2022-03-30 00:24:27,In_Position_Sitting,annotator,POSTURE,2022-03-29 03:52:12,2022-03-29 03:54:35
2022-03-30 00:24:27,2022-03-30 00:26:21,In_Position_Sitting,annotator,POSTURE,2022-03-29 03:54:35,2022-03-29 03:56:29
2022-03-30 00:26:21,2022-03-30 00:28:58,In_Position_Sitting,annotator,POSTURE,2022-03-29 03:56:29,2022-03-29 03:59:06
2022-03-30 00:28:58,2022-03-30 00:31:08,In_Position_Sitting,annotator,POSTURE,2022-03-29 03:59:06,2022-03-29 04:01:16
2022-03-30 00:31:08,2022-03-30 00:31:26,In_Position_Upright,annotator,POSTURE,2022-03-29 04:01:16,2022-03-29 04:01:34
2022-03-30 00:31:26,2022-03-30 00:31:59,In_Position_Upright,annotator,POSTURE,2022-03-29 04:01:34,2022-03-29 04:02:07
2022-03-30 00:31:59,2022-03-30 00:32:24,In_Position_Upright,annotator,POSTURE,2022-03-29 04:02:07,2022-03-29 04:02:32
