START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-02 17:57:34,2022-04-02 17:58:23,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 00:00:00,2022-04-02 00:00:49
2022-04-02 17:58:23,2022-04-02 18:09:12,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 00:00:49,2022-04-02 00:11:38
2022-04-02 18:09:12,2022-04-02 18:09:27,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 00:11:38,2022-04-02 00:11:53
2022-04-02 18:09:27,2022-04-02 18:10:07,Located_Indoors,annotator,Behavioral Parameters,2022-04-02 00:11:53,2022-04-02 00:12:33
2022-04-02 18:10:07,2022-04-02 18:10:52,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 00:12:33,2022-04-02 00:13:18
2022-04-02 18:10:52,2022-04-02 18:14:40,Located_Indoors, Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-02 00:13:18,2022-04-02 00:17:06
2022-04-02 18:14:40,2022-04-02 18:15:45,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-02 00:17:06,2022-04-02 00:18:11
2022-04-02 18:15:45,2022-04-02 18:16:38,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-02 00:18:11,2022-04-02 00:19:04
2022-04-02 18:16:38,2022-04-02 18:16:45,Located_Indoors, Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-02 00:19:04,2022-04-02 00:19:11
2022-04-02 18:16:45,2022-04-02 18:18:54,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 00:19:11,2022-04-02 00:21:20
2022-04-02 18:18:54,2022-04-02 18:20:53,Located_Outdoors, Holding_Drink,annotator,Behavioral Parameters,2022-04-02 00:21:20,2022-04-02 00:23:19
2022-04-02 18:20:53,2022-04-02 18:21:21,Located_Outdoors, Holding_Drink,annotator,Behavioral Parameters,2022-04-02 00:23:19,2022-04-02 00:23:47
2022-04-02 18:21:33,2022-04-02 19:09:41,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 00:23:59,2022-04-02 01:12:07
2022-04-02 19:09:41,2022-04-02 19:11:17,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 01:12:07,2022-04-02 01:13:43
2022-04-02 19:11:21,2022-04-02 19:16:31,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 01:13:47,2022-04-02 01:18:57
2022-04-02 19:16:31,2022-04-02 19:17:58,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 01:18:57,2022-04-02 01:20:24
2022-04-02 19:17:58,2022-04-02 19:18:12,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 01:20:24,2022-04-02 01:20:38
2022-04-02 19:18:12,2022-04-02 19:19:01,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 01:20:38,2022-04-02 01:21:27
2022-04-02 19:19:01,2022-04-02 19:21:49,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 01:21:27,2022-04-02 01:24:15
2022-04-02 19:21:49,2022-04-02 19:23:42,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 01:24:15,2022-04-02 01:26:08
2022-04-02 19:23:42,2022-04-02 19:24:07,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 01:26:08,2022-04-02 01:26:33
2022-04-02 19:24:07,2022-04-02 19:27:13,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 01:26:33,2022-04-02 01:29:39
2022-04-02 19:27:13,2022-04-02 19:33:00,Located_Outdoors, Holding_Other_Object_Light, Texting/Browsing_Phone, In_Conversation,annotator,Behavioral Parameters,2022-04-02 01:29:39,2022-04-02 01:35:26
2022-04-02 19:33:00,2022-04-02 19:36:24,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 01:35:26,2022-04-02 01:38:50
2022-04-02 19:36:24,2022-04-02 19:36:45,Located_Outdoors, Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-02 01:38:50,2022-04-02 01:39:11
2022-04-02 19:36:45,2022-04-02 19:57:41,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 01:39:11,2022-04-02 02:00:07
2022-04-02 19:57:44,2022-04-02 20:00:40,Located_Outdoors, Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-02 02:00:10,2022-04-02 02:03:06
2022-04-02 20:00:40,2022-04-02 20:18:14,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:03:06,2022-04-02 02:20:40
2022-04-02 20:18:14,2022-04-02 20:18:51,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 02:20:40,2022-04-02 02:21:17
2022-04-02 20:18:51,2022-04-02 20:22:12,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:21:17,2022-04-02 02:24:38
2022-04-02 20:22:13,2022-04-02 20:23:30,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:24:39,2022-04-02 02:25:56
2022-04-02 20:23:30,2022-04-02 20:24:58,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 02:25:56,2022-04-02 02:27:24
2022-04-02 20:24:58,2022-04-02 20:26:20,Located_Indoors, Holding_Drink,annotator,Behavioral Parameters,2022-04-02 02:27:24,2022-04-02 02:28:46
2022-04-02 20:26:20,2022-04-02 20:29:13,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:28:46,2022-04-02 02:31:39
2022-04-02 20:29:13,2022-04-02 20:31:32,Located_Outdoors, Holding_Drink,annotator,Behavioral Parameters,2022-04-02 02:31:39,2022-04-02 02:33:58
2022-04-02 20:31:32,2022-04-02 20:33:50,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:33:58,2022-04-02 02:36:16
2022-04-02 20:33:50,2022-04-02 20:36:35,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 02:36:16,2022-04-02 02:39:01
2022-04-02 20:36:35,2022-04-02 20:36:54,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:39:01,2022-04-02 02:39:20
2022-04-02 20:36:54,2022-04-02 20:38:05,Located_Indoors,annotator,Behavioral Parameters,2022-04-02 02:39:20,2022-04-02 02:40:31
2022-04-02 20:38:05,2022-04-02 20:47:54,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:40:31,2022-04-02 02:50:20
2022-04-02 20:47:54,2022-04-02 20:48:43,Located_Indoors,annotator,Behavioral Parameters,2022-04-02 02:50:20,2022-04-02 02:51:09
2022-04-02 20:48:43,2022-04-02 20:49:42,Located_Indoors,annotator,Behavioral Parameters,2022-04-02 02:51:09,2022-04-02 02:52:08
2022-04-02 20:49:42,2022-04-02 20:49:48,Located_Indoors,annotator,Behavioral Parameters,2022-04-02 02:52:08,2022-04-02 02:52:14
2022-04-02 20:49:48,2022-04-02 20:50:44,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-04-02 02:52:14,2022-04-02 02:53:10
2022-04-02 20:50:44,2022-04-02 20:51:11,Located_Indoors,annotator,Behavioral Parameters,2022-04-02 02:53:10,2022-04-02 02:53:37
2022-04-02 20:51:11,2022-04-02 20:51:58,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:53:37,2022-04-02 02:54:24
2022-04-02 20:51:58,2022-04-02 20:53:48,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 02:54:24,2022-04-02 02:56:14
2022-04-02 20:53:48,2022-04-02 20:55:05,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:56:14,2022-04-02 02:57:31
2022-04-02 20:55:05,2022-04-02 20:57:24,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 02:57:31,2022-04-02 02:59:50
2022-04-02 20:57:24,2022-04-02 20:58:47,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 02:59:50,2022-04-02 03:01:13
2022-04-02 20:58:47,2022-04-02 21:08:12,Located_Indoors,annotator,Behavioral Parameters,2022-04-02 03:01:13,2022-04-02 03:10:38
2022-04-02 21:08:12,2022-04-02 21:34:42,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 03:10:38,2022-04-02 03:37:08
2022-04-02 21:34:42,2022-04-02 21:34:52,Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-02 03:37:08,2022-04-02 03:37:18
2022-04-02 21:34:52,2022-04-02 22:08:21,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 03:37:18,2022-04-02 04:10:47
2022-04-02 22:08:21,2022-04-02 22:09:54,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 04:10:47,2022-04-02 04:12:20
2022-04-02 22:09:54,2022-04-02 22:12:23,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 04:12:20,2022-04-02 04:14:49
2022-04-02 22:12:23,2022-04-02 22:17:27,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 04:14:49,2022-04-02 04:19:53
2022-04-02 22:17:27,2022-04-02 22:19:45,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 04:19:53,2022-04-02 04:22:11
2022-04-02 22:19:45,2022-04-02 22:22:33,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-02 04:22:11,2022-04-02 04:24:59
2022-04-02 22:22:33,2022-04-02 22:23:31,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 04:24:59,2022-04-02 04:25:57
2022-04-02 22:23:31,2022-04-02 22:31:05,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 04:25:57,2022-04-02 04:33:31
2022-04-02 22:31:05,2022-04-02 22:32:23,Located_Outdoors,annotator,Behavioral Parameters,2022-04-02 04:33:31,2022-04-02 04:34:49
2022-04-02 22:32:23,2022-04-02 22:33:46,Located_Outdoors, Holding_Other_Object_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-02 04:34:49,2022-04-02 04:36:12
