START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-12 17:10:20,2022-04-12 17:22:15,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:00:00,2022-04-12 00:11:55
2022-04-12 17:22:15,2022-04-12 17:23:21,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:11:55,2022-04-12 00:13:01
2022-04-12 17:23:21,2022-04-12 17:23:50,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:13:01,2022-04-12 00:13:30
2022-04-12 17:23:50,2022-04-12 17:24:07,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:13:30,2022-04-12 00:13:47
2022-04-12 17:24:08,2022-04-12 17:24:39,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:13:48,2022-04-12 00:14:19
2022-04-12 17:24:39,2022-04-12 17:25:03,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:14:19,2022-04-12 00:14:43
2022-04-12 17:25:04,2022-04-12 17:26:26,In_Bathroom,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:14:44,2022-04-12 00:16:06
2022-04-12 17:26:26,2022-04-12 17:26:46,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:16:06,2022-04-12 00:16:26
2022-04-12 17:26:46,2022-04-12 17:27:02,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:16:26,2022-04-12 00:16:42
2022-04-12 17:27:05,2022-04-12 17:27:29,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:16:45,2022-04-12 00:17:09
2022-04-12 17:27:33,2022-04-12 17:27:53,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:17:13,2022-04-12 00:17:33
2022-04-12 17:27:53,2022-04-12 17:28:00,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:17:33,2022-04-12 00:17:40
2022-04-12 17:28:00,2022-04-12 17:28:08,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:17:40,2022-04-12 00:17:48
2022-04-12 17:28:10,2022-04-12 17:28:57,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:17:50,2022-04-12 00:18:37
2022-04-12 17:28:57,2022-04-12 17:29:08,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:18:37,2022-04-12 00:18:48
2022-04-12 17:29:09,2022-04-12 17:29:44,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:18:49,2022-04-12 00:19:24
2022-04-12 17:29:46,2022-04-12 17:30:16,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:19:26,2022-04-12 00:19:56
2022-04-12 17:30:17,2022-04-12 17:31:45,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:19:57,2022-04-12 00:21:25
2022-04-12 17:31:47,2022-04-12 17:32:13,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:21:27,2022-04-12 00:21:53
2022-04-12 17:32:14,2022-04-12 17:32:44,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:21:54,2022-04-12 00:22:24
2022-04-12 17:32:46,2022-04-12 17:33:04,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:22:26,2022-04-12 00:22:44
2022-04-12 17:33:04,2022-04-12 17:33:23,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:22:44,2022-04-12 00:23:03
2022-04-12 17:33:25,2022-04-12 17:33:49,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:23:05,2022-04-12 00:23:29
2022-04-12 17:33:50,2022-04-12 17:34:14,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:23:30,2022-04-12 00:23:54
2022-04-12 17:34:15,2022-04-12 17:34:36,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:23:55,2022-04-12 00:24:16
2022-04-12 17:34:40,2022-04-12 17:35:10,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:24:20,2022-04-12 00:24:50
2022-04-12 17:35:10,2022-04-12 17:35:29,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:24:50,2022-04-12 00:25:09
2022-04-12 17:35:31,2022-04-12 17:35:59,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:25:11,2022-04-12 00:25:39
2022-04-12 17:35:59,2022-04-12 17:36:02,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:25:39,2022-04-12 00:25:42
2022-04-12 17:36:02,2022-04-12 17:36:17,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:25:42,2022-04-12 00:25:57
2022-04-12 17:36:17,2022-04-12 17:36:36,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:25:57,2022-04-12 00:26:16
2022-04-12 17:36:38,2022-04-12 17:37:19,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:26:18,2022-04-12 00:26:59
2022-04-12 17:37:19,2022-04-12 17:37:58,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:26:59,2022-04-12 00:27:38
2022-04-12 17:37:59,2022-04-12 17:38:04,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:27:39,2022-04-12 00:27:44
2022-04-12 17:38:05,2022-04-12 17:38:16,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:27:45,2022-04-12 00:27:56
2022-04-12 17:38:16,2022-04-12 17:38:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:27:56,2022-04-12 00:28:03
2022-04-12 17:38:23,2022-04-12 17:38:57,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:28:03,2022-04-12 00:28:37
2022-04-12 17:38:58,2022-04-12 17:39:34,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:28:38,2022-04-12 00:29:14
2022-04-12 17:39:35,2022-04-12 17:40:18,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:29:15,2022-04-12 00:29:58
2022-04-12 17:40:18,2022-04-12 17:41:11,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:29:58,2022-04-12 00:30:51
2022-04-12 17:41:13,2022-04-12 17:41:29,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:30:53,2022-04-12 00:31:09
2022-04-12 17:41:30,2022-04-12 17:41:44,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:31:10,2022-04-12 00:31:24
2022-04-12 17:41:44,2022-04-12 17:44:30,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:31:24,2022-04-12 00:34:10
2022-04-12 17:44:31,2022-04-12 17:46:31,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:34:11,2022-04-12 00:36:11
2022-04-12 17:46:31,2022-04-12 17:46:52,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:36:11,2022-04-12 00:36:32
2022-04-12 17:46:54,2022-04-12 17:48:36,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:36:34,2022-04-12 00:38:16
2022-04-12 17:48:36,2022-04-12 17:49:57,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:38:16,2022-04-12 00:39:37
2022-04-12 17:49:58,2022-04-12 17:50:17,,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:39:38,2022-04-12 00:39:57
2022-04-12 17:50:20,2022-04-12 17:52:27,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:40:00,2022-04-12 00:42:07
2022-04-12 17:52:30,2022-04-12 17:53:30,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:42:10,2022-04-12 00:43:10
2022-04-12 17:53:30,2022-04-12 17:53:40,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:43:10,2022-04-12 00:43:20
2022-04-12 17:53:41,2022-04-12 17:57:49,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:43:21,2022-04-12 00:47:29
2022-04-12 17:57:50,2022-04-12 17:58:04,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:47:30,2022-04-12 00:47:44
2022-04-12 17:58:08,2022-04-12 17:59:32,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:47:48,2022-04-12 00:49:12
2022-04-12 17:59:32,2022-04-12 18:00:54,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:49:12,2022-04-12 00:50:34
2022-04-12 18:00:54,2022-04-12 18:00:56,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:50:34,2022-04-12 00:50:36
2022-04-12 18:00:58,2022-04-12 18:01:13,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:50:38,2022-04-12 00:50:53
2022-04-12 18:01:16,2022-04-12 18:02:07,Meeting _Social_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:50:56,2022-04-12 00:51:47
2022-04-12 18:02:07,2022-04-12 18:03:53,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:51:47,2022-04-12 00:53:33
2022-04-12 18:03:55,2022-04-12 18:04:32,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:53:35,2022-04-12 00:54:12
2022-04-12 18:04:32,2022-04-12 18:04:59,Meeting _Social_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:54:12,2022-04-12 00:54:39
2022-04-12 18:05:01,2022-04-12 18:05:55,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:54:41,2022-04-12 00:55:35
2022-04-12 18:05:56,2022-04-12 18:06:26,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:55:36,2022-04-12 00:56:06
2022-04-12 18:06:28,2022-04-12 18:16:16,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 00:56:08,2022-04-12 01:05:56
2022-04-12 18:16:17,2022-04-12 18:16:51,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:05:57,2022-04-12 01:06:31
2022-04-12 18:16:51,2022-04-12 18:16:55,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:06:31,2022-04-12 01:06:35
2022-04-12 18:16:55,2022-04-12 18:17:39,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:06:35,2022-04-12 01:07:19
2022-04-12 18:17:39,2022-04-12 18:18:06,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:07:19,2022-04-12 01:07:46
2022-04-12 18:18:07,2022-04-12 18:18:27,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:07:47,2022-04-12 01:08:07
2022-04-12 18:18:29,2022-04-12 18:18:43,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:08:09,2022-04-12 01:08:23
2022-04-12 18:18:45,2022-04-12 18:19:22,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:08:25,2022-04-12 01:09:02
2022-04-12 18:19:24,2022-04-12 18:19:36,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:09:04,2022-04-12 01:09:16
2022-04-12 18:19:37,2022-04-12 18:20:00,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:09:17,2022-04-12 01:09:40
2022-04-12 18:20:02,2022-04-12 18:20:23,Meeting _Social_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:09:42,2022-04-12 01:10:03
2022-04-12 18:20:24,2022-04-12 18:21:19,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:10:04,2022-04-12 01:10:59
2022-04-12 18:21:20,2022-04-12 18:21:41,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:11:00,2022-04-12 01:11:21
2022-04-12 18:21:43,2022-04-12 18:22:02,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-12 01:11:23,2022-04-12 01:11:42
