START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-16 14:24:44,2022-04-16 14:25:10,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:00:00,2022-04-16 00:00:26
2022-04-16 14:25:10,2022-04-16 14:26:42,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:00:26,2022-04-16 00:01:58
2022-04-16 14:26:42,2022-04-16 14:28:13,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:01:58,2022-04-16 00:03:29
2022-04-16 14:28:13,2022-04-16 14:28:46,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:03:29,2022-04-16 00:04:02
2022-04-16 14:28:46,2022-04-16 14:28:58,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:04:02,2022-04-16 00:04:14
2022-04-16 14:28:58,2022-04-16 14:35:36,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:04:14,2022-04-16 00:10:52
2022-04-16 14:35:36,2022-04-16 14:39:11,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:10:52,2022-04-16 00:14:27
2022-04-16 14:39:11,2022-04-16 14:44:10,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:14:27,2022-04-16 00:19:26
2022-04-16 14:44:10,2022-04-16 14:47:49,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:19:26,2022-04-16 00:23:05
2022-04-16 14:47:49,2022-04-16 14:48:32,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:23:05,2022-04-16 00:23:48
2022-04-16 14:48:32,2022-04-16 14:53:42,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:23:48,2022-04-16 00:28:58
2022-04-16 14:53:42,2022-04-16 14:53:52,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:28:58,2022-04-16 00:29:08
2022-04-16 14:53:52,2022-04-16 14:58:07,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:29:08,2022-04-16 00:33:23
2022-04-16 14:58:07,2022-04-16 14:58:36,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:33:23,2022-04-16 00:33:52
2022-04-16 14:58:36,2022-04-16 15:04:22,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:33:52,2022-04-16 00:39:38
2022-04-16 15:04:22,2022-04-16 15:05:03,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:39:38,2022-04-16 00:40:19
2022-04-16 15:05:03,2022-04-16 15:05:18,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:40:19,2022-04-16 00:40:34
2022-04-16 15:05:18,2022-04-16 15:05:40,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:40:34,2022-04-16 00:40:56
2022-04-16 15:05:40,2022-04-16 15:06:25,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:40:56,2022-04-16 00:41:41
2022-04-16 15:06:25,2022-04-16 15:09:19,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:41:41,2022-04-16 00:44:35
2022-04-16 15:09:19,2022-04-16 15:10:25,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:44:35,2022-04-16 00:45:41
2022-04-16 15:10:25,2022-04-16 15:46:41,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 00:45:41,2022-04-16 01:21:57
2022-04-16 15:46:41,2022-04-16 15:50:23,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 01:21:57,2022-04-16 01:25:39
2022-04-16 15:50:23,2022-04-16 16:15:46,Sleeping,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 01:25:39,2022-04-16 01:51:02
2022-04-16 16:15:46,2022-04-16 16:16:39,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 01:51:02,2022-04-16 01:51:55
2022-04-16 16:16:39,2022-04-16 18:12:34,Sleeping,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 01:51:55,2022-04-16 03:47:50
2022-04-16 18:12:34,2022-04-16 18:12:44,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 03:47:50,2022-04-16 03:48:00
2022-04-16 18:12:44,2022-04-16 18:13:12,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 03:48:00,2022-04-16 03:48:28
2022-04-16 18:13:12,2022-04-16 18:13:14,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 03:48:28,2022-04-16 03:48:30
2022-04-16 18:13:14,2022-04-16 18:18:06,Using_Computer/Screen, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 03:48:30,2022-04-16 03:53:22
2022-04-16 18:18:06,2022-04-16 18:21:27,Using_Computer/Screen, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 03:53:22,2022-04-16 03:56:43
2022-04-16 18:21:27,2022-04-16 18:24:49,Using_Computer/Screen, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 03:56:43,2022-04-16 04:00:05
2022-04-16 18:24:49,2022-04-16 18:29:42,Using_Computer/Screen, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:00:05,2022-04-16 04:04:58
2022-04-16 18:29:42,2022-04-16 18:31:31,Using_Computer/Screen, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:04:58,2022-04-16 04:06:47
2022-04-16 18:31:31,2022-04-16 18:34:04,Using_Computer/Screen, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:06:47,2022-04-16 04:09:20
2022-04-16 18:34:04,2022-04-16 18:34:24,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:09:20,2022-04-16 04:09:40
2022-04-16 18:34:24,2022-04-16 18:34:43,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:09:40,2022-04-16 04:09:59
2022-04-16 18:34:43,2022-04-16 18:36:23,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:09:59,2022-04-16 04:11:39
2022-04-16 18:36:23,2022-04-16 18:39:22,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:11:39,2022-04-16 04:14:38
2022-04-16 18:39:22,2022-04-16 18:46:18,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:14:38,2022-04-16 04:21:34
2022-04-16 18:46:18,2022-04-16 18:49:39,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:21:34,2022-04-16 04:24:55
2022-04-16 18:49:39,2022-04-16 19:14:42,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:24:55,2022-04-16 04:49:58
2022-04-16 19:14:42,2022-04-16 19:14:51,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:49:58,2022-04-16 04:50:07
2022-04-16 19:14:51,2022-04-16 19:15:05,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:50:07,2022-04-16 04:50:21
2022-04-16 19:15:05,2022-04-16 19:18:48,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:50:21,2022-04-16 04:54:04
2022-04-16 19:18:48,2022-04-16 19:20:07,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:54:04,2022-04-16 04:55:23
2022-04-16 19:20:07,2022-04-16 19:20:30,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:55:23,2022-04-16 04:55:46
2022-04-16 19:20:30,2022-04-16 19:21:38,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:55:46,2022-04-16 04:56:54
2022-04-16 19:21:38,2022-04-16 19:22:07,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:56:54,2022-04-16 04:57:23
2022-04-16 19:22:07,2022-04-16 19:22:15,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:57:23,2022-04-16 04:57:31
2022-04-16 19:22:15,2022-04-16 19:27:12,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 04:57:31,2022-04-16 05:02:28
2022-04-16 19:27:12,2022-04-16 19:28:52,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:02:28,2022-04-16 05:04:08
2022-04-16 19:28:52,2022-04-16 19:29:53,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:04:08,2022-04-16 05:05:09
2022-04-16 19:30:01,2022-04-16 19:35:10,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:05:17,2022-04-16 05:10:26
2022-04-16 19:35:17,2022-04-16 19:41:10,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:10:33,2022-04-16 05:16:26
2022-04-16 19:41:10,2022-04-16 19:43:30,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:16:26,2022-04-16 05:18:46
2022-04-16 19:43:30,2022-04-16 19:44:42,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:18:46,2022-04-16 05:19:58
2022-04-16 19:44:42,2022-04-16 20:01:44,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:19:58,2022-04-16 05:37:00
2022-04-16 20:01:44,2022-04-16 20:02:32,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:37:00,2022-04-16 05:37:48
2022-04-16 20:02:32,2022-04-16 20:12:32,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:37:48,2022-04-16 05:47:48
2022-04-16 20:12:32,2022-04-16 20:16:05,,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:47:48,2022-04-16 05:51:21
2022-04-16 20:16:05,2022-04-16 20:17:47,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:51:21,2022-04-16 05:53:03
2022-04-16 20:17:47,2022-04-16 20:30:00,,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 05:53:03,2022-04-16 06:05:16
2022-04-16 20:30:00,2022-04-16 20:40:14,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:05:16,2022-04-16 06:15:30
2022-04-16 20:40:14,2022-04-16 20:46:20,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:15:30,2022-04-16 06:21:36
2022-04-16 20:47:13,2022-04-16 20:47:32,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:22:29,2022-04-16 06:22:48
2022-04-16 20:50:08,2022-04-16 20:51:29,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:25:24,2022-04-16 06:26:45
2022-04-16 20:53:24,2022-04-16 21:03:42,Grooming/Self_Care, Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:28:40,2022-04-16 06:38:58
2022-04-16 21:03:42,2022-04-16 21:09:23,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:38:58,2022-04-16 06:44:39
2022-04-16 21:09:23,2022-04-16 21:10:07,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:44:39,2022-04-16 06:45:23
2022-04-16 21:10:09,2022-04-16 21:15:47,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:45:25,2022-04-16 06:51:03
2022-04-16 21:15:47,2022-04-16 21:17:26,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:51:03,2022-04-16 06:52:42
2022-04-16 21:17:26,2022-04-16 21:17:42,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:52:42,2022-04-16 06:52:58
2022-04-16 21:17:42,2022-04-16 21:18:25,In_Transit_Passive_Train/Bus/Plane,annotator,HIGH LEVEL BEHAVIOR,2022-04-16 06:52:58,2022-04-16 06:53:41
