START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-18 07:49:48,2022-04-18 07:50:59,In_Position_Upright,annotator,POSTURE,2022-04-18 00:00:24,2022-04-18 00:01:35
2022-04-18 07:50:59,2022-04-18 07:59:11,In_Position_Upright,annotator,POSTURE,2022-04-18 00:01:35,2022-04-18 00:09:47
2022-04-18 07:59:11,2022-04-18 07:59:27,In_Position_Upright,annotator,POSTURE,2022-04-18 00:09:47,2022-04-18 00:10:03
2022-04-18 07:59:27,2022-04-18 07:59:51,In_Position_Upright,annotator,POSTURE,2022-04-18 00:10:03,2022-04-18 00:10:27
2022-04-18 07:59:51,2022-04-18 08:01:46,In_Position_Sitting,annotator,POSTURE,2022-04-18 00:10:27,2022-04-18 00:12:22
2022-04-18 08:01:46,2022-04-18 08:06:39,In_Position_Upright,annotator,POSTURE,2022-04-18 00:12:22,2022-04-18 00:17:15
2022-04-18 08:06:39,2022-04-18 08:09:06,In_Position_Sitting,annotator,POSTURE,2022-04-18 00:17:15,2022-04-18 00:19:42
2022-04-18 08:09:06,2022-04-18 09:26:25,In_Position_Sitting,annotator,POSTURE,2022-04-18 00:19:42,2022-04-18 01:37:01
2022-04-18 09:26:25,2022-04-18 09:28:53,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-18 01:37:01,2022-04-18 01:39:29
2022-04-18 09:28:53,2022-04-18 10:29:23,In_Position_Sitting,annotator,POSTURE,2022-04-18 01:39:29,2022-04-18 02:39:59
2022-04-18 10:29:23,2022-04-18 10:31:18,In_Position_Upright,annotator,POSTURE,2022-04-18 02:39:59,2022-04-18 02:41:54
2022-04-18 10:31:18,2022-04-18 10:32:01,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-18 02:41:54,2022-04-18 02:42:37
2022-04-18 10:32:01,2022-04-18 10:32:31,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-18 02:42:37,2022-04-18 02:43:07
2022-04-18 10:32:31,2022-04-18 10:33:41,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-18 02:43:07,2022-04-18 02:44:17
