START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-19 07:52:35,2022-04-19 07:52:44,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:00:05,2022-04-19 00:00:14
2022-04-19 07:52:47,2022-04-19 07:52:58,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:00:17,2022-04-19 00:00:28
2022-04-19 07:53:01,2022-04-19 07:53:18,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:00:31,2022-04-19 00:00:48
2022-04-19 07:53:22,2022-04-19 07:53:43,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:00:52,2022-04-19 00:01:13
2022-04-19 07:53:47,2022-04-19 07:55:44,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:01:17,2022-04-19 00:03:14
2022-04-19 07:55:49,2022-04-19 07:59:18,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:03:19,2022-04-19 00:06:48
2022-04-19 07:59:21,2022-04-19 07:59:50,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:06:51,2022-04-19 00:07:20
2022-04-19 07:59:53,2022-04-19 08:00:11,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:07:23,2022-04-19 00:07:41
2022-04-19 08:00:14,2022-04-19 08:00:29,Meeting_Formal_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:07:44,2022-04-19 00:07:59
2022-04-19 08:00:32,2022-04-19 09:39:23,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:08:02,2022-04-19 01:46:53
2022-04-19 09:39:27,2022-04-19 09:39:38,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:46:57,2022-04-19 01:47:08
2022-04-19 09:39:41,2022-04-19 09:40:27,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:47:11,2022-04-19 01:47:57
2022-04-19 09:40:30,2022-04-19 09:41:09,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:48:00,2022-04-19 01:48:39
2022-04-19 09:41:13,2022-04-19 09:43:39,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:48:43,2022-04-19 01:51:09
2022-04-19 09:43:41,2022-04-19 09:43:55,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:51:11,2022-04-19 01:51:25
2022-04-19 09:43:57,2022-04-19 09:44:00,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:51:27,2022-04-19 01:51:30
2022-04-19 09:44:02,2022-04-19 09:47:11,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:51:32,2022-04-19 01:54:41
2022-04-19 09:47:14,2022-04-19 09:47:18,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:54:44,2022-04-19 01:54:48
2022-04-19 09:47:20,2022-04-19 09:47:40,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:54:50,2022-04-19 01:55:10
2022-04-19 09:47:44,2022-04-19 09:48:17,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:55:14,2022-04-19 01:55:47
2022-04-19 09:48:24,2022-04-19 09:50:19,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:55:54,2022-04-19 01:57:49
2022-04-19 09:50:24,2022-04-19 09:50:56,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:57:54,2022-04-19 01:58:26
2022-04-19 09:50:59,2022-04-19 09:53:51,Using_Computer/Screen, Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:58:29,2022-04-19 02:01:21
2022-04-19 09:53:54,2022-04-19 10:01:40,Using_Computer/Screen, Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:01:24,2022-04-19 02:09:10
2022-04-19 10:01:43,2022-04-19 10:02:57,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:09:13,2022-04-19 02:10:27
2022-04-19 10:03:05,2022-04-19 10:37:18,Meeting_Formal_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:10:35,2022-04-19 02:44:48
2022-04-19 10:37:20,2022-04-19 10:38:19,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:44:50,2022-04-19 02:45:49
2022-04-19 10:38:25,2022-04-19 10:41:55,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:45:55,2022-04-19 02:49:25
2022-04-19 10:41:58,2022-04-19 10:46:41,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:49:28,2022-04-19 02:54:11
2022-04-19 10:46:45,2022-04-19 10:48:30,Meeting_Formal_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:54:15,2022-04-19 02:56:00
2022-04-19 10:48:38,2022-04-19 10:53:24,Meeting_Formal_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:56:08,2022-04-19 03:00:54
2022-04-19 10:53:29,2022-04-19 10:54:06,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:00:59,2022-04-19 03:01:36
2022-04-19 10:54:10,2022-04-19 11:11:31,Meeting_Formal_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:01:40,2022-04-19 03:19:01
2022-04-19 11:11:34,2022-04-19 11:12:54,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:19:04,2022-04-19 03:20:24
2022-04-19 11:12:58,2022-04-19 11:14:44,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:20:28,2022-04-19 03:22:14
2022-04-19 11:14:47,2022-04-19 11:14:55,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:22:17,2022-04-19 03:22:25
2022-04-19 11:15:01,2022-04-19 11:15:42,In_Transit_Active, Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:22:31,2022-04-19 03:23:12
2022-04-19 11:15:45,2022-04-19 11:16:42,In_Transit_Active, Meeting _Social_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:23:15,2022-04-19 03:24:12
2022-04-19 11:16:47,2022-04-19 11:17:32,In_Transit_Active, Eating/Dining, Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:24:17,2022-04-19 03:25:02
2022-04-19 11:17:37,2022-04-19 11:17:53,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:25:07,2022-04-19 03:25:23
2022-04-19 11:17:55,2022-04-19 11:18:29,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:25:25,2022-04-19 03:25:59
