START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-12 20:19:35,2022-04-12 20:20:06,In_Position_Upright,annotator,POSTURE,2022-04-12 00:00:00,2022-04-12 00:00:31
2022-04-12 20:20:06,2022-04-12 20:20:46,Posture_Other),annotator,POSTURE,2022-04-12 00:00:31,2022-04-12 00:01:11
2022-04-12 20:20:46,2022-04-12 20:22:04,In_Position_Upright,annotator,POSTURE,2022-04-12 00:01:11,2022-04-12 00:02:29
2022-04-12 20:22:04,2022-04-12 21:08:26,Posture_Other),annotator,POSTURE,2022-04-12 00:02:29,2022-04-12 00:48:51
2022-04-12 21:08:26,2022-04-12 21:11:24,In_Position_Sitting,annotator,POSTURE,2022-04-12 00:48:51,2022-04-12 00:51:49
2022-04-12 21:11:24,2022-04-12 21:11:59,In_Position_Sitting,annotator,POSTURE,2022-04-12 00:51:49,2022-04-12 00:52:24
2022-04-12 21:11:59,2022-04-12 21:13:10,In_Position_Upright,annotator,POSTURE,2022-04-12 00:52:24,2022-04-12 00:53:35
2022-04-12 21:13:10,2022-04-12 21:13:25,In_Position_Upright,annotator,POSTURE,2022-04-12 00:53:35,2022-04-12 00:53:50
2022-04-12 21:13:25,2022-04-12 21:13:44,In_Position_Upright,annotator,POSTURE,2022-04-12 00:53:50,2022-04-12 00:54:09
2022-04-12 21:13:57,2022-04-12 21:14:16,In_Position_Upright,annotator,POSTURE,2022-04-12 00:54:22,2022-04-12 00:54:41
2022-04-12 21:14:16,2022-04-12 21:14:35,In_Position_Upright,annotator,POSTURE,2022-04-12 00:54:41,2022-04-12 00:55:00
2022-04-12 21:14:35,2022-04-12 21:20:16,In_Position_Upright,annotator,POSTURE,2022-04-12 00:55:00,2022-04-12 01:00:41
2022-04-12 21:20:16,2022-04-12 21:21:40,In_Position_Upright,annotator,POSTURE,2022-04-12 01:00:41,2022-04-12 01:02:05
2022-04-12 21:21:40,2022-04-12 21:23:25,In_Position_Upright,annotator,POSTURE,2022-04-12 01:02:05,2022-04-12 01:03:50
2022-04-12 21:23:25,2022-04-12 21:25:42,In_Position_Upright,annotator,POSTURE,2022-04-12 01:03:50,2022-04-12 01:06:07
2022-04-12 21:25:42,2022-04-12 21:28:28,In_Position_Upright,annotator,POSTURE,2022-04-12 01:06:07,2022-04-12 01:08:53
2022-04-12 21:28:28,2022-04-12 21:34:43,In_Position_Upright,annotator,POSTURE,2022-04-12 01:08:53,2022-04-12 01:15:08
2022-04-12 21:34:43,2022-04-12 21:35:15,In_Position_Upright,annotator,POSTURE,2022-04-12 01:15:08,2022-04-12 01:15:40
2022-04-12 21:35:15,2022-04-12 21:36:22,In_Position_Upright,annotator,POSTURE,2022-04-12 01:15:40,2022-04-12 01:16:47
2022-04-12 21:36:22,2022-04-12 21:38:03,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-12 01:16:47,2022-04-12 01:18:28
2022-04-12 21:38:03,2022-04-12 21:38:49,In_Position_Upright,annotator,POSTURE,2022-04-12 01:18:28,2022-04-12 01:19:14
2022-04-12 21:38:49,2022-04-12 21:39:40,In_Position_Upright,annotator,POSTURE,2022-04-12 01:19:14,2022-04-12 01:20:05
2022-04-12 21:39:40,2022-04-12 21:42:57,In_Position_Upright,annotator,POSTURE,2022-04-12 01:20:05,2022-04-12 01:23:22
2022-04-12 21:42:57,2022-04-12 21:43:20,In_Position_Upright,annotator,POSTURE,2022-04-12 01:23:22,2022-04-12 01:23:45
2022-04-12 21:43:20,2022-04-12 21:45:05,In_Position_Upright,annotator,POSTURE,2022-04-12 01:23:45,2022-04-12 01:25:30
2022-04-12 21:45:05,2022-04-12 21:45:24,In_Position_Upright,annotator,POSTURE,2022-04-12 01:25:30,2022-04-12 01:25:49
2022-04-12 21:45:24,2022-04-12 21:45:45,In_Position_Upright,annotator,POSTURE,2022-04-12 01:25:49,2022-04-12 01:26:10
2022-04-12 21:45:45,2022-04-12 21:46:10,In_Position_Upright,annotator,POSTURE,2022-04-12 01:26:10,2022-04-12 01:26:35
