START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-14 08:18:38,2022-04-14 08:19:55,Free_Living,annotator,Experimental situation,2022-04-14 00:00:00,2022-04-14 00:01:17
2022-04-14 08:19:55,2022-04-14 08:29:38,Free_Living,annotator,Experimental situation,2022-04-14 00:01:17,2022-04-14 00:11:00
2022-04-14 08:29:38,2022-04-14 08:35:35,Free_Living,annotator,Experimental situation,2022-04-14 00:11:00,2022-04-14 00:16:57
2022-04-14 08:35:35,2022-04-14 08:36:04,Free_Living,annotator,Experimental situation,2022-04-14 00:16:57,2022-04-14 00:17:26
2022-04-14 08:36:24,2022-04-14 08:38:54,Free_Living,annotator,Experimental situation,2022-04-14 00:17:46,2022-04-14 00:20:16
2022-04-14 08:38:54,2022-04-14 08:47:51,Free_Living,annotator,Experimental situation,2022-04-14 00:20:16,2022-04-14 00:29:13
2022-04-14 08:47:51,2022-04-14 08:56:24,Free_Living,annotator,Experimental situation,2022-04-14 00:29:13,2022-04-14 00:37:46
2022-04-14 08:56:24,2022-04-14 09:04:56,Free_Living,annotator,Experimental situation,2022-04-14 00:37:46,2022-04-14 00:46:18
2022-04-14 09:04:59,2022-04-14 09:06:29,Free_Living,annotator,Experimental situation,2022-04-14 00:46:21,2022-04-14 00:47:51
2022-04-14 09:06:29,2022-04-14 09:17:17,Free_Living,annotator,Experimental situation,2022-04-14 00:47:51,2022-04-14 00:58:39
2022-04-14 09:17:17,2022-04-14 09:18:37,Free_Living,annotator,Experimental situation,2022-04-14 00:58:39,2022-04-14 00:59:59
2022-04-14 09:18:37,2022-04-14 09:19:49,Free_Living,annotator,Experimental situation,2022-04-14 00:59:59,2022-04-14 01:01:11
2022-04-14 09:20:01,2022-04-14 09:20:38,Free_Living,annotator,Experimental situation,2022-04-14 01:01:23,2022-04-14 01:02:00
2022-04-14 09:20:39,2022-04-14 09:20:45,Free_Living,annotator,Experimental situation,2022-04-14 01:02:01,2022-04-14 01:02:07
2022-04-14 09:20:45,2022-04-14 09:23:17,Free_Living,annotator,Experimental situation,2022-04-14 01:02:07,2022-04-14 01:04:39
2022-04-14 09:23:17,2022-04-14 09:24:10,Free_Living,annotator,Experimental situation,2022-04-14 01:04:39,2022-04-14 01:05:32
2022-04-14 09:24:10,2022-04-14 09:24:47,Free_Living,annotator,Experimental situation,2022-04-14 01:05:32,2022-04-14 01:06:09
2022-04-14 09:24:47,2022-04-14 09:25:08,Free_Living,annotator,Experimental situation,2022-04-14 01:06:09,2022-04-14 01:06:30
2022-04-14 09:25:08,2022-04-14 09:27:39,Free_Living,annotator,Experimental situation,2022-04-14 01:06:30,2022-04-14 01:09:01
2022-04-14 09:27:39,2022-04-14 09:28:23,Free_Living,annotator,Experimental situation,2022-04-14 01:09:01,2022-04-14 01:09:45
