START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-15 10:01:21,2022-04-15 10:01:50,Free_Living,annotator,Experimental situation,2022-04-15 00:00:00,2022-04-15 00:00:29
2022-04-15 10:01:21,2022-04-15 15:05:55,ES_Other,annotator,Experimental situation,2022-04-15 00:00:00,2022-04-15 05:04:34
2022-04-15 10:01:51,2022-04-15 10:01:54,Free_Living,annotator,Experimental situation,2022-04-15 00:00:30,2022-04-15 00:00:33
2022-04-15 10:01:54,2022-04-15 10:03:35,Free_Living,annotator,Experimental situation,2022-04-15 00:00:33,2022-04-15 00:02:14
2022-04-15 10:03:36,2022-04-15 10:03:41,Free_Living,annotator,Experimental situation,2022-04-15 00:02:15,2022-04-15 00:02:20
2022-04-15 10:03:41,2022-04-15 10:03:57,Free_Living,annotator,Experimental situation,2022-04-15 00:02:20,2022-04-15 00:02:36
2022-04-15 10:03:57,2022-04-15 10:05:13,Free_Living,annotator,Experimental situation,2022-04-15 00:02:36,2022-04-15 00:03:52
2022-04-15 10:05:16,2022-04-15 10:06:21,Free_Living,annotator,Experimental situation,2022-04-15 00:03:55,2022-04-15 00:05:00
2022-04-15 10:06:22,2022-04-15 10:06:35,Free_Living,annotator,Experimental situation,2022-04-15 00:05:01,2022-04-15 00:05:14
2022-04-15 10:06:35,2022-04-15 10:07:52,Free_Living,annotator,Experimental situation,2022-04-15 00:05:14,2022-04-15 00:06:31
2022-04-15 10:07:53,2022-04-15 10:09:15,Free_Living,annotator,Experimental situation,2022-04-15 00:06:32,2022-04-15 00:07:54
2022-04-15 10:09:16,2022-04-15 10:09:51,Free_Living,annotator,Experimental situation,2022-04-15 00:07:55,2022-04-15 00:08:30
2022-04-15 10:09:53,2022-04-15 10:10:00,Free_Living,annotator,Experimental situation,2022-04-15 00:08:32,2022-04-15 00:08:39
2022-04-15 10:10:04,2022-04-15 10:10:31,Free_Living,annotator,Experimental situation,2022-04-15 00:08:43,2022-04-15 00:09:10
2022-04-15 10:10:31,2022-04-15 10:10:45,Free_Living,annotator,Experimental situation,2022-04-15 00:09:10,2022-04-15 00:09:24
2022-04-15 10:10:45,2022-04-15 10:13:10,Free_Living,annotator,Experimental situation,2022-04-15 00:09:24,2022-04-15 00:11:49
2022-04-15 10:13:11,2022-04-15 10:13:52,Free_Living,annotator,Experimental situation,2022-04-15 00:11:50,2022-04-15 00:12:31
2022-04-15 10:13:52,2022-04-15 10:14:15,Free_Living,annotator,Experimental situation,2022-04-15 00:12:31,2022-04-15 00:12:54
2022-04-15 10:14:15,2022-04-15 10:14:26,Free_Living,annotator,Experimental situation,2022-04-15 00:12:54,2022-04-15 00:13:05
2022-04-15 10:14:26,2022-04-15 10:14:46,Free_Living,annotator,Experimental situation,2022-04-15 00:13:05,2022-04-15 00:13:25
2022-04-15 10:14:46,2022-04-15 10:15:12,Free_Living,annotator,Experimental situation,2022-04-15 00:13:25,2022-04-15 00:13:51
2022-04-15 10:15:13,2022-04-15 10:15:28,Free_Living,annotator,Experimental situation,2022-04-15 00:13:52,2022-04-15 00:14:07
2022-04-15 10:15:29,2022-04-15 10:15:53,Free_Living,annotator,Experimental situation,2022-04-15 00:14:08,2022-04-15 00:14:32
2022-04-15 10:15:53,2022-04-15 10:16:18,Free_Living,annotator,Experimental situation,2022-04-15 00:14:32,2022-04-15 00:14:57
2022-04-15 10:16:19,2022-04-15 10:16:36,Free_Living,annotator,Experimental situation,2022-04-15 00:14:58,2022-04-15 00:15:15
2022-04-15 10:16:36,2022-04-15 10:17:30,Free_Living,annotator,Experimental situation,2022-04-15 00:15:15,2022-04-15 00:16:09
2022-04-15 10:17:31,2022-04-15 10:18:45,Free_Living,annotator,Experimental situation,2022-04-15 00:16:10,2022-04-15 00:17:24
2022-04-15 10:18:46,2022-04-15 10:19:35,Free_Living,annotator,Experimental situation,2022-04-15 00:17:25,2022-04-15 00:18:14
2022-04-15 10:19:45,2022-04-15 10:19:51,Free_Living,annotator,Experimental situation,2022-04-15 00:18:24,2022-04-15 00:18:30
2022-04-15 10:19:53,2022-04-15 10:20:17,Free_Living,annotator,Experimental situation,2022-04-15 00:18:32,2022-04-15 00:18:56
2022-04-15 10:20:21,2022-04-15 10:25:18,Free_Living,annotator,Experimental situation,2022-04-15 00:19:00,2022-04-15 00:23:57
2022-04-15 10:25:19,2022-04-15 10:29:07,Free_Living,annotator,Experimental situation,2022-04-15 00:23:58,2022-04-15 00:27:46
2022-04-15 10:29:09,2022-04-15 10:29:30,Free_Living,annotator,Experimental situation,2022-04-15 00:27:48,2022-04-15 00:28:09
2022-04-15 10:29:36,2022-04-15 10:29:46,Free_Living,annotator,Experimental situation,2022-04-15 00:28:15,2022-04-15 00:28:25
2022-04-15 10:29:47,2022-04-15 10:30:01,Free_Living,annotator,Experimental situation,2022-04-15 00:28:26,2022-04-15 00:28:40
2022-04-15 10:30:01,2022-04-15 10:40:31,Free_Living,annotator,Experimental situation,2022-04-15 00:28:40,2022-04-15 00:39:10
2022-04-15 10:40:31,2022-04-15 10:40:36,Free_Living,annotator,Experimental situation,2022-04-15 00:39:10,2022-04-15 00:39:15
2022-04-15 10:40:41,2022-04-15 10:44:09,Free_Living,annotator,Experimental situation,2022-04-15 00:39:20,2022-04-15 00:42:48
2022-04-15 10:44:11,2022-04-15 10:45:12,Free_Living,annotator,Experimental situation,2022-04-15 00:42:50,2022-04-15 00:43:51
2022-04-15 10:45:18,2022-04-15 10:45:34,Free_Living,annotator,Experimental situation,2022-04-15 00:43:57,2022-04-15 00:44:13
2022-04-15 10:45:36,2022-04-15 10:45:56,Free_Living,annotator,Experimental situation,2022-04-15 00:44:15,2022-04-15 00:44:35
2022-04-15 10:45:59,2022-04-15 10:46:09,Free_Living,annotator,Experimental situation,2022-04-15 00:44:38,2022-04-15 00:44:48
2022-04-15 10:46:09,2022-04-15 10:46:43,Free_Living,annotator,Experimental situation,2022-04-15 00:44:48,2022-04-15 00:45:22
