START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-16 09:47:28,2022-04-16 09:48:04,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-16 00:00:00,2022-04-16 00:00:36
2022-04-16 09:48:04,2022-04-16 09:50:52,Lying_On_Back,annotator,POSTURE,2022-04-16 00:00:36,2022-04-16 00:03:24
2022-04-16 09:50:52,2022-04-16 09:57:32,Lying_On_Back,annotator,POSTURE,2022-04-16 00:03:24,2022-04-16 00:10:04
2022-04-16 09:57:32,2022-04-16 09:58:35,Lying_On_Back,annotator,POSTURE,2022-04-16 00:10:04,2022-04-16 00:11:07
2022-04-16 09:58:35,2022-04-16 10:08:29,Lying_On_Back,annotator,POSTURE,2022-04-16 00:11:07,2022-04-16 00:21:01
2022-04-16 10:08:29,2022-04-16 10:09:26,Lying_On_Back,annotator,POSTURE,2022-04-16 00:21:01,2022-04-16 00:21:58
2022-04-16 10:09:26,2022-04-16 10:12:52,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 00:21:58,2022-04-16 00:25:24
2022-04-16 10:12:52,2022-04-16 10:14:31,Lying_On_Back,annotator,POSTURE,2022-04-16 00:25:24,2022-04-16 00:27:03
2022-04-16 10:14:31,2022-04-16 10:14:49,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 00:27:03,2022-04-16 00:27:21
2022-04-16 10:14:49,2022-04-16 10:15:47,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 00:27:21,2022-04-16 00:28:19
2022-04-16 10:15:47,2022-04-16 10:15:57,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 00:28:19,2022-04-16 00:28:29
2022-04-16 10:15:57,2022-04-16 10:19:22,Lying_On_Back,annotator,POSTURE,2022-04-16 00:28:29,2022-04-16 00:31:54
2022-04-16 10:19:22,2022-04-16 10:45:43,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 00:31:54,2022-04-16 00:58:15
2022-04-16 10:45:43,2022-04-16 10:46:46,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 00:58:15,2022-04-16 00:59:18
2022-04-16 10:46:46,2022-04-16 10:49:17,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 00:59:18,2022-04-16 01:01:49
2022-04-16 10:49:17,2022-04-16 10:50:49,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 01:01:49,2022-04-16 01:03:21
2022-04-16 10:50:49,2022-04-16 10:51:44,Lying_On_Back,annotator,POSTURE,2022-04-16 01:03:21,2022-04-16 01:04:16
2022-04-16 10:51:44,2022-04-16 10:52:19,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-16 01:04:16,2022-04-16 01:04:51
2022-04-16 10:52:19,2022-04-16 10:57:14,Lying_On_Right_Side,annotator,POSTURE,2022-04-16 01:04:51,2022-04-16 01:09:46
2022-04-16 10:57:14,2022-04-16 10:59:44,Lying_On_Right_Side,annotator,POSTURE,2022-04-16 01:09:46,2022-04-16 01:12:16
2022-04-16 10:59:44,2022-04-16 11:00:17,Lying_On_Right_Side,annotator,POSTURE,2022-04-16 01:12:16,2022-04-16 01:12:49
2022-04-16 11:00:17,2022-04-16 11:02:52,Lying_On_Right_Side,annotator,POSTURE,2022-04-16 01:12:49,2022-04-16 01:15:24
2022-04-16 11:02:52,2022-04-16 11:08:05,Lying_On_Right_Side,annotator,POSTURE,2022-04-16 01:15:24,2022-04-16 01:20:37
2022-04-16 11:08:05,2022-04-16 11:09:04,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-16 01:20:37,2022-04-16 01:21:36
2022-04-16 11:09:04,2022-04-16 11:13:16,Lying_On_Back,annotator,POSTURE,2022-04-16 01:21:36,2022-04-16 01:25:48
2022-04-16 11:13:16,2022-04-16 11:14:38,Lying_On_Back,annotator,POSTURE,2022-04-16 01:25:48,2022-04-16 01:27:10
2022-04-16 11:14:38,2022-04-16 11:15:17,Lying_On_Back,annotator,POSTURE,2022-04-16 01:27:10,2022-04-16 01:27:49
2022-04-16 11:15:17,2022-04-16 11:18:12,Lying_On_Back,annotator,POSTURE,2022-04-16 01:27:49,2022-04-16 01:30:44
2022-04-16 11:18:12,2022-04-16 11:22:46,Lying_On_Back,annotator,POSTURE,2022-04-16 01:30:44,2022-04-16 01:35:18
2022-04-16 11:22:46,2022-04-16 11:23:46,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-16 01:35:18,2022-04-16 01:36:18
2022-04-16 11:23:46,2022-04-16 11:42:42,Lying_On_Left_Side,annotator,POSTURE,2022-04-16 01:36:18,2022-04-16 01:55:14
2022-04-16 11:42:42,2022-04-16 11:53:02,Lying_On_Back,annotator,POSTURE,2022-04-16 01:55:14,2022-04-16 02:05:34
2022-04-16 11:53:02,2022-04-16 11:54:02,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:05:34,2022-04-16 02:06:34
2022-04-16 11:54:02,2022-04-16 11:54:58,In_Position_Upright,annotator,POSTURE,2022-04-16 02:06:34,2022-04-16 02:07:30
2022-04-16 11:54:58,2022-04-16 11:56:02,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:07:30,2022-04-16 02:08:34
2022-04-16 11:56:02,2022-04-16 11:57:55,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:08:34,2022-04-16 02:10:27
2022-04-16 11:57:55,2022-04-16 11:58:57,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:10:27,2022-04-16 02:11:29
2022-04-16 11:58:57,2022-04-16 12:01:24,In_Position_Upright,annotator,POSTURE,2022-04-16 02:11:29,2022-04-16 02:13:56
2022-04-16 12:01:24,2022-04-16 12:02:13,In_Position_Upright,annotator,POSTURE,2022-04-16 02:13:56,2022-04-16 02:14:45
2022-04-16 12:02:13,2022-04-16 12:02:46,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:14:45,2022-04-16 02:15:18
2022-04-16 12:02:46,2022-04-16 12:03:03,In_Position_Upright,annotator,POSTURE,2022-04-16 02:15:18,2022-04-16 02:15:35
2022-04-16 12:03:03,2022-04-16 12:03:50,In_Position_Upright,annotator,POSTURE,2022-04-16 02:15:35,2022-04-16 02:16:22
2022-04-16 12:03:50,2022-04-16 12:09:29,In_Position_Upright,annotator,POSTURE,2022-04-16 02:16:22,2022-04-16 02:22:01
2022-04-16 12:09:29,2022-04-16 12:09:59,In_Position_Upright,annotator,POSTURE,2022-04-16 02:22:01,2022-04-16 02:22:31
2022-04-16 12:09:59,2022-04-16 12:10:16,In_Position_Upright,annotator,POSTURE,2022-04-16 02:22:31,2022-04-16 02:22:48
2022-04-16 12:10:16,2022-04-16 12:10:47,In_Position_Upright,annotator,POSTURE,2022-04-16 02:22:48,2022-04-16 02:23:19
2022-04-16 12:10:47,2022-04-16 12:11:38,In_Position_Upright,annotator,POSTURE,2022-04-16 02:23:19,2022-04-16 02:24:10
2022-04-16 12:11:38,2022-04-16 12:12:19,In_Position_Upright,annotator,POSTURE,2022-04-16 02:24:10,2022-04-16 02:24:51
2022-04-16 12:12:19,2022-04-16 12:13:36,In_Position_Upright,annotator,POSTURE,2022-04-16 02:24:51,2022-04-16 02:26:08
2022-04-16 12:13:36,2022-04-16 12:15:08,In_Position_Upright,annotator,POSTURE,2022-04-16 02:26:08,2022-04-16 02:27:40
2022-04-16 12:15:08,2022-04-16 12:16:30,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:27:40,2022-04-16 02:29:02
2022-04-16 12:16:30,2022-04-16 12:19:08,In_Position_Upright,annotator,POSTURE,2022-04-16 02:29:02,2022-04-16 02:31:40
2022-04-16 12:19:08,2022-04-16 12:20:47,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:31:40,2022-04-16 02:33:19
2022-04-16 12:20:47,2022-04-16 12:22:36,In_Position_Upright,annotator,POSTURE,2022-04-16 02:33:19,2022-04-16 02:35:08
2022-04-16 12:22:36,2022-04-16 12:38:44,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:35:08,2022-04-16 02:51:16
2022-04-16 12:38:44,2022-04-16 12:38:54,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:51:16,2022-04-16 02:51:26
2022-04-16 12:38:54,2022-04-16 12:41:35,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:51:26,2022-04-16 02:54:07
2022-04-16 12:41:35,2022-04-16 12:43:17,In_Position_Upright,annotator,POSTURE,2022-04-16 02:54:07,2022-04-16 02:55:49
2022-04-16 12:43:17,2022-04-16 12:44:21,In_Position_Sitting,annotator,POSTURE,2022-04-16 02:55:49,2022-04-16 02:56:53
2022-04-16 12:44:21,2022-04-16 12:47:33,In_Position_Upright,annotator,POSTURE,2022-04-16 02:56:53,2022-04-16 03:00:05
2022-04-16 12:47:33,2022-04-16 12:48:12,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:00:05,2022-04-16 03:00:44
2022-04-16 12:48:12,2022-04-16 12:48:40,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:00:44,2022-04-16 03:01:12
2022-04-16 12:48:40,2022-04-16 12:48:45,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:01:12,2022-04-16 03:01:17
2022-04-16 12:48:45,2022-04-16 12:49:15,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:01:17,2022-04-16 03:01:47
2022-04-16 12:49:15,2022-04-16 12:50:14,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:01:47,2022-04-16 03:02:46
2022-04-16 12:50:14,2022-04-16 12:53:36,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:02:46,2022-04-16 03:06:08
2022-04-16 12:53:36,2022-04-16 12:54:37,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:06:08,2022-04-16 03:07:09
2022-04-16 12:54:37,2022-04-16 12:55:37,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:07:09,2022-04-16 03:08:09
2022-04-16 12:55:37,2022-04-16 12:55:48,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:08:09,2022-04-16 03:08:20
2022-04-16 12:55:48,2022-04-16 12:56:33,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:08:20,2022-04-16 03:09:05
2022-04-16 12:56:33,2022-04-16 12:57:09,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:09:05,2022-04-16 03:09:41
2022-04-16 12:57:09,2022-04-16 12:58:23,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:09:41,2022-04-16 03:10:55
2022-04-16 12:58:23,2022-04-16 13:00:09,In_Position_Sitting,annotator,POSTURE,2022-04-16 03:10:55,2022-04-16 03:12:41
2022-04-16 13:00:09,2022-04-16 13:01:14,In_Position_Upright,annotator,POSTURE,2022-04-16 03:12:41,2022-04-16 03:13:46
2022-04-16 13:01:14,2022-04-16 13:04:19,In_Position_Upright,annotator,POSTURE,2022-04-16 03:13:46,2022-04-16 03:16:51
2022-04-16 13:04:19,2022-04-16 13:04:33,In_Position_Upright,annotator,POSTURE,2022-04-16 03:16:51,2022-04-16 03:17:05
2022-04-16 13:04:33,2022-04-16 13:04:50,In_Position_Upright,annotator,POSTURE,2022-04-16 03:17:05,2022-04-16 03:17:22
2022-04-16 13:04:51,2022-04-16 13:06:27,In_Position_Upright,annotator,POSTURE,2022-04-16 03:17:23,2022-04-16 03:18:59
2022-04-16 13:06:27,2022-04-16 13:06:47,In_Position_Upright,annotator,POSTURE,2022-04-16 03:18:59,2022-04-16 03:19:19
