START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-18 08:48:37,2022-04-18 08:55:06,Sitting_With_Movement,annotator,PA TYPE,2022-04-18 00:00:00,2022-04-18 00:06:29
2022-04-18 08:55:06,2022-04-18 08:56:49,Walking,annotator,PA TYPE,2022-04-18 00:06:29,2022-04-18 00:08:12
2022-04-18 08:56:49,2022-04-18 08:59:14,Sitting_With_Movement,annotator,PA TYPE,2022-04-18 00:08:12,2022-04-18 00:10:37
2022-04-18 08:59:14,2022-04-18 08:59:58,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:10:37,2022-04-18 00:11:21
2022-04-18 08:59:58,2022-04-18 09:00:06,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:11:21,2022-04-18 00:11:29
2022-04-18 09:00:06,2022-04-18 09:00:23,Walking,annotator,PA TYPE,2022-04-18 00:11:29,2022-04-18 00:11:46
2022-04-18 09:00:23,2022-04-18 09:00:40,Sitting_With_Movement,annotator,PA TYPE,2022-04-18 00:11:46,2022-04-18 00:12:03
2022-04-18 09:00:40,2022-04-18 09:00:45,Sitting_With_Movement,annotator,PA TYPE,2022-04-18 00:12:03,2022-04-18 00:12:08
2022-04-18 09:00:45,2022-04-18 09:05:52,Sitting_With_Movement,annotator,PA TYPE,2022-04-18 00:12:08,2022-04-18 00:17:15
2022-04-18 09:05:52,2022-04-18 09:07:22,Brushing/Combing/Tying_Hair,annotator,PA TYPE,2022-04-18 00:17:15,2022-04-18 00:18:45
2022-04-18 09:07:22,2022-04-18 09:07:48,Walking,annotator,PA TYPE,2022-04-18 00:18:45,2022-04-18 00:19:11
2022-04-18 09:07:48,2022-04-18 09:10:23,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:19:11,2022-04-18 00:21:46
2022-04-18 09:10:23,2022-04-18 09:10:57,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:21:46,2022-04-18 00:22:20
2022-04-18 09:10:23,2022-04-18 09:10:23,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:21:46,2022-04-18 00:21:46
2022-04-18 09:10:57,2022-04-18 09:11:52,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:22:20,2022-04-18 00:23:15
2022-04-18 09:11:52,2022-04-18 09:13:06,Walking,annotator,PA TYPE,2022-04-18 00:23:15,2022-04-18 00:24:29
2022-04-18 09:13:06,2022-04-18 09:14:23,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:24:29,2022-04-18 00:25:46
2022-04-18 09:14:23,2022-04-18 09:18:16,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:25:46,2022-04-18 00:29:39
2022-04-18 09:18:16,2022-04-18 09:18:55,Walking,annotator,PA TYPE,2022-04-18 00:29:39,2022-04-18 00:30:18
2022-04-18 09:18:55,2022-04-18 09:19:42,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:30:18,2022-04-18 00:31:05
2022-04-18 09:19:42,2022-04-18 09:21:45,Walking,annotator,PA TYPE,2022-04-18 00:31:05,2022-04-18 00:33:08
2022-04-18 09:21:45,2022-04-18 09:21:59,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:33:08,2022-04-18 00:33:22
2022-04-18 09:21:59,2022-04-18 09:22:55,Walking,annotator,PA TYPE,2022-04-18 00:33:22,2022-04-18 00:34:18
2022-04-18 09:22:55,2022-04-18 09:23:08,Standing_With_Movement,annotator,PA TYPE,2022-04-18 00:34:18,2022-04-18 00:34:31
2022-04-18 09:23:08,2022-04-18 09:26:09,Walking,annotator,PA TYPE,2022-04-18 00:34:31,2022-04-18 00:37:32
