START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-21 09:58:09,2022-04-21 09:59:01,,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:00:00,2022-04-21 00:00:52
2022-04-21 09:59:01,2022-04-21 09:59:14,,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:00:52,2022-04-21 00:01:05
2022-04-21 09:59:14,2022-04-21 10:01:07,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:01:05,2022-04-21 00:02:58
2022-04-21 10:01:07,2022-04-21 10:12:10,Using_Computer/Screen, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:02:58,2022-04-21 00:14:01
2022-04-21 10:12:10,2022-04-21 10:12:43,,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:14:01,2022-04-21 00:14:34
2022-04-21 10:12:43,2022-04-21 10:14:11,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:14:34,2022-04-21 00:16:02
2022-04-21 10:14:11,2022-04-21 10:15:33,,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:16:02,2022-04-21 00:17:24
2022-04-21 10:15:33,2022-04-21 10:16:41,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:17:24,2022-04-21 00:18:32
2022-04-21 10:16:41,2022-04-21 10:17:32,,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:18:32,2022-04-21 00:19:23
2022-04-21 10:17:32,2022-04-21 10:18:00,,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:19:23,2022-04-21 00:19:51
2022-04-21 10:18:03,2022-04-21 10:18:09,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:19:54,2022-04-21 00:20:00
2022-04-21 10:18:09,2022-04-21 10:18:22,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:20:00,2022-04-21 00:20:13
2022-04-21 10:18:22,2022-04-21 10:18:38,,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:20:13,2022-04-21 00:20:29
2022-04-21 10:18:38,2022-04-21 10:19:15,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:20:29,2022-04-21 00:21:06
2022-04-21 10:19:15,2022-04-21 10:19:31,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:21:06,2022-04-21 00:21:22
2022-04-21 10:19:31,2022-04-21 10:19:36,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:21:22,2022-04-21 00:21:27
2022-04-21 10:19:36,2022-04-21 10:25:06,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:21:27,2022-04-21 00:26:57
2022-04-21 10:25:06,2022-04-21 10:25:37,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:26:57,2022-04-21 00:27:28
2022-04-21 10:25:37,2022-04-21 10:25:59,Meeting _Social_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:27:28,2022-04-21 00:27:50
2022-04-21 10:25:59,2022-04-21 10:30:03,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:27:50,2022-04-21 00:31:54
2022-04-21 10:30:03,2022-04-21 10:32:08,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:31:54,2022-04-21 00:33:59
2022-04-21 10:32:12,2022-04-21 10:35:45,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:34:03,2022-04-21 00:37:36
2022-04-21 10:35:45,2022-04-21 10:38:04,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:37:36,2022-04-21 00:39:55
2022-04-21 10:38:04,2022-04-21 10:38:55,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:39:55,2022-04-21 00:40:46
2022-04-21 10:38:55,2022-04-21 10:42:57,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:40:46,2022-04-21 00:44:48
2022-04-21 10:42:57,2022-04-21 10:43:46,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:44:48,2022-04-21 00:45:37
2022-04-21 10:43:46,2022-04-21 10:51:08,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:45:37,2022-04-21 00:52:59
2022-04-21 10:51:08,2022-04-21 10:55:32,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:52:59,2022-04-21 00:57:23
2022-04-21 10:55:32,2022-04-21 10:56:06,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:57:23,2022-04-21 00:57:57
2022-04-21 10:56:09,2022-04-21 10:56:34,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:58:00,2022-04-21 00:58:25
2022-04-21 10:56:34,2022-04-21 11:03:17,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 00:58:25,2022-04-21 01:05:08
2022-04-21 11:03:17,2022-04-21 11:09:21,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:05:08,2022-04-21 01:11:12
2022-04-21 11:09:21,2022-04-21 11:09:59,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:11:12,2022-04-21 01:11:50
2022-04-21 11:09:59,2022-04-21 11:11:35,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:11:50,2022-04-21 01:13:26
2022-04-21 11:11:35,2022-04-21 11:12:29,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:13:26,2022-04-21 01:14:20
2022-04-21 11:12:29,2022-04-21 11:14:42,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:14:20,2022-04-21 01:16:33
2022-04-21 11:14:42,2022-04-21 11:17:57,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:16:33,2022-04-21 01:19:48
2022-04-21 11:17:57,2022-04-21 11:18:12,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:19:48,2022-04-21 01:20:03
2022-04-21 11:18:12,2022-04-21 11:20:36,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:20:03,2022-04-21 01:22:27
2022-04-21 11:20:36,2022-04-21 11:34:07,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:22:27,2022-04-21 01:35:58
2022-04-21 11:34:07,2022-04-21 11:35:12,Meeting _Social_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:35:58,2022-04-21 01:37:03
2022-04-21 11:35:12,2022-04-21 11:35:21,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:37:03,2022-04-21 01:37:12
2022-04-21 11:35:21,2022-04-21 11:35:45,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:37:12,2022-04-21 01:37:36
2022-04-21 11:35:45,2022-04-21 11:36:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:37:36,2022-04-21 01:38:14
2022-04-21 11:36:23,2022-04-21 11:36:38,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:38:14,2022-04-21 01:38:29
2022-04-21 11:36:38,2022-04-21 11:38:08,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:38:29,2022-04-21 01:39:59
2022-04-21 11:38:08,2022-04-21 11:43:59,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-21 01:39:59,2022-04-21 01:45:50
