START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-21 09:58:09,2022-04-21 09:59:01,Synchronizing_Sensors,annotator,PA TYPE,2022-04-21 00:00:00,2022-04-21 00:00:52
2022-04-21 09:59:01,2022-04-21 09:59:14,Standing_With_Movement,annotator,PA TYPE,2022-04-21 00:00:52,2022-04-21 00:01:05
2022-04-21 09:59:14,2022-04-21 10:01:07,Puttering_Around,annotator,PA TYPE,2022-04-21 00:01:05,2022-04-21 00:02:58
2022-04-21 10:01:07,2022-04-21 10:12:10,Sitting_With_Movement,annotator,PA TYPE,2022-04-21 00:02:58,2022-04-21 00:14:01
2022-04-21 10:12:10,2022-04-21 10:12:43,Puttering_Around,annotator,PA TYPE,2022-04-21 00:14:01,2022-04-21 00:14:34
2022-04-21 10:12:43,2022-04-21 10:14:11,Applying_Makeup,annotator,PA TYPE,2022-04-21 00:14:34,2022-04-21 00:16:02
2022-04-21 10:14:11,2022-04-21 10:15:33,Brushing_Teeth,annotator,PA TYPE,2022-04-21 00:16:02,2022-04-21 00:17:24
2022-04-21 10:15:33,2022-04-21 10:16:41,Puttering_Around,annotator,PA TYPE,2022-04-21 00:17:24,2022-04-21 00:18:32
2022-04-21 10:16:41,2022-04-21 10:17:32,Puttering_Around,annotator,PA TYPE,2022-04-21 00:18:32,2022-04-21 00:19:23
2022-04-21 10:17:32,2022-04-21 10:18:00,Standing_With_Movement,annotator,PA TYPE,2022-04-21 00:19:23,2022-04-21 00:19:51
2022-04-21 10:18:03,2022-04-21 10:18:09,Puttering_Around,annotator,PA TYPE,2022-04-21 00:19:54,2022-04-21 00:20:00
2022-04-21 10:18:09,2022-04-21 10:18:22,Walking,annotator,PA TYPE,2022-04-21 00:20:00,2022-04-21 00:20:13
2022-04-21 10:18:22,2022-04-21 10:18:38,Standing_With_Movement,annotator,PA TYPE,2022-04-21 00:20:13,2022-04-21 00:20:29
2022-04-21 10:18:38,2022-04-21 10:19:15,Standing_With_Movement,annotator,PA TYPE,2022-04-21 00:20:29,2022-04-21 00:21:06
