START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-20 09:08:56,2022-04-20 09:10:27,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:00:00,2022-04-20 00:01:31
2022-04-20 09:10:27,2022-04-20 09:11:14,,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:01:31,2022-04-20 00:02:18
2022-04-20 09:11:14,2022-04-20 09:11:40,,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:02:18,2022-04-20 00:02:44
2022-04-20 09:11:40,2022-04-20 09:13:46,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:02:44,2022-04-20 00:04:50
2022-04-20 09:13:46,2022-04-20 09:14:04,,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:04:50,2022-04-20 00:05:08
2022-04-20 09:14:04,2022-04-20 09:14:35,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:05:08,2022-04-20 00:05:39
2022-04-20 09:14:35,2022-04-20 09:14:57,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:05:39,2022-04-20 00:06:01
2022-04-20 09:14:57,2022-04-20 09:15:35,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:06:01,2022-04-20 00:06:39
2022-04-20 09:15:35,2022-04-20 09:15:44,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:06:39,2022-04-20 00:06:48
2022-04-20 09:15:44,2022-04-20 09:18:35,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:06:48,2022-04-20 00:09:39
2022-04-20 09:18:35,2022-04-20 09:19:27,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:09:39,2022-04-20 00:10:31
2022-04-20 09:19:27,2022-04-20 09:19:39,,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:10:31,2022-04-20 00:10:43
2022-04-20 09:19:39,2022-04-20 09:20:26,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:10:43,2022-04-20 00:11:30
2022-04-20 09:20:26,2022-04-20 09:30:29,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:11:30,2022-04-20 00:21:33
2022-04-20 09:30:29,2022-04-20 09:35:21,,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:21:33,2022-04-20 00:26:25
2022-04-20 09:35:21,2022-04-20 09:36:13,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:26:25,2022-04-20 00:27:17
2022-04-20 09:36:13,2022-04-20 09:36:24,,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:27:17,2022-04-20 00:27:28
2022-04-20 09:36:24,2022-04-20 09:36:58,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:27:28,2022-04-20 00:28:02
2022-04-20 09:36:58,2022-04-20 09:37:20,,annotator,HIGH LEVEL BEHAVIOR,2022-04-20 00:28:02,2022-04-20 00:28:24
