START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-25 10:16:36,2022-04-25 10:48:57,Located_Indoors, CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-25 00:00:00,2022-04-25 00:32:21
2022-04-25 10:48:57,2022-04-25 10:50:06,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 00:32:21,2022-04-25 00:33:30
2022-04-25 10:50:13,2022-04-25 10:52:26,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:33:37,2022-04-25 00:35:50
2022-04-25 10:52:26,2022-04-25 10:52:48,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 00:35:50,2022-04-25 00:36:12
2022-04-25 10:52:48,2022-04-25 10:53:08,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 00:36:12,2022-04-25 00:36:32
2022-04-25 10:53:08,2022-04-25 10:53:27,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 00:36:32,2022-04-25 00:36:51
2022-04-25 10:53:27,2022-04-25 10:53:47,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 00:36:51,2022-04-25 00:37:11
2022-04-25 10:53:47,2022-04-25 10:53:54,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 00:37:11,2022-04-25 00:37:18
2022-04-25 10:53:54,2022-04-25 10:56:29,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 00:37:18,2022-04-25 00:39:53
2022-04-25 10:56:29,2022-04-25 10:56:34,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:39:53,2022-04-25 00:39:58
2022-04-25 10:56:34,2022-04-25 10:56:38,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:39:58,2022-04-25 00:40:02
2022-04-25 10:56:38,2022-04-25 10:57:06,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:40:02,2022-04-25 00:40:30
2022-04-25 10:57:06,2022-04-25 10:57:29,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:40:30,2022-04-25 00:40:53
2022-04-25 10:57:29,2022-04-25 10:57:38,Located_Indoors, Holding_Drink,annotator,Behavioral Parameters,2022-04-25 00:40:53,2022-04-25 00:41:02
2022-04-25 10:57:38,2022-04-25 10:58:51,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:41:02,2022-04-25 00:42:15
2022-04-25 10:58:51,2022-04-25 11:00:11,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-25 00:42:15,2022-04-25 00:43:35
2022-04-25 11:00:11,2022-04-25 11:01:53,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 00:43:35,2022-04-25 00:45:17
2022-04-25 11:01:53,2022-04-25 11:03:35,Located_Indoors, Texting/Browsing_Phone, Holding_Solid_Food,annotator,Behavioral Parameters,2022-04-25 00:45:17,2022-04-25 00:46:59
2022-04-25 11:03:35,2022-04-25 11:06:00,Located_Indoors, Holding_Solid_Food,annotator,Behavioral Parameters,2022-04-25 00:46:59,2022-04-25 00:49:24
2022-04-25 11:06:06,2022-04-25 11:06:52,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 00:49:30,2022-04-25 00:50:16
2022-04-25 11:06:52,2022-04-25 11:07:48,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:50:16,2022-04-25 00:51:12
2022-04-25 11:07:48,2022-04-25 11:08:27,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 00:51:12,2022-04-25 00:51:51
2022-04-25 11:08:27,2022-04-25 11:09:26,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:51:51,2022-04-25 00:52:50
2022-04-25 11:09:26,2022-04-25 11:09:42,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 00:52:50,2022-04-25 00:53:06
2022-04-25 11:09:42,2022-04-25 11:12:52,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:53:06,2022-04-25 00:56:16
2022-04-25 11:12:52,2022-04-25 11:15:17,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 00:56:16,2022-04-25 00:58:41
2022-04-25 11:15:17,2022-04-25 11:17:27,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 00:58:41,2022-04-25 01:00:51
2022-04-25 11:17:27,2022-04-25 11:18:02,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:00:51,2022-04-25 01:01:26
2022-04-25 11:18:02,2022-04-25 11:19:22,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:01:26,2022-04-25 01:02:46
2022-04-25 11:19:22,2022-04-25 11:20:50,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:02:46,2022-04-25 01:04:14
2022-04-25 11:20:50,2022-04-25 11:21:55,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:04:14,2022-04-25 01:05:19
2022-04-25 11:21:55,2022-04-25 11:23:59,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:05:19,2022-04-25 01:07:23
2022-04-25 11:23:59,2022-04-25 11:27:35,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:07:23,2022-04-25 01:10:59
2022-04-25 11:27:35,2022-04-25 11:30:01,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:10:59,2022-04-25 01:13:25
2022-04-25 11:30:01,2022-04-25 11:31:59,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:13:25,2022-04-25 01:15:23
2022-04-25 11:31:59,2022-04-25 11:33:52,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:15:23,2022-04-25 01:17:16
2022-04-25 11:33:52,2022-04-25 11:36:47,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:17:16,2022-04-25 01:20:11
2022-04-25 11:36:47,2022-04-25 11:37:15,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:20:11,2022-04-25 01:20:39
2022-04-25 11:37:15,2022-04-25 11:38:25,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:20:39,2022-04-25 01:21:49
2022-04-25 11:38:25,2022-04-25 11:41:43,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:21:49,2022-04-25 01:25:07
2022-04-25 11:41:43,2022-04-25 11:42:08,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:25:07,2022-04-25 01:25:32
2022-04-25 11:42:08,2022-04-25 11:42:38,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:25:32,2022-04-25 01:26:02
2022-04-25 11:42:38,2022-04-25 11:42:54,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:26:02,2022-04-25 01:26:18
2022-04-25 11:42:54,2022-04-25 11:43:34,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-25 01:26:18,2022-04-25 01:26:58
2022-04-25 11:43:34,2022-04-25 11:43:40,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 01:26:58,2022-04-25 01:27:04
2022-04-25 11:43:40,2022-04-25 11:43:58,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:27:04,2022-04-25 01:27:22
2022-04-25 11:43:58,2022-04-25 11:44:05,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 01:27:22,2022-04-25 01:27:29
2022-04-25 11:44:05,2022-04-25 11:44:14,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 01:27:29,2022-04-25 01:27:38
2022-04-25 11:44:14,2022-04-25 11:44:23,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 01:27:38,2022-04-25 01:27:47
2022-04-25 11:44:23,2022-04-25 11:45:05,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors, In_Conversation,annotator,Behavioral Parameters,2022-04-25 01:27:47,2022-04-25 01:28:29
2022-04-25 11:45:05,2022-04-25 11:47:13,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors, In_Conversation,annotator,Behavioral Parameters,2022-04-25 01:28:29,2022-04-25 01:30:37
2022-04-25 11:47:13,2022-04-25 11:47:19,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors, In_Conversation,annotator,Behavioral Parameters,2022-04-25 01:30:37,2022-04-25 01:30:43
2022-04-25 11:47:19,2022-04-25 11:48:05,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors, In_Conversation,annotator,Behavioral Parameters,2022-04-25 01:30:43,2022-04-25 01:31:29
2022-04-25 11:48:05,2022-04-25 11:50:05,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors, In_Conversation,annotator,Behavioral Parameters,2022-04-25 01:31:29,2022-04-25 01:33:29
2022-04-25 11:50:05,2022-04-25 11:51:15,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 01:33:29,2022-04-25 01:34:39
2022-04-25 11:51:15,2022-04-25 11:51:21,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 01:34:39,2022-04-25 01:34:45
2022-04-25 11:51:21,2022-04-25 11:52:04,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 01:34:45,2022-04-25 01:35:28
2022-04-25 11:52:04,2022-04-25 11:52:06,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:35:28,2022-04-25 01:35:30
2022-04-25 11:52:06,2022-04-25 11:52:06,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:35:30,2022-04-25 01:35:30
2022-04-25 11:52:06,2022-04-25 11:52:22,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:35:30,2022-04-25 01:35:46
