START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-26 11:09:18,2022-04-26 11:10:44,Standing_With_Movement,annotator,PA TYPE,2022-04-26 00:00:00,2022-04-26 00:01:26
2022-04-26 11:10:49,2022-04-26 12:02:18,Lying_With_Movement,annotator,PA TYPE,2022-04-26 00:01:31,2022-04-26 00:53:00
2022-04-26 12:02:19,2022-04-26 12:03:25,Lying_With_Movement,annotator,PA TYPE,2022-04-26 00:53:01,2022-04-26 00:54:07
2022-04-26 12:03:36,2022-04-26 12:03:36,Lying_With_Movement,annotator,PA TYPE,2022-04-26 00:54:18,2022-04-26 00:54:18
2022-04-26 12:03:36,2022-04-26 12:08:46,Lying_With_Movement,annotator,PA TYPE,2022-04-26 00:54:18,2022-04-26 00:59:28
2022-04-26 12:08:46,2022-04-26 12:08:46,Standing_With_Movement,annotator,PA TYPE,2022-04-26 00:59:28,2022-04-26 00:59:28
2022-04-26 12:08:46,2022-04-26 12:09:10,Walking,annotator,PA TYPE,2022-04-26 00:59:28,2022-04-26 00:59:52
2022-04-26 12:08:46,2022-04-26 12:08:46,Standing_With_Movement,annotator,PA TYPE,2022-04-26 00:59:28,2022-04-26 00:59:28
2022-04-26 12:09:12,2022-04-26 12:09:23,Walking_Down_Stairs,annotator,PA TYPE,2022-04-26 00:59:54,2022-04-26 01:00:05
2022-04-26 12:09:25,2022-04-26 12:10:13,Walking,annotator,PA TYPE,2022-04-26 01:00:07,2022-04-26 01:00:55
2022-04-26 12:10:14,2022-04-26 12:10:56,Walking,annotator,PA TYPE,2022-04-26 01:00:56,2022-04-26 01:01:38
2022-04-26 12:10:56,2022-04-26 12:11:14,Walking,annotator,PA TYPE,2022-04-26 01:01:38,2022-04-26 01:01:56
2022-04-26 12:11:15,2022-04-26 12:15:02,Standing_With_Movement,annotator,PA TYPE,2022-04-26 01:01:57,2022-04-26 01:05:44
2022-04-26 12:15:16,2022-04-26 12:15:16,Applying_Makeup,annotator,PA TYPE,2022-04-26 01:05:58,2022-04-26 01:05:58
2022-04-26 12:15:16,2022-04-26 12:15:16,Applying_Makeup,annotator,PA TYPE,2022-04-26 01:05:58,2022-04-26 01:05:58
2022-04-26 12:15:19,2022-04-26 12:15:51,Standing_With_Movement,annotator,PA TYPE,2022-04-26 01:06:01,2022-04-26 01:06:33
2022-04-26 12:15:52,2022-04-26 12:16:05,Walking,annotator,PA TYPE,2022-04-26 01:06:34,2022-04-26 01:06:47
2022-04-26 12:16:05,2022-04-26 12:16:07,Standing_With_Movement,annotator,PA TYPE,2022-04-26 01:06:47,2022-04-26 01:06:49
2022-04-26 12:16:08,2022-04-26 12:17:50,Walking,annotator,PA TYPE,2022-04-26 01:06:50,2022-04-26 01:08:32
2022-04-26 12:17:50,2022-04-26 12:18:30,Walking,annotator,PA TYPE,2022-04-26 01:08:32,2022-04-26 01:09:12
2022-04-26 12:18:31,2022-04-26 12:18:49,Standing_With_Movement,annotator,PA TYPE,2022-04-26 01:09:13,2022-04-26 01:09:31
2022-04-26 12:18:53,2022-04-26 12:47:06,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 01:09:35,2022-04-26 01:37:48
2022-04-26 12:47:07,2022-04-26 12:47:07,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 01:37:49,2022-04-26 01:37:49
2022-04-26 12:47:07,2022-04-26 12:47:07,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 01:37:49,2022-04-26 01:37:49
2022-04-26 12:47:09,2022-04-26 12:48:08,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-04-26 01:37:51,2022-04-26 01:38:50
2022-04-26 12:48:08,2022-04-26 13:22:20,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 01:38:50,2022-04-26 02:13:02
2022-04-26 13:22:21,2022-04-26 13:23:29,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 02:13:03,2022-04-26 02:14:11
2022-04-26 13:23:41,2022-04-26 15:27:30,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 02:14:23,2022-04-26 04:18:12
2022-04-26 15:27:30,2022-04-26 15:28:17,Walking,annotator,PA TYPE,2022-04-26 04:18:12,2022-04-26 04:18:59
2022-04-26 15:28:18,2022-04-26 15:28:56,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-04-26 04:19:00,2022-04-26 04:19:38
2022-04-26 15:28:56,2022-04-26 15:29:18,Standing_With_Movement,annotator,PA TYPE,2022-04-26 04:19:38,2022-04-26 04:20:00
2022-04-26 15:29:21,2022-04-26 15:30:37,Walking,annotator,PA TYPE,2022-04-26 04:20:03,2022-04-26 04:21:19
2022-04-26 15:30:38,2022-04-26 17:07:23,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 04:21:20,2022-04-26 05:58:05
2022-04-26 17:07:27,2022-04-26 17:09:42,Standing_With_Movement,annotator,PA TYPE,2022-04-26 05:58:09,2022-04-26 06:00:24
2022-04-26 17:09:43,2022-04-26 17:10:11,Walking,annotator,PA TYPE,2022-04-26 06:00:25,2022-04-26 06:00:53
2022-04-26 17:10:11,2022-04-26 17:12:41,Walking,annotator,PA TYPE,2022-04-26 06:00:53,2022-04-26 06:03:23
2022-04-26 17:12:42,2022-04-26 17:14:07,Walking,annotator,PA TYPE,2022-04-26 06:03:24,2022-04-26 06:04:49
2022-04-26 17:14:08,2022-04-26 17:16:15,Standing_With_Movement,annotator,PA TYPE,2022-04-26 06:04:50,2022-04-26 06:06:57
2022-04-26 17:16:16,2022-04-26 17:16:39,Walking,annotator,PA TYPE,2022-04-26 06:06:58,2022-04-26 06:07:21
2022-04-26 17:16:39,2022-04-26 17:17:20,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-04-26 06:07:21,2022-04-26 06:08:02
2022-04-26 17:17:21,2022-04-26 17:18:04,Walking,annotator,PA TYPE,2022-04-26 06:08:03,2022-04-26 06:08:46
2022-04-26 17:18:05,2022-04-26 17:28:16,Walking,annotator,PA TYPE,2022-04-26 06:08:47,2022-04-26 06:18:58
2022-04-26 17:28:17,2022-04-26 17:29:01,Walking,annotator,PA TYPE,2022-04-26 06:18:59,2022-04-26 06:19:43
2022-04-26 17:29:07,2022-04-26 17:29:33,Standing_With_Movement,annotator,PA TYPE,2022-04-26 06:19:49,2022-04-26 06:20:15
2022-04-26 17:29:34,2022-04-26 17:30:02,Walking,annotator,PA TYPE,2022-04-26 06:20:16,2022-04-26 06:20:44
2022-04-26 17:30:03,2022-04-26 17:30:09,Sitting_With_Movement,annotator,PA TYPE,2022-04-26 06:20:45,2022-04-26 06:20:51
