START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-30 06:59:10,2022-04-30 06:59:54,Free_Living,annotator,Experimental situation,2022-04-30 00:00:00,2022-04-30 00:00:44
2022-04-30 06:59:54,2022-04-30 07:00:07,Free_Living,annotator,Experimental situation,2022-04-30 00:00:44,2022-04-30 00:00:57
2022-04-30 07:00:13,2022-04-30 07:57:04,Free_Living,annotator,Experimental situation,2022-04-30 00:01:03,2022-04-30 00:57:54
2022-04-30 07:57:04,2022-04-30 07:57:51,Free_Living,annotator,Experimental situation,2022-04-30 00:57:54,2022-04-30 00:58:41
2022-04-30 07:57:51,2022-04-30 07:58:22,Free_Living,annotator,Experimental situation,2022-04-30 00:58:41,2022-04-30 00:59:12
2022-04-30 07:58:22,2022-04-30 07:58:49,Free_Living,annotator,Experimental situation,2022-04-30 00:59:12,2022-04-30 00:59:39
2022-04-30 07:58:49,2022-04-30 07:59:38,Free_Living,annotator,Experimental situation,2022-04-30 00:59:39,2022-04-30 01:00:28
2022-04-30 07:59:38,2022-04-30 08:00:12,Free_Living,annotator,Experimental situation,2022-04-30 01:00:28,2022-04-30 01:01:02
2022-04-30 08:00:12,2022-04-30 08:00:38,Free_Living,annotator,Experimental situation,2022-04-30 01:01:02,2022-04-30 01:01:28
2022-04-30 08:00:38,2022-04-30 08:01:29,Free_Living,annotator,Experimental situation,2022-04-30 01:01:28,2022-04-30 01:02:19
2022-04-30 08:01:29,2022-04-30 08:01:55,Free_Living,annotator,Experimental situation,2022-04-30 01:02:19,2022-04-30 01:02:45
2022-04-30 08:01:55,2022-04-30 08:02:41,Free_Living,annotator,Experimental situation,2022-04-30 01:02:45,2022-04-30 01:03:31
2022-04-30 08:02:41,2022-04-30 08:02:52,Free_Living,annotator,Experimental situation,2022-04-30 01:03:31,2022-04-30 01:03:42
2022-04-30 08:02:52,2022-04-30 08:04:51,Free_Living,annotator,Experimental situation,2022-04-30 01:03:42,2022-04-30 01:05:41
2022-04-30 08:04:51,2022-04-30 08:05:06,Free_Living,annotator,Experimental situation,2022-04-30 01:05:41,2022-04-30 01:05:56
2022-04-30 08:05:06,2022-04-30 08:07:12,Free_Living,annotator,Experimental situation,2022-04-30 01:05:56,2022-04-30 01:08:02
2022-04-30 08:07:12,2022-04-30 08:11:56,Free_Living,annotator,Experimental situation,2022-04-30 01:08:02,2022-04-30 01:12:46
2022-04-30 08:11:56,2022-04-30 08:12:11,Free_Living,annotator,Experimental situation,2022-04-30 01:12:46,2022-04-30 01:13:01
2022-04-30 08:12:11,2022-04-30 08:15:07,Free_Living,annotator,Experimental situation,2022-04-30 01:13:01,2022-04-30 01:15:57
2022-04-30 08:15:07,2022-04-30 08:15:25,Free_Living,annotator,Experimental situation,2022-04-30 01:15:57,2022-04-30 01:16:15
2022-04-30 08:15:25,2022-04-30 08:25:45,Free_Living,annotator,Experimental situation,2022-04-30 01:16:15,2022-04-30 01:26:35
2022-04-30 08:25:45,2022-04-30 08:26:26,Free_Living,annotator,Experimental situation,2022-04-30 01:26:35,2022-04-30 01:27:16
2022-04-30 08:26:26,2022-04-30 08:53:48,Free_Living,annotator,Experimental situation,2022-04-30 01:27:16,2022-04-30 01:54:38
2022-04-30 08:53:48,2022-04-30 08:56:10,Free_Living,annotator,Experimental situation,2022-04-30 01:54:38,2022-04-30 01:57:00
2022-04-30 08:56:10,2022-04-30 08:58:13,Free_Living,annotator,Experimental situation,2022-04-30 01:57:00,2022-04-30 01:59:03
2022-04-30 08:58:13,2022-04-30 10:01:18,Free_Living,annotator,Experimental situation,2022-04-30 01:59:03,2022-04-30 03:02:08
2022-04-30 10:01:18,2022-04-30 10:01:36,Free_Living,annotator,Experimental situation,2022-04-30 03:02:08,2022-04-30 03:02:26
2022-04-30 10:01:36,2022-04-30 10:04:14,Free_Living,annotator,Experimental situation,2022-04-30 03:02:26,2022-04-30 03:05:04
2022-04-30 10:04:50,2022-04-30 10:07:42,Free_Living,annotator,Experimental situation,2022-04-30 03:05:40,2022-04-30 03:08:32
2022-04-30 10:07:54,2022-04-30 10:08:11,Free_Living,annotator,Experimental situation,2022-04-30 03:08:44,2022-04-30 03:09:01
2022-04-30 10:08:18,2022-04-30 12:00:07,Free_Living,annotator,Experimental situation,2022-04-30 03:09:08,2022-04-30 05:00:57
2022-04-30 12:02:18,2022-04-30 12:20:00,Free_Living,annotator,Experimental situation,2022-04-30 05:03:08,2022-04-30 05:20:50
2022-04-30 12:20:07,2022-04-30 12:22:23,Free_Living,annotator,Experimental situation,2022-04-30 05:20:57,2022-04-30 05:23:13
2022-04-30 12:22:35,2022-04-30 12:54:06,Free_Living,annotator,Experimental situation,2022-04-30 05:23:25,2022-04-30 05:54:56
2022-04-30 12:57:10,2022-04-30 12:58:19,Free_Living,annotator,Experimental situation,2022-04-30 05:58:00,2022-04-30 05:59:09
2022-04-30 13:00:04,2022-04-30 13:00:32,Free_Living,annotator,Experimental situation,2022-04-30 06:00:54,2022-04-30 06:01:22
2022-04-30 13:00:33,2022-04-30 13:07:19,Free_Living,annotator,Experimental situation,2022-04-30 06:01:23,2022-04-30 06:08:09
2022-04-30 13:07:20,2022-04-30 13:12:58,Free_Living,annotator,Experimental situation,2022-04-30 06:08:10,2022-04-30 06:13:48
2022-04-30 13:12:59,2022-04-30 13:21:15,Free_Living,annotator,Experimental situation,2022-04-30 06:13:49,2022-04-30 06:22:05
2022-04-30 13:21:25,2022-04-30 13:24:17,Free_Living,annotator,Experimental situation,2022-04-30 06:22:15,2022-04-30 06:25:07
2022-04-30 13:24:23,2022-04-30 13:31:22,Free_Living,annotator,Experimental situation,2022-04-30 06:25:13,2022-04-30 06:32:12
2022-04-30 13:31:23,2022-04-30 13:32:12,Free_Living,annotator,Experimental situation,2022-04-30 06:32:13,2022-04-30 06:33:02
2022-04-30 13:32:17,2022-04-30 13:36:10,Free_Living,annotator,Experimental situation,2022-04-30 06:33:07,2022-04-30 06:37:00
2022-04-30 13:36:48,2022-04-30 13:49:07,Free_Living,annotator,Experimental situation,2022-04-30 06:37:38,2022-04-30 06:49:57
2022-04-30 13:50:30,2022-04-30 14:01:01,Free_Living,annotator,Experimental situation,2022-04-30 06:51:20,2022-04-30 07:01:51
2022-04-30 14:02:05,2022-04-30 16:31:51,Free_Living,annotator,Experimental situation,2022-04-30 07:02:55,2022-04-30 09:32:41
2022-04-30 16:31:57,2022-04-30 16:33:09,Free_Living,annotator,Experimental situation,2022-04-30 09:32:47,2022-04-30 09:33:59
2022-04-30 16:33:09,2022-04-30 16:42:26,Free_Living,annotator,Experimental situation,2022-04-30 09:33:59,2022-04-30 09:43:16
2022-04-30 16:42:26,2022-04-30 16:42:48,Free_Living,annotator,Experimental situation,2022-04-30 09:43:16,2022-04-30 09:43:38
2022-04-30 16:42:48,2022-04-30 16:43:43,Free_Living,annotator,Experimental situation,2022-04-30 09:43:38,2022-04-30 09:44:33
2022-04-30 16:43:43,2022-04-30 16:43:57,Free_Living,annotator,Experimental situation,2022-04-30 09:44:33,2022-04-30 09:44:47
2022-04-30 16:43:57,2022-04-30 16:44:47,Free_Living,annotator,Experimental situation,2022-04-30 09:44:47,2022-04-30 09:45:37
2022-04-30 16:44:47,2022-04-30 16:45:48,Free_Living,annotator,Experimental situation,2022-04-30 09:45:37,2022-04-30 09:46:38
2022-04-30 16:45:48,2022-04-30 16:48:13,Free_Living,annotator,Experimental situation,2022-04-30 09:46:38,2022-04-30 09:49:03
2022-04-30 16:48:13,2022-04-30 16:48:52,Free_Living,annotator,Experimental situation,2022-04-30 09:49:03,2022-04-30 09:49:42
2022-04-30 16:48:52,2022-04-30 16:53:11,Free_Living,annotator,Experimental situation,2022-04-30 09:49:42,2022-04-30 09:54:01
2022-04-30 16:53:11,2022-04-30 17:42:20,Free_Living,annotator,Experimental situation,2022-04-30 09:54:01,2022-04-30 10:43:10
2022-04-30 17:42:20,2022-04-30 18:06:19,Free_Living,annotator,Experimental situation,2022-04-30 10:43:10,2022-04-30 11:07:09
2022-04-30 18:06:19,2022-04-30 18:07:01,Free_Living,annotator,Experimental situation,2022-04-30 11:07:09,2022-04-30 11:07:51
2022-04-30 18:07:01,2022-04-30 18:07:50,Free_Living,annotator,Experimental situation,2022-04-30 11:07:51,2022-04-30 11:08:40
2022-04-30 18:07:50,2022-04-30 18:08:15,Free_Living,annotator,Experimental situation,2022-04-30 11:08:40,2022-04-30 11:09:05
2022-04-30 18:08:15,2022-04-30 18:10:28,Free_Living,annotator,Experimental situation,2022-04-30 11:09:05,2022-04-30 11:11:18
2022-04-30 18:10:28,2022-04-30 18:10:55,Free_Living,annotator,Experimental situation,2022-04-30 11:11:18,2022-04-30 11:11:45
2022-04-30 18:10:55,2022-04-30 18:13:26,Free_Living,annotator,Experimental situation,2022-04-30 11:11:45,2022-04-30 11:14:16
2022-04-30 18:13:26,2022-04-30 18:13:35,Free_Living,annotator,Experimental situation,2022-04-30 11:14:16,2022-04-30 11:14:25
2022-04-30 18:13:35,2022-04-30 19:06:29,Free_Living,annotator,Experimental situation,2022-04-30 11:14:25,2022-04-30 12:07:19
2022-04-30 19:06:29,2022-04-30 19:08:53,Free_Living,annotator,Experimental situation,2022-04-30 12:07:19,2022-04-30 12:09:43
2022-04-30 19:08:53,2022-04-30 19:39:25,Free_Living,annotator,Experimental situation,2022-04-30 12:09:43,2022-04-30 12:40:15
2022-04-30 19:39:25,2022-04-30 19:39:40,Free_Living,annotator,Experimental situation,2022-04-30 12:40:15,2022-04-30 12:40:30
2022-04-30 19:39:40,2022-04-30 21:22:10,Free_Living,annotator,Experimental situation,2022-04-30 12:40:30,2022-04-30 14:23:00
