START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-03 16:25:52,2022-05-03 16:29:59,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-05-03 00:00:43,2022-05-03 00:04:50
2022-05-03 16:30:00,2022-05-03 16:31:05,In_Position_Sitting,annotator,POSTURE,2022-05-03 00:04:51,2022-05-03 00:05:56
2022-05-03 16:31:05,2022-05-03 16:32:34,In_Position_Upright,annotator,POSTURE,2022-05-03 00:05:56,2022-05-03 00:07:25
2022-05-03 16:32:35,2022-05-03 16:33:00,In_Position_Upright,annotator,POSTURE,2022-05-03 00:07:26,2022-05-03 00:07:51
2022-05-03 16:33:00,2022-05-03 16:33:17,In_Position_Upright,annotator,POSTURE,2022-05-03 00:07:51,2022-05-03 00:08:08
2022-05-03 16:33:17,2022-05-03 16:34:48,In_Position_Upright,annotator,POSTURE,2022-05-03 00:08:08,2022-05-03 00:09:39
2022-05-03 16:34:49,2022-05-03 16:38:03,In_Position_Upright,annotator,POSTURE,2022-05-03 00:09:40,2022-05-03 00:12:54
2022-05-03 16:38:04,2022-05-03 16:38:33,In_Position_Upright,annotator,POSTURE,2022-05-03 00:12:55,2022-05-03 00:13:24
2022-05-03 16:38:34,2022-05-03 16:39:20,In_Position_Upright,annotator,POSTURE,2022-05-03 00:13:25,2022-05-03 00:14:11
2022-05-03 16:39:21,2022-05-03 16:41:16,In_Position_Upright,annotator,POSTURE,2022-05-03 00:14:12,2022-05-03 00:16:07
2022-05-03 16:41:16,2022-05-03 16:42:12,In_Position_Upright,annotator,POSTURE,2022-05-03 00:16:07,2022-05-03 00:17:03
2022-05-03 16:42:13,2022-05-03 16:43:57,In_Position_Upright,annotator,POSTURE,2022-05-03 00:17:04,2022-05-03 00:18:48
2022-05-03 16:43:59,2022-05-03 16:44:47,In_Position_Upright,annotator,POSTURE,2022-05-03 00:18:50,2022-05-03 00:19:38
2022-05-03 16:44:48,2022-05-03 16:45:08,In_Position_Upright,annotator,POSTURE,2022-05-03 00:19:39,2022-05-03 00:19:59
2022-05-03 16:45:09,2022-05-03 16:47:13,In_Position_Upright,annotator,POSTURE,2022-05-03 00:20:00,2022-05-03 00:22:04
2022-05-03 16:47:17,2022-05-03 16:48:55,In_Position_Upright,annotator,POSTURE,2022-05-03 00:22:08,2022-05-03 00:23:46
2022-05-03 16:48:57,2022-05-03 16:51:19,In_Position_Sitting,annotator,POSTURE,2022-05-03 00:23:48,2022-05-03 00:26:10
2022-05-03 16:51:40,2022-05-03 17:01:41,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-05-03 00:26:31,2022-05-03 00:36:32
2022-05-03 17:01:48,2022-05-03 17:17:07,In_Position_Sitting,annotator,POSTURE,2022-05-03 00:36:39,2022-05-03 00:51:58
2022-05-03 17:17:09,2022-05-03 17:19:08,In_Position_Upright,annotator,POSTURE,2022-05-03 00:52:00,2022-05-03 00:53:59
2022-05-03 17:19:09,2022-05-03 17:46:03,In_Position_Sitting,annotator,POSTURE,2022-05-03 00:54:00,2022-05-03 01:20:54
2022-05-03 17:46:10,2022-05-03 17:47:14,In_Position_Upright,annotator,POSTURE,2022-05-03 01:21:01,2022-05-03 01:22:05
2022-05-03 17:47:18,2022-05-03 18:03:45,In_Position_Sitting,annotator,POSTURE,2022-05-03 01:22:09,2022-05-03 01:38:36
2022-05-03 18:03:47,2022-05-03 18:06:40,In_Position_Sitting,annotator,POSTURE,2022-05-03 01:38:38,2022-05-03 01:41:31
2022-05-03 18:06:47,2022-05-03 18:31:48,In_Position_Sitting,annotator,POSTURE,2022-05-03 01:41:38,2022-05-03 02:06:39
2022-05-03 18:31:51,2022-05-03 18:52:11,In_Position_Upright,annotator,POSTURE,2022-05-03 02:06:42,2022-05-03 02:27:02
2022-05-03 18:52:15,2022-05-03 18:53:17,In_Position_Upright,annotator,POSTURE,2022-05-03 02:27:06,2022-05-03 02:28:08
2022-05-03 18:53:18,2022-05-03 18:56:46,In_Position_Sitting,annotator,POSTURE,2022-05-03 02:28:09,2022-05-03 02:31:37
2022-05-03 18:56:51,2022-05-03 19:20:24,In_Position_Sitting,annotator,POSTURE,2022-05-03 02:31:42,2022-05-03 02:55:15
2022-05-03 19:20:40,2022-05-03 19:29:14,In_Position_Upright,annotator,POSTURE,2022-05-03 02:55:31,2022-05-03 03:04:05
2022-05-03 19:29:17,2022-05-03 19:30:49,In_Position_Sitting,annotator,POSTURE,2022-05-03 03:04:08,2022-05-03 03:05:40
2022-05-03 19:31:01,2022-05-03 19:31:29,In_Position_Upright,annotator,POSTURE,2022-05-03 03:05:52,2022-05-03 03:06:20
2022-05-03 19:31:30,2022-05-03 19:32:22,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-05-03 03:06:21,2022-05-03 03:07:13
2022-05-03 19:32:23,2022-05-03 19:32:41,In_Position_Upright,annotator,POSTURE,2022-05-03 03:07:14,2022-05-03 03:07:32
2022-05-03 19:32:43,2022-05-03 19:33:10,In_Position_Upright,annotator,POSTURE,2022-05-03 03:07:34,2022-05-03 03:08:01
2022-05-03 19:33:13,2022-05-03 19:33:42,In_Position_Upright,annotator,POSTURE,2022-05-03 03:08:04,2022-05-03 03:08:33
2022-05-03 19:33:45,2022-05-03 19:34:42,In_Position_Upright,annotator,POSTURE,2022-05-03 03:08:36,2022-05-03 03:09:33
2022-05-03 19:34:44,2022-05-03 19:34:57,In_Position_Upright,annotator,POSTURE,2022-05-03 03:09:35,2022-05-03 03:09:48
2022-05-03 19:34:59,2022-05-03 19:35:35,In_Position_Upright,annotator,POSTURE,2022-05-03 03:09:50,2022-05-03 03:10:26
2022-05-03 19:35:36,2022-05-03 19:35:59,In_Position_Upright,annotator,POSTURE,2022-05-03 03:10:27,2022-05-03 03:10:50
2022-05-03 19:36:00,2022-05-03 19:36:24,In_Position_Upright,annotator,POSTURE,2022-05-03 03:10:51,2022-05-03 03:11:15
2022-05-03 19:36:25,2022-05-03 19:41:16,In_Position_Upright,annotator,POSTURE,2022-05-03 03:11:16,2022-05-03 03:16:07
2022-05-03 19:41:17,2022-05-03 19:42:32,In_Position_Upright,annotator,POSTURE,2022-05-03 03:16:08,2022-05-03 03:17:23
2022-05-03 19:42:33,2022-05-03 20:10:41,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-05-03 03:17:24,2022-05-03 03:45:32
2022-05-03 20:10:43,2022-05-03 20:13:53,In_Position_Upright,annotator,POSTURE,2022-05-03 03:45:34,2022-05-03 03:48:44
2022-05-03 20:13:55,2022-05-03 20:18:09,In_Position_Upright,annotator,POSTURE,2022-05-03 03:48:46,2022-05-03 03:53:00
2022-05-03 20:18:14,2022-05-03 20:18:28,In_Position_Upright,annotator,POSTURE,2022-05-03 03:53:05,2022-05-03 03:53:19
2022-05-03 20:18:36,2022-05-03 20:18:52,In_Position_Upright,annotator,POSTURE,2022-05-03 03:53:27,2022-05-03 03:53:43
2022-05-03 20:19:00,2022-05-03 20:19:18,In_Position_Upright,annotator,POSTURE,2022-05-03 03:53:51,2022-05-03 03:54:09
2022-05-03 20:19:18,2022-05-03 20:19:54,In_Position_Upright,annotator,POSTURE,2022-05-03 03:54:09,2022-05-03 03:54:45
2022-05-03 20:19:54,2022-05-03 20:20:05,In_Position_Upright,annotator,POSTURE,2022-05-03 03:54:45,2022-05-03 03:54:56
2022-05-03 20:20:05,2022-05-03 20:20:41,In_Position_Upright,annotator,POSTURE,2022-05-03 03:54:56,2022-05-03 03:55:32
2022-05-03 20:20:41,2022-05-03 20:20:49,In_Position_Upright,annotator,POSTURE,2022-05-03 03:55:32,2022-05-03 03:55:40
2022-05-03 20:20:54,2022-05-03 20:43:19,In_Position_Sitting,annotator,POSTURE,2022-05-03 03:55:45,2022-05-03 04:18:10
2022-05-03 20:43:20,2022-05-03 20:44:44,In_Position_Upright,annotator,POSTURE,2022-05-03 04:18:11,2022-05-03 04:19:35
2022-05-03 20:44:52,2022-05-03 20:48:04,In_Position_Upright,annotator,POSTURE,2022-05-03 04:19:43,2022-05-03 04:22:55
2022-05-03 20:48:06,2022-05-03 20:49:10,In_Position_Upright,annotator,POSTURE,2022-05-03 04:22:57,2022-05-03 04:24:01
2022-05-03 20:49:10,2022-05-03 20:51:36,In_Position_Upright,annotator,POSTURE,2022-05-03 04:24:01,2022-05-03 04:26:27
2022-05-03 20:51:36,2022-05-03 20:53:07,In_Position_Upright,annotator,POSTURE,2022-05-03 04:26:27,2022-05-03 04:27:58
2022-05-03 20:53:07,2022-05-03 20:53:47,In_Position_Upright,annotator,POSTURE,2022-05-03 04:27:58,2022-05-03 04:28:38
2022-05-03 20:53:48,2022-05-03 20:54:11,In_Position_Upright,annotator,POSTURE,2022-05-03 04:28:39,2022-05-03 04:29:02
2022-05-03 20:54:16,2022-05-03 20:55:50,In_Position_Upright,annotator,POSTURE,2022-05-03 04:29:07,2022-05-03 04:30:41
2022-05-03 20:56:06,2022-05-03 20:57:08,In_Position_Upright,annotator,POSTURE,2022-05-03 04:30:57,2022-05-03 04:31:59
2022-05-03 20:57:14,2022-05-03 21:02:42,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:32:05,2022-05-03 04:37:33
2022-05-03 21:02:52,2022-05-03 21:05:26,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:37:43,2022-05-03 04:40:17
2022-05-03 21:05:28,2022-05-03 21:06:39,In_Position_Upright,annotator,POSTURE,2022-05-03 04:40:19,2022-05-03 04:41:30
2022-05-03 21:06:54,2022-05-03 21:10:47,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:41:45,2022-05-03 04:45:38
2022-05-03 21:10:53,2022-05-03 21:11:34,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:45:44,2022-05-03 04:46:25
2022-05-03 21:11:34,2022-05-03 21:11:59,In_Position_Upright,annotator,POSTURE,2022-05-03 04:46:25,2022-05-03 04:46:50
2022-05-03 21:12:03,2022-05-03 21:13:21,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:46:54,2022-05-03 04:48:12
2022-05-03 21:13:24,2022-05-03 21:14:12,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:48:15,2022-05-03 04:49:03
2022-05-03 21:14:12,2022-05-03 21:17:18,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:49:03,2022-05-03 04:52:09
2022-05-03 21:17:18,2022-05-03 21:17:47,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:52:09,2022-05-03 04:52:38
2022-05-03 21:17:47,2022-05-03 21:19:05,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:52:38,2022-05-03 04:53:56
2022-05-03 21:19:05,2022-05-03 21:24:22,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:53:56,2022-05-03 04:59:13
2022-05-03 21:24:22,2022-05-03 21:24:37,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:59:13,2022-05-03 04:59:28
2022-05-03 21:24:39,2022-05-03 21:25:23,In_Position_Sitting,annotator,POSTURE,2022-05-03 04:59:30,2022-05-03 05:00:14
2022-05-03 21:25:23,2022-05-03 21:26:00,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:00:14,2022-05-03 05:00:51
2022-05-03 21:26:00,2022-05-03 21:26:40,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:00:51,2022-05-03 05:01:31
2022-05-03 21:26:45,2022-05-03 21:27:11,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:01:36,2022-05-03 05:02:02
2022-05-03 21:27:11,2022-05-03 21:32:10,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:02:02,2022-05-03 05:07:01
2022-05-03 21:32:10,2022-05-03 21:32:47,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:07:01,2022-05-03 05:07:38
2022-05-03 21:32:47,2022-05-03 21:39:28,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:07:38,2022-05-03 05:14:19
2022-05-03 21:40:17,2022-05-03 22:00:32,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:15:08,2022-05-03 05:35:23
2022-05-03 22:00:42,2022-05-03 22:05:07,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:35:33,2022-05-03 05:39:58
2022-05-03 22:05:10,2022-05-03 22:05:53,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:40:01,2022-05-03 05:40:44
2022-05-03 22:06:03,2022-05-03 22:13:47,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:40:54,2022-05-03 05:48:38
2022-05-03 22:13:50,2022-05-03 22:20:56,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:48:41,2022-05-03 05:55:47
2022-05-03 22:21:00,2022-05-03 22:22:26,In_Position_Upright,annotator,POSTURE,2022-05-03 05:55:51,2022-05-03 05:57:17
2022-05-03 22:22:29,2022-05-03 22:24:38,In_Position_Sitting,annotator,POSTURE,2022-05-03 05:57:20,2022-05-03 05:59:29
2022-05-03 22:24:39,2022-05-03 22:25:09,In_Position_Upright,annotator,POSTURE,2022-05-03 05:59:30,2022-05-03 06:00:00
2022-05-03 22:25:12,2022-05-03 22:29:50,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:00:03,2022-05-03 06:04:41
2022-05-03 22:29:50,2022-05-03 22:34:51,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:04:41,2022-05-03 06:09:42
2022-05-03 22:34:53,2022-05-03 22:35:49,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:09:44,2022-05-03 06:10:40
2022-05-03 22:35:56,2022-05-03 22:41:07,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:10:47,2022-05-03 06:15:58
2022-05-03 22:41:07,2022-05-03 22:41:52,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:15:58,2022-05-03 06:16:43
2022-05-03 22:41:52,2022-05-03 22:44:18,In_Position_Upright,annotator,POSTURE,2022-05-03 06:16:43,2022-05-03 06:19:09
2022-05-03 22:44:18,2022-05-03 22:45:38,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:19:09,2022-05-03 06:20:29
2022-05-03 22:45:38,2022-05-03 22:47:26,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:20:29,2022-05-03 06:22:17
2022-05-03 22:47:26,2022-05-03 22:52:30,In_Position_Sitting,annotator,POSTURE,2022-05-03 06:22:17,2022-05-03 06:27:21
2022-05-03 22:52:30,2022-05-03 22:53:49,In_Position_Upright,annotator,POSTURE,2022-05-03 06:27:21,2022-05-03 06:28:40
2022-05-03 22:53:49,2022-05-03 22:55:40,In_Position_Upright,annotator,POSTURE,2022-05-03 06:28:40,2022-05-03 06:30:31
2022-05-03 22:55:40,2022-05-03 22:56:58,In_Position_Upright,annotator,POSTURE,2022-05-03 06:30:31,2022-05-03 06:31:49
2022-05-03 22:56:58,2022-05-03 23:02:33,In_Position_Upright,annotator,POSTURE,2022-05-03 06:31:49,2022-05-03 06:37:24
2022-05-03 23:02:35,2022-05-03 23:03:43,In_Position_Upright,annotator,POSTURE,2022-05-03 06:37:26,2022-05-03 06:38:34
2022-05-03 23:03:43,2022-05-03 23:04:04,In_Position_Kneeling,annotator,POSTURE,2022-05-03 06:38:34,2022-05-03 06:38:55
2022-05-03 23:04:05,2022-05-03 23:13:54,In_Position_Upright,annotator,POSTURE,2022-05-03 06:38:56,2022-05-03 06:48:45
2022-05-03 23:13:54,2022-05-03 23:14:44,In_Position_Upright,annotator,POSTURE,2022-05-03 06:48:45,2022-05-03 06:49:35
