START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-05 10:22:28,2022-05-05 10:23:14,Free_Living,annotator,Experimental situation,2022-05-05 00:00:00,2022-05-05 00:00:46
2022-05-05 10:23:17,2022-05-05 10:23:30,Free_Living,annotator,Experimental situation,2022-05-05 00:00:49,2022-05-05 00:01:02
2022-05-05 10:23:30,2022-05-05 10:24:20,Free_Living,annotator,Experimental situation,2022-05-05 00:01:02,2022-05-05 00:01:52
2022-05-05 10:24:27,2022-05-05 10:31:33,Free_Living,annotator,Experimental situation,2022-05-05 00:01:59,2022-05-05 00:09:05
2022-05-05 10:31:33,2022-05-05 10:31:57,Free_Living,annotator,Experimental situation,2022-05-05 00:09:05,2022-05-05 00:09:29
2022-05-05 10:32:14,2022-05-05 10:33:16,Free_Living,annotator,Experimental situation,2022-05-05 00:09:46,2022-05-05 00:10:48
2022-05-05 10:33:16,2022-05-05 10:33:46,Free_Living,annotator,Experimental situation,2022-05-05 00:10:48,2022-05-05 00:11:18
2022-05-05 10:33:46,2022-05-05 10:34:13,Free_Living,annotator,Experimental situation,2022-05-05 00:11:18,2022-05-05 00:11:45
2022-05-05 10:34:13,2022-05-05 10:39:22,Free_Living,annotator,Experimental situation,2022-05-05 00:11:45,2022-05-05 00:16:54
2022-05-05 10:39:22,2022-05-05 10:39:55,Free_Living,annotator,Experimental situation,2022-05-05 00:16:54,2022-05-05 00:17:27
2022-05-05 10:39:55,2022-05-05 10:40:18,Free_Living,annotator,Experimental situation,2022-05-05 00:17:27,2022-05-05 00:17:50
2022-05-05 10:40:18,2022-05-05 10:44:20,Free_Living,annotator,Experimental situation,2022-05-05 00:17:50,2022-05-05 00:21:52
2022-05-05 10:44:27,2022-05-05 10:45:50,Free_Living,annotator,Experimental situation,2022-05-05 00:21:59,2022-05-05 00:23:22
2022-05-05 10:46:17,2022-05-05 10:49:10,Free_Living,annotator,Experimental situation,2022-05-05 00:23:49,2022-05-05 00:26:42
2022-05-05 10:49:10,2022-05-05 10:57:20,Free_Living,annotator,Experimental situation,2022-05-05 00:26:42,2022-05-05 00:34:52
2022-05-05 10:57:20,2022-05-05 11:00:45,Free_Living,annotator,Experimental situation,2022-05-05 00:34:52,2022-05-05 00:38:17
2022-05-05 11:00:45,2022-05-05 11:02:08,Free_Living,annotator,Experimental situation,2022-05-05 00:38:17,2022-05-05 00:39:40
2022-05-05 11:02:08,2022-05-05 11:02:55,Free_Living,annotator,Experimental situation,2022-05-05 00:39:40,2022-05-05 00:40:27
2022-05-05 11:02:57,2022-05-05 11:05:34,Free_Living,annotator,Experimental situation,2022-05-05 00:40:29,2022-05-05 00:43:06
2022-05-05 11:05:33,2022-05-05 11:05:33,Free_Living,annotator,Experimental situation,2022-05-05 00:43:05,2022-05-05 00:43:05
2022-05-05 11:05:34,2022-05-05 11:17:48,Free_Living,annotator,Experimental situation,2022-05-05 00:43:06,2022-05-05 00:55:20
2022-05-05 11:17:52,2022-05-05 11:18:20,Free_Living,annotator,Experimental situation,2022-05-05 00:55:24,2022-05-05 00:55:52
2022-05-05 11:18:20,2022-05-05 11:24:34,Free_Living,annotator,Experimental situation,2022-05-05 00:55:52,2022-05-05 01:02:06
2022-05-05 11:24:34,2022-05-05 11:29:06,Free_Living,annotator,Experimental situation,2022-05-05 01:02:06,2022-05-05 01:06:38
2022-05-05 11:29:06,2022-05-05 11:30:06,Free_Living,annotator,Experimental situation,2022-05-05 01:06:38,2022-05-05 01:07:38
