START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-05 10:22:28,2022-05-05 10:23:14,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:00:00,2022-05-05 00:00:46
2022-05-05 10:23:17,2022-05-05 10:23:30,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:00:49,2022-05-05 00:01:02
2022-05-05 10:23:30,2022-05-05 10:24:20,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:01:02,2022-05-05 00:01:52
2022-05-05 10:24:27,2022-05-05 10:31:33,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:01:59,2022-05-05 00:09:05
2022-05-05 10:31:33,2022-05-05 10:31:57,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:09:05,2022-05-05 00:09:29
2022-05-05 10:32:14,2022-05-05 10:33:16,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:09:46,2022-05-05 00:10:48
2022-05-05 10:33:16,2022-05-05 10:33:46,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:10:48,2022-05-05 00:11:18
2022-05-05 10:33:46,2022-05-05 10:34:13,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:11:18,2022-05-05 00:11:45
2022-05-05 10:34:13,2022-05-05 10:39:22,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:11:45,2022-05-05 00:16:54
2022-05-05 10:39:22,2022-05-05 10:39:55,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:16:54,2022-05-05 00:17:27
2022-05-05 10:39:55,2022-05-05 10:40:18,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:17:27,2022-05-05 00:17:50
2022-05-05 10:40:18,2022-05-05 10:44:20,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:17:50,2022-05-05 00:21:52
2022-05-05 10:44:27,2022-05-05 10:45:50,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:21:59,2022-05-05 00:23:22
2022-05-05 10:46:17,2022-05-05 10:49:10,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:23:49,2022-05-05 00:26:42
2022-05-05 10:49:10,2022-05-05 10:57:20,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:26:42,2022-05-05 00:34:52
2022-05-05 10:57:20,2022-05-05 11:00:45,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:34:52,2022-05-05 00:38:17
2022-05-05 11:00:45,2022-05-05 11:02:08,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:38:17,2022-05-05 00:39:40
2022-05-05 11:02:08,2022-05-05 11:02:55,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:39:40,2022-05-05 00:40:27
2022-05-05 11:02:57,2022-05-05 11:05:34,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:40:29,2022-05-05 00:43:06
2022-05-05 11:05:33,2022-05-05 11:05:33,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:43:05,2022-05-05 00:43:05
2022-05-05 11:05:34,2022-05-05 11:17:48,Eating/Dining, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:43:06,2022-05-05 00:55:20
2022-05-05 11:17:52,2022-05-05 11:18:20,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:55:24,2022-05-05 00:55:52
2022-05-05 11:18:20,2022-05-05 11:24:34,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 00:55:52,2022-05-05 01:02:06
2022-05-05 11:24:34,2022-05-05 11:29:06,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:02:06,2022-05-05 01:06:38
2022-05-05 11:29:06,2022-05-05 11:30:06,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:06:38,2022-05-05 01:07:38
2022-05-05 11:30:06,2022-05-05 11:30:06,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:07:38,2022-05-05 01:07:38
2022-05-05 11:30:28,2022-05-05 11:31:19,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:08:00,2022-05-05 01:08:51
2022-05-05 11:31:19,2022-05-05 11:31:31,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:08:51,2022-05-05 01:09:03
2022-05-05 11:31:31,2022-05-05 11:32:45,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:09:03,2022-05-05 01:10:17
2022-05-05 11:32:49,2022-05-05 11:39:54,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:10:21,2022-05-05 01:17:26
2022-05-05 11:39:54,2022-05-05 11:40:51,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:17:26,2022-05-05 01:18:23
2022-05-05 11:40:51,2022-05-05 11:42:21,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:18:23,2022-05-05 01:19:53
2022-05-05 11:42:42,2022-05-05 11:44:35,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:20:14,2022-05-05 01:22:07
2022-05-05 11:44:35,2022-05-05 11:47:33,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:22:07,2022-05-05 01:25:05
2022-05-05 11:47:33,2022-05-05 11:50:06,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:25:05,2022-05-05 01:27:38
2022-05-05 11:50:13,2022-05-05 11:51:03,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:27:45,2022-05-05 01:28:35
2022-05-05 11:51:05,2022-05-05 11:51:51,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:28:37,2022-05-05 01:29:23
2022-05-05 11:51:51,2022-05-05 11:53:47,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:29:23,2022-05-05 01:31:19
2022-05-05 11:53:47,2022-05-05 11:53:56,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:31:19,2022-05-05 01:31:28
2022-05-05 11:53:56,2022-05-05 11:54:38,Meeting _Social_Gathering_In_Person, Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:31:28,2022-05-05 01:32:10
2022-05-05 11:54:39,2022-05-05 11:56:46,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:32:11,2022-05-05 01:34:18
2022-05-05 11:56:46,2022-05-05 11:57:54,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:34:18,2022-05-05 01:35:26
2022-05-05 11:57:54,2022-05-05 11:59:33,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:35:26,2022-05-05 01:37:05
2022-05-05 11:59:33,2022-05-05 11:59:58,Meeting _Social_Gathering_In_Person, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:37:05,2022-05-05 01:37:30
2022-05-05 11:59:58,2022-05-05 12:01:49,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:37:30,2022-05-05 01:39:21
2022-05-05 12:01:49,2022-05-05 12:02:56,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:39:21,2022-05-05 01:40:28
2022-05-05 12:02:56,2022-05-05 12:04:12,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:40:28,2022-05-05 01:41:44
2022-05-05 12:04:12,2022-05-05 12:04:51,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-05 01:41:44,2022-05-05 01:42:23
