START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-08 17:08:56,2022-05-08 17:12:38,Walking_Slow,annotator,PA TYPE,2022-05-08 00:00:00,2022-05-08 00:03:42
2022-05-08 17:12:38,2022-05-08 17:38:39,Walking,annotator,PA TYPE,2022-05-08 00:03:42,2022-05-08 00:29:43
2022-05-08 17:38:40,2022-05-08 17:38:51,Walking,annotator,PA TYPE,2022-05-08 00:29:44,2022-05-08 00:29:55
2022-05-08 17:38:52,2022-05-08 17:40:26,Sitting_With_Movement,annotator,PA TYPE,2022-05-08 00:29:56,2022-05-08 00:31:30
2022-05-08 17:40:26,2022-05-08 17:40:32,Walking_Slow,annotator,PA TYPE,2022-05-08 00:31:30,2022-05-08 00:31:36
2022-05-08 17:40:36,2022-05-08 17:41:08,Standing_With_Movement,annotator,PA TYPE,2022-05-08 00:31:40,2022-05-08 00:32:12
2022-05-08 17:41:10,2022-05-08 17:41:41,Walking_Slow,annotator,PA TYPE,2022-05-08 00:32:14,2022-05-08 00:32:45
2022-05-08 17:41:41,2022-05-08 17:42:00,Standing_With_Movement,annotator,PA TYPE,2022-05-08 00:32:45,2022-05-08 00:33:04
2022-05-08 17:42:00,2022-05-08 17:43:06,Walking,annotator,PA TYPE,2022-05-08 00:33:04,2022-05-08 00:34:10
2022-05-08 17:43:06,2022-05-08 17:43:38,Standing_With_Movement,annotator,PA TYPE,2022-05-08 00:34:10,2022-05-08 00:34:42
2022-05-08 17:43:38,2022-05-08 17:44:18,Lying_With_Movement,annotator,PA TYPE,2022-05-08 00:34:42,2022-05-08 00:35:22
2022-05-08 17:44:18,2022-05-08 17:44:55,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-08 00:35:22,2022-05-08 00:35:59
2022-05-08 17:44:56,2022-05-08 19:08:48,Lying_With_Movement,annotator,PA TYPE,2022-05-08 00:36:00,2022-05-08 01:59:52
2022-05-08 19:08:48,2022-05-08 19:17:54,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-08 01:59:52,2022-05-08 02:08:58
2022-05-08 19:17:54,2022-05-08 19:43:31,Lying_With_Movement,annotator,PA TYPE,2022-05-08 02:08:58,2022-05-08 02:34:35
2022-05-08 19:43:31,2022-05-08 19:54:23,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-08 02:34:35,2022-05-08 02:45:27
2022-05-08 19:54:32,2022-05-08 19:56:41,Lying_With_Movement,annotator,PA TYPE,2022-05-08 02:45:36,2022-05-08 02:47:45
2022-05-08 19:56:42,2022-05-08 19:58:51,Lying_With_Movement,annotator,PA TYPE,2022-05-08 02:47:46,2022-05-08 02:49:55
2022-05-08 19:58:51,2022-05-08 20:00:21,Lying_With_Movement,annotator,PA TYPE,2022-05-08 02:49:55,2022-05-08 02:51:25
2022-05-08 20:00:22,2022-05-08 20:13:12,Sitting_With_Movement,annotator,PA TYPE,2022-05-08 02:51:26,2022-05-08 03:04:16
2022-05-08 20:13:12,2022-05-08 20:13:50,Sitting_With_Movement,annotator,PA TYPE,2022-05-08 03:04:16,2022-05-08 03:04:54
2022-05-08 20:13:52,2022-05-08 20:14:26,Walking_Slow,annotator,PA TYPE,2022-05-08 03:04:56,2022-05-08 03:05:30
2022-05-08 20:14:26,2022-05-08 20:15:37,Walking_Slow,annotator,PA TYPE,2022-05-08 03:05:30,2022-05-08 03:06:41
2022-05-08 20:15:37,2022-05-08 20:16:08,Walking_Slow,annotator,PA TYPE,2022-05-08 03:06:41,2022-05-08 03:07:12
2022-05-08 20:16:08,2022-05-08 20:17:10,Standing_With_Movement,annotator,PA TYPE,2022-05-08 03:07:12,2022-05-08 03:08:14
2022-05-08 20:17:10,2022-05-08 20:19:21,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-08 03:08:14,2022-05-08 03:10:25
