START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-12 20:55:44,2022-05-12 20:56:16,Lab_Indoors,annotator,Experimental situation,2022-05-12 00:00:00,2022-05-12 00:00:32
2022-05-12 20:56:16,2022-05-12 20:58:18,Lab_Indoors,annotator,Experimental situation,2022-05-12 00:00:32,2022-05-12 00:02:34
2022-05-12 20:58:18,2022-05-12 20:58:41,Lab_Indoors,annotator,Experimental situation,2022-05-12 00:02:34,2022-05-12 00:02:57
2022-05-12 20:58:41,2022-05-12 20:59:01,Free_Living,annotator,Experimental situation,2022-05-12 00:02:57,2022-05-12 00:03:17
2022-05-12 20:59:01,2022-05-12 20:59:23,Free_Living,annotator,Experimental situation,2022-05-12 00:03:17,2022-05-12 00:03:39
2022-05-12 20:59:23,2022-05-12 20:59:48,Free_Living,annotator,Experimental situation,2022-05-12 00:03:39,2022-05-12 00:04:04
2022-05-12 20:59:48,2022-05-12 21:06:00,Free_Living,annotator,Experimental situation,2022-05-12 00:04:04,2022-05-12 00:10:16
2022-05-12 21:06:00,2022-05-12 21:06:35,Free_Living,annotator,Experimental situation,2022-05-12 00:10:16,2022-05-12 00:10:51
2022-05-12 21:06:35,2022-05-12 21:12:54,Free_Living,annotator,Experimental situation,2022-05-12 00:10:51,2022-05-12 00:17:10
2022-05-12 21:12:54,2022-05-12 21:13:02,Free_Living,annotator,Experimental situation,2022-05-12 00:17:10,2022-05-12 00:17:18
2022-05-12 21:13:02,2022-05-12 21:17:42,Free_Living,annotator,Experimental situation,2022-05-12 00:17:18,2022-05-12 00:21:58
2022-05-12 21:17:42,2022-05-12 21:20:19,Free_Living,annotator,Experimental situation,2022-05-12 00:21:58,2022-05-12 00:24:35
2022-05-12 21:20:19,2022-05-12 21:20:37,Free_Living,annotator,Experimental situation,2022-05-12 00:24:35,2022-05-12 00:24:53
2022-05-12 21:20:37,2022-05-12 21:21:53,Free_Living,annotator,Experimental situation,2022-05-12 00:24:53,2022-05-12 00:26:09
2022-05-12 21:21:53,2022-05-12 21:23:51,Free_Living,annotator,Experimental situation,2022-05-12 00:26:09,2022-05-12 00:28:07
2022-05-12 21:23:51,2022-05-12 21:27:02,Free_Living,annotator,Experimental situation,2022-05-12 00:28:07,2022-05-12 00:31:18
2022-05-12 21:27:02,2022-05-12 21:27:42,Free_Living,annotator,Experimental situation,2022-05-12 00:31:18,2022-05-12 00:31:58
2022-05-12 21:27:42,2022-05-12 21:28:05,Free_Living,annotator,Experimental situation,2022-05-12 00:31:58,2022-05-12 00:32:21
2022-05-12 21:28:05,2022-05-12 21:28:51,Free_Living,annotator,Experimental situation,2022-05-12 00:32:21,2022-05-12 00:33:07
2022-05-12 21:28:51,2022-05-12 21:29:05,Free_Living,annotator,Experimental situation,2022-05-12 00:33:07,2022-05-12 00:33:21
2022-05-12 21:29:05,2022-05-12 21:29:09,Free_Living,annotator,Experimental situation,2022-05-12 00:33:21,2022-05-12 00:33:25
2022-05-12 21:29:09,2022-05-12 21:30:05,Free_Living,annotator,Experimental situation,2022-05-12 00:33:25,2022-05-12 00:34:21
2022-05-12 21:30:05,2022-05-12 21:30:10,Free_Living,annotator,Experimental situation,2022-05-12 00:34:21,2022-05-12 00:34:26
2022-05-12 21:30:10,2022-05-12 21:30:33,Free_Living,annotator,Experimental situation,2022-05-12 00:34:26,2022-05-12 00:34:49
2022-05-12 21:30:33,2022-05-12 21:31:05,Free_Living,annotator,Experimental situation,2022-05-12 00:34:49,2022-05-12 00:35:21
2022-05-12 21:31:05,2022-05-12 21:31:37,Free_Living,annotator,Experimental situation,2022-05-12 00:35:21,2022-05-12 00:35:53
2022-05-12 21:31:38,2022-05-12 21:31:41,Free_Living,annotator,Experimental situation,2022-05-12 00:35:54,2022-05-12 00:35:57
2022-05-12 21:31:41,2022-05-12 21:31:57,Free_Living,annotator,Experimental situation,2022-05-12 00:35:57,2022-05-12 00:36:13
2022-05-12 21:31:57,2022-05-12 21:32:24,Free_Living,annotator,Experimental situation,2022-05-12 00:36:13,2022-05-12 00:36:40
2022-05-12 21:32:24,2022-05-12 21:32:33,Free_Living,annotator,Experimental situation,2022-05-12 00:36:40,2022-05-12 00:36:49
2022-05-12 21:32:33,2022-05-12 21:33:24,Free_Living,annotator,Experimental situation,2022-05-12 00:36:49,2022-05-12 00:37:40
2022-05-12 21:33:24,2022-05-12 21:35:10,Free_Living,annotator,Experimental situation,2022-05-12 00:37:40,2022-05-12 00:39:26
2022-05-12 21:35:10,2022-05-12 21:35:19,Free_Living,annotator,Experimental situation,2022-05-12 00:39:26,2022-05-12 00:39:35
2022-05-12 21:35:19,2022-05-12 21:42:59,Free_Living,annotator,Experimental situation,2022-05-12 00:39:35,2022-05-12 00:47:15
2022-05-12 21:42:59,2022-05-12 21:43:11,Free_Living,annotator,Experimental situation,2022-05-12 00:47:15,2022-05-12 00:47:27
2022-05-12 21:43:11,2022-05-12 21:49:02,Free_Living,annotator,Experimental situation,2022-05-12 00:47:27,2022-05-12 00:53:18
2022-05-12 21:49:02,2022-05-12 21:49:21,Free_Living,annotator,Experimental situation,2022-05-12 00:53:18,2022-05-12 00:53:37
2022-05-12 21:49:21,2022-05-12 21:51:38,Free_Living,annotator,Experimental situation,2022-05-12 00:53:37,2022-05-12 00:55:54
2022-05-12 21:51:38,2022-05-12 21:51:44,Free_Living,annotator,Experimental situation,2022-05-12 00:55:54,2022-05-12 00:56:00
2022-05-12 21:51:44,2022-05-12 21:51:59,Free_Living,annotator,Experimental situation,2022-05-12 00:56:00,2022-05-12 00:56:15
2022-05-12 21:51:59,2022-05-12 21:52:41,Free_Living,annotator,Experimental situation,2022-05-12 00:56:15,2022-05-12 00:56:57
2022-05-12 21:52:41,2022-05-12 21:52:52,Free_Living,annotator,Experimental situation,2022-05-12 00:56:57,2022-05-12 00:57:08
2022-05-12 21:52:52,2022-05-12 21:53:45,Free_Living,annotator,Experimental situation,2022-05-12 00:57:08,2022-05-12 00:58:01
2022-05-12 21:53:45,2022-05-12 21:54:00,Free_Living,annotator,Experimental situation,2022-05-12 00:58:01,2022-05-12 00:58:16
2022-05-12 21:54:00,2022-05-12 21:54:04,Free_Living,annotator,Experimental situation,2022-05-12 00:58:16,2022-05-12 00:58:20
2022-05-12 21:54:04,2022-05-12 21:56:31,Free_Living,annotator,Experimental situation,2022-05-12 00:58:20,2022-05-12 01:00:47
2022-05-12 21:56:31,2022-05-12 21:56:41,Free_Living,annotator,Experimental situation,2022-05-12 01:00:47,2022-05-12 01:00:57
2022-05-12 21:56:41,2022-05-12 21:57:05,Free_Living,annotator,Experimental situation,2022-05-12 01:00:57,2022-05-12 01:01:21
2022-05-12 21:57:05,2022-05-12 21:57:15,Free_Living,annotator,Experimental situation,2022-05-12 01:01:21,2022-05-12 01:01:31
2022-05-12 21:57:15,2022-05-12 22:14:12,Free_Living,annotator,Experimental situation,2022-05-12 01:01:31,2022-05-12 01:18:28
2022-05-12 22:14:12,2022-05-12 22:14:17,Free_Living,annotator,Experimental situation,2022-05-12 01:18:28,2022-05-12 01:18:33
2022-05-12 22:14:17,2022-05-12 22:15:25,Free_Living,annotator,Experimental situation,2022-05-12 01:18:33,2022-05-12 01:19:41
2022-05-12 22:15:25,2022-05-12 22:18:31,Free_Living,annotator,Experimental situation,2022-05-12 01:19:41,2022-05-12 01:22:47
2022-05-12 22:18:31,2022-05-12 22:19:46,Free_Living,annotator,Experimental situation,2022-05-12 01:22:47,2022-05-12 01:24:02
2022-05-12 22:19:46,2022-05-12 22:19:52,Free_Living,annotator,Experimental situation,2022-05-12 01:24:02,2022-05-12 01:24:08
2022-05-12 22:19:52,2022-05-12 22:26:56,Free_Living,annotator,Experimental situation,2022-05-12 01:24:08,2022-05-12 01:31:12
2022-05-12 22:26:56,2022-05-12 22:28:42,Free_Living,annotator,Experimental situation,2022-05-12 01:31:12,2022-05-12 01:32:58
2022-05-12 22:28:42,2022-05-12 22:28:52,Free_Living,annotator,Experimental situation,2022-05-12 01:32:58,2022-05-12 01:33:08
2022-05-12 22:28:52,2022-05-12 22:29:20,Free_Living,annotator,Experimental situation,2022-05-12 01:33:08,2022-05-12 01:33:36
2022-05-12 22:29:20,2022-05-12 22:29:53,Free_Living,annotator,Experimental situation,2022-05-12 01:33:36,2022-05-12 01:34:09
2022-05-12 22:29:53,2022-05-12 22:30:02,Free_Living,annotator,Experimental situation,2022-05-12 01:34:09,2022-05-12 01:34:18
