START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-20 11:17:41,2022-05-20 11:20:34,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 00:00:06,2022-05-20 00:02:59
2022-05-20 11:20:34,2022-05-20 11:20:56,Synchronizing_Sensors,annotator,PA TYPE,2022-05-20 00:02:59,2022-05-20 00:03:21
2022-05-20 11:20:56,2022-05-20 11:21:06,Standing_With_Movement,annotator,PA TYPE,2022-05-20 00:03:21,2022-05-20 00:03:31
2022-05-20 11:21:06,2022-05-20 11:45:49,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 00:03:31,2022-05-20 00:28:14
2022-05-20 11:45:49,2022-05-20 11:47:36,Puttering_Around,annotator,PA TYPE,2022-05-20 00:28:14,2022-05-20 00:30:01
2022-05-20 11:47:36,2022-05-20 11:50:26,Puttering_Around,annotator,PA TYPE,2022-05-20 00:30:01,2022-05-20 00:32:51
2022-05-20 11:50:26,2022-05-20 11:50:44,Walking,annotator,PA TYPE,2022-05-20 00:32:51,2022-05-20 00:33:09
2022-05-20 11:50:44,2022-05-20 11:55:33,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 00:33:09,2022-05-20 00:37:58
2022-05-20 11:55:33,2022-05-20 11:56:37,Puttering_Around,annotator,PA TYPE,2022-05-20 00:37:58,2022-05-20 00:39:02
2022-05-20 11:56:37,2022-05-20 11:56:46,Walking,annotator,PA TYPE,2022-05-20 00:39:02,2022-05-20 00:39:11
2022-05-20 11:56:46,2022-05-20 12:01:19,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 00:39:11,2022-05-20 00:43:44
2022-05-20 12:01:19,2022-05-20 12:02:34,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 00:43:44,2022-05-20 00:44:59
2022-05-20 12:02:34,2022-05-20 12:02:49,Walking,annotator,PA TYPE,2022-05-20 00:44:59,2022-05-20 00:45:14
2022-05-20 12:02:49,2022-05-20 12:04:27,Puttering_Around,annotator,PA TYPE,2022-05-20 00:45:14,2022-05-20 00:46:52
2022-05-20 12:04:37,2022-05-20 12:10:21,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 00:47:02,2022-05-20 00:52:46
2022-05-20 12:10:21,2022-05-20 12:21:29,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 00:52:46,2022-05-20 01:03:54
2022-05-20 12:21:29,2022-05-20 12:24:45,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 01:03:54,2022-05-20 01:07:10
2022-05-20 12:24:48,2022-05-20 12:53:27,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 01:07:13,2022-05-20 01:35:52
2022-05-20 12:53:30,2022-05-20 12:54:00,Walking,annotator,PA TYPE,2022-05-20 01:35:55,2022-05-20 01:36:25
2022-05-20 12:54:01,2022-05-20 12:55:32,Standing_With_Movement,annotator,PA TYPE,2022-05-20 01:36:26,2022-05-20 01:37:57
2022-05-20 12:55:33,2022-05-20 12:56:00,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 01:37:58,2022-05-20 01:38:25
2022-05-20 12:56:04,2022-05-20 12:58:41,Standing_With_Movement,annotator,PA TYPE,2022-05-20 01:38:29,2022-05-20 01:41:06
2022-05-20 12:58:45,2022-05-20 12:59:51,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 01:41:10,2022-05-20 01:42:16
2022-05-20 12:59:55,2022-05-20 13:01:56,Standing_With_Movement,annotator,PA TYPE,2022-05-20 01:42:20,2022-05-20 01:44:21
2022-05-20 13:01:57,2022-05-20 13:10:16,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 01:44:22,2022-05-20 01:52:41
2022-05-20 13:10:29,2022-05-20 13:13:12,Puttering_Around,annotator,PA TYPE,2022-05-20 01:52:54,2022-05-20 01:55:37
2022-05-20 13:13:15,2022-05-20 13:13:51,Walking,annotator,PA TYPE,2022-05-20 01:55:40,2022-05-20 01:56:16
2022-05-20 13:13:53,2022-05-20 13:14:43,Standing_With_Movement,annotator,PA TYPE,2022-05-20 01:56:18,2022-05-20 01:57:08
2022-05-20 13:14:44,2022-05-20 13:15:09,Walking,annotator,PA TYPE,2022-05-20 01:57:09,2022-05-20 01:57:34
2022-05-20 13:15:10,2022-05-20 13:15:55,Walking,annotator,PA TYPE,2022-05-20 01:57:35,2022-05-20 01:58:20
2022-05-20 13:15:56,2022-05-20 13:18:54,Walking,annotator,PA TYPE,2022-05-20 01:58:21,2022-05-20 02:01:19
2022-05-20 13:18:55,2022-05-20 13:19:40,Walking,annotator,PA TYPE,2022-05-20 02:01:20,2022-05-20 02:02:05
2022-05-20 13:19:42,2022-05-20 13:20:12,Walking,annotator,PA TYPE,2022-05-20 02:02:07,2022-05-20 02:02:37
2022-05-20 13:20:13,2022-05-20 13:20:36,Standing_With_Movement,annotator,PA TYPE,2022-05-20 02:02:38,2022-05-20 02:03:01
2022-05-20 13:20:38,2022-05-20 13:21:13,Walking,annotator,PA TYPE,2022-05-20 02:03:03,2022-05-20 02:03:38
2022-05-20 13:21:14,2022-05-20 13:22:50,Walking,annotator,PA TYPE,2022-05-20 02:03:39,2022-05-20 02:05:15
2022-05-20 13:22:53,2022-05-20 13:23:30,Standing_With_Movement,annotator,PA TYPE,2022-05-20 02:05:18,2022-05-20 02:05:55
2022-05-20 13:23:32,2022-05-20 13:25:22,Standing_With_Movement,annotator,PA TYPE,2022-05-20 02:05:57,2022-05-20 02:07:47
2022-05-20 13:25:23,2022-05-20 13:26:23,Walking,annotator,PA TYPE,2022-05-20 02:07:48,2022-05-20 02:08:48
2022-05-20 13:26:24,2022-05-20 13:30:52,Standing_With_Movement,annotator,PA TYPE,2022-05-20 02:08:49,2022-05-20 02:13:17
2022-05-20 13:30:55,2022-05-20 13:31:45,Walking,annotator,PA TYPE,2022-05-20 02:13:20,2022-05-20 02:14:10
2022-05-20 13:31:46,2022-05-20 13:33:11,Walking,annotator,PA TYPE,2022-05-20 02:14:11,2022-05-20 02:15:36
2022-05-20 13:33:13,2022-05-20 13:37:38,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 02:15:38,2022-05-20 02:20:03
2022-05-20 13:37:41,2022-05-20 13:38:41,Walking,annotator,PA TYPE,2022-05-20 02:20:06,2022-05-20 02:21:06
2022-05-20 13:38:45,2022-05-20 13:55:28,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 02:21:10,2022-05-20 02:37:53
2022-05-20 13:55:32,2022-05-20 13:56:19,Walking,annotator,PA TYPE,2022-05-20 02:37:57,2022-05-20 02:38:44
2022-05-20 13:56:23,2022-05-20 13:58:04,Standing_With_Movement,annotator,PA TYPE,2022-05-20 02:38:48,2022-05-20 02:40:29
2022-05-20 13:58:05,2022-05-20 13:58:44,Walking,annotator,PA TYPE,2022-05-20 02:40:30,2022-05-20 02:41:09
2022-05-20 13:58:46,2022-05-20 14:06:44,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 02:41:11,2022-05-20 02:49:09
2022-05-20 14:06:47,2022-05-20 14:10:06,Walking,annotator,PA TYPE,2022-05-20 02:49:12,2022-05-20 02:52:31
2022-05-20 14:10:06,2022-05-20 14:10:30,Walking,annotator,PA TYPE,2022-05-20 02:52:31,2022-05-20 02:52:55
2022-05-20 14:10:31,2022-05-20 14:11:10,Walking,annotator,PA TYPE,2022-05-20 02:52:56,2022-05-20 02:53:35
2022-05-20 14:11:11,2022-05-20 14:13:19,Standing_With_Movement,annotator,PA TYPE,2022-05-20 02:53:36,2022-05-20 02:55:44
2022-05-20 14:13:20,2022-05-20 14:21:46,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 02:55:45,2022-05-20 03:04:11
2022-05-20 14:21:52,2022-05-20 14:24:09,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 03:04:17,2022-05-20 03:06:34
2022-05-20 14:24:11,2022-05-20 14:26:15,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 03:06:36,2022-05-20 03:08:40
2022-05-20 14:26:19,2022-05-20 14:33:25,Playing_Frisbee,annotator,PA TYPE,2022-05-20 03:08:44,2022-05-20 03:15:50
2022-05-20 14:33:26,2022-05-20 14:35:38,Walking,annotator,PA TYPE,2022-05-20 03:15:51,2022-05-20 03:18:03
2022-05-20 14:35:39,2022-05-20 14:43:50,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 03:18:04,2022-05-20 03:26:15
2022-05-20 14:43:53,2022-05-20 14:44:57,Standing_With_Movement,annotator,PA TYPE,2022-05-20 03:26:18,2022-05-20 03:27:22
2022-05-20 14:44:59,2022-05-20 14:46:08,Walking,annotator,PA TYPE,2022-05-20 03:27:24,2022-05-20 03:28:33
2022-05-20 14:46:11,2022-05-20 14:56:47,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 03:28:36,2022-05-20 03:39:12
2022-05-20 14:56:50,2022-05-20 14:59:22,Walking,annotator,PA TYPE,2022-05-20 03:39:15,2022-05-20 03:41:47
2022-05-20 14:59:23,2022-05-20 14:59:38,Walking,annotator,PA TYPE,2022-05-20 03:41:48,2022-05-20 03:42:03
2022-05-20 14:59:38,2022-05-20 15:00:23,Walking,annotator,PA TYPE,2022-05-20 03:42:03,2022-05-20 03:42:48
2022-05-20 15:00:24,2022-05-20 15:16:31,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 03:42:49,2022-05-20 03:58:56
2022-05-20 15:16:33,2022-05-20 15:45:42,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 03:58:58,2022-05-20 04:28:07
2022-05-20 15:45:43,2022-05-20 15:46:21,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 04:28:08,2022-05-20 04:28:46
2022-05-20 15:46:22,2022-05-20 15:47:14,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:28:47,2022-05-20 04:29:39
2022-05-20 15:47:19,2022-05-20 15:47:29,Brushing/Combing/Tying_Hair,annotator,PA TYPE,2022-05-20 04:29:44,2022-05-20 04:29:54
2022-05-20 15:47:29,2022-05-20 15:47:35,Walking,annotator,PA TYPE,2022-05-20 04:29:54,2022-05-20 04:30:00
2022-05-20 15:47:35,2022-05-20 15:47:44,Walking,annotator,PA TYPE,2022-05-20 04:30:00,2022-05-20 04:30:09
2022-05-20 15:47:44,2022-05-20 15:48:01,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:30:09,2022-05-20 04:30:26
2022-05-20 15:48:01,2022-05-20 15:48:13,Puttering_Around,annotator,PA TYPE,2022-05-20 04:30:26,2022-05-20 04:30:38
2022-05-20 15:48:13,2022-05-20 15:48:23,Puttering_Around,annotator,PA TYPE,2022-05-20 04:30:38,2022-05-20 04:30:48
2022-05-20 15:48:23,2022-05-20 15:48:41,Walking,annotator,PA TYPE,2022-05-20 04:30:48,2022-05-20 04:31:06
2022-05-20 15:48:46,2022-05-20 15:49:39,Puttering_Around,annotator,PA TYPE,2022-05-20 04:31:11,2022-05-20 04:32:04
2022-05-20 15:49:46,2022-05-20 15:50:42,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:32:11,2022-05-20 04:33:07
2022-05-20 15:50:49,2022-05-20 15:51:17,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:33:14,2022-05-20 04:33:42
2022-05-20 15:51:17,2022-05-20 15:51:31,Puttering_Around,annotator,PA TYPE,2022-05-20 04:33:42,2022-05-20 04:33:56
2022-05-20 15:51:24,2022-05-20 15:51:24,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:33:49,2022-05-20 04:33:49
2022-05-20 15:51:31,2022-05-20 15:51:51,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:33:56,2022-05-20 04:34:16
2022-05-20 15:51:32,2022-05-20 15:51:32,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:33:57,2022-05-20 04:33:57
2022-05-20 15:51:52,2022-05-20 15:51:52,Puttering_Around,annotator,PA TYPE,2022-05-20 04:34:17,2022-05-20 04:34:17
2022-05-20 15:51:55,2022-05-20 15:52:18,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:34:20,2022-05-20 04:34:43
2022-05-20 15:52:24,2022-05-20 15:52:58,Puttering_Around,annotator,PA TYPE,2022-05-20 04:34:49,2022-05-20 04:35:23
2022-05-20 15:52:58,2022-05-20 15:54:38,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:35:23,2022-05-20 04:37:03
2022-05-20 15:54:38,2022-05-20 15:55:05,Puttering_Around,annotator,PA TYPE,2022-05-20 04:37:03,2022-05-20 04:37:30
2022-05-20 15:55:06,2022-05-20 15:55:17,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:37:31,2022-05-20 04:37:42
2022-05-20 15:55:17,2022-05-20 15:55:35,Walking,annotator,PA TYPE,2022-05-20 04:37:42,2022-05-20 04:38:00
2022-05-20 15:55:35,2022-05-20 15:56:00,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:38:00,2022-05-20 04:38:25
2022-05-20 15:56:00,2022-05-20 15:56:13,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 04:38:25,2022-05-20 04:38:38
2022-05-20 15:56:13,2022-05-20 15:56:26,Walking,annotator,PA TYPE,2022-05-20 04:38:38,2022-05-20 04:38:51
2022-05-20 15:56:26,2022-05-20 15:56:32,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:38:51,2022-05-20 04:38:57
2022-05-20 15:56:32,2022-05-20 15:58:15,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 04:38:57,2022-05-20 04:40:40
2022-05-20 15:58:16,2022-05-20 15:58:29,Walking,annotator,PA TYPE,2022-05-20 04:40:41,2022-05-20 04:40:54
2022-05-20 15:58:29,2022-05-20 15:58:31,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:40:54,2022-05-20 04:40:56
2022-05-20 15:58:31,2022-05-20 15:58:39,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:40:56,2022-05-20 04:41:04
2022-05-20 15:58:39,2022-05-20 15:58:44,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:41:04,2022-05-20 04:41:09
2022-05-20 15:58:44,2022-05-20 15:58:47,Walking,annotator,PA TYPE,2022-05-20 04:41:09,2022-05-20 04:41:12
2022-05-20 15:58:47,2022-05-20 15:58:56,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:41:12,2022-05-20 04:41:21
2022-05-20 15:58:56,2022-05-20 15:59:10,Puttering_Around,annotator,PA TYPE,2022-05-20 04:41:21,2022-05-20 04:41:35
2022-05-20 15:59:10,2022-05-20 15:59:20,Puttering_Around,annotator,PA TYPE,2022-05-20 04:41:35,2022-05-20 04:41:45
2022-05-20 15:59:20,2022-05-20 15:59:23,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:41:45,2022-05-20 04:41:48
2022-05-20 15:59:23,2022-05-20 15:59:45,Walking,annotator,PA TYPE,2022-05-20 04:41:48,2022-05-20 04:42:10
2022-05-20 15:59:45,2022-05-20 16:00:05,Walking,annotator,PA TYPE,2022-05-20 04:42:10,2022-05-20 04:42:30
2022-05-20 16:00:05,2022-05-20 16:00:16,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:42:30,2022-05-20 04:42:41
2022-05-20 16:00:16,2022-05-20 16:00:48,Walking,annotator,PA TYPE,2022-05-20 04:42:41,2022-05-20 04:43:13
2022-05-20 16:00:48,2022-05-20 16:01:45,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:43:13,2022-05-20 04:44:10
2022-05-20 16:01:45,2022-05-20 16:01:57,Puttering_Around,annotator,PA TYPE,2022-05-20 04:44:10,2022-05-20 04:44:22
2022-05-20 16:01:57,2022-05-20 16:02:13,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:44:22,2022-05-20 04:44:38
2022-05-20 16:02:13,2022-05-20 16:02:38,Walking,annotator,PA TYPE,2022-05-20 04:44:38,2022-05-20 04:45:03
2022-05-20 16:02:38,2022-05-20 16:02:42,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:45:03,2022-05-20 04:45:07
2022-05-20 16:02:42,2022-05-20 16:02:56,Walking,annotator,PA TYPE,2022-05-20 04:45:07,2022-05-20 04:45:21
2022-05-20 16:02:56,2022-05-20 16:03:22,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:45:21,2022-05-20 04:45:47
2022-05-20 16:03:22,2022-05-20 16:03:37,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 04:45:47,2022-05-20 04:46:02
2022-05-20 16:03:37,2022-05-20 16:03:57,Walking,annotator,PA TYPE,2022-05-20 04:46:02,2022-05-20 04:46:22
2022-05-20 16:03:57,2022-05-20 16:04:05,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:46:22,2022-05-20 04:46:30
2022-05-20 16:04:06,2022-05-20 16:04:13,Puttering_Around,annotator,PA TYPE,2022-05-20 04:46:31,2022-05-20 04:46:38
2022-05-20 16:04:13,2022-05-20 16:04:27,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:46:38,2022-05-20 04:46:52
2022-05-20 16:04:27,2022-05-20 16:04:52,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:46:52,2022-05-20 04:47:17
2022-05-20 16:04:52,2022-05-20 16:05:35,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 04:47:17,2022-05-20 04:48:00
2022-05-20 16:05:35,2022-05-20 16:08:38,Sitting_With_Movement,annotator,PA TYPE,2022-05-20 04:48:00,2022-05-20 04:51:03
2022-05-20 16:08:38,2022-05-20 16:08:49,Puttering_Around,annotator,PA TYPE,2022-05-20 04:51:03,2022-05-20 04:51:14
2022-05-20 16:08:49,2022-05-20 16:09:08,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:51:14,2022-05-20 04:51:33
2022-05-20 16:09:08,2022-05-20 16:09:19,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:51:33,2022-05-20 04:51:44
2022-05-20 16:09:19,2022-05-20 16:12:09,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 04:51:44,2022-05-20 04:54:34
2022-05-20 16:12:09,2022-05-20 16:12:25,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 04:54:34,2022-05-20 04:54:50
2022-05-20 16:12:25,2022-05-20 16:13:12,Folding_Clothes,annotator,PA TYPE,2022-05-20 04:54:50,2022-05-20 04:55:37
2022-05-20 16:13:12,2022-05-20 16:13:43,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 04:55:37,2022-05-20 04:56:08
2022-05-20 16:13:43,2022-05-20 16:13:54,Puttering_Around,annotator,PA TYPE,2022-05-20 04:56:08,2022-05-20 04:56:19
2022-05-20 16:13:54,2022-05-20 16:14:04,Puttering_Around,annotator,PA TYPE,2022-05-20 04:56:19,2022-05-20 04:56:29
2022-05-20 16:14:04,2022-05-20 16:14:08,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:56:29,2022-05-20 04:56:33
2022-05-20 16:14:08,2022-05-20 16:14:22,Puttering_Around,annotator,PA TYPE,2022-05-20 04:56:33,2022-05-20 04:56:47
2022-05-20 16:14:22,2022-05-20 16:14:39,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:56:47,2022-05-20 04:57:04
2022-05-20 16:14:39,2022-05-20 16:14:54,Folding_Clothes,annotator,PA TYPE,2022-05-20 04:57:04,2022-05-20 04:57:19
2022-05-20 16:14:54,2022-05-20 16:15:03,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 04:57:19,2022-05-20 04:57:28
2022-05-20 16:15:03,2022-05-20 16:15:20,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:57:28,2022-05-20 04:57:45
2022-05-20 16:15:20,2022-05-20 16:15:37,Folding_Clothes,annotator,PA TYPE,2022-05-20 04:57:45,2022-05-20 04:58:02
2022-05-20 16:15:37,2022-05-20 16:15:45,Standing_With_Movement,annotator,PA TYPE,2022-05-20 04:58:02,2022-05-20 04:58:10
2022-05-20 16:15:51,2022-05-20 16:16:05,Folding_Clothes,annotator,PA TYPE,2022-05-20 04:58:16,2022-05-20 04:58:30
2022-05-20 16:16:05,2022-05-20 16:17:43,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 04:58:30,2022-05-20 05:00:08
2022-05-20 16:17:43,2022-05-20 16:17:47,Folding_Clothes,annotator,PA TYPE,2022-05-20 05:00:08,2022-05-20 05:00:12
2022-05-20 16:17:47,2022-05-20 16:18:01,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 05:00:12,2022-05-20 05:00:26
2022-05-20 16:18:01,2022-05-20 16:18:13,Folding_Clothes,annotator,PA TYPE,2022-05-20 05:00:26,2022-05-20 05:00:38
2022-05-20 16:18:13,2022-05-20 16:18:17,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 05:00:38,2022-05-20 05:00:42
2022-05-20 16:18:17,2022-05-20 16:18:48,Folding_Clothes,annotator,PA TYPE,2022-05-20 05:00:42,2022-05-20 05:01:13
2022-05-20 16:18:48,2022-05-20 16:18:51,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 05:01:13,2022-05-20 05:01:16
2022-05-20 16:18:51,2022-05-20 16:19:13,Folding_Clothes,annotator,PA TYPE,2022-05-20 05:01:16,2022-05-20 05:01:38
2022-05-20 16:19:13,2022-05-20 16:19:17,Putting_Clothes_Away,annotator,PA TYPE,2022-05-20 05:01:38,2022-05-20 05:01:42
2022-05-20 16:19:17,2022-05-20 16:19:25,Puttering_Around,annotator,PA TYPE,2022-05-20 05:01:42,2022-05-20 05:01:50
2022-05-20 16:19:25,2022-05-20 16:19:32,Puttering_Around,annotator,PA TYPE,2022-05-20 05:01:50,2022-05-20 05:01:57
2022-05-20 16:19:32,2022-05-20 16:19:59,Standing_With_Movement,annotator,PA TYPE,2022-05-20 05:01:57,2022-05-20 05:02:24
2022-05-20 16:19:59,2022-05-20 16:20:45,PA_Type_Other,annotator,PA TYPE,2022-05-20 05:02:24,2022-05-20 05:03:10
2022-05-20 16:20:45,2022-05-20 16:21:52,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-20 05:03:10,2022-05-20 05:04:17
2022-05-20 16:21:52,2022-05-20 16:21:58,Puttering_Around,annotator,PA TYPE,2022-05-20 05:04:17,2022-05-20 05:04:23
2022-05-20 16:21:58,2022-05-20 16:22:15,Walking,annotator,PA TYPE,2022-05-20 05:04:23,2022-05-20 05:04:40
2022-05-20 16:21:59,2022-05-20 16:21:59,Puttering_Around,annotator,PA TYPE,2022-05-20 05:04:24,2022-05-20 05:04:24
2022-05-20 16:22:15,2022-05-20 16:22:29,Standing_With_Movement,annotator,PA TYPE,2022-05-20 05:04:40,2022-05-20 05:04:54
2022-05-20 16:22:29,2022-05-20 16:22:37,Walking,annotator,PA TYPE,2022-05-20 05:04:54,2022-05-20 05:05:02
2022-05-20 16:22:37,2022-05-20 16:22:39,Standing_With_Movement,annotator,PA TYPE,2022-05-20 05:05:02,2022-05-20 05:05:04
2022-05-20 16:22:39,2022-05-20 16:22:48,Walking,annotator,PA TYPE,2022-05-20 05:05:04,2022-05-20 05:05:13
