START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-22 11:56:09,2022-05-22 11:56:33,Synchronizing_Sensors,annotator,PA TYPE,2022-05-22 00:00:01,2022-05-22 00:00:25
2022-05-22 11:56:33,2022-05-22 11:56:36,Walking,annotator,PA TYPE,2022-05-22 00:00:25,2022-05-22 00:00:28
2022-05-22 11:56:36,2022-05-22 11:56:49,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:00:28,2022-05-22 00:00:41
2022-05-22 11:56:49,2022-05-22 11:56:56,Walking,annotator,PA TYPE,2022-05-22 00:00:41,2022-05-22 00:00:48
2022-05-22 11:56:56,2022-05-22 11:56:58,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:00:48,2022-05-22 00:00:50
2022-05-22 11:56:59,2022-05-22 11:57:13,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:00:51,2022-05-22 00:01:05
2022-05-22 11:57:13,2022-05-22 11:57:30,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:01:05,2022-05-22 00:01:22
2022-05-22 11:57:32,2022-05-22 11:58:05,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:01:24,2022-05-22 00:01:57
2022-05-22 11:58:05,2022-05-22 11:58:25,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:01:57,2022-05-22 00:02:17
2022-05-22 11:58:26,2022-05-22 12:02:16,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:02:18,2022-05-22 00:06:08
2022-05-22 12:02:16,2022-05-22 12:05:55,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:06:08,2022-05-22 00:09:47
2022-05-22 12:05:55,2022-05-22 12:07:03,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:09:47,2022-05-22 00:10:55
2022-05-22 12:07:03,2022-05-22 12:10:47,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:10:55,2022-05-22 00:14:39
2022-05-22 12:10:47,2022-05-22 12:11:58,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:14:39,2022-05-22 00:15:50
2022-05-22 12:11:58,2022-05-22 12:12:14,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:15:50,2022-05-22 00:16:06
2022-05-22 12:12:14,2022-05-22 12:12:51,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:16:06,2022-05-22 00:16:43
2022-05-22 12:12:51,2022-05-22 12:15:36,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:16:43,2022-05-22 00:19:28
2022-05-22 12:15:36,2022-05-22 12:16:37,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-22 00:19:28,2022-05-22 00:20:29
2022-05-22 12:16:37,2022-05-22 12:18:16,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:20:29,2022-05-22 00:22:08
2022-05-22 12:18:16,2022-05-22 12:21:57,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:22:08,2022-05-22 00:25:49
2022-05-22 12:21:57,2022-05-22 12:25:10,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-22 00:25:49,2022-05-22 00:29:02
2022-05-22 12:25:11,2022-05-22 12:26:17,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:29:03,2022-05-22 00:30:09
2022-05-22 12:26:17,2022-05-22 12:26:21,Lying_With_Movement,annotator,PA TYPE,2022-05-22 00:30:09,2022-05-22 00:30:13
2022-05-22 12:26:23,2022-05-22 12:26:27,Walking,annotator,PA TYPE,2022-05-22 00:30:15,2022-05-22 00:30:19
2022-05-22 12:26:27,2022-05-22 12:26:34,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:30:19,2022-05-22 00:30:26
2022-05-22 12:26:36,2022-05-22 12:26:47,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:30:28,2022-05-22 00:30:39
2022-05-22 12:26:47,2022-05-22 12:28:58,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-22 00:30:39,2022-05-22 00:32:50
2022-05-22 12:28:58,2022-05-22 12:29:13,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:32:50,2022-05-22 00:33:05
2022-05-22 12:29:13,2022-05-22 12:29:21,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:33:05,2022-05-22 00:33:13
2022-05-22 12:29:21,2022-05-22 12:29:25,Walking,annotator,PA TYPE,2022-05-22 00:33:13,2022-05-22 00:33:17
2022-05-22 12:29:25,2022-05-22 12:29:39,Sitting_With_Movement,annotator,PA TYPE,2022-05-22 00:33:17,2022-05-22 00:33:31
2022-05-22 12:29:39,2022-05-22 12:30:32,Sitting_With_Movement,annotator,PA TYPE,2022-05-22 00:33:31,2022-05-22 00:34:24
2022-05-22 12:30:33,2022-05-22 12:30:43,Walking,annotator,PA TYPE,2022-05-22 00:34:25,2022-05-22 00:34:35
2022-05-22 12:30:43,2022-05-22 12:30:48,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:34:35,2022-05-22 00:34:40
2022-05-22 12:30:48,2022-05-22 12:30:51,Walking,annotator,PA TYPE,2022-05-22 00:34:40,2022-05-22 00:34:43
2022-05-22 12:30:51,2022-05-22 12:31:06,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:34:43,2022-05-22 00:34:58
2022-05-22 12:31:06,2022-05-22 12:34:48,Sitting_With_Movement,annotator,PA TYPE,2022-05-22 00:34:58,2022-05-22 00:38:40
2022-05-22 12:34:48,2022-05-22 12:35:09,Standing_With_Movement,annotator,PA TYPE,2022-05-22 00:38:40,2022-05-22 00:39:01
