START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-23 09:09:02,2022-05-23 09:09:31,Synchronizing_Sensors,annotator,PA TYPE,2022-05-23 00:00:03,2022-05-23 00:00:32
2022-05-23 09:09:55,2022-05-23 09:10:52,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:00:56,2022-05-23 00:01:53
2022-05-23 09:10:52,2022-05-23 09:11:27,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:01:53,2022-05-23 00:02:28
2022-05-23 09:11:40,2022-05-23 09:11:58,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:02:41,2022-05-23 00:02:59
2022-05-23 09:11:58,2022-05-23 09:12:12,Sitting_Still,annotator,PA TYPE,2022-05-23 00:02:59,2022-05-23 00:03:13
2022-05-23 09:12:23,2022-05-23 09:13:07,Puttering_Around,annotator,PA TYPE,2022-05-23 00:03:24,2022-05-23 00:04:08
2022-05-23 09:13:11,2022-05-23 09:14:30,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:04:12,2022-05-23 00:05:31
2022-05-23 09:14:30,2022-05-23 09:15:14,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:05:31,2022-05-23 00:06:15
2022-05-23 09:15:14,2022-05-23 09:17:29,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:06:15,2022-05-23 00:08:30
2022-05-23 09:17:29,2022-05-23 09:20:00,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:08:30,2022-05-23 00:11:01
2022-05-23 09:20:34,2022-05-23 09:21:39,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:11:35,2022-05-23 00:12:40
2022-05-23 09:21:39,2022-05-23 09:22:15,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:12:40,2022-05-23 00:13:16
2022-05-23 09:22:15,2022-05-23 09:24:17,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:13:16,2022-05-23 00:15:18
2022-05-23 09:24:23,2022-05-23 09:31:15,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:15:24,2022-05-23 00:22:16
2022-05-23 09:31:30,2022-05-23 09:33:51,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:22:31,2022-05-23 00:24:52
2022-05-23 09:33:51,2022-05-23 09:37:46,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:24:52,2022-05-23 00:28:47
2022-05-23 09:37:52,2022-05-23 09:39:18,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:28:53,2022-05-23 00:30:19
2022-05-23 09:39:21,2022-05-23 09:40:02,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:30:22,2022-05-23 00:31:03
2022-05-23 09:40:09,2022-05-23 09:40:27,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:31:10,2022-05-23 00:31:28
2022-05-23 09:40:34,2022-05-23 09:41:35,Puttering_Around,annotator,PA TYPE,2022-05-23 00:31:35,2022-05-23 00:32:36
2022-05-23 09:41:35,2022-05-23 09:42:11,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:32:36,2022-05-23 00:33:12
2022-05-23 09:42:11,2022-05-23 09:42:34,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:33:12,2022-05-23 00:33:35
2022-05-23 09:42:35,2022-05-23 09:43:40,Walking,annotator,PA TYPE,2022-05-23 00:33:36,2022-05-23 00:34:41
2022-05-23 09:43:40,2022-05-23 09:43:52,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:34:41,2022-05-23 00:34:53
2022-05-23 09:44:01,2022-05-23 09:44:23,Standing_With_Movement,annotator,PA TYPE,2022-05-23 00:35:02,2022-05-23 00:35:24
2022-05-23 09:44:23,2022-05-23 09:44:49,Walking,annotator,PA TYPE,2022-05-23 00:35:24,2022-05-23 00:35:50
2022-05-23 09:44:49,2022-05-23 09:47:37,Walking,annotator,PA TYPE,2022-05-23 00:35:50,2022-05-23 00:38:38
2022-05-23 09:47:37,2022-05-23 09:47:57,Walking,annotator,PA TYPE,2022-05-23 00:38:38,2022-05-23 00:38:58
2022-05-23 09:47:57,2022-05-23 09:48:32,Walking_Up_Stairs,annotator,PA TYPE,2022-05-23 00:38:58,2022-05-23 00:39:33
2022-05-23 09:48:32,2022-05-23 09:48:57,Walking,annotator,PA TYPE,2022-05-23 00:39:33,2022-05-23 00:39:58
2022-05-23 09:49:02,2022-05-23 09:49:41,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:40:03,2022-05-23 00:40:42
2022-05-23 09:49:41,2022-05-23 09:50:19,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:40:42,2022-05-23 00:41:20
2022-05-23 09:50:19,2022-05-23 09:51:00,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:41:20,2022-05-23 00:42:01
2022-05-23 09:51:00,2022-05-23 09:52:16,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:42:01,2022-05-23 00:43:17
2022-05-23 09:52:16,2022-05-23 09:53:02,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:43:17,2022-05-23 00:44:03
2022-05-23 09:53:02,2022-05-23 09:54:02,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:44:03,2022-05-23 00:45:03
2022-05-23 09:54:02,2022-05-23 09:54:12,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:45:03,2022-05-23 00:45:13
2022-05-23 09:54:12,2022-05-23 09:56:14,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:45:13,2022-05-23 00:47:15
2022-05-23 09:56:14,2022-05-23 09:58:01,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:47:15,2022-05-23 00:49:02
2022-05-23 09:58:01,2022-05-23 09:58:39,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:49:02,2022-05-23 00:49:40
2022-05-23 09:58:44,2022-05-23 10:00:03,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:49:45,2022-05-23 00:51:04
2022-05-23 10:00:03,2022-05-23 10:00:20,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:51:04,2022-05-23 00:51:21
2022-05-23 10:00:23,2022-05-23 10:00:53,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:51:24,2022-05-23 00:51:54
2022-05-23 10:00:53,2022-05-23 10:01:55,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:51:54,2022-05-23 00:52:56
2022-05-23 10:01:55,2022-05-23 10:03:23,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:52:56,2022-05-23 00:54:24
2022-05-23 10:03:23,2022-05-23 10:06:19,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:54:24,2022-05-23 00:57:20
2022-05-23 10:06:19,2022-05-23 10:08:23,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:57:20,2022-05-23 00:59:24
2022-05-23 10:08:23,2022-05-23 10:10:44,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 00:59:24,2022-05-23 01:01:45
2022-05-23 10:10:44,2022-05-23 10:11:03,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:01:45,2022-05-23 01:02:04
2022-05-23 10:11:03,2022-05-23 10:11:15,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:02:04,2022-05-23 01:02:16
2022-05-23 10:11:15,2022-05-23 10:14:13,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:02:16,2022-05-23 01:05:14
2022-05-23 10:14:13,2022-05-23 10:15:11,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:05:14,2022-05-23 01:06:12
2022-05-23 10:15:11,2022-05-23 10:16:34,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:06:12,2022-05-23 01:07:35
2022-05-23 10:16:34,2022-05-23 10:19:10,Sitting_Still,annotator,PA TYPE,2022-05-23 01:07:35,2022-05-23 01:10:11
2022-05-23 10:19:10,2022-05-23 10:19:45,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:10:11,2022-05-23 01:10:46
2022-05-23 10:19:45,2022-05-23 10:21:14,Sitting_Still,annotator,PA TYPE,2022-05-23 01:10:46,2022-05-23 01:12:15
2022-05-23 10:21:14,2022-05-23 10:21:49,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:12:15,2022-05-23 01:12:50
2022-05-23 10:21:49,2022-05-23 10:22:33,Sitting_Still,annotator,PA TYPE,2022-05-23 01:12:50,2022-05-23 01:13:34
2022-05-23 10:22:33,2022-05-23 10:22:55,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:13:34,2022-05-23 01:13:56
2022-05-23 10:22:55,2022-05-23 10:24:57,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:13:56,2022-05-23 01:15:58
2022-05-23 10:24:57,2022-05-23 10:25:23,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:15:58,2022-05-23 01:16:24
2022-05-23 10:25:23,2022-05-23 10:29:07,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:16:24,2022-05-23 01:20:08
2022-05-23 10:29:07,2022-05-23 10:34:06,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:20:08,2022-05-23 01:25:07
2022-05-23 10:34:06,2022-05-23 10:35:20,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:25:07,2022-05-23 01:26:21
2022-05-23 10:35:20,2022-05-23 10:38:02,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:26:21,2022-05-23 01:29:03
2022-05-23 10:38:02,2022-05-23 10:39:33,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:29:03,2022-05-23 01:30:34
2022-05-23 10:39:33,2022-05-23 10:39:40,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:30:34,2022-05-23 01:30:41
2022-05-23 10:39:40,2022-05-23 10:40:00,Sitting_Still,annotator,PA TYPE,2022-05-23 01:30:41,2022-05-23 01:31:01
2022-05-23 10:40:00,2022-05-23 10:40:30,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:31:01,2022-05-23 01:31:31
2022-05-23 10:40:30,2022-05-23 10:42:02,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:31:31,2022-05-23 01:33:03
2022-05-23 10:42:02,2022-05-23 10:42:21,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:33:03,2022-05-23 01:33:22
2022-05-23 10:42:21,2022-05-23 10:42:50,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:33:22,2022-05-23 01:33:51
2022-05-23 10:42:50,2022-05-23 10:44:37,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:33:51,2022-05-23 01:35:38
2022-05-23 10:44:37,2022-05-23 10:44:44,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:35:38,2022-05-23 01:35:45
2022-05-23 10:44:44,2022-05-23 10:44:57,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:35:45,2022-05-23 01:35:58
2022-05-23 10:44:57,2022-05-23 10:45:46,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:35:58,2022-05-23 01:36:47
2022-05-23 10:45:46,2022-05-23 10:46:50,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:36:47,2022-05-23 01:37:51
2022-05-23 10:46:50,2022-05-23 10:47:01,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:37:51,2022-05-23 01:38:02
2022-05-23 10:47:02,2022-05-23 10:48:27,Sitting_Still,annotator,PA TYPE,2022-05-23 01:38:03,2022-05-23 01:39:28
2022-05-23 10:48:33,2022-05-23 10:49:57,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:39:34,2022-05-23 01:40:58
2022-05-23 10:49:57,2022-05-23 10:52:48,Sitting_Still,annotator,PA TYPE,2022-05-23 01:40:58,2022-05-23 01:43:49
2022-05-23 10:52:48,2022-05-23 10:56:10,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:43:49,2022-05-23 01:47:11
2022-05-23 10:56:10,2022-05-23 10:57:08,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:47:11,2022-05-23 01:48:09
2022-05-23 10:57:08,2022-05-23 10:57:30,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:48:09,2022-05-23 01:48:31
2022-05-23 10:57:30,2022-05-23 10:58:15,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:48:31,2022-05-23 01:49:16
2022-05-23 10:58:15,2022-05-23 10:58:41,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:49:16,2022-05-23 01:49:42
2022-05-23 10:58:42,2022-05-23 10:59:13,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:49:43,2022-05-23 01:50:14
2022-05-23 10:59:13,2022-05-23 10:59:50,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:50:14,2022-05-23 01:50:51
2022-05-23 10:59:50,2022-05-23 11:06:13,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:50:51,2022-05-23 01:57:14
2022-05-23 11:06:13,2022-05-23 11:06:34,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:57:14,2022-05-23 01:57:35
2022-05-23 11:06:34,2022-05-23 11:09:01,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 01:57:35,2022-05-23 02:00:02
2022-05-23 11:09:01,2022-05-23 11:09:50,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:00:02,2022-05-23 02:00:51
2022-05-23 11:09:50,2022-05-23 11:13:03,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:00:51,2022-05-23 02:04:04
2022-05-23 11:13:03,2022-05-23 11:16:29,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:04:04,2022-05-23 02:07:30
2022-05-23 11:16:29,2022-05-23 11:19:31,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:07:30,2022-05-23 02:10:32
2022-05-23 11:19:31,2022-05-23 11:21:11,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:10:32,2022-05-23 02:12:12
2022-05-23 11:21:12,2022-05-23 11:22:44,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:12:13,2022-05-23 02:13:45
2022-05-23 11:22:44,2022-05-23 11:30:50,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:13:45,2022-05-23 02:21:51
2022-05-23 11:30:50,2022-05-23 11:31:06,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:21:51,2022-05-23 02:22:07
2022-05-23 11:31:20,2022-05-23 11:32:25,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:22:21,2022-05-23 02:23:26
2022-05-23 11:32:28,2022-05-23 11:32:49,Sitting_With_Movement,annotator,PA TYPE,2022-05-23 02:23:29,2022-05-23 02:23:50
