START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-27 10:58:27,2022-05-27 10:59:23,Free_Living,annotator,Experimental situation,2022-05-27 00:00:13,2022-05-27 00:01:09
2022-05-27 10:59:23,2022-05-27 10:59:59,Free_Living,annotator,Experimental situation,2022-05-27 00:01:09,2022-05-27 00:01:45
2022-05-27 10:59:59,2022-05-27 11:01:10,Free_Living,annotator,Experimental situation,2022-05-27 00:01:45,2022-05-27 00:02:56
2022-05-27 11:01:10,2022-05-27 11:01:42,Free_Living,annotator,Experimental situation,2022-05-27 00:02:56,2022-05-27 00:03:28
2022-05-27 11:01:42,2022-05-27 11:02:08,Free_Living,annotator,Experimental situation,2022-05-27 00:03:28,2022-05-27 00:03:54
2022-05-27 11:02:08,2022-05-27 11:03:16,Free_Living,annotator,Experimental situation,2022-05-27 00:03:54,2022-05-27 00:05:02
2022-05-27 11:03:16,2022-05-27 11:03:39,Free_Living,annotator,Experimental situation,2022-05-27 00:05:02,2022-05-27 00:05:25
2022-05-27 11:03:39,2022-05-27 11:03:58,Free_Living,annotator,Experimental situation,2022-05-27 00:05:25,2022-05-27 00:05:44
2022-05-27 11:03:58,2022-05-27 11:04:27,Free_Living,annotator,Experimental situation,2022-05-27 00:05:44,2022-05-27 00:06:13
2022-05-27 11:04:27,2022-05-27 11:04:43,Free_Living,annotator,Experimental situation,2022-05-27 00:06:13,2022-05-27 00:06:29
2022-05-27 11:04:43,2022-05-27 11:04:54,Free_Living,annotator,Experimental situation,2022-05-27 00:06:29,2022-05-27 00:06:40
2022-05-27 11:04:54,2022-05-27 11:05:38,Free_Living,annotator,Experimental situation,2022-05-27 00:06:40,2022-05-27 00:07:24
2022-05-27 11:05:38,2022-05-27 11:05:53,Free_Living,annotator,Experimental situation,2022-05-27 00:07:24,2022-05-27 00:07:39
2022-05-27 11:05:53,2022-05-27 11:06:05,Free_Living,annotator,Experimental situation,2022-05-27 00:07:39,2022-05-27 00:07:51
2022-05-27 11:06:05,2022-05-27 11:07:13,Free_Living,annotator,Experimental situation,2022-05-27 00:07:51,2022-05-27 00:08:59
2022-05-27 11:07:13,2022-05-27 11:07:59,Free_Living,annotator,Experimental situation,2022-05-27 00:08:59,2022-05-27 00:09:45
2022-05-27 11:07:59,2022-05-27 11:08:37,Free_Living,annotator,Experimental situation,2022-05-27 00:09:45,2022-05-27 00:10:23
2022-05-27 11:08:37,2022-05-27 11:09:19,Free_Living,annotator,Experimental situation,2022-05-27 00:10:23,2022-05-27 00:11:05
2022-05-27 11:09:19,2022-05-27 11:10:22,Free_Living,annotator,Experimental situation,2022-05-27 00:11:05,2022-05-27 00:12:08
2022-05-27 11:10:22,2022-05-27 11:13:57,Free_Living,annotator,Experimental situation,2022-05-27 00:12:08,2022-05-27 00:15:43
2022-05-27 11:13:57,2022-05-27 11:48:45,Free_Living,annotator,Experimental situation,2022-05-27 00:15:43,2022-05-27 00:50:31
2022-05-27 11:48:45,2022-05-27 11:50:17,Free_Living,annotator,Experimental situation,2022-05-27 00:50:31,2022-05-27 00:52:03
2022-05-27 11:50:17,2022-05-27 11:53:06,Free_Living,annotator,Experimental situation,2022-05-27 00:52:03,2022-05-27 00:54:52
2022-05-27 11:53:06,2022-05-27 11:53:39,Free_Living,annotator,Experimental situation,2022-05-27 00:54:52,2022-05-27 00:55:25
2022-05-27 11:53:39,2022-05-27 12:09:04,Free_Living,annotator,Experimental situation,2022-05-27 00:55:25,2022-05-27 01:10:50
2022-05-27 12:09:04,2022-05-27 12:10:13,Free_Living,annotator,Experimental situation,2022-05-27 01:10:50,2022-05-27 01:11:59
2022-05-27 12:10:13,2022-05-27 12:10:44,Free_Living,annotator,Experimental situation,2022-05-27 01:11:59,2022-05-27 01:12:30
2022-05-27 12:10:44,2022-05-27 12:11:08,Free_Living,annotator,Experimental situation,2022-05-27 01:12:30,2022-05-27 01:12:54
2022-05-27 12:11:09,2022-05-27 12:12:16,Free_Living,annotator,Experimental situation,2022-05-27 01:12:55,2022-05-27 01:14:02
2022-05-27 12:12:16,2022-05-27 12:12:37,Free_Living,annotator,Experimental situation,2022-05-27 01:14:02,2022-05-27 01:14:23
2022-05-27 12:12:37,2022-05-27 12:12:54,Free_Living,annotator,Experimental situation,2022-05-27 01:14:23,2022-05-27 01:14:40
2022-05-27 12:12:54,2022-05-27 12:13:16,Free_Living,annotator,Experimental situation,2022-05-27 01:14:40,2022-05-27 01:15:02
2022-05-27 12:13:16,2022-05-27 12:16:20,Free_Living,annotator,Experimental situation,2022-05-27 01:15:02,2022-05-27 01:18:06
2022-05-27 12:16:20,2022-05-27 12:17:42,Free_Living,annotator,Experimental situation,2022-05-27 01:18:06,2022-05-27 01:19:28
2022-05-27 12:17:42,2022-05-27 12:18:18,Free_Living,annotator,Experimental situation,2022-05-27 01:19:28,2022-05-27 01:20:04
2022-05-27 12:18:18,2022-05-27 12:18:38,Free_Living,annotator,Experimental situation,2022-05-27 01:20:04,2022-05-27 01:20:24
2022-05-27 12:18:38,2022-05-27 12:18:55,Free_Living,annotator,Experimental situation,2022-05-27 01:20:24,2022-05-27 01:20:41
2022-05-27 12:18:55,2022-05-27 12:20:01,Free_Living,annotator,Experimental situation,2022-05-27 01:20:41,2022-05-27 01:21:47
2022-05-27 12:20:01,2022-05-27 12:22:28,Free_Living,annotator,Experimental situation,2022-05-27 01:21:47,2022-05-27 01:24:14
2022-05-27 12:22:28,2022-05-27 12:22:49,Free_Living,annotator,Experimental situation,2022-05-27 01:24:14,2022-05-27 01:24:35
2022-05-27 12:22:49,2022-05-27 12:23:34,Free_Living,annotator,Experimental situation,2022-05-27 01:24:35,2022-05-27 01:25:20
2022-05-27 12:23:34,2022-05-27 12:24:06,Free_Living,annotator,Experimental situation,2022-05-27 01:25:20,2022-05-27 01:25:52
2022-05-27 12:24:06,2022-05-27 12:24:54,Free_Living,annotator,Experimental situation,2022-05-27 01:25:52,2022-05-27 01:26:40
2022-05-27 12:24:54,2022-05-27 12:25:13,Free_Living,annotator,Experimental situation,2022-05-27 01:26:40,2022-05-27 01:26:59
2022-05-27 12:25:13,2022-05-27 12:26:54,Free_Living,annotator,Experimental situation,2022-05-27 01:26:59,2022-05-27 01:28:40
2022-05-27 12:26:54,2022-05-27 12:27:11,Free_Living,annotator,Experimental situation,2022-05-27 01:28:40,2022-05-27 01:28:57
2022-05-27 12:27:11,2022-05-27 13:05:36,Free_Living,annotator,Experimental situation,2022-05-27 01:28:57,2022-05-27 02:07:22
2022-05-27 13:05:36,2022-05-27 13:06:28,Free_Living,annotator,Experimental situation,2022-05-27 02:07:22,2022-05-27 02:08:14
2022-05-27 13:06:28,2022-05-27 13:07:01,Free_Living,annotator,Experimental situation,2022-05-27 02:08:14,2022-05-27 02:08:47
2022-05-27 13:07:01,2022-05-27 13:08:01,Free_Living,annotator,Experimental situation,2022-05-27 02:08:47,2022-05-27 02:09:47
2022-05-27 13:08:01,2022-05-27 13:08:38,Free_Living,annotator,Experimental situation,2022-05-27 02:09:47,2022-05-27 02:10:24
2022-05-27 13:08:38,2022-05-27 13:09:10,Free_Living,annotator,Experimental situation,2022-05-27 02:10:24,2022-05-27 02:10:56
2022-05-27 13:09:10,2022-05-27 13:18:45,Free_Living,annotator,Experimental situation,2022-05-27 02:10:56,2022-05-27 02:20:31
2022-05-27 13:18:45,2022-05-27 13:20:38,Free_Living,annotator,Experimental situation,2022-05-27 02:20:31,2022-05-27 02:22:24
2022-05-27 13:20:38,2022-05-27 13:26:27,Free_Living,annotator,Experimental situation,2022-05-27 02:22:24,2022-05-27 02:28:13
2022-05-27 13:26:27,2022-05-27 13:26:43,Free_Living,annotator,Experimental situation,2022-05-27 02:28:13,2022-05-27 02:28:29
2022-05-27 13:26:43,2022-05-27 13:27:44,Free_Living,annotator,Experimental situation,2022-05-27 02:28:29,2022-05-27 02:29:30
2022-05-27 13:27:44,2022-05-27 13:32:31,Free_Living,annotator,Experimental situation,2022-05-27 02:29:30,2022-05-27 02:34:17
2022-05-27 13:32:31,2022-05-27 13:33:14,Free_Living,annotator,Experimental situation,2022-05-27 02:34:17,2022-05-27 02:35:00
2022-05-27 13:33:14,2022-05-27 13:33:20,Free_Living,annotator,Experimental situation,2022-05-27 02:35:00,2022-05-27 02:35:06
2022-05-27 13:33:20,2022-05-27 13:33:28,Free_Living,annotator,Experimental situation,2022-05-27 02:35:06,2022-05-27 02:35:14
2022-05-27 13:33:28,2022-05-27 13:42:46,Free_Living,annotator,Experimental situation,2022-05-27 02:35:14,2022-05-27 02:44:32
2022-05-27 13:42:46,2022-05-27 13:43:34,Free_Living,annotator,Experimental situation,2022-05-27 02:44:32,2022-05-27 02:45:20
2022-05-27 13:43:34,2022-05-27 13:44:13,Free_Living,annotator,Experimental situation,2022-05-27 02:45:20,2022-05-27 02:45:59
2022-05-27 13:44:13,2022-05-27 13:44:49,Free_Living,annotator,Experimental situation,2022-05-27 02:45:59,2022-05-27 02:46:35
2022-05-27 13:44:49,2022-05-27 13:50:21,Free_Living,annotator,Experimental situation,2022-05-27 02:46:35,2022-05-27 02:52:07
2022-05-27 13:50:21,2022-05-27 13:50:50,Free_Living,annotator,Experimental situation,2022-05-27 02:52:07,2022-05-27 02:52:36
2022-05-27 13:50:50,2022-05-27 13:51:41,Free_Living,annotator,Experimental situation,2022-05-27 02:52:36,2022-05-27 02:53:27
