START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-06-03 09:27:46,2022-06-03 09:27:59,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-06-03 00:00:00,2022-06-03 00:00:13
2022-06-03 09:27:59,2022-06-03 09:28:22,In_Position_Upright,annotator,POSTURE,2022-06-03 00:00:13,2022-06-03 00:00:36
2022-06-03 09:28:22,2022-06-03 09:28:31,In_Position_Upright,annotator,POSTURE,2022-06-03 00:00:36,2022-06-03 00:00:45
2022-06-03 09:28:31,2022-06-03 09:28:36,In_Position_Upright,annotator,POSTURE,2022-06-03 00:00:45,2022-06-03 00:00:50
2022-06-03 09:28:36,2022-06-03 09:29:24,In_Position_Upright,annotator,POSTURE,2022-06-03 00:00:50,2022-06-03 00:01:38
2022-06-03 09:29:24,2022-06-03 09:29:39,In_Position_Upright,annotator,POSTURE,2022-06-03 00:01:38,2022-06-03 00:01:53
2022-06-03 09:29:39,2022-06-03 09:29:45,In_Position_Upright,annotator,POSTURE,2022-06-03 00:01:53,2022-06-03 00:01:59
2022-06-03 09:29:45,2022-06-03 09:30:01,In_Position_Upright,annotator,POSTURE,2022-06-03 00:01:59,2022-06-03 00:02:15
2022-06-03 09:30:01,2022-06-03 09:30:09,In_Position_Upright,annotator,POSTURE,2022-06-03 00:02:15,2022-06-03 00:02:23
2022-06-03 09:30:09,2022-06-03 09:30:29,In_Position_Upright,annotator,POSTURE,2022-06-03 00:02:23,2022-06-03 00:02:43
2022-06-03 09:30:29,2022-06-03 09:30:39,In_Position_Upright,annotator,POSTURE,2022-06-03 00:02:43,2022-06-03 00:02:53
2022-06-03 09:30:39,2022-06-03 09:30:46,In_Position_Upright,annotator,POSTURE,2022-06-03 00:02:53,2022-06-03 00:03:00
2022-06-03 09:30:46,2022-06-03 09:30:53,In_Position_Upright,annotator,POSTURE,2022-06-03 00:03:00,2022-06-03 00:03:07
2022-06-03 09:30:53,2022-06-03 09:30:56,In_Position_Upright,annotator,POSTURE,2022-06-03 00:03:07,2022-06-03 00:03:10
2022-06-03 09:30:56,2022-06-03 09:31:00,In_Position_Upright,annotator,POSTURE,2022-06-03 00:03:10,2022-06-03 00:03:14
2022-06-03 09:31:00,2022-06-03 09:31:18,In_Position_Upright,annotator,POSTURE,2022-06-03 00:03:14,2022-06-03 00:03:32
2022-06-03 09:31:18,2022-06-03 09:31:34,In_Position_Upright,annotator,POSTURE,2022-06-03 00:03:32,2022-06-03 00:03:48
2022-06-03 09:31:34,2022-06-03 09:31:42,In_Position_Upright,annotator,POSTURE,2022-06-03 00:03:48,2022-06-03 00:03:56
2022-06-03 09:31:42,2022-06-03 09:31:47,In_Position_Upright,annotator,POSTURE,2022-06-03 00:03:56,2022-06-03 00:04:01
2022-06-03 09:31:47,2022-06-03 09:31:54,In_Position_Kneeling,annotator,POSTURE,2022-06-03 00:04:01,2022-06-03 00:04:08
2022-06-03 09:31:54,2022-06-03 09:32:05,In_Position_Upright,annotator,POSTURE,2022-06-03 00:04:08,2022-06-03 00:04:19
2022-06-03 09:32:05,2022-06-03 09:32:26,In_Position_Kneeling,annotator,POSTURE,2022-06-03 00:04:19,2022-06-03 00:04:40
2022-06-03 09:32:26,2022-06-03 09:32:41,In_Position_Upright,annotator,POSTURE,2022-06-03 00:04:40,2022-06-03 00:04:55
2022-06-03 09:32:41,2022-06-03 09:33:13,In_Position_Upright,annotator,POSTURE,2022-06-03 00:04:55,2022-06-03 00:05:27
2022-06-03 09:33:13,2022-06-03 09:33:48,In_Position_Upright,annotator,POSTURE,2022-06-03 00:05:27,2022-06-03 00:06:02
2022-06-03 09:33:48,2022-06-03 09:34:19,In_Position_Upright,annotator,POSTURE,2022-06-03 00:06:02,2022-06-03 00:06:33
2022-06-03 09:34:19,2022-06-03 09:34:33,In_Position_Upright,annotator,POSTURE,2022-06-03 00:06:33,2022-06-03 00:06:47
2022-06-03 09:34:33,2022-06-03 09:34:39,In_Position_Upright,annotator,POSTURE,2022-06-03 00:06:47,2022-06-03 00:06:53
2022-06-03 09:34:39,2022-06-03 09:35:04,In_Position_Upright,annotator,POSTURE,2022-06-03 00:06:53,2022-06-03 00:07:18
