START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-06-07 20:17:40,2022-06-07 20:17:59,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:00:00,2022-06-07 00:00:19
2022-06-07 20:17:59,2022-06-07 20:18:07,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:00:19,2022-06-07 00:00:27
2022-06-07 20:18:08,2022-06-07 20:18:11,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:00:28,2022-06-07 00:00:31
2022-06-07 20:18:11,2022-06-07 20:35:20,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:00:31,2022-06-07 00:17:40
2022-06-07 20:35:20,2022-06-07 20:35:53,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:17:40,2022-06-07 00:18:13
2022-06-07 20:35:53,2022-06-07 20:36:28,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:18:13,2022-06-07 00:18:48
2022-06-07 20:36:28,2022-06-07 20:36:38,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:18:48,2022-06-07 00:18:58
2022-06-07 20:36:38,2022-06-07 20:36:46,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:18:58,2022-06-07 00:19:06
2022-06-07 20:36:46,2022-06-07 20:38:07,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:19:06,2022-06-07 00:20:27
2022-06-07 20:38:07,2022-06-07 20:41:52,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:20:27,2022-06-07 00:24:12
2022-06-07 20:41:52,2022-06-07 20:43:13,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:24:12,2022-06-07 00:25:33
2022-06-07 20:43:13,2022-06-07 20:46:19,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:25:33,2022-06-07 00:28:39
2022-06-07 20:46:19,2022-06-07 20:47:42,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:28:39,2022-06-07 00:30:02
2022-06-07 20:47:42,2022-06-07 20:54:50,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:30:02,2022-06-07 00:37:10
2022-06-07 20:54:50,2022-06-07 20:55:30,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:37:10,2022-06-07 00:37:50
2022-06-07 20:55:30,2022-06-07 21:00:20,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:37:50,2022-06-07 00:42:40
2022-06-07 21:00:20,2022-06-07 21:00:27,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:42:40,2022-06-07 00:42:47
2022-06-07 21:00:27,2022-06-07 21:01:06,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:42:47,2022-06-07 00:43:26
2022-06-07 21:01:06,2022-06-07 21:01:53,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:43:26,2022-06-07 00:44:13
2022-06-07 21:01:53,2022-06-07 21:02:57,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:44:13,2022-06-07 00:45:17
2022-06-07 21:02:57,2022-06-07 21:03:17,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:45:17,2022-06-07 00:45:37
2022-06-07 21:03:17,2022-06-07 21:03:26,ES_Other,annotator,Experimental situation,2022-06-07 00:45:37,2022-06-07 00:45:46
2022-06-07 21:03:26,2022-06-07 21:03:39,ES_Other,annotator,Experimental situation,2022-06-07 00:45:46,2022-06-07 00:45:59
2022-06-07 21:03:27,2022-06-07 21:03:27,Lab_Indoors,annotator,Experimental situation,2022-06-07 00:45:47,2022-06-07 00:45:47
2022-06-07 21:03:39,2022-06-07 21:03:58,ES_Other,annotator,Experimental situation,2022-06-07 00:45:59,2022-06-07 00:46:18
2022-06-07 21:03:58,2022-06-07 21:04:16,ES_Other,annotator,Experimental situation,2022-06-07 00:46:18,2022-06-07 00:46:36
2022-06-07 21:04:16,2022-06-07 21:05:07,ES_Other,annotator,Experimental situation,2022-06-07 00:46:36,2022-06-07 00:47:27
2022-06-07 21:05:07,2022-06-07 21:05:34,ES_Other,annotator,Experimental situation,2022-06-07 00:47:27,2022-06-07 00:47:54
2022-06-07 21:05:34,2022-06-07 21:07:42,ES_Other,annotator,Experimental situation,2022-06-07 00:47:54,2022-06-07 00:50:02
