START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-06-07 20:17:40,2022-06-07 20:17:59,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:00:00,2022-06-07 00:00:19
2022-06-07 20:17:59,2022-06-07 20:18:07,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:00:19,2022-06-07 00:00:27
2022-06-07 20:18:08,2022-06-07 20:18:11,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:00:28,2022-06-07 00:00:31
2022-06-07 20:18:11,2022-06-07 20:35:20,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:00:31,2022-06-07 00:17:40
2022-06-07 20:35:20,2022-06-07 20:35:53,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:17:40,2022-06-07 00:18:13
2022-06-07 20:35:53,2022-06-07 20:36:28,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:18:13,2022-06-07 00:18:48
2022-06-07 20:36:28,2022-06-07 20:36:38,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:18:48,2022-06-07 00:18:58
2022-06-07 20:36:38,2022-06-07 20:36:46,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:18:58,2022-06-07 00:19:06
2022-06-07 20:36:46,2022-06-07 20:38:07,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:19:06,2022-06-07 00:20:27
2022-06-07 20:38:07,2022-06-07 20:41:52,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:20:27,2022-06-07 00:24:12
2022-06-07 20:41:52,2022-06-07 20:43:13,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:24:12,2022-06-07 00:25:33
2022-06-07 20:43:13,2022-06-07 20:46:19,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:25:33,2022-06-07 00:28:39
2022-06-07 20:46:19,2022-06-07 20:47:42,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:28:39,2022-06-07 00:30:02
2022-06-07 20:47:42,2022-06-07 20:54:50,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:30:02,2022-06-07 00:37:10
2022-06-07 20:54:50,2022-06-07 20:55:30,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:37:10,2022-06-07 00:37:50
2022-06-07 20:55:30,2022-06-07 21:00:20,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:37:50,2022-06-07 00:42:40
2022-06-07 21:00:20,2022-06-07 21:00:27,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:42:40,2022-06-07 00:42:47
2022-06-07 21:00:27,2022-06-07 21:01:06,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:42:47,2022-06-07 00:43:26
2022-06-07 21:01:06,2022-06-07 21:01:53,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:43:26,2022-06-07 00:44:13
2022-06-07 21:01:53,2022-06-07 21:02:57,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:44:13,2022-06-07 00:45:17
2022-06-07 21:02:57,2022-06-07 21:03:17,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:45:17,2022-06-07 00:45:37
2022-06-07 21:03:17,2022-06-07 21:03:26,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:45:37,2022-06-07 00:45:46
2022-06-07 21:03:26,2022-06-07 21:03:39,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:45:46,2022-06-07 00:45:59
2022-06-07 21:03:27,2022-06-07 21:03:27,,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:45:47,2022-06-07 00:45:47
2022-06-07 21:03:39,2022-06-07 21:03:58,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:45:59,2022-06-07 00:46:18
2022-06-07 21:03:58,2022-06-07 21:04:16,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:46:18,2022-06-07 00:46:36
2022-06-07 21:04:16,2022-06-07 21:05:07,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:46:36,2022-06-07 00:47:27
2022-06-07 21:05:07,2022-06-07 21:05:34,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:47:27,2022-06-07 00:47:54
2022-06-07 21:05:34,2022-06-07 21:07:42,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:47:54,2022-06-07 00:50:02
2022-06-07 21:07:42,2022-06-07 21:07:53,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:50:02,2022-06-07 00:50:13
2022-06-07 21:07:53,2022-06-07 21:08:08,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:50:13,2022-06-07 00:50:28
2022-06-07 21:08:08,2022-06-07 21:08:09,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:50:28,2022-06-07 00:50:29
2022-06-07 21:08:09,2022-06-07 21:08:47,Cycling_Regular_Bicycle,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:50:29,2022-06-07 00:51:07
2022-06-07 21:08:47,2022-06-07 21:12:39,Cycling_Regular_Bicycle,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:51:07,2022-06-07 00:54:59
2022-06-07 21:12:39,2022-06-07 21:12:54,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:54:59,2022-06-07 00:55:14
2022-06-07 21:12:54,2022-06-07 21:21:02,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 00:55:14,2022-06-07 01:03:22
2022-06-07 21:21:02,2022-06-07 21:21:13,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:03:22,2022-06-07 01:03:33
2022-06-07 21:21:13,2022-06-07 21:21:15,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:03:33,2022-06-07 01:03:35
2022-06-07 21:21:15,2022-06-07 21:21:36,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:03:35,2022-06-07 01:03:56
2022-06-07 21:21:36,2022-06-07 21:21:50,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:03:56,2022-06-07 01:04:10
2022-06-07 21:21:50,2022-06-07 21:22:11,HLB_Other, Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:04:10,2022-06-07 01:04:31
2022-06-07 21:22:11,2022-06-07 21:22:26,HLB_Other, Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:04:31,2022-06-07 01:04:46
2022-06-07 21:22:26,2022-06-07 21:22:49,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:04:46,2022-06-07 01:05:09
2022-06-07 21:22:49,2022-06-07 21:23:03,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:05:09,2022-06-07 01:05:23
2022-06-07 21:23:03,2022-06-07 21:24:16,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:05:23,2022-06-07 01:06:36
2022-06-07 21:24:16,2022-06-07 21:24:30,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:06:36,2022-06-07 01:06:50
2022-06-07 21:24:30,2022-06-07 21:25:05,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:06:50,2022-06-07 01:07:25
2022-06-07 21:25:05,2022-06-07 21:25:31,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:07:25,2022-06-07 01:07:51
2022-06-07 21:25:31,2022-06-07 21:25:52,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:07:51,2022-06-07 01:08:12
2022-06-07 21:25:52,2022-06-07 21:26:07,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:08:12,2022-06-07 01:08:27
2022-06-07 21:26:07,2022-06-07 21:26:15,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:08:27,2022-06-07 01:08:35
2022-06-07 21:26:15,2022-06-07 21:26:46,Doing_Dishes,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:08:35,2022-06-07 01:09:06
2022-06-07 21:26:46,2022-06-07 21:27:23,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:09:06,2022-06-07 01:09:43
2022-06-07 21:27:23,2022-06-07 21:27:34,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-06-07 01:09:43,2022-06-07 01:09:54
