START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-11-03 06:56:31,2021-11-03 06:56:52,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:00:00,2021-11-03 00:00:21
2021-11-03 06:56:52,2021-11-03 06:56:57,Puttering_Around,Expert,PA TYPE,2021-11-03 00:00:21,2021-11-03 00:00:26
2021-11-03 06:56:57,2021-11-03 06:57:16,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:00:26,2021-11-03 00:00:45
2021-11-03 06:57:16,2021-11-03 06:57:21,Puttering_Around,Expert,PA TYPE,2021-11-03 00:00:45,2021-11-03 00:00:50
2021-11-03 06:57:21,2021-11-03 06:58:17,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:00:50,2021-11-03 00:01:46
2021-11-03 06:58:17,2021-11-03 07:17:54,PA_Type_VideoUnavailable/Indecipherable,Expert,PA TYPE,2021-11-03 00:01:46,2021-11-03 00:21:23
2021-11-03 07:17:54,2021-11-03 07:18:16,Synchronizing_Sensors,Expert,PA TYPE,2021-11-03 00:21:23,2021-11-03 00:21:45
2021-11-03 07:18:16,2021-11-03 07:18:54,Walking,Expert,PA TYPE,2021-11-03 00:21:45,2021-11-03 00:22:23
2021-11-03 07:18:54,2021-11-03 07:18:59,Puttering_Around,Expert,PA TYPE,2021-11-03 00:22:23,2021-11-03 00:22:28
2021-11-03 07:18:59,2021-11-03 07:19:21,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:22:28,2021-11-03 00:22:50
2021-11-03 07:19:21,2021-11-03 07:19:38,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:22:50,2021-11-03 00:23:07
2021-11-03 07:19:38,2021-11-03 07:19:50,Walking,Expert,PA TYPE,2021-11-03 00:23:07,2021-11-03 00:23:19
2021-11-03 07:19:50,2021-11-03 07:19:57,Walking_Down_Stairs,Expert,PA TYPE,2021-11-03 00:23:19,2021-11-03 00:23:26
2021-11-03 07:19:57,2021-11-03 07:20:03,Walking,Expert,PA TYPE,2021-11-03 00:23:26,2021-11-03 00:23:32
2021-11-03 07:20:03,2021-11-03 07:20:39,Walking,Expert,PA TYPE,2021-11-03 00:23:32,2021-11-03 00:24:08
2021-11-03 07:20:39,2021-11-03 07:36:05,Sitting_With_Movement,Expert,PA TYPE,2021-11-03 00:24:08,2021-11-03 00:39:34
2021-11-03 07:36:05,2021-11-03 07:36:41,Walking,Expert,PA TYPE,2021-11-03 00:39:34,2021-11-03 00:40:10
2021-11-03 07:36:41,2021-11-03 07:36:45,Walking,Expert,PA TYPE,2021-11-03 00:40:10,2021-11-03 00:40:14
2021-11-03 07:36:45,2021-11-03 07:36:52,Walking_Up_Stairs,Expert,PA TYPE,2021-11-03 00:40:14,2021-11-03 00:40:21
2021-11-03 07:36:52,2021-11-03 07:37:07,Walking,Expert,PA TYPE,2021-11-03 00:40:21,2021-11-03 00:40:36
2021-11-03 07:37:08,2021-11-03 07:37:31,Puttering_Around,Expert,PA TYPE,2021-11-03 00:40:37,2021-11-03 00:41:00
2021-11-03 07:37:31,2021-11-03 07:37:58,Washing_Hands,Expert,PA TYPE,2021-11-03 00:41:00,2021-11-03 00:41:27
2021-11-03 07:37:58,2021-11-03 07:38:29,Puttering_Around,Expert,PA TYPE,2021-11-03 00:41:27,2021-11-03 00:41:58
2021-11-03 07:38:29,2021-11-03 07:38:42,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:41:58,2021-11-03 00:42:11
2021-11-03 07:38:42,2021-11-03 07:38:45,Puttering_Around,Expert,PA TYPE,2021-11-03 00:42:11,2021-11-03 00:42:14
2021-11-03 07:38:45,2021-11-03 07:39:11,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:42:14,2021-11-03 00:42:40
2021-11-03 07:39:11,2021-11-03 07:39:26,Walking,Expert,PA TYPE,2021-11-03 00:42:40,2021-11-03 00:42:55
2021-11-03 07:39:26,2021-11-03 07:40:56,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:42:55,2021-11-03 00:44:25
2021-11-03 07:40:56,2021-11-03 07:45:12,Puttering_Around,Expert,PA TYPE,2021-11-03 00:44:25,2021-11-03 00:48:41
2021-11-03 07:45:12,2021-11-03 07:46:42,Puttering_Around,Expert,PA TYPE,2021-11-03 00:48:41,2021-11-03 00:50:11
2021-11-03 07:46:42,2021-11-03 07:46:50,Puttering_Around,Expert,PA TYPE,2021-11-03 00:50:11,2021-11-03 00:50:19
2021-11-03 07:46:50,2021-11-03 07:47:03,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:50:19,2021-11-03 00:50:32
2021-11-03 07:47:03,2021-11-03 07:47:37,Puttering_Around,Expert,PA TYPE,2021-11-03 00:50:32,2021-11-03 00:51:06
2021-11-03 07:47:37,2021-11-03 07:48:40,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:51:06,2021-11-03 00:52:09
2021-11-03 07:48:40,2021-11-03 07:49:52,Puttering_Around,Expert,PA TYPE,2021-11-03 00:52:09,2021-11-03 00:53:21
2021-11-03 07:49:52,2021-11-03 07:50:38,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:53:21,2021-11-03 00:54:07
2021-11-03 07:50:38,2021-11-03 07:50:49,Walking,Expert,PA TYPE,2021-11-03 00:54:07,2021-11-03 00:54:18
2021-11-03 07:50:49,2021-11-03 07:50:56,Walking_Down_Stairs,Expert,PA TYPE,2021-11-03 00:54:18,2021-11-03 00:54:25
2021-11-03 07:50:56,2021-11-03 07:51:33,Walking,Expert,PA TYPE,2021-11-03 00:54:25,2021-11-03 00:55:02
2021-11-03 07:51:33,2021-11-03 07:51:42,Walking_Up_Stairs,Expert,PA TYPE,2021-11-03 00:55:02,2021-11-03 00:55:11
2021-11-03 07:51:42,2021-11-03 07:52:10,Walking,Expert,PA TYPE,2021-11-03 00:55:11,2021-11-03 00:55:39
2021-11-03 07:52:10,2021-11-03 07:52:42,Standing_With_Movement,Expert,PA TYPE,2021-11-03 00:55:39,2021-11-03 00:56:11
2021-11-03 07:52:42,2021-11-03 07:54:05,Walking,Expert,PA TYPE,2021-11-03 00:56:11,2021-11-03 00:57:34
2021-11-03 07:54:05,2021-11-03 07:55:43,Walking,Expert,PA TYPE,2021-11-03 00:57:34,2021-11-03 00:59:12
2021-11-03 07:55:43,2021-11-03 08:02:59,Ironing,Expert,PA TYPE,2021-11-03 00:59:12,2021-11-03 01:06:28
2021-11-03 08:02:59,2021-11-03 08:04:47,Walking,Expert,PA TYPE,2021-11-03 01:06:28,2021-11-03 01:08:16
2021-11-03 08:04:47,2021-11-03 08:24:08,PA_Type_VideoUnavailable/Indecipherable,Expert,PA TYPE,2021-11-03 01:08:16,2021-11-03 01:27:37
2021-11-03 08:24:08,2021-11-03 08:27:09,Standing_With_Movement,Expert,PA TYPE,2021-11-03 01:27:37,2021-11-03 01:30:38
2021-11-03 08:27:09,2021-11-03 08:27:14,Walking,Expert,PA TYPE,2021-11-03 01:30:38,2021-11-03 01:30:43
2021-11-03 08:27:14,2021-11-03 08:28:11,Sitting_With_Movement,Expert,PA TYPE,2021-11-03 01:30:43,2021-11-03 01:31:40
2021-11-03 08:28:11,2021-11-03 08:28:54,Walking,Expert,PA TYPE,2021-11-03 01:31:40,2021-11-03 01:32:23
2021-11-03 08:28:54,2021-11-03 08:29:39,Standing_With_Movement,Expert,PA TYPE,2021-11-03 01:32:23,2021-11-03 01:33:08
2021-11-03 08:29:39,2021-11-03 08:29:51,Puttering_Around,Expert,PA TYPE,2021-11-03 01:33:08,2021-11-03 01:33:20
2021-11-03 08:29:51,2021-11-03 08:30:00,Standing_With_Movement,Expert,PA TYPE,2021-11-03 01:33:20,2021-11-03 01:33:29
2021-11-03 08:30:00,2021-11-03 08:30:47,Walking,Expert,PA TYPE,2021-11-03 01:33:29,2021-11-03 01:34:16
2021-11-03 08:30:47,2021-11-03 08:31:17,Standing_With_Movement,Expert,PA TYPE,2021-11-03 01:34:16,2021-11-03 01:34:46
2021-11-03 08:31:17,2021-11-03 08:32:09,Walking,Expert,PA TYPE,2021-11-03 01:34:46,2021-11-03 01:35:38
