START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-11-07 18:57:06,2021-11-07 18:57:24,In_Position_Upright,Expert,POSTURE,2021-11-07 00:00:07,2021-11-07 00:00:25
2021-11-07 18:57:24,2021-11-07 18:58:16,In_Position_Upright,Expert,POSTURE,2021-11-07 00:00:25,2021-11-07 00:01:17
2021-11-07 18:58:16,2021-11-07 18:58:29,In_Position_Upright,Expert,POSTURE,2021-11-07 00:01:17,2021-11-07 00:01:30
2021-11-07 18:58:31,2021-11-07 18:58:40,In_Position_Kneeling,Expert,POSTURE,2021-11-07 00:01:32,2021-11-07 00:01:41
2021-11-07 18:58:42,2021-11-07 18:59:14,In_Position_Upright,Expert,POSTURE,2021-11-07 00:01:43,2021-11-07 00:02:15
2021-11-07 18:59:16,2021-11-07 19:03:16,In_Position_Upright,Expert,POSTURE,2021-11-07 00:02:17,2021-11-07 00:06:17
2021-11-07 19:03:18,2021-11-07 19:03:45,In_Position_Upright,Expert,POSTURE,2021-11-07 00:06:19,2021-11-07 00:06:46
2021-11-07 19:03:47,2021-11-07 19:05:03,In_Position_Upright,Expert,POSTURE,2021-11-07 00:06:48,2021-11-07 00:08:04
2021-11-07 19:05:04,2021-11-07 19:05:46,In_Position_Upright,Expert,POSTURE,2021-11-07 00:08:05,2021-11-07 00:08:47
2021-11-07 19:05:46,2021-11-07 19:06:16,In_Position_Upright,Expert,POSTURE,2021-11-07 00:08:47,2021-11-07 00:09:17
2021-11-07 19:06:16,2021-11-07 19:06:31,In_Position_Upright,Expert,POSTURE,2021-11-07 00:09:17,2021-11-07 00:09:32
2021-11-07 19:06:32,2021-11-07 19:07:04,In_Position_Upright,Expert,POSTURE,2021-11-07 00:09:33,2021-11-07 00:10:05
2021-11-07 19:07:20,2021-11-07 19:07:29,In_Position_Upright,Expert,POSTURE,2021-11-07 00:10:21,2021-11-07 00:10:30
2021-11-07 19:08:04,2021-11-07 19:08:56,In_Position_Upright,Expert,POSTURE,2021-11-07 00:11:05,2021-11-07 00:11:57
2021-11-07 19:09:10,2021-11-07 19:13:58,In_Position_Upright,Expert,POSTURE,2021-11-07 00:12:11,2021-11-07 00:16:59
2021-11-07 19:14:01,2021-11-07 19:15:49,In_Position_Upright,Expert,POSTURE,2021-11-07 00:17:02,2021-11-07 00:18:50
2021-11-07 19:15:56,2021-11-07 19:16:01,In_Position_Upright,Expert,POSTURE,2021-11-07 00:18:57,2021-11-07 00:19:02
2021-11-07 19:17:04,2021-11-07 19:18:52,In_Position_Upright,Expert,POSTURE,2021-11-07 00:20:05,2021-11-07 00:21:53
2021-11-07 19:20:58,2021-11-07 19:21:08,In_Position_Upright,Expert,POSTURE,2021-11-07 00:23:59,2021-11-07 00:24:09
2021-11-07 19:21:18,2021-11-07 19:22:22,In_Position_Sitting,Expert,POSTURE,2021-11-07 00:24:19,2021-11-07 00:25:23
2021-11-07 19:22:33,2021-11-07 19:24:03,In_Position_Sitting,Expert,POSTURE,2021-11-07 00:25:34,2021-11-07 00:27:04
2021-11-07 19:24:03,2021-11-07 19:29:11,In_Position_Sitting,Expert,POSTURE,2021-11-07 00:27:04,2021-11-07 00:32:12
2021-11-07 19:29:30,2021-11-07 19:30:54,In_Position_Sitting,Expert,POSTURE,2021-11-07 00:32:31,2021-11-07 00:33:55
2021-11-07 19:30:55,2021-11-07 19:33:21,In_Position_Sitting,Expert,POSTURE,2021-11-07 00:33:56,2021-11-07 00:36:22
2021-11-07 19:33:22,2021-11-07 19:36:02,In_Position_Sitting,Expert,POSTURE,2021-11-07 00:36:23,2021-11-07 00:39:03
2021-11-07 19:36:24,2021-11-07 19:56:22,In_Position_Sitting,Expert,POSTURE,2021-11-07 00:39:25,2021-11-07 00:59:23
2021-11-07 19:56:58,2021-11-07 19:57:35,In_Position_Upright,Expert,POSTURE,2021-11-07 00:59:59,2021-11-07 01:00:36
2021-11-07 19:57:53,2021-11-07 19:59:37,In_Position_Upright,Expert,POSTURE,2021-11-07 01:00:54,2021-11-07 01:02:38
2021-11-07 20:00:26,2021-11-07 20:01:21,In_Position_Upright,Expert,POSTURE,2021-11-07 01:03:27,2021-11-07 01:04:22
2021-11-07 20:01:36,2021-11-07 20:07:10,In_Position_Upright,Expert,POSTURE,2021-11-07 01:04:37,2021-11-07 01:10:11
2021-11-07 20:08:23,2021-11-07 20:08:40,In_Position_Upright,Expert,POSTURE,2021-11-07 01:11:24,2021-11-07 01:11:41
