START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2021-12-21 10:47:37,2021-12-21 10:47:56,Synchronizing_Sensors,annotator,PA TYPE,2021-12-21 00:00:20,2021-12-21 00:00:39
2021-12-21 10:49:35,2021-12-21 10:49:54,Standing_With_Movement,annotator,PA TYPE,2021-12-21 00:02:18,2021-12-21 00:02:37
2021-12-21 10:49:55,2021-12-21 10:50:15,Washing_Hands,annotator,PA TYPE,2021-12-21 00:02:38,2021-12-21 00:02:58
2021-12-21 10:50:26,2021-12-21 10:51:57,Puttering_Around,annotator,PA TYPE,2021-12-21 00:03:09,2021-12-21 00:04:40
2021-12-21 11:43:18,2021-12-21 11:44:01,Standing_With_Movement,annotator,PA TYPE,2021-12-21 00:56:01,2021-12-21 00:56:44
2021-12-21 11:44:01,2021-12-21 11:44:11,Puttering_Around,annotator,PA TYPE,2021-12-21 00:56:44,2021-12-21 00:56:54
2021-12-21 11:44:13,2021-12-21 11:45:06,Puttering_Around,annotator,PA TYPE,2021-12-21 00:56:56,2021-12-21 00:57:49
2021-12-21 11:45:09,2021-12-21 11:45:52,Puttering_Around,annotator,PA TYPE,2021-12-21 00:57:52,2021-12-21 00:58:35
2021-12-21 11:45:55,2021-12-21 11:46:05,Puttering_Around,annotator,PA TYPE,2021-12-21 00:58:38,2021-12-21 00:58:48
2021-12-21 11:46:18,2021-12-21 11:47:31,Puttering_Around,annotator,PA TYPE,2021-12-21 00:59:01,2021-12-21 01:00:14
2021-12-21 11:47:33,2021-12-21 11:48:04,Puttering_Around,annotator,PA TYPE,2021-12-21 01:00:16,2021-12-21 01:00:47
2021-12-21 11:48:05,2021-12-21 11:50:18,Puttering_Around,annotator,PA TYPE,2021-12-21 01:00:48,2021-12-21 01:03:01
2021-12-21 11:50:26,2021-12-21 11:50:50,Puttering_Around,annotator,PA TYPE,2021-12-21 01:03:09,2021-12-21 01:03:33
2021-12-21 11:51:00,2021-12-21 11:52:21,Puttering_Around,annotator,PA TYPE,2021-12-21 01:03:43,2021-12-21 01:05:04
2021-12-21 11:52:22,2021-12-21 11:54:03,Puttering_Around,annotator,PA TYPE,2021-12-21 01:05:05,2021-12-21 01:06:46
2021-12-21 11:55:56,2021-12-21 11:56:12,Walking,annotator,PA TYPE,2021-12-21 01:08:39,2021-12-21 01:08:55
2021-12-21 11:56:15,2021-12-21 11:57:49,Walking,annotator,PA TYPE,2021-12-21 01:08:58,2021-12-21 01:10:32
2021-12-21 11:57:49,2021-12-21 12:15:51,Standing_With_Movement,annotator,PA TYPE,2021-12-21 01:10:32,2021-12-21 01:28:34
2021-12-21 12:15:57,2021-12-21 12:16:03,Puttering_Around,annotator,PA TYPE,2021-12-21 01:28:40,2021-12-21 01:28:46
2021-12-21 12:16:25,2021-12-21 12:16:58,Sitting_With_Movement,annotator,PA TYPE,2021-12-21 01:29:08,2021-12-21 01:29:41
2021-12-21 12:17:00,2021-12-21 12:29:40,Sitting_With_Movement,annotator,PA TYPE,2021-12-21 01:29:43,2021-12-21 01:42:23
2021-12-21 12:29:43,2021-12-21 12:30:07,Walking,annotator,PA TYPE,2021-12-21 01:42:26,2021-12-21 01:42:50
2021-12-21 12:30:08,2021-12-21 12:32:05,Standing_With_Movement,annotator,PA TYPE,2021-12-21 01:42:51,2021-12-21 01:44:48
2021-12-21 12:32:06,2021-12-21 12:33:09,Puttering_Around,annotator,PA TYPE,2021-12-21 01:44:49,2021-12-21 01:45:52
2021-12-21 12:33:09,2021-12-21 12:33:25,Walking_Down_Stairs,annotator,PA TYPE,2021-12-21 01:45:52,2021-12-21 01:46:08
2021-12-21 12:33:25,2021-12-21 12:36:02,Walking,annotator,PA TYPE,2021-12-21 01:46:08,2021-12-21 01:48:45
2021-12-21 12:36:05,2021-12-21 12:36:12,Walking,annotator,PA TYPE,2021-12-21 01:48:48,2021-12-21 01:48:55
2021-12-21 12:36:13,2021-12-21 12:36:21,Walking,annotator,PA TYPE,2021-12-21 01:48:56,2021-12-21 01:49:04
2021-12-21 12:36:25,2021-12-21 12:36:47,Standing_With_Movement,annotator,PA TYPE,2021-12-21 01:49:08,2021-12-21 01:49:30
2021-12-21 12:36:47,2021-12-21 12:36:55,Walking,annotator,PA TYPE,2021-12-21 01:49:30,2021-12-21 01:49:38
2021-12-21 12:36:58,2021-12-21 12:37:07,Walking,annotator,PA TYPE,2021-12-21 01:49:41,2021-12-21 01:49:50
2021-12-21 12:37:10,2021-12-21 12:37:58,Puttering_Around,annotator,PA TYPE,2021-12-21 01:49:53,2021-12-21 01:50:41
2021-12-21 12:58:43,2021-12-21 13:00:06,Sitting_With_Movement,annotator,PA TYPE,2021-12-21 02:11:26,2021-12-21 02:12:49
2021-12-21 13:00:34,2021-12-21 13:02:33,Sitting_With_Movement,annotator,PA TYPE,2021-12-21 02:13:17,2021-12-21 02:15:16
2021-12-21 13:04:05,2021-12-21 13:05:37,Puttering_Around,annotator,PA TYPE,2021-12-21 02:16:48,2021-12-21 02:18:20
2021-12-21 13:05:47,2021-12-21 13:06:57,Puttering_Around,annotator,PA TYPE,2021-12-21 02:18:30,2021-12-21 02:19:40
2021-12-21 13:06:57,2021-12-21 13:07:47,Walking_Down_Stairs,annotator,PA TYPE,2021-12-21 02:19:40,2021-12-21 02:20:30
2021-12-21 13:07:55,2021-12-21 13:08:05,Walking,annotator,PA TYPE,2021-12-21 02:20:38,2021-12-21 02:20:48
