START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-01 10:08:15,2022-02-01 10:08:36,Administering_Child/Elder/Other_Adult,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:00:02,2022-02-01 00:00:23
2022-02-01 10:08:55,2022-02-01 10:09:03,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:00:42,2022-02-01 00:00:50
2022-02-01 10:09:21,2022-02-01 10:22:24,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:01:08,2022-02-01 00:14:11
2022-02-01 10:22:24,2022-02-01 10:32:07,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:14:11,2022-02-01 00:23:54
2022-02-01 10:32:07,2022-02-01 10:35:27,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:23:54,2022-02-01 00:27:14
2022-02-01 10:35:27,2022-02-01 10:40:45,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:27:14,2022-02-01 00:32:32
2022-02-01 10:40:45,2022-02-01 10:44:23,,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:32:32,2022-02-01 00:36:10
2022-02-01 10:44:23,2022-02-01 10:46:38,,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:36:10,2022-02-01 00:38:25
2022-02-01 10:46:38,2022-02-01 10:48:51,,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:38:25,2022-02-01 00:40:38
2022-02-01 10:48:55,2022-02-01 10:49:26,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:40:42,2022-02-01 00:41:13
2022-02-01 10:49:27,2022-02-01 13:13:56,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 00:41:14,2022-02-01 03:05:43
2022-02-01 13:14:04,2022-02-01 13:14:16,,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 03:05:51,2022-02-01 03:06:03
2022-02-01 13:14:16,2022-02-01 13:14:41,,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 03:06:03,2022-02-01 03:06:28
2022-02-01 13:14:42,2022-02-01 13:18:18,,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 03:06:29,2022-02-01 03:10:05
2022-02-01 13:18:18,2022-02-01 13:34:14,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 03:10:05,2022-02-01 03:26:01
2022-02-01 13:34:14,2022-02-01 13:34:32,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 03:26:01,2022-02-01 03:26:19
2022-02-01 13:34:32,2022-02-01 13:34:48,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 03:26:19,2022-02-01 03:26:35
2022-02-01 13:34:48,2022-02-01 13:35:40,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-02-01 03:26:35,2022-02-01 03:27:27
