START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-02 13:18:35,2022-02-02 13:26:39,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:00:10,2022-02-02 00:08:14
2022-02-02 13:26:39,2022-02-02 13:27:01,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:08:14,2022-02-02 00:08:36
2022-02-02 13:27:01,2022-02-02 13:27:19,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:08:36,2022-02-02 00:08:54
2022-02-02 13:27:19,2022-02-02 13:28:02,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:08:54,2022-02-02 00:09:37
2022-02-02 13:28:02,2022-02-02 13:29:01,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:09:37,2022-02-02 00:10:36
2022-02-02 13:29:01,2022-02-02 13:29:25,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:10:36,2022-02-02 00:11:00
2022-02-02 13:29:29,2022-02-02 13:30:03,Standing_With_Movement,annotator,PA TYPE,2022-02-02 00:11:04,2022-02-02 00:11:38
2022-02-02 13:30:03,2022-02-02 13:30:25,Walking,annotator,PA TYPE,2022-02-02 00:11:38,2022-02-02 00:12:00
2022-02-02 13:30:25,2022-02-02 13:30:41,Walking,annotator,PA TYPE,2022-02-02 00:12:00,2022-02-02 00:12:16
2022-02-02 13:30:43,2022-02-02 13:30:51,Walking_Down_Stairs,annotator,PA TYPE,2022-02-02 00:12:18,2022-02-02 00:12:26
2022-02-02 13:30:51,2022-02-02 13:31:07,Walking,annotator,PA TYPE,2022-02-02 00:12:26,2022-02-02 00:12:42
2022-02-02 13:31:07,2022-02-02 13:31:15,Walking,annotator,PA TYPE,2022-02-02 00:12:42,2022-02-02 00:12:50
2022-02-02 13:31:15,2022-02-02 13:31:34,Walking,annotator,PA TYPE,2022-02-02 00:12:50,2022-02-02 00:13:09
2022-02-02 13:31:35,2022-02-02 13:36:23,Walking,annotator,PA TYPE,2022-02-02 00:13:10,2022-02-02 00:17:58
2022-02-02 13:36:23,2022-02-02 13:36:31,Walking,annotator,PA TYPE,2022-02-02 00:17:58,2022-02-02 00:18:06
2022-02-02 13:36:31,2022-02-02 13:36:46,Walking_Down_Stairs,annotator,PA TYPE,2022-02-02 00:18:06,2022-02-02 00:18:21
2022-02-02 13:36:47,2022-02-02 13:37:41,Walking,annotator,PA TYPE,2022-02-02 00:18:22,2022-02-02 00:19:16
2022-02-02 13:37:45,2022-02-02 13:38:27,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:19:20,2022-02-02 00:20:02
2022-02-02 13:38:27,2022-02-02 14:04:20,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:20:02,2022-02-02 00:45:55
2022-02-02 14:04:22,2022-02-02 14:05:02,Walking,annotator,PA TYPE,2022-02-02 00:45:57,2022-02-02 00:46:37
2022-02-02 14:05:02,2022-02-02 14:05:36,Walking,annotator,PA TYPE,2022-02-02 00:46:37,2022-02-02 00:47:11
2022-02-02 14:05:36,2022-02-02 14:05:43,Walking_Up_Stairs,annotator,PA TYPE,2022-02-02 00:47:11,2022-02-02 00:47:18
2022-02-02 14:05:43,2022-02-02 14:06:09,Walking,annotator,PA TYPE,2022-02-02 00:47:18,2022-02-02 00:47:44
2022-02-02 14:10:39,2022-02-02 14:11:11,Walking,annotator,PA TYPE,2022-02-02 00:52:14,2022-02-02 00:52:46
2022-02-02 14:11:13,2022-02-02 14:11:21,Walking_Down_Stairs,annotator,PA TYPE,2022-02-02 00:52:48,2022-02-02 00:52:56
2022-02-02 14:11:22,2022-02-02 14:12:00,Walking,annotator,PA TYPE,2022-02-02 00:52:57,2022-02-02 00:53:35
2022-02-02 14:12:00,2022-02-02 14:36:15,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 00:53:35,2022-02-02 01:17:50
2022-02-02 14:36:15,2022-02-02 14:37:33,Standing_With_Movement,annotator,PA TYPE,2022-02-02 01:17:50,2022-02-02 01:19:08
2022-02-02 14:37:33,2022-02-02 14:38:21,Walking,annotator,PA TYPE,2022-02-02 01:19:08,2022-02-02 01:19:56
2022-02-02 14:38:21,2022-02-02 14:40:40,Walking,annotator,PA TYPE,2022-02-02 01:19:56,2022-02-02 01:22:15
2022-02-02 14:40:41,2022-02-02 14:43:16,Walking,annotator,PA TYPE,2022-02-02 01:22:16,2022-02-02 01:24:51
2022-02-02 14:43:16,2022-02-02 14:43:44,Walking,annotator,PA TYPE,2022-02-02 01:24:51,2022-02-02 01:25:19
2022-02-02 14:43:44,2022-02-02 14:44:08,Walking_Up_Stairs,annotator,PA TYPE,2022-02-02 01:25:19,2022-02-02 01:25:43
2022-02-02 14:44:08,2022-02-02 14:44:31,Puttering_Around,annotator,PA TYPE,2022-02-02 01:25:43,2022-02-02 01:26:06
2022-02-02 14:44:32,2022-02-02 14:44:51,Walking_Up_Stairs,annotator,PA TYPE,2022-02-02 01:26:07,2022-02-02 01:26:26
2022-02-02 14:44:51,2022-02-02 14:45:27,Walking,annotator,PA TYPE,2022-02-02 01:26:26,2022-02-02 01:27:02
2022-02-02 14:45:27,2022-02-02 14:46:15,Standing_With_Movement,annotator,PA TYPE,2022-02-02 01:27:02,2022-02-02 01:27:50
2022-02-02 14:46:15,2022-02-02 14:46:40,Standing_With_Movement,annotator,PA TYPE,2022-02-02 01:27:50,2022-02-02 01:28:15
2022-02-02 14:46:40,2022-02-02 14:56:49,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 01:28:15,2022-02-02 01:38:24
2022-02-02 14:56:49,2022-02-02 15:05:50,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 01:38:24,2022-02-02 01:47:25
2022-02-02 15:05:50,2022-02-02 15:08:17,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 01:47:25,2022-02-02 01:49:52
2022-02-02 15:08:20,2022-02-02 15:13:26,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 01:49:55,2022-02-02 01:55:01
2022-02-02 15:13:26,2022-02-02 15:14:13,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 01:55:01,2022-02-02 01:55:48
2022-02-02 15:14:13,2022-02-02 15:19:38,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 01:55:48,2022-02-02 02:01:13
2022-02-02 15:19:38,2022-02-02 15:20:10,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:01:13,2022-02-02 02:01:45
2022-02-02 15:20:10,2022-02-02 15:24:44,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:01:45,2022-02-02 02:06:19
2022-02-02 15:24:44,2022-02-02 15:25:16,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:06:19,2022-02-02 02:06:51
2022-02-02 15:25:16,2022-02-02 15:36:17,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:06:51,2022-02-02 02:17:52
2022-02-02 15:36:17,2022-02-02 15:37:02,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:17:52,2022-02-02 02:18:37
2022-02-02 15:37:02,2022-02-02 15:52:09,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:18:37,2022-02-02 02:33:44
2022-02-02 15:52:09,2022-02-02 15:53:17,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:33:44,2022-02-02 02:34:52
2022-02-02 15:53:17,2022-02-02 16:00:05,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:34:52,2022-02-02 02:41:40
2022-02-02 16:00:08,2022-02-02 16:00:15,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:41:43,2022-02-02 02:41:50
2022-02-02 16:01:44,2022-02-02 16:04:23,Standing_With_Movement,annotator,PA TYPE,2022-02-02 02:43:19,2022-02-02 02:45:58
2022-02-02 16:04:23,2022-02-02 16:04:35,Walking,annotator,PA TYPE,2022-02-02 02:45:58,2022-02-02 02:46:10
2022-02-02 16:04:35,2022-02-02 16:05:41,Standing_With_Movement,annotator,PA TYPE,2022-02-02 02:46:10,2022-02-02 02:47:16
2022-02-02 16:05:41,2022-02-02 16:38:08,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 02:47:16,2022-02-02 03:19:43
2022-02-02 16:38:09,2022-02-02 16:39:01,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 03:19:44,2022-02-02 03:20:36
2022-02-02 16:39:01,2022-02-02 16:50:51,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 03:20:36,2022-02-02 03:32:26
2022-02-02 16:50:51,2022-02-02 16:51:31,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 03:32:26,2022-02-02 03:33:06
2022-02-02 16:51:32,2022-02-02 16:54:37,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 03:33:07,2022-02-02 03:36:12
2022-02-02 16:54:37,2022-02-02 16:55:25,Standing_With_Movement,annotator,PA TYPE,2022-02-02 03:36:12,2022-02-02 03:37:00
2022-02-02 16:58:24,2022-02-02 17:23:43,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 03:39:59,2022-02-02 04:05:18
2022-02-02 17:23:38,2022-02-02 17:27:37,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 04:05:13,2022-02-02 04:09:12
2022-02-02 17:27:39,2022-02-02 17:29:37,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 04:09:14,2022-02-02 04:11:12
2022-02-02 17:29:38,2022-02-02 17:30:01,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 04:11:13,2022-02-02 04:11:36
2022-02-02 17:30:04,2022-02-02 17:32:30,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 04:11:39,2022-02-02 04:14:05
2022-02-02 17:32:32,2022-02-02 17:33:14,Walking,annotator,PA TYPE,2022-02-02 04:14:07,2022-02-02 04:14:49
2022-02-02 17:33:20,2022-02-02 17:33:43,Standing_With_Movement,annotator,PA TYPE,2022-02-02 04:14:55,2022-02-02 04:15:18
2022-02-02 17:34:04,2022-02-02 17:34:25,Standing_With_Movement,annotator,PA TYPE,2022-02-02 04:15:39,2022-02-02 04:16:00
2022-02-02 17:34:29,2022-02-02 17:34:33,Walking,annotator,PA TYPE,2022-02-02 04:16:04,2022-02-02 04:16:08
2022-02-02 17:34:57,2022-02-02 17:35:19,Walking,annotator,PA TYPE,2022-02-02 04:16:32,2022-02-02 04:16:54
2022-02-02 17:35:20,2022-02-02 17:35:43,Walking,annotator,PA TYPE,2022-02-02 04:16:55,2022-02-02 04:17:18
2022-02-02 17:35:44,2022-02-02 17:37:07,Standing_With_Movement,annotator,PA TYPE,2022-02-02 04:17:19,2022-02-02 04:18:42
2022-02-02 17:37:08,2022-02-02 17:37:24,Walking,annotator,PA TYPE,2022-02-02 04:18:43,2022-02-02 04:18:59
2022-02-02 17:37:25,2022-02-02 17:38:00,Standing_With_Movement,annotator,PA TYPE,2022-02-02 04:19:00,2022-02-02 04:19:35
2022-02-02 17:38:03,2022-02-02 17:38:25,Walking,annotator,PA TYPE,2022-02-02 04:19:38,2022-02-02 04:20:00
2022-02-02 17:38:32,2022-02-02 17:50:22,Sitting_With_Movement,annotator,PA TYPE,2022-02-02 04:20:07,2022-02-02 04:31:57
