START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-05 12:04:03,2022-02-05 12:04:14,,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:00:05,2022-02-05 00:00:16
2022-02-05 12:04:16,2022-02-05 12:04:50,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:00:18,2022-02-05 00:00:52
2022-02-05 12:04:51,2022-02-05 12:05:12,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:00:53,2022-02-05 00:01:14
2022-02-05 12:05:12,2022-02-05 12:05:19,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:01:14,2022-02-05 00:01:21
2022-02-05 12:05:19,2022-02-05 12:06:02,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:01:21,2022-02-05 00:02:04
2022-02-05 12:06:02,2022-02-05 12:07:02,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:02:04,2022-02-05 00:03:04
2022-02-05 12:07:02,2022-02-05 12:07:08,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:03:04,2022-02-05 00:03:10
2022-02-05 12:07:08,2022-02-05 12:07:39,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:03:10,2022-02-05 00:03:41
2022-02-05 12:07:39,2022-02-05 12:08:38,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:03:41,2022-02-05 00:04:40
2022-02-05 12:08:44,2022-02-05 12:09:19,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:04:46,2022-02-05 00:05:21
2022-02-05 12:09:20,2022-02-05 12:09:24,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:05:22,2022-02-05 00:05:26
2022-02-05 12:09:24,2022-02-05 12:09:34,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:05:26,2022-02-05 00:05:36
2022-02-05 12:09:40,2022-02-05 12:09:50,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:05:42,2022-02-05 00:05:52
2022-02-05 12:09:51,2022-02-05 12:10:20,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:05:53,2022-02-05 00:06:22
2022-02-05 12:10:20,2022-02-05 12:10:34,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:06:22,2022-02-05 00:06:36
2022-02-05 12:10:34,2022-02-05 12:10:45,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:06:36,2022-02-05 00:06:47
2022-02-05 12:10:45,2022-02-05 12:15:01,In_Transit_Driving_Car,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:06:47,2022-02-05 00:11:03
2022-02-05 12:15:01,2022-02-05 12:16:17,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:11:03,2022-02-05 00:12:19
2022-02-05 12:16:18,2022-02-05 12:16:25,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:12:20,2022-02-05 00:12:27
2022-02-05 12:16:25,2022-02-05 12:20:53,Shopping_Non-Grocery,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:12:27,2022-02-05 00:16:55
2022-02-05 12:20:53,2022-02-05 12:21:34,Shopping_Non-Grocery,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:16:55,2022-02-05 00:17:36
2022-02-05 12:21:34,2022-02-05 12:21:41,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:17:36,2022-02-05 00:17:43
2022-02-05 12:21:41,2022-02-05 12:22:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-02-05 00:17:43,2022-02-05 00:18:25
