START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-16 07:36:08,2022-02-16 07:36:39,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-02-16 00:00:00,2022-02-16 00:00:31
2022-02-16 07:36:43,2022-02-16 07:37:12,Synchronizing_Sensors,annotator,PA TYPE,2022-02-16 00:00:35,2022-02-16 00:01:04
2022-02-16 07:37:21,2022-02-16 07:38:03,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-02-16 00:01:13,2022-02-16 00:01:55
2022-02-16 07:38:08,2022-02-16 07:38:43,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:02:00,2022-02-16 00:02:35
2022-02-16 07:38:48,2022-02-16 07:39:14,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:02:40,2022-02-16 00:03:06
2022-02-16 07:39:20,2022-02-16 07:39:27,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:03:12,2022-02-16 00:03:19
2022-02-16 07:39:33,2022-02-16 07:40:29,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-02-16 00:03:25,2022-02-16 00:04:21
2022-02-16 07:40:34,2022-02-16 07:40:49,Standing_With_Movement,annotator,PA TYPE,2022-02-16 00:04:26,2022-02-16 00:04:41
2022-02-16 07:40:55,2022-02-16 07:41:14,Walking,annotator,PA TYPE,2022-02-16 00:04:47,2022-02-16 00:05:06
2022-02-16 07:41:16,2022-02-16 07:41:28,Walking,annotator,PA TYPE,2022-02-16 00:05:08,2022-02-16 00:05:20
2022-02-16 07:41:29,2022-02-16 07:41:40,Walking_Down_Stairs,annotator,PA TYPE,2022-02-16 00:05:21,2022-02-16 00:05:32
2022-02-16 07:41:42,2022-02-16 07:42:25,Walking,annotator,PA TYPE,2022-02-16 00:05:34,2022-02-16 00:06:17
2022-02-16 07:42:26,2022-02-16 07:42:31,Walking_Down_Stairs,annotator,PA TYPE,2022-02-16 00:06:18,2022-02-16 00:06:23
2022-02-16 07:42:34,2022-02-16 07:46:15,Walking,annotator,PA TYPE,2022-02-16 00:06:26,2022-02-16 00:10:07
2022-02-16 07:46:18,2022-02-16 07:46:34,Walking_Up_Stairs,annotator,PA TYPE,2022-02-16 00:10:10,2022-02-16 00:10:26
2022-02-16 07:46:38,2022-02-16 07:47:11,Walking,annotator,PA TYPE,2022-02-16 00:10:30,2022-02-16 00:11:03
2022-02-16 07:47:15,2022-02-16 07:48:02,Standing_With_Movement,annotator,PA TYPE,2022-02-16 00:11:07,2022-02-16 00:11:54
2022-02-16 07:48:07,2022-02-16 07:50:16,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:11:59,2022-02-16 00:14:08
2022-02-16 07:50:18,2022-02-16 07:50:22,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:14:10,2022-02-16 00:14:14
2022-02-16 07:50:25,2022-02-16 07:50:34,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:14:17,2022-02-16 00:14:26
2022-02-16 07:50:42,2022-02-16 07:52:18,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:14:34,2022-02-16 00:16:10
2022-02-16 07:52:26,2022-02-16 07:53:38,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:16:18,2022-02-16 00:17:30
2022-02-16 07:53:41,2022-02-16 07:53:53,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:17:33,2022-02-16 00:17:45
2022-02-16 07:53:56,2022-02-16 07:55:08,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:17:48,2022-02-16 00:19:00
2022-02-16 07:55:11,2022-02-16 07:56:31,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:19:03,2022-02-16 00:20:23
2022-02-16 07:56:35,2022-02-16 07:57:07,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:20:27,2022-02-16 00:20:59
2022-02-16 07:57:15,2022-02-16 07:58:08,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:21:07,2022-02-16 00:22:00
2022-02-16 07:58:13,2022-02-16 07:59:38,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:22:05,2022-02-16 00:23:30
2022-02-16 07:59:41,2022-02-16 07:59:49,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:23:33,2022-02-16 00:23:41
2022-02-16 07:59:57,2022-02-16 08:00:16,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:23:49,2022-02-16 00:24:08
2022-02-16 08:00:19,2022-02-16 08:00:58,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:24:11,2022-02-16 00:24:50
2022-02-16 08:01:03,2022-02-16 08:01:21,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:24:55,2022-02-16 00:25:13
2022-02-16 08:01:26,2022-02-16 08:02:28,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:25:18,2022-02-16 00:26:20
2022-02-16 08:02:31,2022-02-16 08:02:49,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:26:23,2022-02-16 00:26:41
2022-02-16 08:02:58,2022-02-16 08:06:35,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:26:50,2022-02-16 00:30:27
2022-02-16 08:06:37,2022-02-16 08:07:00,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:30:29,2022-02-16 00:30:52
2022-02-16 08:07:02,2022-02-16 08:07:38,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:30:54,2022-02-16 00:31:30
2022-02-16 08:07:46,2022-02-16 08:08:17,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:31:38,2022-02-16 00:32:09
2022-02-16 08:08:26,2022-02-16 08:11:03,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:32:18,2022-02-16 00:34:55
2022-02-16 08:11:06,2022-02-16 08:11:41,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:34:58,2022-02-16 00:35:33
2022-02-16 08:11:44,2022-02-16 08:11:56,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:35:36,2022-02-16 00:35:48
2022-02-16 08:12:04,2022-02-16 08:12:38,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:35:56,2022-02-16 00:36:30
2022-02-16 08:12:39,2022-02-16 08:13:15,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:36:31,2022-02-16 00:37:07
2022-02-16 08:13:19,2022-02-16 08:14:51,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:37:11,2022-02-16 00:38:43
2022-02-16 08:14:54,2022-02-16 08:16:01,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:38:46,2022-02-16 00:39:53
2022-02-16 08:16:06,2022-02-16 08:17:23,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:39:58,2022-02-16 00:41:15
2022-02-16 08:17:34,2022-02-16 08:18:41,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:41:26,2022-02-16 00:42:33
2022-02-16 08:18:45,2022-02-16 08:19:46,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:42:37,2022-02-16 00:43:38
2022-02-16 08:19:51,2022-02-16 08:20:08,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:43:43,2022-02-16 00:44:00
2022-02-16 08:20:14,2022-02-16 08:20:36,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:44:06,2022-02-16 00:44:28
2022-02-16 08:20:41,2022-02-16 08:21:45,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:44:33,2022-02-16 00:45:37
2022-02-16 08:21:51,2022-02-16 08:22:12,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:45:43,2022-02-16 00:46:04
2022-02-16 08:22:17,2022-02-16 08:23:27,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:46:09,2022-02-16 00:47:19
2022-02-16 08:23:36,2022-02-16 08:23:49,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:47:28,2022-02-16 00:47:41
2022-02-16 08:23:56,2022-02-16 08:26:41,Sitting_With_Movement,annotator,PA TYPE,2022-02-16 00:47:48,2022-02-16 00:50:33
