START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-18 08:04:29,2022-02-18 08:04:57,Synchronizing_Sensors,annotator,PA TYPE,2022-02-18 00:00:49,2022-02-18 00:01:17
2022-02-18 08:05:04,2022-02-18 08:05:30,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:01:24,2022-02-18 00:01:50
2022-02-18 08:05:30,2022-02-18 08:06:22,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:01:50,2022-02-18 00:02:42
2022-02-18 08:06:31,2022-02-18 08:06:56,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:02:51,2022-02-18 00:03:16
2022-02-18 08:06:57,2022-02-18 08:11:12,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:03:17,2022-02-18 00:07:32
2022-02-18 08:11:14,2022-02-18 08:26:15,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:07:34,2022-02-18 00:22:35
2022-02-18 08:26:16,2022-02-18 08:27:08,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:22:36,2022-02-18 00:23:28
2022-02-18 08:27:11,2022-02-18 08:30:32,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:23:31,2022-02-18 00:26:52
2022-02-18 08:30:35,2022-02-18 08:31:23,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:26:55,2022-02-18 00:27:43
2022-02-18 08:31:27,2022-02-18 08:36:17,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:27:47,2022-02-18 00:32:37
2022-02-18 08:36:20,2022-02-18 08:36:51,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:32:40,2022-02-18 00:33:11
2022-02-18 08:36:55,2022-02-18 08:43:03,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:33:15,2022-02-18 00:39:23
2022-02-18 08:43:11,2022-02-18 08:46:51,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:39:31,2022-02-18 00:43:11
2022-02-18 08:46:56,2022-02-18 08:48:44,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:43:16,2022-02-18 00:45:04
2022-02-18 08:48:47,2022-02-18 09:21:42,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 00:45:07,2022-02-18 01:18:02
2022-02-18 09:21:46,2022-02-18 09:21:51,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:18:06,2022-02-18 01:18:11
2022-02-18 09:21:53,2022-02-18 09:21:57,Puttering_Around,annotator,PA TYPE,2022-02-18 01:18:13,2022-02-18 01:18:17
2022-02-18 09:22:00,2022-02-18 09:22:10,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:18:20,2022-02-18 01:18:30
2022-02-18 09:22:12,2022-02-18 09:22:37,Puttering_Around,annotator,PA TYPE,2022-02-18 01:18:32,2022-02-18 01:18:57
2022-02-18 09:22:37,2022-02-18 09:23:10,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:18:57,2022-02-18 01:19:30
2022-02-18 09:23:10,2022-02-18 09:23:15,Walking,annotator,PA TYPE,2022-02-18 01:19:30,2022-02-18 01:19:35
2022-02-18 09:23:17,2022-02-18 09:24:10,Brushing_Teeth,annotator,PA TYPE,2022-02-18 01:19:37,2022-02-18 01:20:30
2022-02-18 09:24:11,2022-02-18 09:24:18,Walking,annotator,PA TYPE,2022-02-18 01:20:31,2022-02-18 01:20:38
2022-02-18 09:24:20,2022-02-18 09:24:56,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:20:40,2022-02-18 01:21:16
2022-02-18 09:24:59,2022-02-18 09:25:34,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:21:19,2022-02-18 01:21:54
2022-02-18 09:25:47,2022-02-18 09:27:09,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:22:07,2022-02-18 01:23:29
2022-02-18 09:27:13,2022-02-18 09:27:34,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:23:33,2022-02-18 01:23:54
2022-02-18 09:27:37,2022-02-18 09:29:37,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 01:23:57,2022-02-18 01:25:57
2022-02-18 09:29:42,2022-02-18 09:30:05,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:26:02,2022-02-18 01:26:25
2022-02-18 09:30:06,2022-02-18 09:30:32,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:26:26,2022-02-18 01:26:52
2022-02-18 09:30:33,2022-02-18 09:32:57,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:26:53,2022-02-18 01:29:17
2022-02-18 09:32:58,2022-02-18 09:33:10,Puttering_Around,annotator,PA TYPE,2022-02-18 01:29:18,2022-02-18 01:29:30
2022-02-18 09:33:11,2022-02-18 09:33:47,Puttering_Around,annotator,PA TYPE,2022-02-18 01:29:31,2022-02-18 01:30:07
2022-02-18 09:33:47,2022-02-18 09:34:08,Walking,annotator,PA TYPE,2022-02-18 01:30:07,2022-02-18 01:30:28
2022-02-18 09:34:09,2022-02-18 09:34:20,Walking_Down_Stairs,annotator,PA TYPE,2022-02-18 01:30:29,2022-02-18 01:30:40
2022-02-18 09:34:21,2022-02-18 09:35:11,Walking,annotator,PA TYPE,2022-02-18 01:30:41,2022-02-18 01:31:31
2022-02-18 09:35:14,2022-02-18 09:39:20,Walking,annotator,PA TYPE,2022-02-18 01:31:34,2022-02-18 01:35:40
2022-02-18 09:39:21,2022-02-18 09:39:29,Walking,annotator,PA TYPE,2022-02-18 01:35:41,2022-02-18 01:35:49
2022-02-18 09:39:29,2022-02-18 09:39:41,Walking_Up_Stairs,annotator,PA TYPE,2022-02-18 01:35:49,2022-02-18 01:36:01
2022-02-18 09:39:42,2022-02-18 09:40:00,Walking,annotator,PA TYPE,2022-02-18 01:36:02,2022-02-18 01:36:20
2022-02-18 09:40:05,2022-02-18 09:41:13,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 01:36:25,2022-02-18 01:37:33
2022-02-18 09:41:13,2022-02-18 09:44:23,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 01:37:33,2022-02-18 01:40:43
2022-02-18 09:44:27,2022-02-18 09:44:47,Walking,annotator,PA TYPE,2022-02-18 01:40:47,2022-02-18 01:41:07
2022-02-18 09:44:50,2022-02-18 09:45:03,Standing_With_Movement,annotator,PA TYPE,2022-02-18 01:41:10,2022-02-18 01:41:23
2022-02-18 09:45:07,2022-02-18 09:54:20,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 01:41:27,2022-02-18 01:50:40
2022-02-18 09:54:21,2022-02-18 09:54:41,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 01:50:41,2022-02-18 01:51:01
2022-02-18 09:54:42,2022-02-18 10:32:51,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 01:51:02,2022-02-18 02:29:11
2022-02-18 10:32:51,2022-02-18 10:33:33,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 02:29:11,2022-02-18 02:29:53
2022-02-18 10:33:36,2022-02-18 10:42:27,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 02:29:56,2022-02-18 02:38:47
2022-02-18 10:42:27,2022-02-18 10:42:52,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 02:38:47,2022-02-18 02:39:12
2022-02-18 10:42:53,2022-02-18 10:59:51,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 02:39:13,2022-02-18 02:56:11
2022-02-18 10:59:51,2022-02-18 11:00:30,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 02:56:11,2022-02-18 02:56:50
2022-02-18 11:00:34,2022-02-18 11:09:58,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 02:56:54,2022-02-18 03:06:18
2022-02-18 11:09:58,2022-02-18 11:11:19,Sitting_With_Movement,annotator,PA TYPE,2022-02-18 03:06:18,2022-02-18 03:07:39
