START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-02-21 20:31:26,2022-02-21 20:34:30,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:00:04,2022-02-21 00:03:08
2022-02-21 20:34:42,2022-02-21 20:35:34,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:03:20,2022-02-21 00:04:12
2022-02-21 20:35:35,2022-02-21 20:35:48,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:04:13,2022-02-21 00:04:26
2022-02-21 20:35:54,2022-02-21 20:39:23,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:04:32,2022-02-21 00:08:01
2022-02-21 20:39:29,2022-02-21 20:41:43,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:08:07,2022-02-21 00:10:21
2022-02-21 20:41:44,2022-02-21 21:09:00,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:10:22,2022-02-21 00:37:38
2022-02-21 21:09:04,2022-02-21 21:09:49,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:37:42,2022-02-21 00:38:27
2022-02-21 21:09:51,2022-02-21 21:10:55,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:38:29,2022-02-21 00:39:33
2022-02-21 21:10:56,2022-02-21 21:11:17,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:39:34,2022-02-21 00:39:55
2022-02-21 21:11:19,2022-02-21 21:21:59,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:39:57,2022-02-21 00:50:37
2022-02-21 21:22:00,2022-02-21 21:22:11,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:50:38,2022-02-21 00:50:49
2022-02-21 21:22:36,2022-02-21 21:23:25,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:51:14,2022-02-21 00:52:03
2022-02-21 21:23:25,2022-02-21 21:23:31,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:52:03,2022-02-21 00:52:09
2022-02-21 21:23:34,2022-02-21 21:25:18,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:52:12,2022-02-21 00:53:56
2022-02-21 21:25:20,2022-02-21 21:25:41,Lab_Indoors,annotator,Experimental situation,2022-02-21 00:53:58,2022-02-21 00:54:19
2022-02-21 21:25:53,2022-02-21 21:26:10,Free_Living,annotator,Experimental situation,2022-02-21 00:54:31,2022-02-21 00:54:48
