START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-04 10:21:58,2022-03-04 10:22:11,Free_Living,annotator,Experimental situation,2022-03-04 00:00:12,2022-03-04 00:00:25
2022-03-04 10:22:11,2022-03-04 10:22:24,Free_Living,annotator,Experimental situation,2022-03-04 00:00:25,2022-03-04 00:00:38
2022-03-04 10:22:27,2022-03-04 10:23:05,Free_Living,annotator,Experimental situation,2022-03-04 00:00:41,2022-03-04 00:01:19
2022-03-04 10:23:07,2022-03-04 10:23:11,Free_Living,annotator,Experimental situation,2022-03-04 00:01:21,2022-03-04 00:01:25
2022-03-04 10:23:14,2022-03-04 10:23:36,Free_Living,annotator,Experimental situation,2022-03-04 00:01:28,2022-03-04 00:01:50
2022-03-04 10:23:37,2022-03-04 10:24:00,Free_Living,annotator,Experimental situation,2022-03-04 00:01:51,2022-03-04 00:02:14
2022-03-04 10:24:05,2022-03-04 10:25:01,Free_Living,annotator,Experimental situation,2022-03-04 00:02:19,2022-03-04 00:03:15
2022-03-04 10:25:05,2022-03-04 10:25:11,Free_Living,annotator,Experimental situation,2022-03-04 00:03:19,2022-03-04 00:03:25
2022-03-04 10:25:14,2022-03-04 10:25:46,Free_Living,annotator,Experimental situation,2022-03-04 00:03:28,2022-03-04 00:04:00
2022-03-04 10:25:56,2022-03-04 10:26:11,Free_Living,annotator,Experimental situation,2022-03-04 00:04:10,2022-03-04 00:04:25
2022-03-04 10:26:21,2022-03-04 10:26:37,Free_Living,annotator,Experimental situation,2022-03-04 00:04:35,2022-03-04 00:04:51
2022-03-04 10:26:38,2022-03-04 10:26:52,Free_Living,annotator,Experimental situation,2022-03-04 00:04:52,2022-03-04 00:05:06
2022-03-04 10:26:53,2022-03-04 10:27:09,Free_Living,annotator,Experimental situation,2022-03-04 00:05:07,2022-03-04 00:05:23
2022-03-04 10:27:14,2022-03-04 10:27:44,Free_Living,annotator,Experimental situation,2022-03-04 00:05:28,2022-03-04 00:05:58
2022-03-04 10:27:44,2022-03-04 10:27:58,Free_Living,annotator,Experimental situation,2022-03-04 00:05:58,2022-03-04 00:06:12
2022-03-04 10:28:01,2022-03-04 10:28:42,Free_Living,annotator,Experimental situation,2022-03-04 00:06:15,2022-03-04 00:06:56
2022-03-04 10:28:47,2022-03-04 10:29:22,Free_Living,annotator,Experimental situation,2022-03-04 00:07:01,2022-03-04 00:07:36
2022-03-04 10:29:23,2022-03-04 10:29:33,Free_Living,annotator,Experimental situation,2022-03-04 00:07:37,2022-03-04 00:07:47
2022-03-04 10:29:35,2022-03-04 10:30:16,Free_Living,annotator,Experimental situation,2022-03-04 00:07:49,2022-03-04 00:08:30
2022-03-04 10:30:19,2022-03-04 10:30:32,Free_Living,annotator,Experimental situation,2022-03-04 00:08:33,2022-03-04 00:08:46
2022-03-04 10:30:33,2022-03-04 10:31:00,Free_Living,annotator,Experimental situation,2022-03-04 00:08:47,2022-03-04 00:09:14
2022-03-04 10:31:03,2022-03-04 10:31:23,Free_Living,annotator,Experimental situation,2022-03-04 00:09:17,2022-03-04 00:09:37
2022-03-04 10:31:27,2022-03-04 10:31:48,Free_Living,annotator,Experimental situation,2022-03-04 00:09:41,2022-03-04 00:10:02
2022-03-04 10:31:50,2022-03-04 10:32:08,Free_Living,annotator,Experimental situation,2022-03-04 00:10:04,2022-03-04 00:10:22
2022-03-04 10:32:10,2022-03-04 10:32:30,Free_Living,annotator,Experimental situation,2022-03-04 00:10:24,2022-03-04 00:10:44
2022-03-04 10:32:32,2022-03-04 10:32:39,Free_Living,annotator,Experimental situation,2022-03-04 00:10:46,2022-03-04 00:10:53
2022-03-04 10:32:41,2022-03-04 10:33:35,Free_Living,annotator,Experimental situation,2022-03-04 00:10:55,2022-03-04 00:11:49
2022-03-04 10:33:37,2022-03-04 10:34:03,Free_Living,annotator,Experimental situation,2022-03-04 00:11:51,2022-03-04 00:12:17
2022-03-04 10:34:04,2022-03-04 10:34:20,Free_Living,annotator,Experimental situation,2022-03-04 00:12:18,2022-03-04 00:12:34
2022-03-04 10:34:31,2022-03-04 10:35:09,Free_Living,annotator,Experimental situation,2022-03-04 00:12:45,2022-03-04 00:13:23
2022-03-04 10:35:11,2022-03-04 10:35:37,Free_Living,annotator,Experimental situation,2022-03-04 00:13:25,2022-03-04 00:13:51
2022-03-04 10:35:43,2022-03-04 10:36:24,Free_Living,annotator,Experimental situation,2022-03-04 00:13:57,2022-03-04 00:14:38
2022-03-04 10:36:28,2022-03-04 10:36:48,Free_Living,annotator,Experimental situation,2022-03-04 00:14:42,2022-03-04 00:15:02
2022-03-04 10:36:51,2022-03-04 11:05:37,Free_Living,annotator,Experimental situation,2022-03-04 00:15:05,2022-03-04 00:43:51
2022-03-04 11:05:50,2022-03-04 11:06:09,Free_Living,annotator,Experimental situation,2022-03-04 00:44:04,2022-03-04 00:44:23
2022-03-04 11:06:15,2022-03-04 11:06:35,Free_Living,annotator,Experimental situation,2022-03-04 00:44:29,2022-03-04 00:44:49
2022-03-04 11:06:36,2022-03-04 11:06:47,Free_Living,annotator,Experimental situation,2022-03-04 00:44:50,2022-03-04 00:45:01
2022-03-04 11:06:51,2022-03-04 11:07:03,Free_Living,annotator,Experimental situation,2022-03-04 00:45:05,2022-03-04 00:45:17
2022-03-04 11:07:08,2022-03-04 11:07:23,Free_Living,annotator,Experimental situation,2022-03-04 00:45:22,2022-03-04 00:45:37
2022-03-04 11:07:29,2022-03-04 14:54:14,ES_Other,annotator,Experimental situation,2022-03-04 00:45:43,2022-03-04 04:32:28
2022-03-04 14:54:18,2022-03-04 14:54:30,Free_Living,annotator,Experimental situation,2022-03-04 04:32:32,2022-03-04 04:32:44
2022-03-04 14:54:30,2022-03-04 14:54:41,Free_Living,annotator,Experimental situation,2022-03-04 04:32:44,2022-03-04 04:32:55
2022-03-04 14:54:49,2022-03-04 14:55:13,Free_Living,annotator,Experimental situation,2022-03-04 04:33:03,2022-03-04 04:33:27
2022-03-04 14:55:19,2022-03-04 14:55:35,Free_Living,annotator,Experimental situation,2022-03-04 04:33:33,2022-03-04 04:33:49
2022-03-04 14:55:36,2022-03-04 14:55:45,Free_Living,annotator,Experimental situation,2022-03-04 04:33:50,2022-03-04 04:33:59
2022-03-04 14:55:46,2022-03-04 14:56:35,Free_Living,annotator,Experimental situation,2022-03-04 04:34:00,2022-03-04 04:34:49
