START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-13 12:00:55,2022-03-13 12:01:18,Synchronizing_Sensors,annotator,PA TYPE,2022-03-13 00:00:00,2022-03-13 00:00:23
2022-03-13 12:01:29,2022-03-13 12:07:50,Sitting_With_Movement,annotator,PA TYPE,2022-03-13 00:00:34,2022-03-13 00:06:55
2022-03-13 12:07:52,2022-03-13 12:08:00,Standing_With_Movement,annotator,PA TYPE,2022-03-13 00:06:57,2022-03-13 00:07:05
2022-03-13 12:08:00,2022-03-13 12:08:23,Kneeling_With_Movement,annotator,PA TYPE,2022-03-13 00:07:05,2022-03-13 00:07:28
2022-03-13 12:08:23,2022-03-13 12:11:38,Sitting_With_Movement,annotator,PA TYPE,2022-03-13 00:07:28,2022-03-13 00:10:43
2022-03-13 12:11:41,2022-03-13 12:12:48,Puttering_Around,annotator,PA TYPE,2022-03-13 00:10:46,2022-03-13 00:11:53
2022-03-13 12:12:48,2022-03-13 12:12:59,Standing_With_Movement,annotator,PA TYPE,2022-03-13 00:11:53,2022-03-13 00:12:04
2022-03-13 12:12:59,2022-03-13 12:13:39,Standing_With_Movement,annotator,PA TYPE,2022-03-13 00:12:04,2022-03-13 00:12:44
2022-03-13 12:13:39,2022-03-13 12:13:46,Standing_With_Movement,annotator,PA TYPE,2022-03-13 00:12:44,2022-03-13 00:12:51
2022-03-13 12:13:46,2022-03-13 12:15:05,Puttering_Around,annotator,PA TYPE,2022-03-13 00:12:51,2022-03-13 00:14:10
2022-03-13 12:15:05,2022-03-13 12:15:41,Puttering_Around,annotator,PA TYPE,2022-03-13 00:14:10,2022-03-13 00:14:46
2022-03-13 12:15:41,2022-03-13 12:15:58,Puttering_Around,annotator,PA TYPE,2022-03-13 00:14:46,2022-03-13 00:15:03
2022-03-13 12:15:58,2022-03-13 12:16:14,Walking,annotator,PA TYPE,2022-03-13 00:15:03,2022-03-13 00:15:19
2022-03-13 12:16:14,2022-03-13 12:16:47,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:15:19,2022-03-13 00:15:52
2022-03-13 12:16:47,2022-03-13 12:16:55,Walking,annotator,PA TYPE,2022-03-13 00:15:52,2022-03-13 00:16:00
2022-03-13 12:16:55,2022-03-13 12:17:13,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:16:00,2022-03-13 00:16:18
2022-03-13 12:17:13,2022-03-13 12:17:49,Walking,annotator,PA TYPE,2022-03-13 00:16:18,2022-03-13 00:16:54
2022-03-13 12:17:49,2022-03-13 12:23:41,Puttering_Around,annotator,PA TYPE,2022-03-13 00:16:54,2022-03-13 00:22:46
2022-03-13 12:23:41,2022-03-13 12:23:50,Walking,annotator,PA TYPE,2022-03-13 00:22:46,2022-03-13 00:22:55
2022-03-13 12:23:50,2022-03-13 12:24:11,Standing_With_Movement,annotator,PA TYPE,2022-03-13 00:22:55,2022-03-13 00:23:16
2022-03-13 12:24:11,2022-03-13 12:24:25,Walking,annotator,PA TYPE,2022-03-13 00:23:16,2022-03-13 00:23:30
2022-03-13 12:24:25,2022-03-13 12:25:05,Walking,annotator,PA TYPE,2022-03-13 00:23:30,2022-03-13 00:24:10
2022-03-13 12:25:05,2022-03-13 12:25:21,Walking,annotator,PA TYPE,2022-03-13 00:24:10,2022-03-13 00:24:26
2022-03-13 12:25:21,2022-03-13 12:25:42,Walking_Up_Stairs,annotator,PA TYPE,2022-03-13 00:24:26,2022-03-13 00:24:47
2022-03-13 12:25:42,2022-03-13 12:25:49,Walking,annotator,PA TYPE,2022-03-13 00:24:47,2022-03-13 00:24:54
2022-03-13 12:25:49,2022-03-13 12:26:15,Walking_Up_Stairs,annotator,PA TYPE,2022-03-13 00:24:54,2022-03-13 00:25:20
2022-03-13 12:26:15,2022-03-13 12:26:28,Walking,annotator,PA TYPE,2022-03-13 00:25:20,2022-03-13 00:25:33
2022-03-13 12:26:28,2022-03-13 12:26:40,Walking,annotator,PA TYPE,2022-03-13 00:25:33,2022-03-13 00:25:45
2022-03-13 12:26:46,2022-03-13 12:27:22,Sitting_With_Movement,annotator,PA TYPE,2022-03-13 00:25:51,2022-03-13 00:26:27
2022-03-13 12:27:22,2022-03-13 12:27:30,Sitting_With_Movement,annotator,PA TYPE,2022-03-13 00:26:27,2022-03-13 00:26:35
2022-03-13 12:27:30,2022-03-13 12:37:56,Sitting_With_Movement,annotator,PA TYPE,2022-03-13 00:26:35,2022-03-13 00:37:01
2022-03-13 12:37:56,2022-03-13 12:46:50,Sitting_With_Movement,annotator,PA TYPE,2022-03-13 00:37:01,2022-03-13 00:45:55
2022-03-13 12:46:52,2022-03-13 12:47:10,Standing_With_Movement,annotator,PA TYPE,2022-03-13 00:45:57,2022-03-13 00:46:15
2022-03-13 12:47:10,2022-03-13 12:47:21,Walking,annotator,PA TYPE,2022-03-13 00:46:15,2022-03-13 00:46:26
2022-03-13 12:47:21,2022-03-13 12:48:44,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-03-13 00:46:26,2022-03-13 00:47:49
2022-03-13 12:48:44,2022-03-13 12:49:49,Puttering_Around,annotator,PA TYPE,2022-03-13 00:47:49,2022-03-13 00:48:54
2022-03-13 12:49:49,2022-03-13 12:50:28,Standing_With_Movement,annotator,PA TYPE,2022-03-13 00:48:54,2022-03-13 00:49:33
2022-03-13 12:50:28,2022-03-13 12:51:31,Puttering_Around,annotator,PA TYPE,2022-03-13 00:49:33,2022-03-13 00:50:36
2022-03-13 12:51:33,2022-03-13 12:51:59,Puttering_Around,annotator,PA TYPE,2022-03-13 00:50:38,2022-03-13 00:51:04
2022-03-13 12:52:01,2022-03-13 12:52:24,Puttering_Around,annotator,PA TYPE,2022-03-13 00:51:06,2022-03-13 00:51:29
2022-03-13 12:52:25,2022-03-13 12:52:34,Puttering_Around,annotator,PA TYPE,2022-03-13 00:51:30,2022-03-13 00:51:39
2022-03-13 12:52:36,2022-03-13 12:52:36,Puttering_Around,annotator,PA TYPE,2022-03-13 00:51:41,2022-03-13 00:51:41
2022-03-13 12:52:37,2022-03-13 12:52:54,Puttering_Around,annotator,PA TYPE,2022-03-13 00:51:42,2022-03-13 00:51:59
2022-03-13 12:52:56,2022-03-13 12:53:11,Walking,annotator,PA TYPE,2022-03-13 00:52:01,2022-03-13 00:52:16
2022-03-13 12:53:14,2022-03-13 12:53:21,Walking,annotator,PA TYPE,2022-03-13 00:52:19,2022-03-13 00:52:26
2022-03-13 12:53:22,2022-03-13 12:53:23,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:52:27,2022-03-13 00:52:28
2022-03-13 12:53:24,2022-03-13 12:53:26,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:52:29,2022-03-13 00:52:31
2022-03-13 12:53:28,2022-03-13 12:53:29,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:52:33,2022-03-13 00:52:34
2022-03-13 12:53:33,2022-03-13 12:53:36,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:52:38,2022-03-13 00:52:41
2022-03-13 12:53:37,2022-03-13 12:53:40,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:52:42,2022-03-13 00:52:45
2022-03-13 12:53:41,2022-03-13 12:53:42,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:52:46,2022-03-13 00:52:47
2022-03-13 12:53:52,2022-03-13 12:53:55,Walking_Down_Stairs,annotator,PA TYPE,2022-03-13 00:52:57,2022-03-13 00:53:00
