START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-24 11:22:52,2022-03-24 11:23:59,Standing_With_Movement,annotator,PA TYPE,2022-03-24 00:00:26,2022-03-24 00:01:33
2022-03-24 11:24:08,2022-03-24 11:25:35,Standing_With_Movement,annotator,PA TYPE,2022-03-24 00:01:42,2022-03-24 00:03:09
2022-03-24 11:25:38,2022-03-24 11:26:01,Sitting_With_Movement,annotator,PA TYPE,2022-03-24 00:03:12,2022-03-24 00:03:35
2022-03-24 11:26:03,2022-03-24 11:43:52,Sitting_With_Movement,annotator,PA TYPE,2022-03-24 00:03:37,2022-03-24 00:21:26
2022-03-24 11:46:16,2022-03-24 11:47:12,Walking,annotator,PA TYPE,2022-03-24 00:23:50,2022-03-24 00:24:46
2022-03-24 11:47:15,2022-03-24 11:47:23,Walking,annotator,PA TYPE,2022-03-24 00:24:49,2022-03-24 00:24:57
2022-03-24 11:47:24,2022-03-24 11:47:34,Walking,annotator,PA TYPE,2022-03-24 00:24:58,2022-03-24 00:25:08
2022-03-24 11:47:35,2022-03-24 11:48:04,Walking_Down_Stairs,annotator,PA TYPE,2022-03-24 00:25:09,2022-03-24 00:25:38
2022-03-24 11:48:04,2022-03-24 11:48:22,Walking_Down_Stairs,annotator,PA TYPE,2022-03-24 00:25:38,2022-03-24 00:25:56
2022-03-24 11:48:23,2022-03-24 11:48:32,Walking,annotator,PA TYPE,2022-03-24 00:25:57,2022-03-24 00:26:06
2022-03-24 11:48:32,2022-03-24 11:51:11,Walking,annotator,PA TYPE,2022-03-24 00:26:06,2022-03-24 00:28:45
2022-03-24 11:51:21,2022-03-24 11:53:07,Walking,annotator,PA TYPE,2022-03-24 00:28:55,2022-03-24 00:30:41
2022-03-24 11:53:16,2022-03-24 11:54:30,Walking,annotator,PA TYPE,2022-03-24 00:30:50,2022-03-24 00:32:04
2022-03-24 11:54:32,2022-03-24 11:54:57,Walking,annotator,PA TYPE,2022-03-24 00:32:06,2022-03-24 00:32:31
2022-03-24 11:54:59,2022-03-24 11:55:26,Walking,annotator,PA TYPE,2022-03-24 00:32:33,2022-03-24 00:33:00
2022-03-24 11:55:29,2022-03-24 11:55:40,Sitting_With_Movement,annotator,PA TYPE,2022-03-24 00:33:03,2022-03-24 00:33:14
2022-03-24 11:55:44,2022-03-24 11:56:10,Sitting_With_Movement,annotator,PA TYPE,2022-03-24 00:33:18,2022-03-24 00:33:44
2022-03-24 11:56:18,2022-03-24 12:22:06,Sitting_With_Movement,annotator,PA TYPE,2022-03-24 00:33:52,2022-03-24 00:59:40
