START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-30 10:14:28,2022-03-30 10:15:33,,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 00:00:00,2022-03-30 00:01:05
2022-03-30 10:15:38,2022-03-30 11:04:08,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 00:01:10,2022-03-30 00:49:40
2022-03-30 11:04:17,2022-03-30 11:07:40,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 00:49:49,2022-03-30 00:53:12
2022-03-30 11:07:42,2022-03-30 11:12:47,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 00:53:14,2022-03-30 00:58:19
2022-03-30 11:12:49,2022-03-30 11:18:39,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 00:58:21,2022-03-30 01:04:11
2022-03-30 11:18:40,2022-03-30 11:19:35,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:04:12,2022-03-30 01:05:07
2022-03-30 11:19:42,2022-03-30 11:23:18,,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:05:14,2022-03-30 01:08:50
2022-03-30 11:23:26,2022-03-30 11:24:11,,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:08:58,2022-03-30 01:09:43
2022-03-30 11:24:14,2022-03-30 11:28:29,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:09:46,2022-03-30 01:14:01
2022-03-30 11:28:30,2022-03-30 11:39:06,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:14:02,2022-03-30 01:24:38
2022-03-30 11:39:07,2022-03-30 11:42:35,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:24:39,2022-03-30 01:28:07
2022-03-30 11:42:41,2022-03-30 11:43:26,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:28:13,2022-03-30 01:28:58
2022-03-30 11:43:27,2022-03-30 11:44:26,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:28:59,2022-03-30 01:29:58
2022-03-30 11:44:30,2022-03-30 11:44:47,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:30:02,2022-03-30 01:30:19
2022-03-30 11:44:48,2022-03-30 11:48:38,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:30:20,2022-03-30 01:34:10
2022-03-30 11:48:40,2022-03-30 11:49:34,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:34:12,2022-03-30 01:35:06
2022-03-30 11:49:36,2022-03-30 11:51:57,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:35:08,2022-03-30 01:37:29
2022-03-30 11:51:58,2022-03-30 11:54:23,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:37:30,2022-03-30 01:39:55
2022-03-30 11:54:24,2022-03-30 11:56:36,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:39:56,2022-03-30 01:42:08
2022-03-30 11:56:39,2022-03-30 11:59:05,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:42:11,2022-03-30 01:44:37
2022-03-30 11:59:06,2022-03-30 12:04:14,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:44:38,2022-03-30 01:49:46
2022-03-30 12:04:15,2022-03-30 12:05:55,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:49:47,2022-03-30 01:51:27
2022-03-30 12:05:55,2022-03-30 12:08:43,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:51:27,2022-03-30 01:54:15
2022-03-30 12:08:46,2022-03-30 12:12:23,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:54:18,2022-03-30 01:57:55
2022-03-30 12:12:24,2022-03-30 12:13:16,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:57:56,2022-03-30 01:58:48
2022-03-30 12:13:16,2022-03-30 12:18:24,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 01:58:48,2022-03-30 02:03:56
2022-03-30 12:18:26,2022-03-30 12:19:31,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 02:03:58,2022-03-30 02:05:03
2022-03-30 12:19:34,2022-03-30 12:20:09,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-30 02:05:06,2022-03-30 02:05:41
